plant,Brussel Sprouts
variant_title,(1x) Brussel Sprouts ALL Damage Numbers
multiplier,1.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,9750.0,14625,19500,24375,29250,34125,39000,43875,48750,53625
1.1,10725,16087.5,21450,26812.5,32175,37537.5,42900,48262.5,53625,58987.5
1.2,11700,17550,23400,29250,35100,40950,46800,52650,58500,64350
1.3,12675,19012.5,25350,31687.5,38025,44362.5,50700,57037.5,63375,69712.5
1.4,13650,20475,27300,34125,40950,47775,54600,61425,68250,75075
1.5,14625,21937.5,29250,36562.5,43875,51187.5,58500,65812.5,73125,80437.5
1.6,15600,23400,31200,39000,46800,54600,62400,70200,78000,85800
1.7,16575,24862.5,33150,41437.5,49725,58012.5,66300,74587.5,82875,91162.5
1.8,17550,26325,35100,43875,52650,61425,70200,78975,87750,96525
1.9,18525,27787.5,37050,46312.5,55575,64837.5,74100,83362.5,92625,101887.5
2,19500,29250,39000,48750,58500,68250,78000,87750,97500,107250
2.1,20475,30712.5,40950,51187.5,61425,71662.5,81900,92137.5,102375,112612.5
2.2,21450,32175,42900,53625,64350,75075,85800,96525,107250,117975
2.3,22425,33637.5,44850,56062.5,67275,78487.5,89700,100912.5,112125,123337.5
2.4,23400,35100,46800,58500,70200,81900,93600,105300,117000,128700
2.5,24375,36562.5,48750,60937.5,73125,85312.5,97500,109687.5,121875,134062.5
2.6,25350,38025,50700,63375,76050,88725,101400,114075,126750,139425
2.7,26325,39487.5,52650,65812.5,78975,92137.5,105300,118462.5,131625,144787.5
2.8,27300,40950,54600,68250,81900,95550,109200,122850,136500,150150
2.9,28275,42412.5,56550,70687.5,84825,98962.5,113100,127237.5,141375,155512.5
3,29250,43875,58500,73125,87750,102375,117000,131625,146250,160875
3.1,30225,45337.5,60450,75562.5,90675,105787.5,120900,136012.5,151125,166237.5
3.2,31200,46800,62400,78000,93600,109200,124800,140400,156000,171600
3.3,32175,48262.5,64350,80437.5,96525,112612.5,128700,144787.5,160875,176962.5
3.4,33150,49725,66300,82875,99450,116025,132600,149175,165750,182325
3.5,34125,51187.5,68250,85312.5,102375,119437.5,136500,153562.5,170625,187687.5
3.6,35100,52650,70200,87750,105300,122850,140400,157950,175500,193050
3.7,36075,54112.5,72150,90187.5,108225,126262.5,144300,162337.5,180375,198412.5
3.8,37050,55575,74100,92625,111150,129675,148200,166725,185250,203775
3.9,38025,57037.5,76050,95062.5,114075,133087.5,152100,171112.5,190125,209137.5
4,39000,58500,78000,97500,117000,136500,156000,175500,195000,214500
4.1,39975,59962.5,79950,99937.5,119925,139912.5,159900,179887.5,199875,219862.5
4.2,40950,61425,81900,102375,122850,143325,163800,184275,204750,225225
4.3,41925,62887.5,83850,104812.5,125775,146737.5,167700,188662.5,209625,230587.5
4.4,42900,64350,85800,107250,128700,150150,171600,193050,214500,235950
4.5,43875,65812.5,87750,109687.5,131625,153562.5,175500,197437.5,219375,241312.5
4.6,44850,67275,89700,112125,134550,156975,179400,201825,224250,246675
4.7,45825,68737.5,91650,114562.5,137475,160387.5,183300,206212.5,229125,252037.5
4.8,46800,70200,93600,117000,140400,163800,187200,210600,234000,257400
4.9,47775,71662.5,95550,119437.5,143325,167212.5,191100,214987.5,238875,262762.5
5,48750,73125,97500,121875,146250,170625,195000,219375,243750,268125
5.1,49725,74587.5,99450,124312.5,149175,174037.5,198900,223762.5,248625,273487.5
5.2,50700,76050,101400,126750,152100,177450,202800,228150,253500,278850
5.3,51675,77512.5,103350,129187.5,155025,180862.5,206700,232537.5,258375,284212.5
5.4,52650,78975,105300,131625,157950,184275,210600,236925,263250,289575
5.5,53625,80437.5,107250,134062.5,160875,187687.5,214500,241312.5,268125,294937.5
5.6,54600,81900,109200,136500,163800,191100,218400,245700,273000,300300
5.7,55575,83362.5,111150,138937.5,166725,194512.5,222300,250087.5,277875,305662.5
5.8,56550,84825,113100,141375,169650,197925,226200,254475,282750,311025
5.9,57525,86287.5,115050,143812.5,172575,201337.5,230100,258862.5,287625,316387.5
6,58500,87750,117000,146250,175500,204750,234000,263250,292500,321750
6.1,59475,89212.5,118950,148687.5,178425,208162.5,237900,267637.5,297375,327112.5
6.2,60450,90675,120900,151125,181350,211575,241800,272025,302250,332475
6.3,61425,92137.5,122850,153562.5,184275,214987.5,245700,276412.5,307125,337837.5
6.4,62400,93600,124800,156000,187200,218400,249600,280800,312000,343200
6.5,63375,95062.5,126750,158437.5,190125,221812.5,253500,285187.5,316875,348562.5
6.6,64350,96525,128700,160875,193050,225225,257400,289575,321750,353925
6.7,65325,97987.5,130650,163312.5,195975,228637.5,261300,293962.5,326625,359287.5
6.8,66300,99450,132600,165750,198900,232050,265200,298350,331500,364650
