plant,Brussel Sprouts
variant_title,Brussel Sprouts (2x) Gold/Foggy/Electrified/Scorched Brussel Sprouts ALL Damage Numbers
multiplier,2.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,19500,29250,39000,48750,58500,68250,78000,87750,97500,107250
1.1,21450,32175,42900,53625,64350,75075,85800,96525,107250,117975
1.2,23400,35100,46800,58500,70200,81900,93600,105300,117000,128700
1.3,25350,38025,50700,63375,76050,88725,101400,114075,126750,139425
1.4,27300,40950,54600,68250,81900,95550,109200,122850,136500,150150
1.5,29250,43875,58500,73125,87750,102375,117000,131625,146250,160875
1.6,31200,46800,62400,78000,93600,109200,124800,140400,156000,171600
1.7,33150,49725,66300,82875,99450,116025,132600,149175,165750,182325
1.8,35100,52650,70200,87750,105300,122850,140400,157950,175500,193050
1.9,37050,55575,74100,92625,111150,129675,148200,166725,185250,203775
2,39000,58500,78000,97500,117000,136500,156000,175500,195000,214500
2.1,40950,61425,81900,102375,122850,143325,163800,184275,204750,225225
2.2,42900,64350,85800,107250,128700,150150,171600,193050,214500,235950
2.3,44850,67275,89700,112125,134550,156975,179400,201825,224250,246675
2.4,46800,70200,93600,117000,140400,163800,187200,210600,234000,257400
2.5,48750,73125,97500,121875,146250,170625,195000,219375,243750,268125
2.6,50700,76050,101400,126750,152100,177450,202800,228150,253500,278850
2.7,52650,78975,105300,131625,157950,184275,210600,236925,263250,289575
2.8,54600,81900,109200,136500,163800,191100,218400,245700,273000,300300
2.9,56550,84825,113100,141375,169650,197925,226200,254475,282750,311025
3,58500,87750,117000,146250,175500,204750,234000,263250,292500,321750
3.1,60450,90675,120900,151125,181350,211575,241800,272025,302250,332475
3.2,62400,93600,124800,156000,187200,218400,249600,280800,312000,343200
3.3,64350,96525,128700,160875,193050,225225,257400,289575,321750,353925
3.4,66300,99450,132600,165750,198900,232050,265200,298350,331500,364650
3.5,68250,102375,136500,170625,204750,238875,273000,307125,341250,375375
3.6,70200,105300,140400,175500,210600,245700,280800,315900,351000,386100
