plant,Brussel Sprouts
variant_title,3.15x Fusion Mutation Brussel Sprouts ALL Damage Numbers
multiplier,3.15

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,30712.5,46068.75,61425,76781.25,92137.5,107493.75,122850,138206.25,153562.5,168918.75
1.1,42997.5,64496.25,85995,107493.75,128992.5,150491.25,171990,193488.75,214987.5,236486.25
1.2,55282.5,82923.75,110565,138206.25,165847.5,193488.75,221130,248771.25,276412.5,304053.75
1.3,67567.5,101351.25,135135,168918.75,202702.5,236486.25,270270,304053.75,337837.5,371621.25
1.4,79852.5,119778.75,159705,199631.25,239557.5,279483.75,319410,359336.25,399262.5,439188.75
1.5,92137.5,138206.25,184275,230343.75,276412.5,322481.25,368550,414618.75,460687.5,506756.25
1.6,104422.5,156633.75,208845,261056.25,313267.5,365478.75,417690,469901.25,522112.5,574323.75
1.7,116707.5,175061.25,233415,291768.75,350122.5,408476.25,466830,525183.75,583537.5,641891.25
1.8,128992.5,193488.75,257985,322481.25,386977.5,451473.75,515970,580466.25,644962.5,709458.75
1.9,141277.5,211916.25,282555,353193.75,423832.5,494471.25,565110,635748.75,706387.5,777026.25
2,153562.5,230343.75,307125,383906.25,460687.5,537468.75,614250,691031.25,767812.5,844593.75
2.1,165847.5,248771.25,331695,414618.75,497542.5,580466.25,663390,746313.75,829237.5,912161.25
2.2,178132.5,267198.75,356265,445331.25,534397.5,623463.75,712530,801596.25,890662.5,979728.75
2.3,190417.5,285626.25,380835,476043.75,571252.5,666461.25,761670,856878.75,952087.5,1047296.25
2.4,202702.5,304053.75,405405,506756.25,608107.5,709458.75,810810,912161.25,1013512.5,1114863.75
2.5,214987.5,322481.25,429975,537468.75,644962.5,752456.25,859950,967443.75,1074937.5,1182431.25
2.6,227272.5,340908.75,454545,568181.25,681817.5,795453.75,909090,1022726.25,1136362.5,1249998.75
2.7,239557.5,359336.25,479115,598893.75,718672.5,838451.25,958230,1078008.75,1197787.5,1317566.25
2.8,251842.5,377763.75,503685,629606.25,755527.5,881448.75,1007370,1133291.25,1259212.5,1385133.75
2.9,264127.5,396191.25,528255,660318.75,792382.5,924446.25,1056510,1188573.75,1320637.5,1452701.25
3,276412.5,414618.75,552825,691031.25,829237.5,967443.75,1105650,1243856.25,1382062.5,1520268.75
3.1,288697.5,433046.25,577395,721743.75,866092.5,1010441.25,1154790,1299138.75,1443487.5,1587836.25
3.2,300982.5,451473.75,601965,752456.25,902947.5,1053438.75,1203930,1354421.25,1504912.5,1655403.75
