plant,Brussel Sprouts
variant_title,(3x) Diamond Brussel Sprouts ALL Damage Numbers
multiplier,3.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,29250,43875,58500,73125,87750,102375,117000,131625,146250,160875
1.1,32175,48262.5,64350,80437.5,96525,112612.5,128700,144787.5,160875,176962.5
1.2,35100,52650,70200,87750,105300,122850,140400,157950,175500,193050
1.3,38025,57037.5,76050,95062.5,114075,133087.5,152100,171112.5,190125,209137.5
1.4,40950,61425,81900,102375,122850,143325,163800,184275,204750,225225
1.5,43875,65812.5,87750,109687.5,131625,153562.5,175500,197437.5,219375,241312.5
1.6,46800,70200,93600,117000,140400,163800,187200,210600,234000,257400
1.7,49725,74587.5,99450,124312.5,149175,174037.5,198900,223762.5,248625,273487.5
1.8,52650,78975,105300,131625,157950,184275,210600,236925,263250,289575
1.9,55575,83362.5,111150,138937.5,166725,194512.5,222300,250087.5,277875,305662.5
2,58500,87750,117000,146250,175500,204750,234000,263250,292500,321750
2.1,61425,92137.5,122850,153562.5,184275,214987.5,245700,276412.5,307125,337837.5
2.2,64350,96525,128700,160875,193050,225225,257400,289575,321750,353925
2.3,67275,100912.5,134550,168187.5,201825,235462.5,269100,302737.5,336375,370012.5
2.4,70200,105300,140400,175500,210600,245700,280800,315900,351000,386100
2.5,73125,109687.5,146250,182812.5,219375,255937.5,292500,329062.5,365625,402187.5
2.6,76050,114075,152100,190125,228150,266175,304200,342225,380250,418275
2.7,78975,118462.5,157950,197437.5,236925,276412.5,315900,355387.5,394875,434362.5
2.8,81900,122850,163800,204750,245700,286650,327600,368550,409500,450450
2.9,84825,127237.5,169650,212062.5,254475,296887.5,339300,381712.5,424125,466537.5
3,87750,131625,175500,219375,263250,307125,351000,394875,438750,482625
3.1,90675,136012.5,181350,226687.5,272025,317362.5,362700,408037.5,453375,498712.5
3.2,93600,140400,187200,234000,280800,327600,374400,421200,468000,514800
3.3,96525,144787.5,193050,241312.5,289575,337837.5,386100,434362.5,482625,530887.5
3.4,99450,149175,198900,248625,298350,348075,397800,447525,497250,546975
3.5,102375,153562.5,204750,255937.5,307125,358312.5,409500,460687.5,511875,563062.5
3.6,105300,157950,210600,263250,315900,368550,421200,473850,526500,579150
3.7,108225,162337.5,216450,270562.5,324675,378787.5,432900,487012.5,541125,595237.5
3.8,111150,166725,222300,277875,333450,389025,444600,500175,555750,611325
3.9,114075,171112.5,228150,285187.5,342225,399262.5,456300,513337.5,570375,627412.5
4,117000,175500,234000,292500,351000,409500,468000,526500,585000,643500
4.1,119925,179887.5,239850,299812.5,359775,419737.5,479700,539662.5,599625,659587.5
4.2,122850,184275,245700,307125,368550,429975,491400,552825,614250,675675
4.3,125775,188662.5,251550,314437.5,377325,440212.5,503100,565987.5,628875,691762.5
4.4,128700,193050,257400,321750,386100,450450,514800,579150,643500,707850
4.5,131625,197437.5,263250,329062.5,394875,460687.5,526500,592312.5,658125,723937.5
4.6,134550,201825,269100,336375,403650,470925,538200,605475,672750,740025
4.7,137475,206212.5,274950,343687.5,412425,481162.5,549900,618637.5,687375,756112.5
4.8,140400,210600,280800,351000,421200,491400,561600,631800,702000,772200
4.9,143325,214987.5,286650,358312.5,429975,501637.5,573300,644962.5,716625,788287.5
5,146250,219375,292500,365625,438750,511875,585000,658125,731250,804375
5.1,149175,223762.5,298350,372937.5,447525,522112.5,596700,671287.5,745875,820462.5
5.2,152100,228150,304200,380250,456300,532350,608400,684450,760500,836550
5.3,155025,232537.5,310050,387562.5,465075,542587.5,620100,697612.5,775125,852637.5
5.4,157950,236925,315900,394875,473850,552825,631800,710775,789750,868725
5.5,160875,241312.5,321750,402187.5,482625,563062.5,643500,723937.5,804375,884812.5
5.6,163800,245700,327600,409500,491400,573300,655200,737100,819000,900900
5.7,166725,250087.5,333450,416812.5,500175,583537.5,666900,750262.5,833625,916987.5
5.8,169650,254475,339300,424125,508950,593775,678600,763425,848250,933075
5.9,172575,258862.5,345150,431437.5,517725,604012.5,690300,776587.5,862875,949162.5
6,175500,263250,351000,438750,526500,614250,702000,789750,877500,965250
6.1,178425,267637.5,356850,446062.5,535275,624487.5,713700,802912.5,892125,981337.5
6.2,181350,272025,362700,453375,544050,634725,725400,816075,906750,997425
6.3,184275,276412.5,368550,460687.5,552825,644962.5,737100,829237.5,921375,1013512.5
6.4,187200,280800,374400,468000,561600,655200,748800,842400,936000,1029600
6.5,190125,285187.5,380250,475312.5,570375,665437.5,760500,855562.5,950625,1045687.5
6.6,193050,289575,386100,482625,579150,675675,772200,868725,965250,1061775
6.7,195975,293962.5,391950,489937.5,587925,685912.5,783900,881887.5,979875,1077862.5
6.8,198900,298350,397800,497250,596700,696150,795600,895050,994500,1093950
6.9,201825,302737.5,403650,504562.5,605475,706387.5,807300,908212.5,1009125,1110037.5
7,204750,307125,409500,511875,614250,716625,819000,921375,1023750,1126125
7.1,207675,311512.5,415350,519187.5,623025,726862.5,830700,934537.5,1038375,1142212.5
7.2,210600,315900,421200,526500,631800,737100,842400,947700,1053000,1158300
7.3,213525,320287.5,427050,533812.5,640575,747337.5,854100,960862.5,1067625,1174387.5
7.4,216450,324675,432900,541125,649350,757575,865800,974025,1082250,1190475
7.5,219375,329062.5,438750,548437.5,658125,767812.5,877500,987187.5,1096875,1206562.5
7.6,222300,333450,444600,555750,666900,778050,889200,1000350,1111500,1222650
7.7,225225,337837.5,450450,563062.5,675675,788287.5,900900,1013512.5,1126125,1238737.5
7.8,228150,342225,456300,570375,684450,798525,912600,1026675,1140750,1254825
7.9,231075,346612.5,462150,577687.5,693225,808762.5,924300,1039837.5,1155375,1270912.5
8,234000,351000,468000,585000,702000,819000,936000,1053000,1170000,1287000
8.1,236925,355387.5,473850,592312.5,710775,829237.5,947700,1066162.5,1184625,1303087.5
8.2,239850,359775,479700,599625,719550,839475,959400,1079325,1199250,1319175
8.3,242775,364162.5,485550,606937.5,728325,849712.5,971100,1092487.5,1213875,1335262.5
8.4,245700,368550,491400,614250,737100,859950,982800,1105650,1228500,1351350
8.5,248625,372937.5,497250,621562.5,745875,870187.5,994500,1118812.5,1243125,1367437.5
8.6,251550,377325,503100,628875,754650,880425,1006200,1131975,1257750,1383525
8.7,254475,381712.5,508950,636187.5,763425,890662.5,1017900,1145137.5,1272375,1399612.5
8.8,257400,386100,514800,643500,772200,900900,1029600,1158300,1287000,1415700
8.9,260325,390487.5,520650,650812.5,780975,911137.5,1041300,1171462.5,1301625,1431787.5
9,263250,394875,526500,658125,789750,921375,1053000,1184625,1316250,1447875
