plant,Brussel Sprouts
variant_title,(4x) Ruby/Frozen Brussel Sprouts ALL Damage Numbers
multiplier,4.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,39000,58500,78000,97500,117000,136500,156000,175500,195000,214500
1.1,42900,64350,85800,107250,128700,150150,171600,193050,214500,235950
1.2,46800,70200,93600,117000,140400,163800,187200,210600,234000,257400
1.3,50700,76050,101400,126750,152100,177450,202800,228150,253500,278850
1.4,54600,81900,109200,136500,163800,191100,218400,245700,273000,300300
1.5,58500,87750,117000,146250,175500,204750,234000,263250,292500,321750
1.6,62400,93600,124800,156000,187200,218400,249600,280800,312000,343200
1.7,66300,99450,132600,165750,198900,232050,265200,298350,331500,364650
1.8,70200,105300,140400,175500,210600,245700,280800,315900,351000,386100
1.9,74100,111150,148200,185250,222300,259350,296400,333450,370500,407550
2,78000,117000,156000,195000,234000,273000,312000,351000,390000,429000
2.1,81900,122850,163800,204750,245700,286650,327600,368550,409500,450450
2.2,85800,128700,171600,214500,257400,300300,343200,386100,429000,471900
2.3,89700,134550,179400,224250,269100,313950,358800,403650,448500,493350
2.4,93600,140400,187200,234000,280800,327600,374400,421200,468000,514800
2.5,97500,146250,195000,243750,292500,341250,390000,438750,487500,536250
2.6,101400,152100,202800,253500,304200,354900,405600,456300,507000,557700
2.7,105300,157950,210600,263250,315900,368550,421200,473850,526500,579150
2.8,109200,163800,218400,273000,327600,382200,436800,491400,546000,600600
2.9,113100,169650,226200,282750,339300,395850,452400,508950,565500,622050
3,117000,175500,234000,292500,351000,409500,468000,526500,585000,643500
3.1,120900,181350,241800,302250,362700,423150,483600,544050,604500,664950
3.2,124800,187200,249600,312000,374400,436800,499200,561600,624000,686400
3.3,128700,193050,257400,321750,386100,450450,514800,579150,643500,707850
3.4,132600,198900,265200,331500,397800,464100,530400,596700,663000,729300
3.5,136500,204750,273000,341250,409500,477750,546000,614250,682500,750750
3.6,140400,210600,280800,351000,421200,491400,561600,631800,702000,772200
3.7,144300,216450,288600,360750,432900,505050,577200,649350,721500,793650
3.8,148200,222300,296400,370500,444600,518700,592800,666900,741000,815100
3.9,152100,228150,304200,380250,456300,532350,608400,684450,760500,836550
4,156000,234000,312000,390000,468000,546000,624000,702000,780000,858000
4.1,159900,239850,319800,399750,479700,559650,639600,719550,799500,879450
4.2,163800,245700,327600,409500,491400,573300,655200,737100,819000,900900
4.3,167700,251550,335400,419250,503100,586950,670800,754650,838500,922350
4.4,171600,257400,343200,429000,514800,600600,686400,772200,858000,943800
4.5,175500,263250,351000,438750,526500,614250,702000,789750,877500,965250
4.6,179400,269100,358800,448500,538200,627900,717600,807300,897000,986700
4.7,183300,274950,366600,458250,549900,641550,733200,824850,916500,1008150
4.8,187200,280800,374400,468000,561600,655200,748800,842400,936000,1029600
4.9,191100,286650,382200,477750,573300,668850,764400,859950,955500,1051050
5,195000,292500,390000,487500,585000,682500,780000,877500,975000,1072500
5.1,198900,298350,397800,497250,596700,696150,795600,895050,994500,1093950
5.2,202800,304200,405600,507000,608400,709800,811200,912600,1014000,1115400
5.3,206700,310050,413400,516750,620100,723450,826800,930150,1033500,1136850
5.4,210600,315900,421200,526500,631800,737100,842400,947700,1053000,1158300
5.5,214500,321750,429000,536250,643500,750750,858000,965250,1072500,1179750
5.6,218400,327600,436800,546000,655200,764400,873600,982800,1092000,1201200
5.7,222300,333450,444600,555750,666900,778050,889200,1000350,1111500,1222650
5.8,226200,339300,452400,565500,678600,791700,904800,1017900,1131000,1244100
5.9,230100,345150,460200,575250,690300,805350,920400,1035450,1150500,1265550
6,234000,351000,468000,585000,702000,819000,936000,1053000,1170000,1287000
6.1,237900,356850,475800,594750,713700,832650,951600,1070550,1189500,1308450
6.2,241800,362700,483600,604500,725400,846300,967200,1088100,1209000,1329900
6.3,245700,368550,491400,614250,737100,859950,982800,1105650,1228500,1351350
6.4,249600,374400,499200,624000,748800,873600,998400,1123200,1248000,1372800
6.5,253500,380250,507000,633750,760500,887250,1014000,1140750,1267500,1394250
6.6,257400,386100,514800,643500,772200,900900,1029600,1158300,1287000,1415700
6.7,261300,391950,522600,653250,783900,914550,1045200,1175850,1306500,1437150
6.8,265200,397800,530400,663000,795600,928200,1060800,1193400,1326000,1458600
6.9,269100,403650,538200,672750,807300,941850,1076400,1210950,1345500,1480050
7,273000,409500,546000,682500,819000,955500,1092000,1228500,1365000,1501500
7.1,276900,415350,553800,692250,830700,969150,1107600,1246050,1384500,1522950
7.2,280800,421200,561600,702000,842400,982800,1123200,1263600,1404000,1544400
7.3,284700,427050,569400,711750,854100,996450,1138800,1281150,1423500,1565850
7.4,288600,432900,577200,721500,865800,1010100,1154400,1298700,1443000,1587300
7.5,292500,438750,585000,731250,877500,1023750,1170000,1316250,1462500,1608750
7.6,296400,444600,592800,741000,889200,1037400,1185600,1333800,1482000,1630200
7.7,300300,450450,600600,750750,900900,1051050,1201200,1351350,1501500,1651650
7.8,304200,456300,608400,760500,912600,1064700,1216800,1368900,1521000,1673100
7.9,308100,462150,616200,770250,924300,1078350,1232400,1386450,1540500,1694550
8,312000,468000,624000,780000,936000,1092000,1248000,1404000,1560000,1716000
8.1,315900,473850,631800,789750,947700,1105650,1263600,1421550,1579500,1737450
8.2,319800,479700,639600,799500,959400,1119300,1279200,1439100,1599000,1758900
8.3,323700,485550,647400,809250,971100,1132950,1294800,1456650,1618500,1780350
8.4,327600,491400,655200,819000,982800,1146600,1310400,1474200,1638000,1801800
8.5,331500,497250,663000,828750,994500,1160250,1326000,1491750,1657500,1823250
8.6,335400,503100,670800,838500,1006200,1173900,1341600,1509300,1677000,1844700
8.7,339300,508950,678600,848250,1017900,1187550,1357200,1526850,1696500,1866150
8.8,343200,514800,686400,858000,1029600,1201200,1372800,1544400,1716000,1887600
8.9,347100,520650,694200,867750,1041300,1214850,1388400,1561950,1735500,1909050
9,351000,526500,702000,877500,1053000,1228500,1404000,1579500,1755000,1930500
9.1,354900,532350,709800,887250,1064700,1242150,1419600,1597050,1774500,1951950
9.2,358800,538200,717600,897000,1076400,1255800,1435200,1614600,1794000,1973400
9.3,362700,544050,725400,906750,1088100,1269450,1450800,1632150,1813500,1994850
9.4,366600,549900,733200,916500,1099800,1283100,1466400,1649700,1833000,2016300
9.5,370500,555750,741000,926250,1111500,1296750,1482000,1667250,1852500,2037750
9.6,374400,561600,748800,936000,1123200,1310400,1497600,1684800,1872000,2059200
9.7,378300,567450,756600,945750,1134900,1324050,1513200,1702350,1891500,2080650
9.8,382200,573300,764400,955500,1146600,1337700,1528800,1719900,1911000,2102100
9.9,386100,579150,772200,965250,1158300,1351350,1544400,1737450,1930500,2123550
10,390000,585000,780000,975000,1170000,1365000,1560000,1755000,1950000,2145000
10.1,393900,590850,787800,984750,1181700,1378650,1575600,1772550,1969500,2166450
10.2,397800,596700,795600,994500,1193400,1392300,1591200,1790100,1989000,2187900
10.3,401700,602550,803400,1004250,1205100,1405950,1606800,1807650,2008500,2209350
10.4,405600,608400,811200,1014000,1216800,1419600,1622400,1825200,2028000,2230800
10.5,409500,614250,819000,1023750,1228500,1433250,1638000,1842750,2047500,2252250
10.6,413400,620100,826800,1033500,1240200,1446900,1653600,1860300,2067000,2273700
