plant,Brussel Sprouts
variant_title,(5x) Neon Brussel Sprouts ALL Damage Numbers
multiplier,5.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,48750,73125,97500,121875,146250,170625,195000,219375,243750,268125
1.1,53625,80437.5,107250,134062.5,160875,187687.5,214500,241312.5,268125,294937.5
1.2,58500,87750,117000,146250,175500,204750,234000,263250,292500,321750
1.3,63375,95062.5,126750,158437.5,190125,221812.5,253500,285187.5,316875,348562.5
1.4,68250,102375,136500,170625,204750,238875,273000,307125,341250,375375
1.5,73125,109687.5,146250,182812.5,219375,255937.5,292500,329062.5,365625,402187.5
1.6,78000,117000,156000,195000,234000,273000,312000,351000,390000,429000
1.7,82875,124312.5,165750,207187.5,248625,290062.5,331500,372937.5,414375,455812.5
1.8,87750,131625,175500,219375,263250,307125,351000,394875,438750,482625
1.9,92625,138937.5,185250,231562.5,277875,324187.5,370500,416812.5,463125,509437.5
2,97500,146250,195000,243750,292500,341250,390000,438750,487500,536250
2.1,102375,153562.5,204750,255937.5,307125,358312.5,409500,460687.5,511875,563062.5
2.2,107250,160875,214500,268125,321750,375375,429000,482625,536250,589875
2.3,112125,168187.5,224250,280312.5,336375,392437.5,448500,504562.5,560625,616687.5
2.4,117000,175500,234000,292500,351000,409500,468000,526500,585000,643500
2.5,121875,182812.5,243750,304687.5,365625,426562.5,487500,548437.5,609375,670312.5
2.6,126750,190125,253500,316875,380250,443625,507000,570375,633750,697125
2.7,131625,197437.5,263250,329062.5,394875,460687.5,526500,592312.5,658125,723937.5
2.8,136500,204750,273000,341250,409500,477750,546000,614250,682500,750750
2.9,141375,212062.5,282750,353437.5,424125,494812.5,565500,636187.5,706875,777562.5
3,146250,219375,292500,365625,438750,511875,585000,658125,731250,804375
3.1,151125,226687.5,302250,377812.5,453375,528937.5,604500,680062.5,755625,831187.5
3.2,156000,234000,312000,390000,468000,546000,624000,702000,780000,858000
3.3,160875,241312.5,321750,402187.5,482625,563062.5,643500,723937.5,804375,884812.5
3.4,165750,248625,331500,414375,497250,580125,663000,745875,828750,911625
3.5,170625,255937.5,341250,426562.5,511875,597187.5,682500,767812.5,853125,938437.5
3.6,175500,263250,351000,438750,526500,614250,702000,789750,877500,965250
3.7,180375,270562.5,360750,450937.5,541125,631312.5,721500,811687.5,901875,992062.5
3.8,185250,277875,370500,463125,555750,648375,741000,833625,926250,1018875
3.9,190125,285187.5,380250,475312.5,570375,665437.5,760500,855562.5,950625,1045687.5
4,195000,292500,390000,487500,585000,682500,780000,877500,975000,1072500
