plant,Cactus
variant_title,(3x) Diamond Cactus ALL Damage Numbers
multiplier,3.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,30,45,60,75,90,105,120,135,150,165
1.1,33,49.5,66,82.5,99,115.5,132,148.5,165,181.5
1.2,36,54,72,90,108,126,144,162,180,198
1.3,39,58.5,78,97.5,117,136.5,156,175.5,195,214.5
1.4,42,63,84,105,126,147,168,189,210,231
1.5,45,67.5,90,112.5,135,157.5,180,202.5,225,247.5
1.6,48,72,96,120,144,168,192,216,240,264
1.7,51,76.5,102,127.5,153,178.5,204,229.5,255,280.5
1.8,54,81,108,135,162,189,216,243,270,297
1.9,57,85.5,114,142.5,171,199.5,228,256.5,285,313.5
2,60,90,120,150,180,210,240,270,300,330
2.1,63,94.5,126,157.5,189,220.5,252,283.5,315,346.5
2.2,66,99,132,165,198,231,264,297,330,363
2.3,69,103.5,138,172.5,207,241.5,276,310.5,345,379.5
2.4,72,108,144,180,216,252,288,324,360,396
2.5,75,112.5,150,187.5,225,262.5,300,337.5,375,412.5
2.6,78,117,156,195,234,273,312,351,390,429
2.7,81,121.5,162,202.5,243,283.5,324,364.5,405,445.5
2.8,84,126,168,210,252,294,336,378,420,462
2.9,87,130.5,174,217.5,261,304.5,348,391.5,435,478.5
3,90,135,180,225,270,315,360,405,450,495
3.1,93,139.5,186,232.5,279,325.5,372,418.5,465,511.5
3.2,96,144,192,240,288,336,384,432,480,528
3.3,99,148.5,198,247.5,297,346.5,396,445.5,495,544.5
3.4,102,153,204,255,306,357,408,459,510,561
3.5,105,157.5,210,262.5,315,367.5,420,472.5,525,577.5
3.6,108,162,216,270,324,378,432,486,540,594
3.7,111,166.5,222,277.5,333,388.5,444,499.5,555,610.5
3.8,114,171,228,285,342,399,456,513,570,627
3.9,117,175.5,234,292.5,351,409.5,468,526.5,585,643.5
4,120,180,240,300,360,420,480,540,600,660
4.1,123,184.5,246,307.5,369,430.5,492,553.5,615,676.5
4.2,126,189,252,315,378,441,504,567,630,693
4.3,129,193.5,258,322.5,387,451.5,516,580.5,645,709.5
4.4,132,198,264,330,396,462,528,594,660,726
