plant,Carnivorous Plant
variant_title,(1x) Carnivorous Plant ALL Damage Numbers
multiplier,1.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,2500.0,3750,5000,6250,7500,8750,10000,11250,12500,13750
1.1,2750,4125,5500,6875,8250,9625,11000,12375,13750,15125
1.2,3000,4500,6000,7500,9000,10500,12000,13500,15000,16500
1.3,3250,4875,6500,8125,9750,11375,13000,14625,16250,17875
1.4,3500,5250,7000,8750,10500,12250,14000,15750,17500,19250
1.5,3750,5625,7500,9375,11250,13125,15000,16875,18750,20625
1.6,4000,6000,8000,10000,12000,14000,16000,18000,20000,22000
1.7,4250,6375,8500,10625,12750,14875,17000,19125,21250,23375
1.8,4500,6750,9000,11250,13500,15750,18000,20250,22500,24750
1.9,4750,7125,9500,11875,14250,16625,19000,21375,23750,26125
2,5000,7500,10000,12500,15000,17500,20000,22500,25000,27500
2.1,5250,7875,10500,13125,15750,18375,21000,23625,26250,28875
2.2,5500,8250,11000,13750,16500,19250,22000,24750,27500,30250
2.3,5750,8625,11500,14375,17250,20125,23000,25875,28750,31625
2.4,6000,9000,12000,15000,18000,21000,24000,27000,30000,33000
2.5,6250,9375,12500,15625,18750,21875,25000,28125,31250,34375
2.6,6500,9750,13000,16250,19500,22750,26000,29250,32500,35750
2.7,6750,10125,13500,16875,20250,23625,27000,30375,33750,37125
2.8,7000,10500,14000,17500,21000,24500,28000,31500,35000,38500
2.9,7250,10875,14500,18125,21750,25375,29000,32625,36250,39875
3,7500,11250,15000,18750,22500,26250,30000,33750,37500,41250
3.1,7750,11625,15500,19375,23250,27125,31000,34875,38750,42625
3.2,8000,12000,16000,20000,24000,28000,32000,36000,40000,44000
3.3,8250,12375,16500,20625,24750,28875,33000,37125,41250,45375
3.4,8500,12750,17000,21250,25500,29750,34000,38250,42500,46750
3.5,8750,13125,17500,21875,26250,30625,35000,39375,43750,48125
3.6,9000,13500,18000,22500,27000,31500,36000,40500,45000,49500
3.7,9250,13875,18500,23125,27750,32375,37000,41625,46250,50875
3.8,9500,14250,19000,23750,28500,33250,38000,42750,47500,52250
3.9,9750,14625,19500,24375,29250,34125,39000,43875,48750,53625
4,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000
4.1,10250,15375,20500,25625,30750,35875,41000,46125,51250,56375
4.2,10500,15750,21000,26250,31500,36750,42000,47250,52500,57750
4.3,10750,16125,21500,26875,32250,37625,43000,48375,53750,59125
4.4,11000,16500,22000,27500,33000,38500,44000,49500,55000,60500
4.5,11250,16875,22500,28125,33750,39375,45000,50625,56250,61875
4.6,11500,17250,23000,28750,34500,40250,46000,51750,57500,63250
4.7,11750,17625,23500,29375,35250,41125,47000,52875,58750,64625
4.8,12000,18000,24000,30000,36000,42000,48000,54000,60000,66000
4.9,12250,18375,24500,30625,36750,42875,49000,55125,61250,67375
5,12500,18750,25000,31250,37500,43750,50000,56250,62500,68750
5.1,12750,19125,25500,31875,38250,44625,51000,57375,63750,70125
5.2,13000,19500,26000,32500,39000,45500,52000,58500,65000,71500
5.3,13250,19875,26500,33125,39750,46375,53000,59625,66250,72875
5.4,13500,20250,27000,33750,40500,47250,54000,60750,67500,74250
5.5,13750,20625,27500,34375,41250,48125,55000,61875,68750,75625
5.6,14000,21000,28000,35000,42000,49000,56000,63000,70000,77000
5.7,14250,21375,28500,35625,42750,49875,57000,64125,71250,78375
5.8,14500,21750,29000,36250,43500,50750,58000,65250,72500,79750
5.9,14750,22125,29500,36875,44250,51625,59000,66375,73750,81125
6,15000,22500,30000,37500,45000,52500,60000,67500,75000,82500
6.1,15250,22875,30500,38125,45750,53375,61000,68625,76250,83875
6.2,15500,23250,31000,38750,46500,54250,62000,69750,77500,85250
6.3,15750,23625,31500,39375,47250,55125,63000,70875,78750,86625
6.4,16000,24000,32000,40000,48000,56000,64000,72000,80000,88000
6.5,16250,24375,32500,40625,48750,56875,65000,73125,81250,89375
6.6,16500,24750,33000,41250,49500,57750,66000,74250,82500,90750
6.7,16750,25125,33500,41875,50250,58625,67000,75375,83750,92125
6.8,17000,25500,34000,42500,51000,59500,68000,76500,85000,93500
6.9,17250,25875,34500,43125,51750,60375,69000,77625,86250,94875
7,17500,26250,35000,43750,52500,61250,70000,78750,87500,96250
7.1,17750,26625,35500,44375,53250,62125,71000,79875,88750,97625
7.2,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000
7.3,18250,27375,36500,45625,54750,63875,73000,82125,91250,100375
7.4,18500,27750,37000,46250,55500,64750,74000,83250,92500,101750
7.5,18750,28125,37500,46875,56250,65625,75000,84375,93750,103125
7.6,19000,28500,38000,47500,57000,66500,76000,85500,95000,104500
7.7,19250,28875,38500,48125,57750,67375,77000,86625,96250,105875
7.8,19500,29250,39000,48750,58500,68250,78000,87750,97500,107250
7.9,19750,29625,39500,49375,59250,69125,79000,88875,98750,108625
8,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000
8.1,20250,30375,40500,50625,60750,70875,81000,91125,101250,111375
8.2,20500,30750,41000,51250,61500,71750,82000,92250,102500,112750
8.3,20750,31125,41500,51875,62250,72625,83000,93375,103750,114125
8.4,21000,31500,42000,52500,63000,73500,84000,94500,105000,115500
8.5,21250,31875,42500,53125,63750,74375,85000,95625,106250,116875
