plant,Carnivorous Plant
variant_title,3.15x Fusion Mutation Carnivorous Plant ALL Damage Numbers
multiplier,3.15

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,7875,11812.5,15750,19687.5,23625,27562.5,31500,35437.5,39375,43312.5
1.1,8662.5,12993.75,17325,21656.25,25987.5,30318.75,34650,38981.25,43312.5,47643.75
1.2,9450,14175,18900,23625,28350,33075,37800,42525,47250,51975
1.3,10237.5,15356.25,20475,25593.75,30712.5,35831.25,40950,46068.75,51187.5,56306.25
1.4,11025,16537.5,22050,27562.5,33075,38587.5,44100,49612.5,55125,60637.5
1.5,11812.5,17718.75,23625,29531.25,35437.5,41343.75,47250,53156.25,59062.5,64968.75
1.6,12600,18900,25200,31500,37800,44100,50400,56700,63000,69300
1.7,13387.5,20081.25,26775,33468.75,40162.5,46856.25,53550,60243.75,66937.5,73631.25
1.8,14175,21262.5,28350,35437.5,42525,49612.5,56700,63787.5,70875,77962.5
1.9,14962.5,22443.75,29925,37406.25,44887.5,52368.75,59850,67331.25,74812.5,82293.75
2,15750,23625,31500,39375,47250,55125,63000,70875,78750,86625
2.1,16537.5,24806.25,33075,41343.75,49612.5,57881.25,66150,74418.75,82687.5,90956.25
2.2,17325,25987.5,34650,43312.5,51975,60637.5,69300,77962.5,86625,95287.5
2.3,18112.5,27168.75,36225,45281.25,54337.5,63393.75,72450,81506.25,90562.5,99618.75
2.4,18900,28350,37800,47250,56700,66150,75600,85050,94500,103950
2.5,19687.5,29531.25,39375,49218.75,59062.5,68906.25,78750,88593.75,98437.5,108281.25
2.6,20475,30712.5,40950,51187.5,61425,71662.5,81900,92137.5,102375,112612.5
2.7,21262.5,31893.75,42525,53156.25,63787.5,74418.75,85050,95681.25,106312.5,116943.75
2.8,22050,33075,44100,55125,66150,77175,88200,99225,110250,121275
2.9,22837.5,34256.25,45675,57093.75,68512.5,79931.25,91350,102768.75,114187.5,125606.25
3,23625,35437.5,47250,59062.5,70875,82687.5,94500,106312.5,118125,129937.5
3.1,24412.5,36618.75,48825,61031.25,73237.5,85443.75,97650,109856.25,122062.5,134268.75
3.2,25200,37800,50400,63000,75600,88200,100800,113400,126000,138600
3.3,25987.5,38981.25,51975,64968.75,77962.5,90956.25,103950,116943.75,129937.5,142931.25
3.4,26775,40162.5,53550,66937.5,80325,93712.5,107100,120487.5,133875,147262.5
3.5,27562.5,41343.75,55125,68906.25,82687.5,96468.75,110250,124031.25,137812.5,151593.75
3.6,28350,42525,56700,70875,85050,99225,113400,127575,141750,155925
3.7,29137.5,43706.25,58275,72843.75,87412.5,101981.25,116550,131118.75,145687.5,160256.25
3.8,29925,44887.5,59850,74812.5,89775,104737.5,119700,134662.5,149625,164587.5
3.9,30712.5,46068.75,61425,76781.25,92137.5,107493.75,122850,138206.25,153562.5,168918.75
4,31500,47250,63000,78750,94500,110250,126000,141750,157500,173250
4.1,32287.5,48431.25,64575,80718.75,96862.5,113006.25,129150,145293.75,161437.5,177581.25
4.2,33075,49612.5,66150,82687.5,99225,115762.5,132300,148837.5,165375,181912.5
4.3,33862.5,50793.75,67725,84656.25,101587.5,118518.75,135450,152381.25,169312.5,186243.75
4.4,34650,51975,69300,86625,103950,121275,138600,155925,173250,190575
4.5,35437.5,53156.25,70875,88593.75,106312.5,124031.25,141750,159468.75,177187.5,194906.25
4.6,36225,54337.5,72450,90562.5,108675,126787.5,144900,163012.5,181125,199237.5
4.7,37012.5,55518.75,74025,92531.25,111037.5,129543.75,148050,166556.25,185062.5,203568.75
4.8,37800,56700,75600,94500,113400,132300,151200,170100,189000,207900
4.9,38587.5,57881.25,77175,96468.75,115762.5,135056.25,154350,173643.75,192937.5,212231.25
5,39375,59062.5,78750,98437.5,118125,137812.5,157500,177187.5,196875,216562.5
5.1,40162.5,60243.75,80325,100406.25,120487.5,140568.75,160650,180731.25,200812.5,220893.75
5.2,40950,61425,81900,102375,122850,143325,163800,184275,204750,225225
5.3,41737.5,62606.25,83475,104343.75,125212.5,146081.25,166950,187818.75,208687.5,229556.25
5.4,42525,63787.5,85050,106312.5,127575,148837.5,170100,191362.5,212625,233887.5
5.5,43312.5,64968.75,86625,108281.25,129937.5,151593.75,173250,194906.25,216562.5,238218.75
5.6,44100,66150,88200,110250,132300,154350,176400,198450,220500,242550
5.7,44887.5,67331.25,89775,112218.75,134662.5,157106.25,179550,201993.75,224437.5,246881.25
5.8,45675,68512.5,91350,114187.5,137025,159862.5,182700,205537.5,228375,251212.5
5.9,46462.5,69693.75,92925,116156.25,139387.5,162618.75,185850,209081.25,232312.5,255543.75
6,47250,70875,94500,118125,141750,165375,189000,212625,236250,259875
6.1,48037.5,72056.25,96075,120093.75,144112.5,168131.25,192150,216168.75,240187.5,264206.25
6.2,48825,73237.5,97650,122062.5,146475,170887.5,195300,219712.5,244125,268537.5
6.3,49612.5,74418.75,99225,124031.25,148837.5,173643.75,198450,223256.25,248062.5,272868.75
6.4,50400,75600,100800,126000,151200,176400,201600,226800,252000,277200
6.5,51187.5,76781.25,102375,127968.75,153562.5,179156.25,204750,230343.75,255937.5,281531.25
6.6,51975,77962.5,103950,129937.5,155925,181912.5,207900,233887.5,259875,285862.5
6.7,52762.5,79143.75,105525,131906.25,158287.5,184668.75,211050,237431.25,263812.5,290193.75
6.8,53550,80325,107100,133875,160650,187425,214200,240975,267750,294525
6.9,54337.5,81506.25,108675,135843.75,163012.5,190181.25,217350,244518.75,271687.5,298856.25
7,55125,82687.5,110250,137812.5,165375,192937.5,220500,248062.5,275625,303187.5
7.1,55912.5,83868.75,111825,139781.25,167737.5,195693.75,223650,251606.25,279562.5,307518.75
7.2,56700,85050,113400,141750,170100,198450,226800,255150,283500,311850
7.3,57487.5,86231.25,114975,143718.75,172462.5,201206.25,229950,258693.75,287437.5,316181.25
7.4,58275,87412.5,116550,145687.5,174825,203962.5,233100,262237.5,291375,320512.5
7.5,59062.5,88593.75,118125,147656.25,177187.5,206718.75,236250,265781.25,295312.5,324843.75
7.6,59850,89775,119700,149625,179550,209475,239400,269325,299250,329175
7.7,60637.5,90956.25,121275,151593.75,181912.5,212231.25,242550,272868.75,303187.5,333506.25
7.8,61425,92137.5,122850,153562.5,184275,214987.5,245700,276412.5,307125,337837.5
7.9,62212.5,93318.75,124425,155531.25,186637.5,217743.75,248850,279956.25,311062.5,342168.75
8,63000,94500,126000,157500,189000,220500,252000,283500,315000,346500
8.1,63787.5,95681.25,127575,159468.75,191362.5,223256.25,255150,287043.75,318937.5,350831.25
8.2,64575,96862.5,129150,161437.5,193725,226012.5,258300,290587.5,322875,355162.5
8.3,65362.5,98043.75,130725,163406.25,196087.5,228768.75,261450,294131.25,326812.5,359493.75
8.4,66150,99225,132300,165375,198450,231525,264600,297675,330750,363825
8.5,66937.5,100406.25,133875,167343.75,200812.5,234281.25,267750,301218.75,334687.5,368156.25
8.6,67725,101587.5,135450,169312.5,203175,237037.5,270900,304762.5,338625,372487.5
8.7,68512.5,102768.75,137025,171281.25,205537.5,239793.75,274050,308306.25,342562.5,376818.75
8.8,69300,103950,138600,173250,207900,242550,277200,311850,346500,381150
8.9,70087.5,105131.25,140175,175218.75,210262.5,245306.25,280350,315393.75,350437.5,385481.25
9,70875,106312.5,141750,177187.5,212625,248062.5,283500,318937.5,354375,389812.5
9.1,71662.5,107493.75,143325,179156.25,214987.5,250818.75,286650,322481.25,358312.5,394143.75
9.2,72450,108675,144900,181125,217350,253575,289800,326025,362250,398475
9.3,73237.5,109856.25,146475,183093.75,219712.5,256331.25,292950,329568.75,366187.5,402806.25
9.4,74025,111037.5,148050,185062.5,222075,259087.5,296100,333112.5,370125,407137.5
9.5,74812.5,112218.75,149625,187031.25,224437.5,261843.75,299250,336656.25,374062.5,411468.75
9.6,75600,113400,151200,189000,226800,264600,302400,340200,378000,415800
9.7,76387.5,114581.25,152775,190968.75,229162.5,267356.25,305550,343743.75,381937.5,420131.25
9.8,77175,115762.5,154350,192937.5,231525,270112.5,308700,347287.5,385875,424462.5
9.9,77962.5,116943.75,155925,194906.25,233887.5,272868.75,311850,350831.25,389812.5,428793.75
10,78750,118125,157500,196875,236250,275625,315000,354375,393750,433125
10.1,79537.5,119306.25,159075,198843.75,238612.5,278381.25,318150,357918.75,397687.5,437456.25
10.2,80325,120487.5,160650,200812.5,240975,281137.5,321300,361462.5,401625,441787.5
10.3,81112.5,121668.75,162225,202781.25,243337.5,283893.75,324450,365006.25,405562.5,446118.75
10.4,81900,122850,163800,204750,245700,286650,327600,368550,409500,450450
10.5,82687.5,124031.25,165375,206718.75,248062.5,289406.25,330750,372093.75,413437.5,454781.25
10.6,83475,125212.5,166950,208687.5,250425,292162.5,333900,375637.5,417375,459112.5
10.7,84262.5,126393.75,168525,210656.25,252787.5,294918.75,337050,379181.25,421312.5,463443.75
10.8,85050,127575,170100,212625,255150,297675,340200,382725,425250,467775
10.9,85837.5,128756.25,171675,214593.75,257512.5,300431.25,343350,386268.75,429187.5,472106.25
11,86625,129937.5,173250,216562.5,259875,303187.5,346500,389812.5,433125,476437.5
11.1,87412.5,131118.75,174825,218531.25,262237.5,305943.75,349650,393356.25,437062.5,480768.75
