plant,Carnivorous Plant
variant_title,(4x) Ruby/Frozen Carnivorous Plant ALL Damage Numbers
multiplier,4.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000
1.1,11000,16500,22000,27500,33000,38500,44000,49500,55000,60500
1.2,12000,18000,24000,30000,36000,42000,48000,54000,60000,66000
1.3,13000,19500,26000,32500,39000,45500,52000,58500,65000,71500
1.4,14000,21000,28000,35000,42000,49000,56000,63000,70000,77000
1.5,15000,22500,30000,37500,45000,52500,60000,67500,75000,82500
1.6,16000,24000,32000,40000,48000,56000,64000,72000,80000,88000
1.7,17000,25500,34000,42500,51000,59500,68000,76500,85000,93500
1.8,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000
1.9,19000,28500,38000,47500,57000,66500,76000,85500,95000,104500
2,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000
2.1,21000,31500,42000,52500,63000,73500,84000,94500,105000,115500
2.2,22000,33000,44000,55000,66000,77000,88000,99000,110000,121000
2.3,23000,34500,46000,57500,69000,80500,92000,103500,115000,126500
2.4,24000,36000,48000,60000,72000,84000,96000,108000,120000,132000
2.5,25000,37500,50000,62500,75000,87500,100000,112500,125000,137500
2.6,26000,39000,52000,65000,78000,91000,104000,117000,130000,143000
2.7,27000,40500,54000,67500,81000,94500,108000,121500,135000,148500
2.8,28000,42000,56000,70000,84000,98000,112000,126000,140000,154000
2.9,29000,43500,58000,72500,87000,101500,116000,130500,145000,159500
3,30000,45000,60000,75000,90000,105000,120000,135000,150000,165000
3.1,31000,46500,62000,77500,93000,108500,124000,139500,155000,170500
3.2,32000,48000,64000,80000,96000,112000,128000,144000,160000,176000
3.3,33000,49500,66000,82500,99000,115500,132000,148500,165000,181500
3.4,34000,51000,68000,85000,102000,119000,136000,153000,170000,187000
3.5,35000,52500,70000,87500,105000,122500,140000,157500,175000,192500
3.6,36000,54000,72000,90000,108000,126000,144000,162000,180000,198000
3.7,37000,55500,74000,92500,111000,129500,148000,166500,185000,203500
3.8,38000,57000,76000,95000,114000,133000,152000,171000,190000,209000
3.9,39000,58500,78000,97500,117000,136500,156000,175500,195000,214500
4,40000,60000,80000,100000,120000,140000,160000,180000,200000,220000
4.1,41000,61500,82000,102500,123000,143500,164000,184500,205000,225500
4.2,42000,63000,84000,105000,126000,147000,168000,189000,210000,231000
