plant,Cocotank
variant_title,(2x) Gold/Foggy/Electrified/Scorched Cocotank ALL Damage Numbers
multiplier,2.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,4000,6000,8000,10000,12000,14000,16000,18000,20000,22000
1.1,4400,6600,8800,11000,13200,15400,17600,19800,22000,24200
1.2,4800,7200,9600,12000,14400,16800,19200,21600,24000,26400
1.3,5200,7800,10400,13000,15600,18200,20800,23400,26000,28600
1.4,5600,8400,11200,14000,16800,19600,22400,25200,28000,30800
1.5,6000,9000,12000,15000,18000,21000,24000,27000,30000,33000
1.6,6400,9600,12800,16000,19200,22400,25600,28800,32000,35200
1.7,6800,10200,13600,17000,20400,23800,27200,30600,34000,37400
1.8,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600
1.9,7600,11400,15200,19000,22800,26600,30400,34200,38000,41800
2,8000,12000,16000,20000,24000,28000,32000,36000,40000,44000
2.1,8400,12600,16800,21000,25200,29400,33600,37800,42000,46200
2.2,8800,13200,17600,22000,26400,30800,35200,39600,44000,48400
2.3,9200,13800,18400,23000,27600,32200,36800,41400,46000,50600
2.4,9600,14400,19200,24000,28800,33600,38400,43200,48000,52800
2.5,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000
2.6,10400,15600,20800,26000,31200,36400,41600,46800,52000,57200
2.7,10800,16200,21600,27000,32400,37800,43200,48600,54000,59400
2.8,11200,16800,22400,28000,33600,39200,44800,50400,56000,61600
2.9,11600,17400,23200,29000,34800,40600,46400,52200,58000,63800
3,12000,18000,24000,30000,36000,42000,48000,54000,60000,66000
3.1,12400,18600,24800,31000,37200,43400,49600,55800,62000,68200
3.2,12800,19200,25600,32000,38400,44800,51200,57600,64000,70400
3.3,13200,19800,26400,33000,39600,46200,52800,59400,66000,72600
3.4,13600,20400,27200,34000,40800,47600,54400,61200,68000,74800
3.5,14000,21000,28000,35000,42000,49000,56000,63000,70000,77000
3.6,14400,21600,28800,36000,43200,50400,57600,64800,72000,79200
3.7,14800,22200,29600,37000,44400,51800,59200,66600,74000,81400
3.8,15200,22800,30400,38000,45600,53200,60800,68400,76000,83600
3.9,15600,23400,31200,39000,46800,54600,62400,70200,78000,85800
4,16000,24000,32000,40000,48000,56000,64000,72000,80000,88000
4.1,16400,24600,32800,41000,49200,57400,65600,73800,82000,90200
4.2,16800,25200,33600,42000,50400,58800,67200,75600,84000,92400
4.3,17200,25800,34400,43000,51600,60200,68800,77400,86000,94600
4.4,17600,26400,35200,44000,52800,61600,70400,79200,88000,96800
4.5,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000
4.6,18400,27600,36800,46000,55200,64400,73600,82800,92000,101200
4.7,18800,28200,37600,47000,56400,65800,75200,84600,94000,103400
4.8,19200,28800,38400,48000,57600,67200,76800,86400,96000,105600
4.9,19600,29400,39200,49000,58800,68600,78400,88200,98000,107800
5,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000
5.1,20400,30600,40800,51000,61200,71400,81600,91800,102000,112200
5.2,20800,31200,41600,52000,62400,72800,83200,93600,104000,114400
5.3,21200,31800,42400,53000,63600,74200,84800,95400,106000,116600
5.4,21600,32400,43200,54000,64800,75600,86400,97200,108000,118800
5.5,22000,33000,44000,55000,66000,77000,88000,99000,110000,121000
5.6,22400,33600,44800,56000,67200,78400,89600,100800,112000,123200
5.7,22800,34200,45600,57000,68400,79800,91200,102600,114000,125400
5.8,23200,34800,46400,58000,69600,81200,92800,104400,116000,127600
5.9,23600,35400,47200,59000,70800,82600,94400,106200,118000,129800
6,24000,36000,48000,60000,72000,84000,96000,108000,120000,132000
6.1,24400,36600,48800,61000,73200,85400,97600,109800,122000,134200
6.2,24800,37200,49600,62000,74400,86800,99200,111600,124000,136400
6.3,25200,37800,50400,63000,75600,88200,100800,113400,126000,138600
