plant,Cocotank
variant_title,(4x) Ruby/Frozen Cocotank ALL Damage Numbers
multiplier,4.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,8000,12000,16000,20000,24000,28000,32000,36000,40000,44000
1.1,8800,13200,17600,22000,26400,30800,35200,39600,44000,48400
1.2,9600,14400,19200,24000,28800,33600,38400,43200,48000,52800
1.3,10400,15600,20800,26000,31200,36400,41600,46800,52000,57200
1.4,11200,16800,22400,28000,33600,39200,44800,50400,56000,61600
1.5,12000,18000,24000,30000,36000,42000,48000,54000,60000,66000
1.6,12800,19200,25600,32000,38400,44800,51200,57600,64000,70400
1.7,13600,20400,27200,34000,40800,47600,54400,61200,68000,74800
1.8,14400,21600,28800,36000,43200,50400,57600,64800,72000,79200
1.9,15200,22800,30400,38000,45600,53200,60800,68400,76000,83600
2,16000,24000,32000,40000,48000,56000,64000,72000,80000,88000
2.1,16800,25200,33600,42000,50400,58800,67200,75600,84000,92400
2.2,17600,26400,35200,44000,52800,61600,70400,79200,88000,96800
2.3,18400,27600,36800,46000,55200,64400,73600,82800,92000,101200
2.4,19200,28800,38400,48000,57600,67200,76800,86400,96000,105600
2.5,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000
2.6,20800,31200,41600,52000,62400,72800,83200,93600,104000,114400
2.7,21600,32400,43200,54000,64800,75600,86400,97200,108000,118800
2.8,22400,33600,44800,56000,67200,78400,89600,100800,112000,123200
2.9,23200,34800,46400,58000,69600,81200,92800,104400,116000,127600
3,24000,36000,48000,60000,72000,84000,96000,108000,120000,132000
3.1,24800,37200,49600,62000,74400,86800,99200,111600,124000,136400
3.2,25600,38400,51200,64000,76800,89600,102400,115200,128000,140800
3.3,26400,39600,52800,66000,79200,92400,105600,118800,132000,145200
3.4,27200,40800,54400,68000,81600,95200,108800,122400,136000,149600
3.5,28000,42000,56000,70000,84000,98000,112000,126000,140000,154000
3.6,28800,43200,57600,72000,86400,100800,115200,129600,144000,158400
3.7,29600,44400,59200,74000,88800,103600,118400,133200,148000,162800
3.8,30400,45600,60800,76000,91200,106400,121600,136800,152000,167200
3.9,31200,46800,62400,78000,93600,109200,124800,140400,156000,171600
4,32000,48000,64000,80000,96000,112000,128000,144000,160000,176000
4.1,32800,49200,65600,82000,98400,114800,131200,147600,164000,180400
4.2,33600,50400,67200,84000,100800,117600,134400,151200,168000,184800
4.3,34400,51600,68800,86000,103200,120400,137600,154800,172000,189200
4.4,35200,52800,70400,88000,105600,123200,140800,158400,176000,193600
4.5,36000,54000,72000,90000,108000,126000,144000,162000,180000,198000
4.6,36800,55200,73600,92000,110400,128800,147200,165600,184000,202400
4.7,37600,56400,75200,94000,112800,131600,150400,169200,188000,206800
4.8,38400,57600,76800,96000,115200,134400,153600,172800,192000,211200
4.9,39200,58800,78400,98000,117600,137200,156800,176400,196000,215600
5,40000,60000,80000,100000,120000,140000,160000,180000,200000,220000
5.1,40800,61200,81600,102000,122400,142800,163200,183600,204000,224400
5.2,41600,62400,83200,104000,124800,145600,166400,187200,208000,228800
5.3,42400,63600,84800,106000,127200,148400,169600,190800,212000,233200
5.4,43200,64800,86400,108000,129600,151200,172800,194400,216000,237600
5.5,44000,66000,88000,110000,132000,154000,176000,198000,220000,242000
5.6,44800,67200,89600,112000,134400,156800,179200,201600,224000,246400
5.7,45600,68400,91200,114000,136800,159600,182400,205200,228000,250800
5.8,46400,69600,92800,116000,139200,162400,185600,208800,232000,255200
5.9,47200,70800,94400,118000,141600,165200,188800,212400,236000,259600
6,48000,72000,96000,120000,144000,168000,192000,216000,240000,264000
6.1,48800,73200,97600,122000,146400,170800,195200,219600,244000,268400
6.2,49600,74400,99200,124000,148800,173600,198400,223200,248000,272800
6.3,50400,75600,100800,126000,151200,176400,201600,226800,252000,277200
6.4,51200,76800,102400,128000,153600,179200,204800,230400,256000,281600
6.5,52000,78000,104000,130000,156000,182000,208000,234000,260000,286000
6.6,52800,79200,105600,132000,158400,184800,211200,237600,264000,290400
6.7,53600,80400,107200,134000,160800,187600,214400,241200,268000,294800
6.8,54400,81600,108800,136000,163200,190400,217600,244800,272000,299200
6.9,55200,82800,110400,138000,165600,193200,220800,248400,276000,303600
7,56000,84000,112000,140000,168000,196000,224000,252000,280000,308000
7.1,56800,85200,113600,142000,170400,198800,227200,255600,284000,312400
7.2,57600,86400,115200,144000,172800,201600,230400,259200,288000,316800
7.3,58400,87600,116800,146000,175200,204400,233600,262800,292000,321200
7.4,59200,88800,118400,148000,177600,207200,236800,266400,296000,325600
7.5,60000,90000,120000,150000,180000,210000,240000,270000,300000,330000
7.6,60800,91200,121600,152000,182400,212800,243200,273600,304000,334400
7.7,61600,92400,123200,154000,184800,215600,246400,277200,308000,338800
7.8,62400,93600,124800,156000,187200,218400,249600,280800,312000,343200
7.9,63200,94800,126400,158000,189600,221200,252800,284400,316000,347600
8,64000,96000,128000,160000,192000,224000,256000,288000,320000,352000
8.1,64800,97200,129600,162000,194400,226800,259200,291600,324000,356400
8.2,65600,98400,131200,164000,196800,229600,262400,295200,328000,360800
8.3,66400,99600,132800,166000,199200,232400,265600,298800,332000,365200
8.4,67200,100800,134400,168000,201600,235200,268800,302400,336000,369600
8.5,68000,102000,136000,170000,204000,238000,272000,306000,340000,374000
8.6,68800,103200,137600,172000,206400,240800,275200,309600,344000,378400
8.7,69600,104400,139200,174000,208800,243600,278400,313200,348000,382800
8.8,70400,105600,140800,176000,211200,246400,281600,316800,352000,387200
8.9,71200,106800,142400,178000,213600,249200,284800,320400,356000,391600
9,72000,108000,144000,180000,216000,252000,288000,324000,360000,396000
9.1,72800,109200,145600,182000,218400,254800,291200,327600,364000,400400
9.2,73600,110400,147200,184000,220800,257600,294400,331200,368000,404800
9.3,74400,111600,148800,186000,223200,260400,297600,334800,372000,409200
9.4,75200,112800,150400,188000,225600,263200,300800,338400,376000,413600
9.5,76000,114000,152000,190000,228000,266000,304000,342000,380000,418000
9.6,76800,115200,153600,192000,230400,268800,307200,345600,384000,422400
9.7,77600,116400,155200,194000,232800,271600,310400,349200,388000,426800
9.8,78400,117600,156800,196000,235200,274400,313600,352800,392000,431200
9.9,79200,118800,158400,198000,237600,277200,316800,356400,396000,435600
10,80000,120000,160000,200000,240000,280000,320000,360000,400000,440000
10.1,80800,121200,161600,202000,242400,282800,323200,363600,404000,444400
10.2,81600,122400,163200,204000,244800,285600,326400,367200,408000,448800
10.3,82400,123600,164800,206000,247200,288400,329600,370800,412000,453200
10.4,83200,124800,166400,208000,249600,291200,332800,374400,416000,457600
10.5,84000,126000,168000,210000,252000,294000,336000,378000,420000,462000
