plant,Cocotank
variant_title,5.25x Fusion Mutation Cocotank ALL Damage Numbers
multiplier,5.25

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,10500,15750,21000,26250,31500,36750,42000,47250,52500,57750
1.1,11550,17325,23100,28875,34650,40425,46200,51975,57750,63525
1.2,12600,18900,25200,31500,37800,44100,50400,56700,63000,69300
1.3,13650,20475,27300,34125,40950,47775,54600,61425,68250,75075
1.4,14700,22050,29400,36750,44100,51450,58800,66150,73500,80850
1.5,15750,23625,31500,39375,47250,55125,63000,70875,78750,86625
1.6,16800,25200,33600,42000,50400,58800,67200,75600,84000,92400
1.7,17850,26775,35700,44625,53550,62475,71400,80325,89250,98175
1.8,18900,28350,37800,47250,56700,66150,75600,85050,94500,103950
1.9,19950,29925,39900,49875,59850,69825,79800,89775,99750,109725
2,21000,31500,42000,52500,63000,73500,84000,94500,105000,115500
2.1,22050,33075,44100,55125,66150,77175,88200,99225,110250,121275
2.2,23100,34650,46200,57750,69300,80850,92400,103950,115500,127050
2.3,24150,36225,48300,60375,72450,84525,96600,108675,120750,132825
2.4,25200,37800,50400,63000,75600,88200,100800,113400,126000,138600
2.5,26250,39375,52500,65625,78750,91875,105000,118125,131250,144375
2.6,27300,40950,54600,68250,81900,95550,109200,122850,136500,150150
2.7,28350,42525,56700,70875,85050,99225,113400,127575,141750,155925
2.8,29400,44100,58800,73500,88200,102900,117600,132300,147000,161700
2.9,30450,45675,60900,76125,91350,106575,121800,137025,152250,167475
3,31500,47250,63000,78750,94500,110250,126000,141750,157500,173250
3.1,32550,48825,65100,81375,97650,113925,130200,146475,162750,179025
3.2,33600,50400,67200,84000,100800,117600,134400,151200,168000,184800
3.3,34650,51975,69300,86625,103950,121275,138600,155925,173250,190575
3.4,35700,53550,71400,89250,107100,124950,142800,160650,178500,196350
3.5,36750,55125,73500,91875,110250,128625,147000,165375,183750,202125
3.6,37800,56700,75600,94500,113400,132300,151200,170100,189000,207900
3.7,38850,58275,77700,97125,116550,135975,155400,174825,194250,213675
3.8,39900,59850,79800,99750,119700,139650,159600,179550,199500,219450
3.9,40950,61425,81900,102375,122850,143325,163800,184275,204750,225225
4,42000,63000,84000,105000,126000,147000,168000,189000,210000,231000
4.1,43050,64575,86100,107625,129150,150675,172200,193725,215250,236775
4.2,44100,66150,88200,110250,132300,154350,176400,198450,220500,242550
4.3,45150,67725,90300,112875,135450,158025,180600,203175,225750,248325
4.4,46200,69300,92400,115500,138600,161700,184800,207900,231000,254100
4.5,47250,70875,94500,118125,141750,165375,189000,212625,236250,259875
4.6,48300,72450,96600,120750,144900,169050,193200,217350,241500,265650
4.7,49350,74025,98700,123375,148050,172725,197400,222075,246750,271425
4.8,50400,75600,100800,126000,151200,176400,201600,226800,252000,277200
4.9,51450,77175,102900,128625,154350,180075,205800,231525,257250,282975
5,52500,78750,105000,131250,157500,183750,210000,236250,262500,288750
5.1,53550,80325,107100,133875,160650,187425,214200,240975,267750,294525
5.2,54600,81900,109200,136500,163800,191100,218400,245700,273000,300300
5.3,55650,83475,111300,139125,166950,194775,222600,250425,278250,306075
5.4,56700,85050,113400,141750,170100,198450,226800,255150,283500,311850
5.5,57750,86625,115500,144375,173250,202125,231000,259875,288750,317625
5.6,58800,88200,117600,147000,176400,205800,235200,264600,294000,323400
5.7,59850,89775,119700,149625,179550,209475,239400,269325,299250,329175
5.8,60900,91350,121800,152250,182700,213150,243600,274050,304500,334950
5.9,61950,92925,123900,154875,185850,216825,247800,278775,309750,340725
6,63000,94500,126000,157500,189000,220500,252000,283500,315000,346500
6.1,64050,96075,128100,160125,192150,224175,256200,288225,320250,352275
6.2,65100,97650,130200,162750,195300,227850,260400,292950,325500,358050
6.3,66150,99225,132300,165375,198450,231525,264600,297675,330750,363825
6.4,67200,100800,134400,168000,201600,235200,268800,302400,336000,369600
6.5,68250,102375,136500,170625,204750,238875,273000,307125,341250,375375
6.6,69300,103950,138600,173250,207900,242550,277200,311850,346500,381150
6.7,70350,105525,140700,175875,211050,246225,281400,316575,351750,386925
6.8,71400,107100,142800,178500,214200,249900,285600,321300,357000,392700
6.9,72450,108675,144900,181125,217350,253575,289800,326025,362250,398475
7,73500,110250,147000,183750,220500,257250,294000,330750,367500,404250
7.1,74550,111825,149100,186375,223650,260925,298200,335475,372750,410025
7.2,75600,113400,151200,189000,226800,264600,302400,340200,378000,415800
7.3,76650,114975,153300,191625,229950,268275,306600,344925,383250,421575
7.4,77700,116550,155400,194250,233100,271950,310800,349650,388500,427350
7.5,78750,118125,157500,196875,236250,275625,315000,354375,393750,433125
7.6,79800,119700,159600,199500,239400,279300,319200,359100,399000,438900
7.7,80850,121275,161700,202125,242550,282975,323400,363825,404250,444675
7.8,81900,122850,163800,204750,245700,286650,327600,368550,409500,450450
7.9,82950,124425,165900,207375,248850,290325,331800,373275,414750,456225
8,84000,126000,168000,210000,252000,294000,336000,378000,420000,462000
