plant,Dragonfruit
variant_title,(1x) Dragonfruit ALL Damage Numbers
multiplier,1.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,250.0,375,500,625,750,875,1000,1125,1250,1375
1.1,275,412.5,550,687.5,825,962.5,1100,1237.5,1375,1512.5
1.2,300,450,600,750,900,1050,1200,1350,1500,1650
1.3,325,487.5,650,812.5,975,1137.5,1300,1462.5,1625,1787.5
1.4,350,525,700,875,1050,1225,1400,1575,1750,1925
1.5,375,562.5,750,937.5,1125,1312.5,1500,1687.5,1875,2062.5
1.6,400,600,800,1000,1200,1400,1600,1800,2000,2200
1.7,425,637.5,850,1062.5,1275,1487.5,1700,1912.5,2125,2337.5
1.8,450,675,900,1125,1350,1575,1800,2025,2250,2475
1.9,475,712.5,950,1187.5,1425,1662.5,1900,2137.5,2375,2612.5
2,500,750,1000,1250,1500,1750,2000,2250,2500,2750
2.1,525,787.5,1050,1312.5,1575,1837.5,2100,2362.5,2625,2887.5
2.2,550,825,1100,1375,1650,1925,2200,2475,2750,3025
2.3,575,862.5,1150,1437.5,1725,2012.5,2300,2587.5,2875,3162.5
2.4,600,900,1200,1500,1800,2100,2400,2700,3000,3300
2.5,625,937.5,1250,1562.5,1875,2187.5,2500,2812.5,3125,3437.5
2.6,650,975,1300,1625,1950,2275,2600,2925,3250,3575
2.7,675,1012.5,1350,1687.5,2025,2362.5,2700,3037.5,3375,3712.5
2.8,700,1050,1400,1750,2100,2450,2800,3150,3500,3850
2.9,725,1087.5,1450,1812.5,2175,2537.5,2900,3262.5,3625,3987.5
3,750,1125,1500,1875,2250,2625,3000,3375,3750,4125
3.1,775,1162.5,1550,1937.5,2325,2712.5,3100,3487.5,3875,4262.5
3.2,800,1200,1600,2000,2400,2800,3200,3600,4000,4400
3.3,825,1237.5,1650,2062.5,2475,2887.5,3300,3712.5,4125,4537.5
3.4,850,1275,1700,2125,2550,2975,3400,3825,4250,4675
3.5,875,1312.5,1750,2187.5,2625,3062.5,3500,3937.5,4375,4812.5
3.6,900,1350,1800,2250,2700,3150,3600,4050,4500,4950
3.7,925,1387.5,1850,2312.5,2775,3237.5,3700,4162.5,4625,5087.5
3.8,950,1425,1900,2375,2850,3325,3800,4275,4750,5225
3.9,975,1462.5,1950,2437.5,2925,3412.5,3900,4387.5,4875,5362.5
4,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500
4.1,1025,1537.5,2050,2562.5,3075,3587.5,4100,4612.5,5125,5637.5
4.2,1050,1575,2100,2625,3150,3675,4200,4725,5250,5775
4.3,1075,1612.5,2150,2687.5,3225,3762.5,4300,4837.5,5375,5912.5
4.4,1100,1650,2200,2750,3300,3850,4400,4950,5500,6050
4.5,1125,1687.5,2250,2812.5,3375,3937.5,4500,5062.5,5625,6187.5
4.6,1150,1725,2300,2875,3450,4025,4600,5175,5750,6325
4.7,1175,1762.5,2350,2937.5,3525,4112.5,4700,5287.5,5875,6462.5
4.8,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600
4.9,1225,1837.5,2450,3062.5,3675,4287.5,4900,5512.5,6125,6737.5
5,1250,1875,2500,3125,3750,4375,5000,5625,6250,6875
5.1,1275,1912.5,2550,3187.5,3825,4462.5,5100,5737.5,6375,7012.5
5.2,1300,1950,2600,3250,3900,4550,5200,5850,6500,7150
5.3,1325,1987.5,2650,3312.5,3975,4637.5,5300,5962.5,6625,7287.5
5.4,1350,2025,2700,3375,4050,4725,5400,6075,6750,7425
5.5,1375,2062.5,2750,3437.5,4125,4812.5,5500,6187.5,6875,7562.5
5.6,1400,2100,2800,3500,4200,4900,5600,6300,7000,7700
5.7,1425,2137.5,2850,3562.5,4275,4987.5,5700,6412.5,7125,7837.5
5.8,1450,2175,2900,3625,4350,5075,5800,6525,7250,7975
5.9,1475,2212.5,2950,3687.5,4425,5162.5,5900,6637.5,7375,8112.5
6,1500,2250,3000,3750,4500,5250,6000,6750,7500,8250
6.1,1525,2287.5,3050,3812.5,4575,5337.5,6100,6862.5,7625,8387.5
6.2,1550,2325,3100,3875,4650,5425,6200,6975,7750,8525
6.3,1575,2362.5,3150,3937.5,4725,5512.5,6300,7087.5,7875,8662.5
6.4,1600,2400,3200,4000,4800,5600,6400,7200,8000,8800
6.5,1625,2437.5,3250,4062.5,4875,5687.5,6500,7312.5,8125,8937.5
6.6,1650,2475,3300,4125,4950,5775,6600,7425,8250,9075
6.7,1675,2512.5,3350,4187.5,5025,5862.5,6700,7537.5,8375,9212.5
6.8,1700,2550,3400,4250,5100,5950,6800,7650,8500,9350
6.9,1725,2587.5,3450,4312.5,5175,6037.5,6900,7762.5,8625,9487.5
7,1750,2625,3500,4375,5250,6125,7000,7875,8750,9625
7.1,1775,2662.5,3550,4437.5,5325,6212.5,7100,7987.5,8875,9762.5
7.2,1800,2700,3600,4500,5400,6300,7200,8100,9000,9900
7.3,1825,2737.5,3650,4562.5,5475,6387.5,7300,8212.5,9125,10037.5
7.4,1850,2775,3700,4625,5550,6475,7400,8325,9250,10175
7.5,1875,2812.5,3750,4687.5,5625,6562.5,7500,8437.5,9375,10312.5
7.6,1900,2850,3800,4750,5700,6650,7600,8550,9500,10450
7.7,1925,2887.5,3850,4812.5,5775,6737.5,7700,8662.5,9625,10587.5
7.8,1950,2925,3900,4875,5850,6825,7800,8775,9750,10725
7.9,1975,2962.5,3950,4937.5,5925,6912.5,7900,8887.5,9875,10862.5
8,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000
8.1,2025,3037.5,4050,5062.5,6075,7087.5,8100,9112.5,10125,11137.5
8.2,2050,3075,4100,5125,6150,7175,8200,9225,10250,11275
8.3,2075,3112.5,4150,5187.5,6225,7262.5,8300,9337.5,10375,11412.5
8.4,2100,3150,4200,5250,6300,7350,8400,9450,10500,11550
8.5,2125,3187.5,4250,5312.5,6375,7437.5,8500,9562.5,10625,11687.5
8.6,2150,3225,4300,5375,6450,7525,8600,9675,10750,11825
8.7,2175,3262.5,4350,5437.5,6525,7612.5,8700,9787.5,10875,11962.5
8.8,2200,3300,4400,5500,6600,7700,8800,9900,11000,12100
8.9,2225,3337.5,4450,5562.5,6675,7787.5,8900,10012.5,11125,12237.5
9,2250,3375,4500,5625,6750,7875,9000,10125,11250,12375
9.1,2275,3412.5,4550,5687.5,6825,7962.5,9100,10237.5,11375,12512.5
9.2,2300,3450,4600,5750,6900,8050,9200,10350,11500,12650
9.3,2325,3487.5,4650,5812.5,6975,8137.5,9300,10462.5,11625,12787.5
9.4,2350,3525,4700,5875,7050,8225,9400,10575,11750,12925
9.5,2375,3562.5,4750,5937.5,7125,8312.5,9500,10687.5,11875,13062.5
9.6,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200
9.7,2425,3637.5,4850,6062.5,7275,8487.5,9700,10912.5,12125,13337.5
9.8,2450,3675,4900,6125,7350,8575,9800,11025,12250,13475
9.9,2475,3712.5,4950,6187.5,7425,8662.5,9900,11137.5,12375,13612.5
10,2500,3750,5000,6250,7500,8750,10000,11250,12500,13750
10.1,2525,3787.5,5050,6312.5,7575,8837.5,10100,11362.5,12625,13887.5
10.2,2550,3825,5100,6375,7650,8925,10200,11475,12750,14025
10.3,2575,3862.5,5150,6437.5,7725,9012.5,10300,11587.5,12875,14162.5
10.4,2600,3900,5200,6500,7800,9100,10400,11700,13000,14300
10.5,2625,3937.5,5250,6562.5,7875,9187.5,10500,11812.5,13125,14437.5
10.6,2650,3975,5300,6625,7950,9275,10600,11925,13250,14575
10.7,2675,4012.5,5350,6687.5,8025,9362.5,10700,12037.5,13375,14712.5
10.8,2700,4050,5400,6750,8100,9450,10800,12150,13500,14850
10.9,2725,4087.5,5450,6812.5,8175,9537.5,10900,12262.5,13625,14987.5
11,2750,4125,5500,6875,8250,9625,11000,12375,13750,15125
