plant,Dragonfruit
variant_title,(3x) Diamond Dragonfruit ALL Damage Numbers
multiplier,3.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,750,1125,1500,1875,2250,2625,3000,3375,3750,4125
1.1,825,1237.5,1650,2062.5,2475,2887.5,3300,3712.5,4125,4537.5
1.2,900,1350,1800,2250,2700,3150,3600,4050,4500,4950
1.3,975,1462.5,1950,2437.5,2925,3412.5,3900,4387.5,4875,5362.5
1.4,1050,1575,2100,2625,3150,3675,4200,4725,5250,5775
1.5,1125,1687.5,2250,2812.5,3375,3937.5,4500,5062.5,5625,6187.5
1.6,1200,1800,2400,3000,3600,4200,4800,5400,6000,6600
1.7,1275,1912.5,2550,3187.5,3825,4462.5,5100,5737.5,6375,7012.5
1.8,1350,2025,2700,3375,4050,4725,5400,6075,6750,7425
1.9,1425,2137.5,2850,3562.5,4275,4987.5,5700,6412.5,7125,7837.5
2,1500,2250,3000,3750,4500,5250,6000,6750,7500,8250
2.1,1575,2362.5,3150,3937.5,4725,5512.5,6300,7087.5,7875,8662.5
2.2,1650,2475,3300,4125,4950,5775,6600,7425,8250,9075
2.3,1725,2587.5,3450,4312.5,5175,6037.5,6900,7762.5,8625,9487.5
2.4,1800,2700,3600,4500,5400,6300,7200,8100,9000,9900
2.5,1875,2812.5,3750,4687.5,5625,6562.5,7500,8437.5,9375,10312.5
2.6,1950,2925,3900,4875,5850,6825,7800,8775,9750,10725
2.7,2025,3037.5,4050,5062.5,6075,7087.5,8100,9112.5,10125,11137.5
2.8,2100,3150,4200,5250,6300,7350,8400,9450,10500,11550
2.9,2175,3262.5,4350,5437.5,6525,7612.5,8700,9787.5,10875,11962.5
3,2250,3375,4500,5625,6750,7875,9000,10125,11250,12375
3.1,2325,3487.5,4650,5812.5,6975,8137.5,9300,10462.5,11625,12787.5
3.2,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200
3.3,2475,3712.5,4950,6187.5,7425,8662.5,9900,11137.5,12375,13612.5
3.4,2550,3825,5100,6375,7650,8925,10200,11475,12750,14025
3.5,2625,3937.5,5250,6562.5,7875,9187.5,10500,11812.5,13125,14437.5
3.6,2700,4050,5400,6750,8100,9450,10800,12150,13500,14850
3.7,2775,4162.5,5550,6937.5,8325,9712.5,11100,12487.5,13875,15262.5
3.8,2850,4275,5700,7125,8550,9975,11400,12825,14250,15675
3.9,2925,4387.5,5850,7312.5,8775,10237.5,11700,13162.5,14625,16087.5
4,3000,4500,6000,7500,9000,10500,12000,13500,15000,16500
4.1,3075,4612.5,6150,7687.5,9225,10762.5,12300,13837.5,15375,16912.5
4.2,3150,4725,6300,7875,9450,11025,12600,14175,15750,17325
4.3,3225,4837.5,6450,8062.5,9675,11287.5,12900,14512.5,16125,17737.5
4.4,3300,4950,6600,8250,9900,11550,13200,14850,16500,18150
4.5,3375,5062.5,6750,8437.5,10125,11812.5,13500,15187.5,16875,18562.5
4.6,3450,5175,6900,8625,10350,12075,13800,15525,17250,18975
4.7,3525,5287.5,7050,8812.5,10575,12337.5,14100,15862.5,17625,19387.5
4.8,3600,5400,7200,9000,10800,12600,14400,16200,18000,19800
4.9,3675,5512.5,7350,9187.5,11025,12862.5,14700,16537.5,18375,20212.5
5,3750,5625,7500,9375,11250,13125,15000,16875,18750,20625
5.1,3825,5737.5,7650,9562.5,11475,13387.5,15300,17212.5,19125,21037.5
5.2,3900,5850,7800,9750,11700,13650,15600,17550,19500,21450
5.3,3975,5962.5,7950,9937.5,11925,13912.5,15900,17887.5,19875,21862.5
5.4,4050,6075,8100,10125,12150,14175,16200,18225,20250,22275
5.5,4125,6187.5,8250,10312.5,12375,14437.5,16500,18562.5,20625,22687.5
5.6,4200,6300,8400,10500,12600,14700,16800,18900,21000,23100
5.7,4275,6412.5,8550,10687.5,12825,14962.5,17100,19237.5,21375,23512.5
5.8,4350,6525,8700,10875,13050,15225,17400,19575,21750,23925
5.9,4425,6637.5,8850,11062.5,13275,15487.5,17700,19912.5,22125,24337.5
6,4500,6750,9000,11250,13500,15750,18000,20250,22500,24750
6.1,4575,6862.5,9150,11437.5,13725,16012.5,18300,20587.5,22875,25162.5
6.2,4650,6975,9300,11625,13950,16275,18600,20925,23250,25575
6.3,4725,7087.5,9450,11812.5,14175,16537.5,18900,21262.5,23625,25987.5
6.4,4800,7200,9600,12000,14400,16800,19200,21600,24000,26400
6.5,4875,7312.5,9750,12187.5,14625,17062.5,19500,21937.5,24375,26812.5
6.6,4950,7425,9900,12375,14850,17325,19800,22275,24750,27225
6.7,5025,7537.5,10050,12562.5,15075,17587.5,20100,22612.5,25125,27637.5
6.8,5100,7650,10200,12750,15300,17850,20400,22950,25500,28050
6.9,5175,7762.5,10350,12937.5,15525,18112.5,20700,23287.5,25875,28462.5
7,5250,7875,10500,13125,15750,18375,21000,23625,26250,28875
7.1,5325,7987.5,10650,13312.5,15975,18637.5,21300,23962.5,26625,29287.5
7.2,5400,8100,10800,13500,16200,18900,21600,24300,27000,29700
7.3,5475,8212.5,10950,13687.5,16425,19162.5,21900,24637.5,27375,30112.5
7.4,5550,8325,11100,13875,16650,19425,22200,24975,27750,30525
7.5,5625,8437.5,11250,14062.5,16875,19687.5,22500,25312.5,28125,30937.5
7.6,5700,8550,11400,14250,17100,19950,22800,25650,28500,31350
7.7,5775,8662.5,11550,14437.5,17325,20212.5,23100,25987.5,28875,31762.5
7.8,5850,8775,11700,14625,17550,20475,23400,26325,29250,32175
7.9,5925,8887.5,11850,14812.5,17775,20737.5,23700,26662.5,29625,32587.5
8,6000,9000,12000,15000,18000,21000,24000,27000,30000,33000
8.1,6075,9112.5,12150,15187.5,18225,21262.5,24300,27337.5,30375,33412.5
8.2,6150,9225,12300,15375,18450,21525,24600,27675,30750,33825
8.3,6225,9337.5,12450,15562.5,18675,21787.5,24900,28012.5,31125,34237.5
8.4,6300,9450,12600,15750,18900,22050,25200,28350,31500,34650
8.5,6375,9562.5,12750,15937.5,19125,22312.5,25500,28687.5,31875,35062.5
8.6,6450,9675,12900,16125,19350,22575,25800,29025,32250,35475
8.7,6525,9787.5,13050,16312.5,19575,22837.5,26100,29362.5,32625,35887.5
8.8,6600,9900,13200,16500,19800,23100,26400,29700,33000,36300
8.9,6675,10012.5,13350,16687.5,20025,23362.5,26700,30037.5,33375,36712.5
9,6750,10125,13500,16875,20250,23625,27000,30375,33750,37125
9.1,6825,10237.5,13650,17062.5,20475,23887.5,27300,30712.5,34125,37537.5
9.2,6900,10350,13800,17250,20700,24150,27600,31050,34500,37950
9.3,6975,10462.5,13950,17437.5,20925,24412.5,27900,31387.5,34875,38362.5
9.4,7050,10575,14100,17625,21150,24675,28200,31725,35250,38775
9.5,7125,10687.5,14250,17812.5,21375,24937.5,28500,32062.5,35625,39187.5
9.6,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600
9.7,7275,10912.5,14550,18187.5,21825,25462.5,29100,32737.5,36375,40012.5
9.8,7350,11025,14700,18375,22050,25725,29400,33075,36750,40425
9.9,7425,11137.5,14850,18562.5,22275,25987.5,29700,33412.5,37125,40837.5
10,7500,11250,15000,18750,22500,26250,30000,33750,37500,41250
10.1,7575,11362.5,15150,18937.5,22725,26512.5,30300,34087.5,37875,41662.5
10.2,7650,11475,15300,19125,22950,26775,30600,34425,38250,42075
10.3,7725,11587.5,15450,19312.5,23175,27037.5,30900,34762.5,38625,42487.5
10.4,7800,11700,15600,19500,23400,27300,31200,35100,39000,42900
