plant,Dragonfruit
variant_title,(5x) Neon Dragonfruit ALL Damage Numbers
multiplier,5.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,1250,1875,2500,3125,3750,4375,5000,5625,6250,6875
1.1,1375,2062.5,2750,3437.5,4125,4812.5,5500,6187.5,6875,7562.5
1.2,1500,2250,3000,3750,4500,5250,6000,6750,7500,8250
1.3,1625,2437.5,3250,4062.5,4875,5687.5,6500,7312.5,8125,8937.5
1.4,1750,2625,3500,4375,5250,6125,7000,7875,8750,9625
1.5,1875,2812.5,3750,4687.5,5625,6562.5,7500,8437.5,9375,10312.5
1.6,2000,3000,4000,5000,6000,7000,8000,9000,10000,11000
1.7,2125,3187.5,4250,5312.5,6375,7437.5,8500,9562.5,10625,11687.5
1.8,2250,3375,4500,5625,6750,7875,9000,10125,11250,12375
1.9,2375,3562.5,4750,5937.5,7125,8312.5,9500,10687.5,11875,13062.5
2,2500,3750,5000,6250,7500,8750,10000,11250,12500,13750
2.1,2625,3937.5,5250,6562.5,7875,9187.5,10500,11812.5,13125,14437.5
2.2,2750,4125,5500,6875,8250,9625,11000,12375,13750,15125
2.3,2875,4312.5,5750,7187.5,8625,10062.5,11500,12937.5,14375,15812.5
2.4,3000,4500,6000,7500,9000,10500,12000,13500,15000,16500
2.5,3125,4687.5,6250,7812.5,9375,10937.5,12500,14062.5,15625,17187.5
2.6,3250,4875,6500,8125,9750,11375,13000,14625,16250,17875
2.7,3375,5062.5,6750,8437.5,10125,11812.5,13500,15187.5,16875,18562.5
2.8,3500,5250,7000,8750,10500,12250,14000,15750,17500,19250
2.9,3625,5437.5,7250,9062.5,10875,12687.5,14500,16312.5,18125,19937.5
3,3750,5625,7500,9375,11250,13125,15000,16875,18750,20625
3.1,3875,5812.5,7750,9687.5,11625,13562.5,15500,17437.5,19375,21312.5
3.2,4000,6000,8000,10000,12000,14000,16000,18000,20000,22000
3.3,4125,6187.5,8250,10312.5,12375,14437.5,16500,18562.5,20625,22687.5
3.4,4250,6375,8500,10625,12750,14875,17000,19125,21250,23375
3.5,4375,6562.5,8750,10937.5,13125,15312.5,17500,19687.5,21875,24062.5
3.6,4500,6750,9000,11250,13500,15750,18000,20250,22500,24750
3.7,4625,6937.5,9250,11562.5,13875,16187.5,18500,20812.5,23125,25437.5
3.8,4750,7125,9500,11875,14250,16625,19000,21375,23750,26125
3.9,4875,7312.5,9750,12187.5,14625,17062.5,19500,21937.5,24375,26812.5
4,5000,7500,10000,12500,15000,17500,20000,22500,25000,27500
4.1,5125,7687.5,10250,12812.5,15375,17937.5,20500,23062.5,25625,28187.5
4.2,5250,7875,10500,13125,15750,18375,21000,23625,26250,28875
4.3,5375,8062.5,10750,13437.5,16125,18812.5,21500,24187.5,26875,29562.5
4.4,5500,8250,11000,13750,16500,19250,22000,24750,27500,30250
4.5,5625,8437.5,11250,14062.5,16875,19687.5,22500,25312.5,28125,30937.5
4.6,5750,8625,11500,14375,17250,20125,23000,25875,28750,31625
4.7,5875,8812.5,11750,14687.5,17625,20562.5,23500,26437.5,29375,32312.5
4.8,6000,9000,12000,15000,18000,21000,24000,27000,30000,33000
4.9,6125,9187.5,12250,15312.5,18375,21437.5,24500,27562.5,30625,33687.5
5,6250,9375,12500,15625,18750,21875,25000,28125,31250,34375
5.1,6375,9562.5,12750,15937.5,19125,22312.5,25500,28687.5,31875,35062.5
5.2,6500,9750,13000,16250,19500,22750,26000,29250,32500,35750
5.3,6625,9937.5,13250,16562.5,19875,23187.5,26500,29812.5,33125,36437.5
5.4,6750,10125,13500,16875,20250,23625,27000,30375,33750,37125
5.5,6875,10312.5,13750,17187.5,20625,24062.5,27500,30937.5,34375,37812.5
5.6,7000,10500,14000,17500,21000,24500,28000,31500,35000,38500
5.7,7125,10687.5,14250,17812.5,21375,24937.5,28500,32062.5,35625,39187.5
5.8,7250,10875,14500,18125,21750,25375,29000,32625,36250,39875
5.9,7375,11062.5,14750,18437.5,22125,25812.5,29500,33187.5,36875,40562.5
6,7500,11250,15000,18750,22500,26250,30000,33750,37500,41250
6.1,7625,11437.5,15250,19062.5,22875,26687.5,30500,34312.5,38125,41937.5
6.2,7750,11625,15500,19375,23250,27125,31000,34875,38750,42625
6.3,7875,11812.5,15750,19687.5,23625,27562.5,31500,35437.5,39375,43312.5
6.4,8000,12000,16000,20000,24000,28000,32000,36000,40000,44000
6.5,8125,12187.5,16250,20312.5,24375,28437.5,32500,36562.5,40625,44687.5
6.6,8250,12375,16500,20625,24750,28875,33000,37125,41250,45375
6.7,8375,12562.5,16750,20937.5,25125,29312.5,33500,37687.5,41875,46062.5
6.8,8500,12750,17000,21250,25500,29750,34000,38250,42500,46750
6.9,8625,12937.5,17250,21562.5,25875,30187.5,34500,38812.5,43125,47437.5
7,8750,13125,17500,21875,26250,30625,35000,39375,43750,48125
7.1,8875,13312.5,17750,22187.5,26625,31062.5,35500,39937.5,44375,48812.5
7.2,9000,13500,18000,22500,27000,31500,36000,40500,45000,49500
7.3,9125,13687.5,18250,22812.5,27375,31937.5,36500,41062.5,45625,50187.5
7.4,9250,13875,18500,23125,27750,32375,37000,41625,46250,50875
7.5,9375,14062.5,18750,23437.5,28125,32812.5,37500,42187.5,46875,51562.5
7.6,9500,14250,19000,23750,28500,33250,38000,42750,47500,52250
7.7,9625,14437.5,19250,24062.5,28875,33687.5,38500,43312.5,48125,52937.5
7.8,9750,14625,19500,24375,29250,34125,39000,43875,48750,53625
7.9,9875,14812.5,19750,24687.5,29625,34562.5,39500,44437.5,49375,54312.5
8,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000
8.1,10125,15187.5,20250,25312.5,30375,35437.5,40500,45562.5,50625,55687.5
8.2,10250,15375,20500,25625,30750,35875,41000,46125,51250,56375
8.3,10375,15562.5,20750,25937.5,31125,36312.5,41500,46687.5,51875,57062.5
8.4,10500,15750,21000,26250,31500,36750,42000,47250,52500,57750
8.5,10625,15937.5,21250,26562.5,31875,37187.5,42500,47812.5,53125,58437.5
8.6,10750,16125,21500,26875,32250,37625,43000,48375,53750,59125
8.7,10875,16312.5,21750,27187.5,32625,38062.5,43500,48937.5,54375,59812.5
8.8,11000,16500,22000,27500,33000,38500,44000,49500,55000,60500
8.9,11125,16687.5,22250,27812.5,33375,38937.5,44500,50062.5,55625,61187.5
9,11250,16875,22500,28125,33750,39375,45000,50625,56250,61875
9.1,11375,17062.5,22750,28437.5,34125,39812.5,45500,51187.5,56875,62562.5
9.2,11500,17250,23000,28750,34500,40250,46000,51750,57500,63250
9.3,11625,17437.5,23250,29062.5,34875,40687.5,46500,52312.5,58125,63937.5
9.4,11750,17625,23500,29375,35250,41125,47000,52875,58750,64625
9.5,11875,17812.5,23750,29687.5,35625,41562.5,47500,53437.5,59375,65312.5
9.6,12000,18000,24000,30000,36000,42000,48000,54000,60000,66000
9.7,12125,18187.5,24250,30312.5,36375,42437.5,48500,54562.5,60625,66687.5
