plant,Dragonfruit
variant_title,6.25x Fusion Mutation Dragonfruit ALL Damage Numbers
multiplier,6.25

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,1562.5,2343.75,3125,3906.25,4687.5,5468.75,6250,7031.25,7812.5,8593.75
1.1,1718.75,2578.125,3437.5,4296.875,5156.25,6015.625,6875,7734.375,8593.75,9453.125
1.2,1875,2812.5,3750,4687.5,5625,6562.5,7500,8437.5,9375,10312.5
1.3,2031.25,3046.875,4062.5,5078.125,6093.75,7109.375,8125,9140.625,10156.25,11171.875
1.4,2187.5,3281.25,4375,5468.75,6562.5,7656.25,8750,9843.75,10937.5,12031.25
1.5,2343.75,3515.625,4687.5,5859.375,7031.25,8203.125,9375,10546.875,11718.75,12890.625
1.6,2500,3750,5000,6250,7500,8750,10000,11250,12500,13750
1.7,2656.25,3984.375,5312.5,6640.625,7968.75,9296.875,10625,11953.125,13281.25,14609.375
1.8,2812.5,4218.75,5625,7031.25,8437.5,9843.75,11250,12656.25,14062.5,15468.75
1.9,2968.75,4453.125,5937.5,7421.875,8906.25,10390.625,11875,13359.375,14843.75,16328.125
2,3125,4687.5,6250,7812.5,9375,10937.5,12500,14062.5,15625,17187.5
2.1,3281.25,4921.875,6562.5,8203.125,9843.75,11484.375,13125,14765.625,16406.25,18046.875
2.2,3437.5,5156.25,6875,8593.75,10312.5,12031.25,13750,15468.75,17187.5,18906.25
2.3,3593.75,5390.625,7187.5,8984.375,10781.25,12578.125,14375,16171.875,17968.75,19765.625
2.4,3750,5625,7500,9375,11250,13125,15000,16875,18750,20625
2.5,3906.25,5859.375,7812.5,9765.625,11718.75,13671.875,15625,17578.125,19531.25,21484.375
2.6,4062.5,6093.75,8125,10156.25,12187.5,14218.75,16250,18281.25,20312.5,22343.75
2.7,4218.75,6328.125,8437.5,10546.875,12656.25,14765.625,16875,18984.375,21093.75,23203.125
2.8,4375,6562.5,8750,10937.5,13125,15312.5,17500,19687.5,21875,24062.5
2.9,4531.25,6796.875,9062.5,11328.125,13593.75,15859.375,18125,20390.625,22656.25,24921.875
3,4687.5,7031.25,9375,11718.75,14062.5,16406.25,18750,21093.75,23437.5,25781.25
3.1,4843.75,7265.625,9687.5,12109.375,14531.25,16953.125,19375,21796.875,24218.75,26640.625
3.2,5000,7500,10000,12500,15000,17500,20000,22500,25000,27500
3.3,5156.25,7734.375,10312.5,12890.625,15468.75,18046.875,20625,23203.125,25781.25,28359.375
3.4,5312.5,7968.75,10625,13281.25,15937.5,18593.75,21250,23906.25,26562.5,29218.75
3.5,5468.75,8203.125,10937.5,13671.875,16406.25,19140.625,21875,24609.375,27343.75,30078.125
3.6,5625,8437.5,11250,14062.5,16875,19687.5,22500,25312.5,28125,30937.5
3.7,5781.25,8671.875,11562.5,14453.125,17343.75,20234.375,23125,26015.625,28906.25,31796.875
3.8,5937.5,8906.25,11875,14843.75,17812.5,20781.25,23750,26718.75,29687.5,32656.25
3.9,6093.75,9140.625,12187.5,15234.375,18281.25,21328.125,24375,27421.875,30468.75,33515.625
4,6250,9375,12500,15625,18750,21875,25000,28125,31250,34375
4.1,6406.25,9609.375,12812.5,16015.625,19218.75,22421.875,25625,28828.125,32031.25,35234.375
4.2,6562.5,9843.75,13125,16406.25,19687.5,22968.75,26250,29531.25,32812.5,36093.75
4.3,6718.75,10078.125,13437.5,16796.875,20156.25,23515.625,26875,30234.375,33593.75,36953.125
4.4,6875,10312.5,13750,17187.5,20625,24062.5,27500,30937.5,34375,37812.5
