plant,Eggplant
variant_title,(3x) Diamond Eggplant ALL Damage Numbers
multiplier,3.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,1500,2250,3000,3750,4500,5250,6000,6750,7500,8250
1.1,1650,2475,3300,4125,4950,5775,6600,7425,8250,9075
1.2,1800,2700,3600,4500,5400,6300,7200,8100,9000,9900
1.3,1950,2925,3900,4875,5850,6825,7800,8775,9750,10725
1.4,2100,3150,4200,5250,6300,7350,8400,9450,10500,11550
1.5,2250,3375,4500,5625,6750,7875,9000,10125,11250,12375
1.6,2400,3600,4800,6000,7200,8400,9600,10800,12000,13200
1.7,2550,3825,5100,6375,7650,8925,10200,11475,12750,14025
1.8,2700,4050,5400,6750,8100,9450,10800,12150,13500,14850
1.9,2850,4275,5700,7125,8550,9975,11400,12825,14250,15675
2,3000,4500,6000,7500,9000,10500,12000,13500,15000,16500
2.1,3150,4725,6300,7875,9450,11025,12600,14175,15750,17325
2.2,3300,4950,6600,8250,9900,11550,13200,14850,16500,18150
2.3,3450,5175,6900,8625,10350,12075,13800,15525,17250,18975
2.4,3600,5400,7200,9000,10800,12600,14400,16200,18000,19800
2.5,3750,5625,7500,9375,11250,13125,15000,16875,18750,20625
2.6,3900,5850,7800,9750,11700,13650,15600,17550,19500,21450
2.7,4050,6075,8100,10125,12150,14175,16200,18225,20250,22275
2.8,4200,6300,8400,10500,12600,14700,16800,18900,21000,23100
2.9,4350,6525,8700,10875,13050,15225,17400,19575,21750,23925
3,4500,6750,9000,11250,13500,15750,18000,20250,22500,24750
3.1,4650,6975,9300,11625,13950,16275,18600,20925,23250,25575
3.2,4800,7200,9600,12000,14400,16800,19200,21600,24000,26400
3.3,4950,7425,9900,12375,14850,17325,19800,22275,24750,27225
3.4,5100,7650,10200,12750,15300,17850,20400,22950,25500,28050
3.5,5250,7875,10500,13125,15750,18375,21000,23625,26250,28875
3.6,5400,8100,10800,13500,16200,18900,21600,24300,27000,29700
3.7,5550,8325,11100,13875,16650,19425,22200,24975,27750,30525
3.8,5700,8550,11400,14250,17100,19950,22800,25650,28500,31350
3.9,5850,8775,11700,14625,17550,20475,23400,26325,29250,32175
4,6000,9000,12000,15000,18000,21000,24000,27000,30000,33000
4.1,6150,9225,12300,15375,18450,21525,24600,27675,30750,33825
4.2,6300,9450,12600,15750,18900,22050,25200,28350,31500,34650
4.3,6450,9675,12900,16125,19350,22575,25800,29025,32250,35475
4.4,6600,9900,13200,16500,19800,23100,26400,29700,33000,36300
4.5,6750,10125,13500,16875,20250,23625,27000,30375,33750,37125
4.6,6900,10350,13800,17250,20700,24150,27600,31050,34500,37950
4.7,7050,10575,14100,17625,21150,24675,28200,31725,35250,38775
4.8,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600
4.9,7350,11025,14700,18375,22050,25725,29400,33075,36750,40425
5,7500,11250,15000,18750,22500,26250,30000,33750,37500,41250
5.1,7650,11475,15300,19125,22950,26775,30600,34425,38250,42075
5.2,7800,11700,15600,19500,23400,27300,31200,35100,39000,42900
5.3,7950,11925,15900,19875,23850,27825,31800,35775,39750,43725
5.4,8100,12150,16200,20250,24300,28350,32400,36450,40500,44550
5.5,8250,12375,16500,20625,24750,28875,33000,37125,41250,45375
5.6,8400,12600,16800,21000,25200,29400,33600,37800,42000,46200
5.7,8550,12825,17100,21375,25650,29925,34200,38475,42750,47025
5.8,8700,13050,17400,21750,26100,30450,34800,39150,43500,47850
5.9,8850,13275,17700,22125,26550,30975,35400,39825,44250,48675
6,9000,13500,18000,22500,27000,31500,36000,40500,45000,49500
6.1,9150,13725,18300,22875,27450,32025,36600,41175,45750,50325
6.2,9300,13950,18600,23250,27900,32550,37200,41850,46500,51150
6.3,9450,14175,18900,23625,28350,33075,37800,42525,47250,51975
6.4,9600,14400,19200,24000,28800,33600,38400,43200,48000,52800
6.5,9750,14625,19500,24375,29250,34125,39000,43875,48750,53625
6.6,9900,14850,19800,24750,29700,34650,39600,44550,49500,54450
6.7,10050,15075,20100,25125,30150,35175,40200,45225,50250,55275
6.8,10200,15300,20400,25500,30600,35700,40800,45900,51000,56100
6.9,10350,15525,20700,25875,31050,36225,41400,46575,51750,56925
7,10500,15750,21000,26250,31500,36750,42000,47250,52500,57750
7.1,10650,15975,21300,26625,31950,37275,42600,47925,53250,58575
7.2,10800,16200,21600,27000,32400,37800,43200,48600,54000,59400
7.3,10950,16425,21900,27375,32850,38325,43800,49275,54750,60225
7.4,11100,16650,22200,27750,33300,38850,44400,49950,55500,61050
7.5,11250,16875,22500,28125,33750,39375,45000,50625,56250,61875
7.6,11400,17100,22800,28500,34200,39900,45600,51300,57000,62700
7.7,11550,17325,23100,28875,34650,40425,46200,51975,57750,63525
7.8,11700,17550,23400,29250,35100,40950,46800,52650,58500,64350
7.9,11850,17775,23700,29625,35550,41475,47400,53325,59250,65175
8,12000,18000,24000,30000,36000,42000,48000,54000,60000,66000
8.1,12150,18225,24300,30375,36450,42525,48600,54675,60750,66825
8.2,12300,18450,24600,30750,36900,43050,49200,55350,61500,67650
8.3,12450,18675,24900,31125,37350,43575,49800,56025,62250,68475
8.4,12600,18900,25200,31500,37800,44100,50400,56700,63000,69300
8.5,12750,19125,25500,31875,38250,44625,51000,57375,63750,70125
8.6,12900,19350,25800,32250,38700,45150,51600,58050,64500,70950
8.7,13050,19575,26100,32625,39150,45675,52200,58725,65250,71775
8.8,13200,19800,26400,33000,39600,46200,52800,59400,66000,72600
8.9,13350,20025,26700,33375,40050,46725,53400,60075,66750,73425
9,13500,20250,27000,33750,40500,47250,54000,60750,67500,74250
9.1,13650,20475,27300,34125,40950,47775,54600,61425,68250,75075
9.2,13800,20700,27600,34500,41400,48300,55200,62100,69000,75900
9.3,13950,20925,27900,34875,41850,48825,55800,62775,69750,76725
9.4,14100,21150,28200,35250,42300,49350,56400,63450,70500,77550
9.5,14250,21375,28500,35625,42750,49875,57000,64125,71250,78375
9.6,14400,21600,28800,36000,43200,50400,57600,64800,72000,79200
9.7,14550,21825,29100,36375,43650,50925,58200,65475,72750,80025
9.8,14700,22050,29400,36750,44100,51450,58800,66150,73500,80850
9.9,14850,22275,29700,37125,44550,51975,59400,66825,74250,81675
10,15000,22500,30000,37500,45000,52500,60000,67500,75000,82500
10.1,15150,22725,30300,37875,45450,53025,60600,68175,75750,83325
10.2,15300,22950,30600,38250,45900,53550,61200,68850,76500,84150
10.3,15450,23175,30900,38625,46350,54075,61800,69525,77250,84975
10.4,15600,23400,31200,39000,46800,54600,62400,70200,78000,85800
10.5,15750,23625,31500,39375,47250,55125,63000,70875,78750,86625
10.6,15900,23850,31800,39750,47700,55650,63600,71550,79500,87450
10.7,16050,24075,32100,40125,48150,56175,64200,72225,80250,88275
10.8,16200,24300,32400,40500,48600,56700,64800,72900,81000,89100
10.9,16350,24525,32700,40875,49050,57225,65400,73575,81750,89925
11,16500,24750,33000,41250,49500,57750,66000,74250,82500,90750
11.1,16650,24975,33300,41625,49950,58275,66600,74925,83250,91575
11.2,16800,25200,33600,42000,50400,58800,67200,75600,84000,92400
11.3,16950,25425,33900,42375,50850,59325,67800,76275,84750,93225
11.4,17100,25650,34200,42750,51300,59850,68400,76950,85500,94050
11.5,17250,25875,34500,43125,51750,60375,69000,77625,86250,94875
11.6,17400,26100,34800,43500,52200,60900,69600,78300,87000,95700
11.7,17550,26325,35100,43875,52650,61425,70200,78975,87750,96525
11.8,17700,26550,35400,44250,53100,61950,70800,79650,88500,97350
11.9,17850,26775,35700,44625,53550,62475,71400,80325,89250,98175
12,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000
12.1,18150,27225,36300,45375,54450,63525,72600,81675,90750,99825
12.2,18300,27450,36600,45750,54900,64050,73200,82350,91500,100650
12.3,18450,27675,36900,46125,55350,64575,73800,83025,92250,101475
12.4,18600,27900,37200,46500,55800,65100,74400,83700,93000,102300
12.5,18750,28125,37500,46875,56250,65625,75000,84375,93750,103125
12.6,18900,28350,37800,47250,56700,66150,75600,85050,94500,103950
12.7,19050,28575,38100,47625,57150,66675,76200,85725,95250,104775
