plant,Grape
variant_title,3.15x Fusion Mutation Grape ALL Damage Numbers
multiplier,3.15

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,4725,7087.5,9450,11812.5,14175,16537.5,18900,21262.5,23625,25987.5
1.1,5197.5,7796.25,10395,12993.75,15592.5,18191.25,20790,23388.75,25987.5,28586.25
1.2,5670,8505,11340,14175,17010,19845,22680,25515,28350,31185
1.3,6142.5,9213.75,12285,15356.25,18427.5,21498.75,24570,27641.25,30712.5,33783.75
1.4,6615,9922.5,13230,16537.5,19845,23152.5,26460,29767.5,33075,36382.5
1.5,7087.5,10631.25,14175,17718.75,21262.5,24806.25,28350,31893.75,35437.5,38981.25
1.6,7560,11340,15120,18900,22680,26460,30240,34020,37800,41580
1.7,8032.5,12048.75,16065,20081.25,24097.5,28113.75,32130,36146.25,40162.5,44178.75
1.8,8505,12757.5,17010,21262.5,25515,29767.5,34020,38272.5,42525,46777.5
1.9,8977.5,13466.25,17955,22443.75,26932.5,31421.25,35910,40398.75,44887.5,49376.25
2,9450,14175,18900,23625,28350,33075,37800,42525,47250,51975
2.1,9922.5,14883.75,19845,24806.25,29767.5,34728.75,39690,44651.25,49612.5,54573.75
2.2,10395,15592.5,20790,25987.5,31185,36382.5,41580,46777.5,51975,57172.5
2.3,10867.5,16301.25,21735,27168.75,32602.5,38036.25,43470,48903.75,54337.5,59771.25
2.4,11340,17010,22680,28350,34020,39690,45360,51030,56700,62370
2.5,11812.5,17718.75,23625,29531.25,35437.5,41343.75,47250,53156.25,59062.5,64968.75
2.6,12285,18427.5,24570,30712.5,36855,42997.5,49140,55282.5,61425,67567.5
2.7,12757.5,19136.25,25515,31893.75,38272.5,44651.25,51030,57408.75,63787.5,70166.25
2.8,13230,19845,26460,33075,39690,46305,52920,59535,66150,72765
2.9,13702.5,20553.75,27405,34256.25,41107.5,47958.75,54810,61661.25,68512.5,75363.75
3,14175,21262.5,28350,35437.5,42525,49612.5,56700,63787.5,70875,77962.5
3.1,14647.5,21971.25,29295,36618.75,43942.5,51266.25,58590,65913.75,73237.5,80561.25
3.2,15120,22680,30240,37800,45360,52920,60480,68040,75600,83160
3.3,15592.5,23388.75,31185,38981.25,46777.5,54573.75,62370,70166.25,77962.5,85758.75
3.4,16065,24097.5,32130,40162.5,48195,56227.5,64260,72292.5,80325,88357.5
3.5,16537.5,24806.25,33075,41343.75,49612.5,57881.25,66150,74418.75,82687.5,90956.25
3.6,17010,25515,34020,42525,51030,59535,68040,76545,85050,93555
