plant,Grape
variant_title,(5x) Neon Grape ALL Damage Numbers
multiplier,5.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,7500,11250,15000,18750,22500,26250,30000,33750,37500,41250
1.1,8250,12375,16500,20625,24750,28875,33000,37125,41250,45375
1.2,9000,13500,18000,22500,27000,31500,36000,40500,45000,49500
1.3,9750,14625,19500,24375,29250,34125,39000,43875,48750,53625
1.4,10500,15750,21000,26250,31500,36750,42000,47250,52500,57750
1.5,11250,16875,22500,28125,33750,39375,45000,50625,56250,61875
1.6,12000,18000,24000,30000,36000,42000,48000,54000,60000,66000
1.7,12750,19125,25500,31875,38250,44625,51000,57375,63750,70125
1.8,13500,20250,27000,33750,40500,47250,54000,60750,67500,74250
1.9,14250,21375,28500,35625,42750,49875,57000,64125,71250,78375
2,15000,22500,30000,37500,45000,52500,60000,67500,75000,82500
2.1,15750,23625,31500,39375,47250,55125,63000,70875,78750,86625
2.2,16500,24750,33000,41250,49500,57750,66000,74250,82500,90750
2.3,17250,25875,34500,43125,51750,60375,69000,77625,86250,94875
2.4,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000
2.5,18750,28125,37500,46875,56250,65625,75000,84375,93750,103125
2.6,19500,29250,39000,48750,58500,68250,78000,87750,97500,107250
2.7,20250,30375,40500,50625,60750,70875,81000,91125,101250,111375
2.8,21000,31500,42000,52500,63000,73500,84000,94500,105000,115500
2.9,21750,32625,43500,54375,65250,76125,87000,97875,108750,119625
3,22500,33750,45000,56250,67500,78750,90000,101250,112500,123750
3.1,23250,34875,46500,58125,69750,81375,93000,104625,116250,127875
3.2,24000,36000,48000,60000,72000,84000,96000,108000,120000,132000
3.3,24750,37125,49500,61875,74250,86625,99000,111375,123750,136125
3.4,25500,38250,51000,63750,76500,89250,102000,114750,127500,140250
3.5,26250,39375,52500,65625,78750,91875,105000,118125,131250,144375
3.6,27000,40500,54000,67500,81000,94500,108000,121500,135000,148500
3.7,27750,41625,55500,69375,83250,97125,111000,124875,138750,152625
3.8,28500,42750,57000,71250,85500,99750,114000,128250,142500,156750
3.9,29250,43875,58500,73125,87750,102375,117000,131625,146250,160875
4,30000,45000,60000,75000,90000,105000,120000,135000,150000,165000
4.1,30750,46125,61500,76875,92250,107625,123000,138375,153750,169125
4.2,31500,47250,63000,78750,94500,110250,126000,141750,157500,173250
4.3,32250,48375,64500,80625,96750,112875,129000,145125,161250,177375
4.4,33000,49500,66000,82500,99000,115500,132000,148500,165000,181500
4.5,33750,50625,67500,84375,101250,118125,135000,151875,168750,185625
4.6,34500,51750,69000,86250,103500,120750,138000,155250,172500,189750
4.7,35250,52875,70500,88125,105750,123375,141000,158625,176250,193875
4.8,36000,54000,72000,90000,108000,126000,144000,162000,180000,198000
4.9,36750,55125,73500,91875,110250,128625,147000,165375,183750,202125
5,37500,56250,75000,93750,112500,131250,150000,168750,187500,206250
5.1,38250,57375,76500,95625,114750,133875,153000,172125,191250,210375
5.2,39000,58500,78000,97500,117000,136500,156000,175500,195000,214500
5.3,39750,59625,79500,99375,119250,139125,159000,178875,198750,218625
5.4,40500,60750,81000,101250,121500,141750,162000,182250,202500,222750
5.5,41250,61875,82500,103125,123750,144375,165000,185625,206250,226875
5.6,42000,63000,84000,105000,126000,147000,168000,189000,210000,231000
5.7,42750,64125,85500,106875,128250,149625,171000,192375,213750,235125
5.8,43500,65250,87000,108750,130500,152250,174000,195750,217500,239250
5.9,44250,66375,88500,110625,132750,154875,177000,199125,221250,243375
6,45000,67500,90000,112500,135000,157500,180000,202500,225000,247500
6.1,45750,68625,91500,114375,137250,160125,183000,205875,228750,251625
6.2,46500,69750,93000,116250,139500,162750,186000,209250,232500,255750
6.3,47250,70875,94500,118125,141750,165375,189000,212625,236250,259875
6.4,48000,72000,96000,120000,144000,168000,192000,216000,240000,264000
6.5,48750,73125,97500,121875,146250,170625,195000,219375,243750,268125
6.6,49500,74250,99000,123750,148500,173250,198000,222750,247500,272250
6.7,50250,75375,100500,125625,150750,175875,201000,226125,251250,276375
6.8,51000,76500,102000,127500,153000,178500,204000,229500,255000,280500
6.9,51750,77625,103500,129375,155250,181125,207000,232875,258750,284625
7,52500,78750,105000,131250,157500,183750,210000,236250,262500,288750
7.1,53250,79875,106500,133125,159750,186375,213000,239625,266250,292875
7.2,54000,81000,108000,135000,162000,189000,216000,243000,270000,297000
7.3,54750,82125,109500,136875,164250,191625,219000,246375,273750,301125
7.4,55500,83250,111000,138750,166500,194250,222000,249750,277500,305250
7.5,56250,84375,112500,140625,168750,196875,225000,253125,281250,309375
7.6,57000,85500,114000,142500,171000,199500,228000,256500,285000,313500
7.7,57750,86625,115500,144375,173250,202125,231000,259875,288750,317625
7.8,58500,87750,117000,146250,175500,204750,234000,263250,292500,321750
7.9,59250,88875,118500,148125,177750,207375,237000,266625,296250,325875
8,60000,90000,120000,150000,180000,210000,240000,270000,300000,330000
8.1,60750,91125,121500,151875,182250,212625,243000,273375,303750,334125
8.2,61500,92250,123000,153750,184500,215250,246000,276750,307500,338250
8.3,62250,93375,124500,155625,186750,217875,249000,280125,311250,342375
8.4,63000,94500,126000,157500,189000,220500,252000,283500,315000,346500
8.5,63750,95625,127500,159375,191250,223125,255000,286875,318750,350625
8.6,64500,96750,129000,161250,193500,225750,258000,290250,322500,354750
8.7,65250,97875,130500,163125,195750,228375,261000,293625,326250,358875
8.8,66000,99000,132000,165000,198000,231000,264000,297000,330000,363000
8.9,66750,100125,133500,166875,200250,233625,267000,300375,333750,367125
9,67500,101250,135000,168750,202500,236250,270000,303750,337500,371250
9.1,68250,102375,136500,170625,204750,238875,273000,307125,341250,375375
9.2,69000,103500,138000,172500,207000,241500,276000,310500,345000,379500
9.3,69750,104625,139500,174375,209250,244125,279000,313875,348750,383625
9.4,70500,105750,141000,176250,211500,246750,282000,317250,352500,387750
9.5,71250,106875,142500,178125,213750,249375,285000,320625,356250,391875
9.6,72000,108000,144000,180000,216000,252000,288000,324000,360000,396000
9.7,72750,109125,145500,181875,218250,254625,291000,327375,363750,400125
9.8,73500,110250,147000,183750,220500,257250,294000,330750,367500,404250
9.9,74250,111375,148500,185625,222750,259875,297000,334125,371250,408375
10,75000,112500,150000,187500,225000,262500,300000,337500,375000,412500
10.1,75750,113625,151500,189375,227250,265125,303000,340875,378750,416625
10.2,76500,114750,153000,191250,229500,267750,306000,344250,382500,420750
10.3,77250,115875,154500,193125,231750,270375,309000,347625,386250,424875
10.4,78000,117000,156000,195000,234000,273000,312000,351000,390000,429000
10.5,78750,118125,157500,196875,236250,275625,315000,354375,393750,433125
10.6,79500,119250,159000,198750,238500,278250,318000,357750,397500,437250
10.7,80250,120375,160500,200625,240750,280875,321000,361125,401250,441375
10.8,81000,121500,162000,202500,243000,283500,324000,364500,405000,445500
10.9,81750,122625,163500,204375,245250,286125,327000,367875,408750,449625
11,82500,123750,165000,206250,247500,288750,330000,371250,412500,453750
11.1,83250,124875,166500,208125,249750,291375,333000,374625,416250,457875
11.2,84000,126000,168000,210000,252000,294000,336000,378000,420000,462000
11.3,84750,127125,169500,211875,254250,296625,339000,381375,423750,466125
11.4,85500,128250,171000,213750,256500,299250,342000,384750,427500,470250
11.5,86250,129375,172500,215625,258750,301875,345000,388125,431250,474375
11.6,87000,130500,174000,217500,261000,304500,348000,391500,435000,478500
11.7,87750,131625,175500,219375,263250,307125,351000,394875,438750,482625
11.8,88500,132750,177000,221250,265500,309750,354000,398250,442500,486750
11.9,89250,133875,178500,223125,267750,312375,357000,401625,446250,490875
12,90000,135000,180000,225000,270000,315000,360000,405000,450000,495000
12.1,90750,136125,181500,226875,272250,317625,363000,408375,453750,499125
12.2,91500,137250,183000,228750,274500,320250,366000,411750,457500,503250
12.3,92250,138375,184500,230625,276750,322875,369000,415125,461250,507375
12.4,93000,139500,186000,232500,279000,325500,372000,418500,465000,511500
12.5,93750,140625,187500,234375,281250,328125,375000,421875,468750,515625
12.6,94500,141750,189000,236250,283500,330750,378000,425250,472500,519750
12.7,95250,142875,190500,238125,285750,333375,381000,428625,476250,523875
12.8,96000,144000,192000,240000,288000,336000,384000,432000,480000,528000
12.9,96750,145125,193500,241875,290250,338625,387000,435375,483750,532125
13,97500,146250,195000,243750,292500,341250,390000,438750,487500,536250
13.1,98250,147375,196500,245625,294750,343875,393000,442125,491250,540375
13.2,99000,148500,198000,247500,297000,346500,396000,445500,495000,544500
13.3,99750,149625,199500,249375,299250,349125,399000,448875,498750,548625
13.4,100500,150750,201000,251250,301500,351750,402000,452250,502500,552750
13.5,101250,151875,202500,253125,303750,354375,405000,455625,506250,556875
13.6,102000,153000,204000,255000,306000,357000,408000,459000,510000,561000
13.7,102750,154125,205500,256875,308250,359625,411000,462375,513750,565125
13.8,103500,155250,207000,258750,310500,362250,414000,465750,517500,569250
13.9,104250,156375,208500,260625,312750,364875,417000,469125,521250,573375
14,105000,157500,210000,262500,315000,367500,420000,472500,525000,577500
14.1,105750,158625,211500,264375,317250,370125,423000,475875,528750,581625
14.2,106500,159750,213000,266250,319500,372750,426000,479250,532500,585750
14.3,107250,160875,214500,268125,321750,375375,429000,482625,536250,589875
14.4,108000,162000,216000,270000,324000,378000,432000,486000,540000,594000
14.5,108750,163125,217500,271875,326250,380625,435000,489375,543750,598125
14.6,109500,164250,219000,273750,328500,383250,438000,492750,547500,602250
14.7,110250,165375,220500,275625,330750,385875,441000,496125,551250,606375
14.8,111000,166500,222000,277500,333000,388500,444000,499500,555000,610500
14.9,111750,167625,223500,279375,335250,391125,447000,502875,558750,614625
15,112500,168750,225000,281250,337500,393750,450000,506250,562500,618750
15.1,113250,169875,226500,283125,339750,396375,453000,509625,566250,622875
15.2,114000,171000,228000,285000,342000,399000,456000,513000,570000,627000
15.3,114750,172125,229500,286875,344250,401625,459000,516375,573750,631125
15.4,115500,173250,231000,288750,346500,404250,462000,519750,577500,635250
15.5,116250,174375,232500,290625,348750,406875,465000,523125,581250,639375
15.6,117000,175500,234000,292500,351000,409500,468000,526500,585000,643500
15.7,117750,176625,235500,294375,353250,412125,471000,529875,588750,647625
15.8,118500,177750,237000,296250,355500,414750,474000,533250,592500,651750
15.9,119250,178875,238500,298125,357750,417375,477000,536625,596250,655875
16,120000,180000,240000,300000,360000,420000,480000,540000,600000,660000
16.1,120750,181125,241500,301875,362250,422625,483000,543375,603750,664125
16.2,121500,182250,243000,303750,364500,425250,486000,546750,607500,668250
16.3,122250,183375,244500,305625,366750,427875,489000,550125,611250,672375
16.4,123000,184500,246000,307500,369000,430500,492000,553500,615000,676500
16.5,123750,185625,247500,309375,371250,433125,495000,556875,618750,680625
16.6,124500,186750,249000,311250,373500,435750,498000,560250,622500,684750
16.7,125250,187875,250500,313125,375750,438375,501000,563625,626250,688875
16.8,126000,189000,252000,315000,378000,441000,504000,567000,630000,693000
16.9,126750,190125,253500,316875,380250,443625,507000,570375,633750,697125
17,127500,191250,255000,318750,382500,446250,510000,573750,637500,701250
17.1,128250,192375,256500,320625,384750,448875,513000,577125,641250,705375
17.2,129000,193500,258000,322500,387000,451500,516000,580500,645000,709500
17.3,129750,194625,259500,324375,389250,454125,519000,583875,648750,713625
17.4,130500,195750,261000,326250,391500,456750,522000,587250,652500,717750
17.5,131250,196875,262500,328125,393750,459375,525000,590625,656250,721875
17.6,132000,198000,264000,330000,396000,462000,528000,594000,660000,726000
17.7,132750,199125,265500,331875,398250,464625,531000,597375,663750,730125
17.8,133500,200250,267000,333750,400500,467250,534000,600750,667500,734250
17.9,134250,201375,268500,335625,402750,469875,537000,604125,671250,738375
18,135000,202500,270000,337500,405000,472500,540000,607500,675000,742500
18.1,135750,203625,271500,339375,407250,475125,543000,610875,678750,746625
18.2,136500,204750,273000,341250,409500,477750,546000,614250,682500,750750
18.3,137250,205875,274500,343125,411750,480375,549000,617625,686250,754875
18.4,138000,207000,276000,345000,414000,483000,552000,621000,690000,759000
18.5,138750,208125,277500,346875,416250,485625,555000,624375,693750,763125
18.6,139500,209250,279000,348750,418500,488250,558000,627750,697500,767250
18.7,140250,210375,280500,350625,420750,490875,561000,631125,701250,771375
18.8,141000,211500,282000,352500,423000,493500,564000,634500,705000,775500
18.9,141750,212625,283500,354375,425250,496125,567000,637875,708750,779625
19,142500,213750,285000,356250,427500,498750,570000,641250,712500,783750
19.1,143250,214875,286500,358125,429750,501375,573000,644625,716250,787875
19.2,144000,216000,288000,360000,432000,504000,576000,648000,720000,792000
19.3,144750,217125,289500,361875,434250,506625,579000,651375,723750,796125
19.4,145500,218250,291000,363750,436500,509250,582000,654750,727500,800250
19.5,146250,219375,292500,365625,438750,511875,585000,658125,731250,804375
19.6,147000,220500,294000,367500,441000,514500,588000,661500,735000,808500
19.7,147750,221625,295500,369375,443250,517125,591000,664875,738750,812625
19.8,148500,222750,297000,371250,445500,519750,594000,668250,742500,816750
19.9,149250,223875,298500,373125,447750,522375,597000,671625,746250,820875
20,150000,225000,300000,375000,450000,525000,600000,675000,750000,825000
20.1,150750,226125,301500,376875,452250,527625,603000,678375,753750,829125
20.2,151500,227250,303000,378750,454500,530250,606000,681750,757500,833250
20.3,152250,228375,304500,380625,456750,532875,609000,685125,761250,837375
20.4,153000,229500,306000,382500,459000,535500,612000,688500,765000,841500
20.5,153750,230625,307500,384375,461250,538125,615000,691875,768750,845625
20.6,154500,231750,309000,386250,463500,540750,618000,695250,772500,849750
20.7,155250,232875,310500,388125,465750,543375,621000,698625,776250,853875
20.8,156000,234000,312000,390000,468000,546000,624000,702000,780000,858000
20.9,156750,235125,313500,391875,470250,548625,627000,705375,783750,862125
21,157500,236250,315000,393750,472500,551250,630000,708750,787500,866250
21.1,158250,237375,316500,395625,474750,553875,633000,712125,791250,870375
21.2,159000,238500,318000,397500,477000,556500,636000,715500,795000,874500
21.3,159750,239625,319500,399375,479250,559125,639000,718875,798750,878625
21.4,160500,240750,321000,401250,481500,561750,642000,722250,802500,882750
21.5,161250,241875,322500,403125,483750,564375,645000,725625,806250,886875
21.6,162000,243000,324000,405000,486000,567000,648000,729000,810000,891000
21.7,162750,244125,325500,406875,488250,569625,651000,732375,813750,895125
21.8,163500,245250,327000,408750,490500,572250,654000,735750,817500,899250
21.9,164250,246375,328500,410625,492750,574875,657000,739125,821250,903375
22,165000,247500,330000,412500,495000,577500,660000,742500,825000,907500
22.1,165750,248625,331500,414375,497250,580125,663000,745875,828750,911625
22.2,166500,249750,333000,416250,499500,582750,666000,749250,832500,915750
22.3,167250,250875,334500,418125,501750,585375,669000,752625,836250,919875
22.4,168000,252000,336000,420000,504000,588000,672000,756000,840000,924000
22.5,168750,253125,337500,421875,506250,590625,675000,759375,843750,928125
22.6,169500,254250,339000,423750,508500,593250,678000,762750,847500,932250
22.7,170250,255375,340500,425625,510750,595875,681000,766125,851250,936375
22.8,171000,256500,342000,427500,513000,598500,684000,769500,855000,940500
22.9,171750,257625,343500,429375,515250,601125,687000,772875,858750,944625
23,172500,258750,345000,431250,517500,603750,690000,776250,862500,948750
23.1,173250,259875,346500,433125,519750,606375,693000,779625,866250,952875
23.2,174000,261000,348000,435000,522000,609000,696000,783000,870000,957000
23.3,174750,262125,349500,436875,524250,611625,699000,786375,873750,961125
23.4,175500,263250,351000,438750,526500,614250,702000,789750,877500,965250
23.5,176250,264375,352500,440625,528750,616875,705000,793125,881250,969375
23.6,177000,265500,354000,442500,531000,619500,708000,796500,885000,973500
23.7,177750,266625,355500,444375,533250,622125,711000,799875,888750,977625
23.8,178500,267750,357000,446250,535500,624750,714000,803250,892500,981750
23.9,179250,268875,358500,448125,537750,627375,717000,806625,896250,985875
24,180000,270000,360000,450000,540000,630000,720000,810000,900000,990000
24.1,180750,271125,361500,451875,542250,632625,723000,813375,903750,994125
24.2,181500,272250,363000,453750,544500,635250,726000,816750,907500,998250
24.3,182250,273375,364500,455625,546750,637875,729000,820125,911250,1002375
24.4,183000,274500,366000,457500,549000,640500,732000,823500,915000,1006500
24.5,183750,275625,367500,459375,551250,643125,735000,826875,918750,1010625
24.6,184500,276750,369000,461250,553500,645750,738000,830250,922500,1014750
24.7,185250,277875,370500,463125,555750,648375,741000,833625,926250,1018875
24.8,186000,279000,372000,465000,558000,651000,744000,837000,930000,1023000
24.9,186750,280125,373500,466875,560250,653625,747000,840375,933750,1027125
25,187500,281250,375000,468750,562500,656250,750000,843750,937500,1031250
25.1,188250,282375,376500,470625,564750,658875,753000,847125,941250,1035375
25.2,189000,283500,378000,472500,567000,661500,756000,850500,945000,1039500
25.3,189750,284625,379500,474375,569250,664125,759000,853875,948750,1043625
25.4,190500,285750,381000,476250,571500,666750,762000,857250,952500,1047750
25.5,191250,286875,382500,478125,573750,669375,765000,860625,956250,1051875
25.6,192000,288000,384000,480000,576000,672000,768000,864000,960000,1056000
25.7,192750,289125,385500,481875,578250,674625,771000,867375,963750,1060125
25.8,193500,290250,387000,483750,580500,677250,774000,870750,967500,1064250
25.9,194250,291375,388500,485625,582750,679875,777000,874125,971250,1068375
26,195000,292500,390000,487500,585000,682500,780000,877500,975000,1072500
26.1,195750,293625,391500,489375,587250,685125,783000,880875,978750,1076625
26.2,196500,294750,393000,491250,589500,687750,786000,884250,982500,1080750
26.3,197250,295875,394500,493125,591750,690375,789000,887625,986250,1084875
26.4,198000,297000,396000,495000,594000,693000,792000,891000,990000,1089000
26.5,198750,298125,397500,496875,596250,695625,795000,894375,993750,1093125
26.6,199500,299250,399000,498750,598500,698250,798000,897750,997500,1097250
26.7,200250,300375,400500,500625,600750,700875,801000,901125,1001250,1101375
26.8,201000,301500,402000,502500,603000,703500,804000,904500,1005000,1105500
26.9,201750,302625,403500,504375,605250,706125,807000,907875,1008750,1109625
27,202500,303750,405000,506250,607500,708750,810000,911250,1012500,1113750
27.1,203250,304875,406500,508125,609750,711375,813000,914625,1016250,1117875
27.2,204000,306000,408000,510000,612000,714000,816000,918000,1020000,1122000
27.3,204750,307125,409500,511875,614250,716625,819000,921375,1023750,1126125
27.4,205500,308250,411000,513750,616500,719250,822000,924750,1027500,1130250
27.5,206250,309375,412500,515625,618750,721875,825000,928125,1031250,1134375
27.6,207000,310500,414000,517500,621000,724500,828000,931500,1035000,1138500
27.7,207750,311625,415500,519375,623250,727125,831000,934875,1038750,1142625
27.8,208500,312750,417000,521250,625500,729750,834000,938250,1042500,1146750
27.9,209250,313875,418500,523125,627750,732375,837000,941625,1046250,1150875
28,210000,315000,420000,525000,630000,735000,840000,945000,1050000,1155000
28.1,210750,316125,421500,526875,632250,737625,843000,948375,1053750,1159125
28.2,211500,317250,423000,528750,634500,740250,846000,951750,1057500,1163250
28.3,212250,318375,424500,530625,636750,742875,849000,955125,1061250,1167375
28.4,213000,319500,426000,532500,639000,745500,852000,958500,1065000,1171500
28.5,213750,320625,427500,534375,641250,748125,855000,961875,1068750,1175625
28.6,214500,321750,429000,536250,643500,750750,858000,965250,1072500,1179750
28.7,215250,322875,430500,538125,645750,753375,861000,968625,1076250,1183875
28.8,216000,324000,432000,540000,648000,756000,864000,972000,1080000,1188000
28.9,216750,325125,433500,541875,650250,758625,867000,975375,1083750,1192125
29,217500,326250,435000,543750,652500,761250,870000,978750,1087500,1196250
29.1,218250,327375,436500,545625,654750,763875,873000,982125,1091250,1200375
29.2,219000,328500,438000,547500,657000,766500,876000,985500,1095000,1204500
29.3,219750,329625,439500,549375,659250,769125,879000,988875,1098750,1208625
29.4,220500,330750,441000,551250,661500,771750,882000,992250,1102500,1212750
29.5,221250,331875,442500,553125,663750,774375,885000,995625,1106250,1216875
29.6,222000,333000,444000,555000,666000,777000,888000,999000,1110000,1221000
29.7,222750,334125,445500,556875,668250,779625,891000,1002375,1113750,1225125
29.8,223500,335250,447000,558750,670500,782250,894000,1005750,1117500,1229250
29.9,224250,336375,448500,560625,672750,784875,897000,1009125,1121250,1233375
30,225000,337500,450000,562500,675000,787500,900000,1012500,1125000,1237500
