plant,King Limone
variant_title,(1x) King Limone ALL Damage Numbers
multiplier,1.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,8333.0,12499.5,16666,20832.5,24999,29165.5,33332,37498.5,41665,45831.5
1.1,9166.3,13749.45,18332.6,22915.75,27498.9,32082.05,36665.2,41248.35,45831.5,50414.65
1.2,9999.6,14999.4,19999.2,24999,29998.8,34998.6,39998.4,44998.2,49998,54997.8
1.3,10832.9,16249.35,21665.8,27082.25,32498.7,37915.15,43331.6,48748.05,54164.5,59580.95
1.4,11666.2,17499.3,23332.4,29165.5,34998.6,40831.7,46664.8,52497.9,58331,64164.1
1.5,12499.5,18749.25,24999,31248.75,37498.5,43748.25,49998,56247.75,62497.5,68747.25
1.6,13332.8,19999.2,26665.6,33332,39998.4,46664.8,53331.2,59997.6,66664,73330.4
1.7,14166.1,21249.15,28332.2,35415.25,42498.3,49581.35,56664.4,63747.45,70830.5,77913.55
1.8,14999.4,22499.1,29998.8,37498.5,44998.2,52497.9,59997.6,67497.3,74997,82496.7
1.9,15832.7,23749.05,31665.4,39581.75,47498.1,55414.45,63330.8,71247.15,79163.5,87079.85
2,16666,24999,33332,41665,49998,58331,66664,74997,83330,91663
2.1,17499.3,26248.95,34998.6,43748.25,52497.9,61247.55,69997.2,78746.85,87496.5,96246.15
2.2,18332.6,27498.9,36665.2,45831.5,54997.8,64164.1,73330.4,82496.7,91663,100829.3
2.3,19165.9,28748.85,38331.8,47914.75,57497.7,67080.65,76663.6,86246.55,95829.5,105412.45
2.4,19999.2,29998.8,39998.4,49998,59997.6,69997.2,79996.8,89996.4,99996,109995.6
2.5,20832.5,31248.75,41665,52081.25,62497.5,72913.75,83330,93746.25,104162.5,114578.75
2.6,21665.8,32498.7,43331.6,54164.5,64997.4,75830.3,86663.2,97496.1,108329,119161.9
2.7,22499.1,33748.65,44998.2,56247.75,67497.3,78746.85,89996.4,101245.95,112495.5,123745.05
2.8,23332.4,34998.6,46664.8,58331,69997.2,81663.4,93329.6,104995.8,116662,128328.2
2.9,24165.7,36248.55,48331.4,60414.25,72497.1,84579.95,96662.8,108745.65,120828.5,132911.35
3,24999,37498.5,49998,62497.5,74997,87496.5,99996,112495.5,124995,137494.5
3.1,25832.3,38748.45,51664.6,64580.75,77496.9,90413.05,103329.2,116245.35,129161.5,142077.65
3.2,26665.6,39998.4,53331.2,66664,79996.8,93329.6,106662.4,119995.2,133328,146660.8
3.3,27498.9,41248.35,54997.8,68747.25,82496.7,96246.15,109995.6,123745.05,137494.5,151243.95
3.4,28332.2,42498.3,56664.4,70830.5,84996.6,99162.7,113328.8,127494.9,141661,155827.1
3.5,29165.5,43748.25,58331,72913.75,87496.5,102079.25,116662,131244.75,145827.5,160410.25
3.6,29998.8,44998.2,59997.6,74997,89996.4,104995.8,119995.2,134994.6,149994,164993.4
3.7,30832.1,46248.15,61664.2,77080.25,92496.3,107912.35,123328.4,138744.45,154160.5,169576.55
3.8,31665.4,47498.1,63330.8,79163.5,94996.2,110828.9,126661.6,142494.3,158327,174159.7
3.9,32498.7,48748.05,64997.4,81246.75,97496.1,113745.45,129994.8,146244.15,162493.5,178742.85
4,33332,49998,66664,83330,99996,116662,133328,149994,166660,183326
4.1,34165.3,51247.95,68330.6,85413.25,102495.9,119578.55,136661.2,153743.85,170826.5,187909.15
4.2,34998.6,52497.9,69997.2,87496.5,104995.8,122495.1,139994.4,157493.7,174993,192492.3
4.3,35831.9,53747.85,71663.8,89579.75,107495.7,125411.65,143327.6,161243.55,179159.5,197075.45
4.4,36665.2,54997.8,73330.4,91663,109995.6,128328.2,146660.8,164993.4,183326,201658.6
4.5,37498.5,56247.75,74997,93746.25,112495.5,131244.75,149994,168743.25,187492.5,206241.75
4.6,38331.8,57497.7,76663.6,95829.5,114995.4,134161.3,153327.2,172493.1,191659,210824.9
4.7,39165.1,58747.65,78330.2,97912.75,117495.3,137077.85,156660.4,176242.95,195825.5,215408.05
4.8,39998.4,59997.6,79996.8,99996,119995.2,139994.4,159993.6,179992.8,199992,219991.2
4.9,40831.7,61247.55,81663.4,102079.25,122495.1,142910.95,163326.8,183742.65,204158.5,224574.35
5,41665,62497.5,83330,104162.5,124995,145827.5,166660,187492.5,208325,229157.5
5.1,42498.3,63747.45,84996.6,106245.75,127494.9,148744.05,169993.2,191242.35,212491.5,233740.65
5.2,43331.6,64997.4,86663.2,108329,129994.8,151660.6,173326.4,194992.2,216658,238323.8
5.3,44164.9,66247.35,88329.8,110412.25,132494.7,154577.15,176659.6,198742.05,220824.5,242906.95
5.4,44998.2,67497.3,89996.4,112495.5,134994.6,157493.7,179992.8,202491.9,224991,247490.1
5.5,45831.5,68747.25,91663,114578.75,137494.5,160410.25,183326,206241.75,229157.5,252073.25
5.6,46664.8,69997.2,93329.6,116662,139994.4,163326.8,186659.2,209991.6,233324,256656.4
5.7,47498.1,71247.15,94996.2,118745.25,142494.3,166243.35,189992.4,213741.45,237490.5,261239.55
5.8,48331.4,72497.1,96662.8,120828.5,144994.2,169159.9,193325.6,217491.3,241657,265822.7
5.9,49164.7,73747.05,98329.4,122911.75,147494.1,172076.45,196658.8,221241.15,245823.5,270405.85
6,49998,74997,99996,124995,149994,174993,199992,224991,249990,274989
6.1,50831.3,76246.95,101662.6,127078.25,152493.9,177909.55,203325.2,228740.85,254156.5,279572.15
6.2,51664.6,77496.9,103329.2,129161.5,154993.8,180826.1,206658.4,232490.7,258323,284155.3
6.3,52497.9,78746.85,104995.8,131244.75,157493.7,183742.65,209991.6,236240.55,262489.5,288738.45
6.4,53331.2,79996.8,106662.4,133328,159993.6,186659.2,213324.8,239990.4,266656,293321.6
6.5,54164.5,81246.75,108329,135411.25,162493.5,189575.75,216658,243740.25,270822.5,297904.75
6.6,54997.8,82496.7,109995.6,137494.5,164993.4,192492.3,219991.2,247490.1,274989,302487.9
6.7,55831.1,83746.65,111662.2,139577.75,167493.3,195408.85,223324.4,251239.95,279155.5,307071.05
6.8,56664.4,84996.6,113328.8,141661,169993.2,198325.4,226657.6,254989.8,283322,311654.2
6.9,57497.7,86246.55,114995.4,143744.25,172493.1,201241.95,229990.8,258739.65,287488.5,316237.35
7,58331,87496.5,116662,145827.5,174993,204158.5,233324,262489.5,291655,320820.5
7.1,59164.3,88746.45,118328.6,147910.75,177492.9,207075.05,236657.2,266239.35,295821.5,325403.65
7.2,59997.6,89996.4,119995.2,149994,179992.8,209991.6,239990.4,269989.2,299988,329986.8
7.3,60830.9,91246.35,121661.8,152077.25,182492.7,212908.15,243323.6,273739.05,304154.5,334569.95
7.4,61664.2,92496.3,123328.4,154160.5,184992.6,215824.7,246656.8,277488.9,308321,339153.1
7.5,62497.5,93746.25,124995,156243.75,187492.5,218741.25,249990,281238.75,312487.5,343736.25
7.6,63330.8,94996.2,126661.6,158327,189992.4,221657.8,253323.2,284988.6,316654,348319.4
7.7,64164.1,96246.15,128328.2,160410.25,192492.3,224574.35,256656.4,288738.45,320820.5,352902.55
7.8,64997.4,97496.1,129994.8,162493.5,194992.2,227490.9,259989.6,292488.3,324987,357485.7
7.9,65830.7,98746.05,131661.4,164576.75,197492.1,230407.45,263322.8,296238.15,329153.5,362068.85
8,66664,99996,133328,166660,199992,233324,266656,299988,333320,366652
8.1,67497.3,101245.95,134994.6,168743.25,202491.9,236240.55,269989.2,303737.85,337486.5,371235.15
8.2,68330.6,102495.9,136661.2,170826.5,204991.8,239157.1,273322.4,307487.7,341653,375818.3
8.3,69163.9,103745.85,138327.8,172909.75,207491.7,242073.65,276655.6,311237.55,345819.5,380401.45
8.4,69997.2,104995.8,139994.4,174993,209991.6,244990.2,279988.8,314987.4,349986,384984.6
8.5,70830.5,106245.75,141661,177076.25,212491.5,247906.75,283322,318737.25,354152.5,389567.75
8.6,71663.8,107495.7,143327.6,179159.5,214991.4,250823.3,286655.2,322487.1,358319,394150.9
8.7,72497.1,108745.65,144994.2,181242.75,217491.3,253739.85,289988.4,326236.95,362485.5,398734.05
8.8,73330.4,109995.6,146660.8,183326,219991.2,256656.4,293321.6,329986.8,366652,403317.2
8.9,74163.7,111245.55,148327.4,185409.25,222491.1,259572.95,296654.8,333736.65,370818.5,407900.35
9,74997,112495.5,149994,187492.5,224991,262489.5,299988,337486.5,374985,412483.5
9.1,75830.3,113745.45,151660.6,189575.75,227490.9,265406.05,303321.2,341236.35,379151.5,417066.65
9.2,76663.6,114995.4,153327.2,191659,229990.8,268322.6,306654.4,344986.2,383318,421649.8
9.3,77496.9,116245.35,154993.8,193742.25,232490.7,271239.15,309987.6,348736.05,387484.5,426232.95
9.4,78330.2,117495.3,156660.4,195825.5,234990.6,274155.7,313320.8,352485.9,391651,430816.1
9.5,79163.5,118745.25,158327,197908.75,237490.5,277072.25,316654,356235.75,395817.5,435399.25
9.6,79996.8,119995.2,159993.6,199992,239990.4,279988.8,319987.2,359985.6,399984,439982.4
9.7,80830.1,121245.15,161660.2,202075.25,242490.3,282905.35,323320.4,363735.45,404150.5,444565.55
9.8,81663.4,122495.1,163326.8,204158.5,244990.2,285821.9,326653.6,367485.3,408317,449148.7
9.9,82496.7,123745.05,164993.4,206241.75,247490.1,288738.45,329986.8,371235.15,412483.5,453731.85
10,83330,124995,166660,208325,249990,291655,333320,374985,416650,458315
10.1,84163.3,126244.95,168326.6,210408.25,252489.9,294571.55,336653.2,378734.85,420816.5,462898.15
10.2,84996.6,127494.9,169993.2,212491.5,254989.8,297488.1,339986.4,382484.7,424983,467481.3
10.3,85829.9,128744.85,171659.8,214574.75,257489.7,300404.65,343319.6,386234.55,429149.5,472064.45
10.4,86663.2,129994.8,173326.4,216658,259989.6,303321.2,346652.8,389984.4,433316,476647.6
10.5,87496.5,131244.75,174993,218741.25,262489.5,306237.75,349986,393734.25,437482.5,481230.75
10.6,88329.8,132494.7,176659.6,220824.5,264989.4,309154.3,353319.2,397484.1,441649,485813.9
10.7,89163.1,133744.65,178326.2,222907.75,267489.3,312070.85,356652.4,401233.95,445815.5,490397.05
10.8,89996.4,134994.6,179992.8,224991,269989.2,314987.4,359985.6,404983.8,449982,494980.2
10.9,90829.7,136244.55,181659.4,227074.25,272489.1,317903.95,363318.8,408733.65,454148.5,499563.35
11,91663,137494.5,183326,229157.5,274989,320820.5,366652,412483.5,458315,504146.5
11.1,92496.3,138744.45,184992.6,231240.75,277488.9,323737.05,369985.2,416233.35,462481.5,508729.65
11.2,93329.6,139994.4,186659.2,233324,279988.8,326653.6,373318.4,419983.2,466648,513312.8
11.3,94162.9,141244.35,188325.8,235407.25,282488.7,329570.15,376651.6,423733.05,470814.5,517895.95
11.4,94996.2,142494.3,189992.4,237490.5,284988.6,332486.7,379984.8,427482.9,474981,522479.1
11.5,95829.5,143744.25,191659,239573.75,287488.5,335403.25,383318,431232.75,479147.5,527062.25
11.6,96662.8,144994.2,193325.6,241657,289988.4,338319.8,386651.2,434982.6,483314,531645.4
11.7,97496.1,146244.15,194992.2,243740.25,292488.3,341236.35,389984.4,438732.45,487480.5,536228.55
11.8,98329.4,147494.1,196658.8,245823.5,294988.2,344152.9,393317.6,442482.3,491647,540811.7
11.9,99162.7,148744.05,198325.4,247906.75,297488.1,347069.45,396650.8,446232.15,495813.5,545394.85
12,99996,149994,199992,249990,299988,349986,399984,449982,499980,549978
12.1,100829.3,151243.95,201658.6,252073.25,302487.9,352902.55,403317.2,453731.85,504146.5,554561.15
12.2,101662.6,152493.9,203325.2,254156.5,304987.8,355819.1,406650.4,457481.7,508313,559144.3
12.3,102495.9,153743.85,204991.8,256239.75,307487.7,358735.65,409983.6,461231.55,512479.5,563727.45
12.4,103329.2,154993.8,206658.4,258323,309987.6,361652.2,413316.8,464981.4,516646,568310.6
12.5,104162.5,156243.75,208325,260406.25,312487.5,364568.75,416650,468731.25,520812.5,572893.75
12.6,104995.8,157493.7,209991.6,262489.5,314987.4,367485.3,419983.2,472481.1,524979,577476.9
12.7,105829.1,158743.65,211658.2,264572.75,317487.3,370401.85,423316.4,476230.95,529145.5,582060.05
12.8,106662.4,159993.6,213324.8,266656,319987.2,373318.4,426649.6,479980.8,533312,586643.2
12.9,107495.7,161243.55,214991.4,268739.25,322487.1,376234.95,429982.8,483730.65,537478.5,591226.35
13,108329,162493.5,216658,270822.5,324987,379151.5,433316,487480.5,541645,595809.5
13.1,109162.3,163743.45,218324.6,272905.75,327486.9,382068.05,436649.2,491230.35,545811.5,600392.65
13.2,109995.6,164993.4,219991.2,274989,329986.8,384984.6,439982.4,494980.2,549978,604975.8
13.3,110828.9,166243.35,221657.8,277072.25,332486.7,387901.15,443315.6,498730.05,554144.5,609558.95
13.4,111662.2,167493.3,223324.4,279155.5,334986.6,390817.7,446648.8,502479.9,558311,614142.1
13.5,112495.5,168743.25,224991,281238.75,337486.5,393734.25,449982,506229.75,562477.5,618725.25
13.6,113328.8,169993.2,226657.6,283322,339986.4,396650.8,453315.2,509979.6,566644,623308.4
13.7,114162.1,171243.15,228324.2,285405.25,342486.3,399567.35,456648.4,513729.45,570810.5,627891.55
13.8,114995.4,172493.1,229990.8,287488.5,344986.2,402483.9,459981.6,517479.3,574977,632474.7
13.9,115828.7,173743.05,231657.4,289571.75,347486.1,405400.45,463314.8,521229.15,579143.5,637057.85
14,116662,174993,233324,291655,349986,408317,466648,524979,583310,641641
14.1,117495.3,176242.95,234990.6,293738.25,352485.9,411233.55,469981.2,528728.85,587476.5,646224.15
14.2,118328.6,177492.9,236657.2,295821.5,354985.8,414150.1,473314.4,532478.7,591643,650807.3
14.3,119161.9,178742.85,238323.8,297904.75,357485.7,417066.65,476647.6,536228.55,595809.5,655390.45
14.4,119995.2,179992.8,239990.4,299988,359985.6,419983.2,479980.8,539978.4,599976,659973.6
14.5,120828.5,181242.75,241657,302071.25,362485.5,422899.75,483314,543728.25,604142.5,664556.75
14.6,121661.8,182492.7,243323.6,304154.5,364985.4,425816.3,486647.2,547478.1,608309,669139.9
14.7,122495.1,183742.65,244990.2,306237.75,367485.3,428732.85,489980.4,551227.95,612475.5,673723.05
14.8,123328.4,184992.6,246656.8,308321,369985.2,431649.4,493313.6,554977.8,616642,678306.2
14.9,124161.7,186242.55,248323.4,310404.25,372485.1,434565.95,496646.8,558727.65,620808.5,682889.35
15,124995,187492.5,249990,312487.5,374985,437482.5,499980,562477.5,624975,687472.5
15.1,125828.3,188742.45,251656.6,314570.75,377484.9,440399.05,503313.2,566227.35,629141.5,692055.65
15.2,126661.6,189992.4,253323.2,316654,379984.8,443315.6,506646.4,569977.2,633308,696638.8
15.3,127494.9,191242.35,254989.8,318737.25,382484.7,446232.15,509979.6,573727.05,637474.5,701221.95
15.4,128328.2,192492.3,256656.4,320820.5,384984.6,449148.7,513312.8,577476.9,641641,705805.1
15.5,129161.5,193742.25,258323,322903.75,387484.5,452065.25,516646,581226.75,645807.5,710388.25
15.6,129994.8,194992.2,259989.6,324987,389984.4,454981.8,519979.2,584976.6,649974,714971.4
15.7,130828.1,196242.15,261656.2,327070.25,392484.3,457898.35,523312.4,588726.45,654140.5,719554.55
15.8,131661.4,197492.1,263322.8,329153.5,394984.2,460814.9,526645.6,592476.3,658307,724137.7
15.9,132494.7,198742.05,264989.4,331236.75,397484.1,463731.45,529978.8,596226.15,662473.5,728720.85
16,133328,199992,266656,333320,399984,466648,533312,599976,666640,733304
16.1,134161.3,201241.95,268322.6,335403.25,402483.9,469564.55,536645.2,603725.85,670806.5,737887.15
16.2,134994.6,202491.9,269989.2,337486.5,404983.8,472481.1,539978.4,607475.7,674973,742470.3
16.3,135827.9,203741.85,271655.8,339569.75,407483.7,475397.65,543311.6,611225.55,679139.5,747053.45
16.4,136661.2,204991.8,273322.4,341653,409983.6,478314.2,546644.8,614975.4,683306,751636.6
16.5,137494.5,206241.75,274989,343736.25,412483.5,481230.75,549978,618725.25,687472.5,756219.75
16.6,138327.8,207491.7,276655.6,345819.5,414983.4,484147.3,553311.2,622475.1,691639,760802.9
16.7,139161.1,208741.65,278322.2,347902.75,417483.3,487063.85,556644.4,626224.95,695805.5,765386.05
16.8,139994.4,209991.6,279988.8,349986,419983.2,489980.4,559977.6,629974.8,699972,769969.2
16.9,140827.7,211241.55,281655.4,352069.25,422483.1,492896.95,563310.8,633724.65,704138.5,774552.35
17,141661,212491.5,283322,354152.5,424983,495813.5,566644,637474.5,708305,779135.5
17.1,142494.3,213741.45,284988.6,356235.75,427482.9,498730.05,569977.2,641224.35,712471.5,783718.65
17.2,143327.6,214991.4,286655.2,358319,429982.8,501646.6,573310.4,644974.2,716638,788301.8
17.3,144160.9,216241.35,288321.8,360402.25,432482.7,504563.15,576643.6,648724.05,720804.5,792884.95
17.4,144994.2,217491.3,289988.4,362485.5,434982.6,507479.7,579976.8,652473.9,724971,797468.1
17.5,145827.5,218741.25,291655,364568.75,437482.5,510396.25,583310,656223.75,729137.5,802051.25
17.6,146660.8,219991.2,293321.6,366652,439982.4,513312.8,586643.2,659973.6,733304,806634.4
17.7,147494.1,221241.15,294988.2,368735.25,442482.3,516229.35,589976.4,663723.45,737470.5,811217.55
17.8,148327.4,222491.1,296654.8,370818.5,444982.2,519145.9,593309.6,667473.3,741637,815800.7
17.9,149160.7,223741.05,298321.4,372901.75,447482.1,522062.45,596642.8,671223.15,745803.5,820383.85
18,149994,224991,299988,374985,449982,524979,599976,674973,749970,824967
18.1,150827.3,226240.95,301654.6,377068.25,452481.9,527895.55,603309.2,678722.85,754136.5,829550.15
18.2,151660.6,227490.9,303321.2,379151.5,454981.8,530812.1,606642.4,682472.7,758303,834133.3
18.3,152493.9,228740.85,304987.8,381234.75,457481.7,533728.65,609975.6,686222.55,762469.5,838716.45
18.4,153327.2,229990.8,306654.4,383318,459981.6,536645.2,613308.8,689972.4,766636,843299.6
18.5,154160.5,231240.75,308321,385401.25,462481.5,539561.75,616642,693722.25,770802.5,847882.75
18.6,154993.8,232490.7,309987.6,387484.5,464981.4,542478.3,619975.2,697472.1,774969,852465.9
