plant,King Limone
variant_title,(2x) Gold/Foggy/Electrified/Scorched King Limone ALL Damage Numbers
multiplier,2.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,16666,24999,33332,41665,49998,58331,66664,74997,83330,91663
1.1,18332.6,27498.9,36665.2,45831.5,54997.8,64164.1,73330.4,82496.7,91663,100829.3
1.2,19999.2,29998.8,39998.4,49998,59997.6,69997.2,79996.8,89996.4,99996,109995.6
1.3,21665.8,32498.7,43331.6,54164.5,64997.4,75830.3,86663.2,97496.1,108329,119161.9
1.4,23332.4,34998.6,46664.8,58331,69997.2,81663.4,93329.6,104995.8,116662,128328.2
1.5,24999,37498.5,49998,62497.5,74997,87496.5,99996,112495.5,124995,137494.5
1.6,26665.6,39998.4,53331.2,66664,79996.8,93329.6,106662.4,119995.2,133328,146660.8
1.7,28332.2,42498.3,56664.4,70830.5,84996.6,99162.7,113328.8,127494.9,141661,155827.1
1.8,29998.8,44998.2,59997.6,74997,89996.4,104995.8,119995.2,134994.6,149994,164993.4
1.9,31665.4,47498.1,63330.8,79163.5,94996.2,110828.9,126661.6,142494.3,158327,174159.7
2,33332,49998,66664,83330,99996,116662,133328,149994,166660,183326
2.1,34998.6,52497.9,69997.2,87496.5,104995.8,122495.1,139994.4,157493.7,174993,192492.3
2.2,36665.2,54997.8,73330.4,91663,109995.6,128328.2,146660.8,164993.4,183326,201658.6
2.3,38331.8,57497.7,76663.6,95829.5,114995.4,134161.3,153327.2,172493.1,191659,210824.9
2.4,39998.4,59997.6,79996.8,99996,119995.2,139994.4,159993.6,179992.8,199992,219991.2
2.5,41665,62497.5,83330,104162.5,124995,145827.5,166660,187492.5,208325,229157.5
2.6,43331.6,64997.4,86663.2,108329,129994.8,151660.6,173326.4,194992.2,216658,238323.8
2.7,44998.2,67497.3,89996.4,112495.5,134994.6,157493.7,179992.8,202491.9,224991,247490.1
2.8,46664.8,69997.2,93329.6,116662,139994.4,163326.8,186659.2,209991.6,233324,256656.4
