plant,King Limone
variant_title,3.15x Fusion Mutation King Limone ALL Damage Numbers
multiplier,3.15

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,26248.95,39373.425,52497.9,65622.375,78746.85,91871.325,104995.8,118120.275,131244.75,144369.225
1.1,28873.845,43310.7675,57747.69,72184.6125,86621.535,101058.4575,115495.38,129932.3025,144369.225,158806.1475
1.2,31498.74,47248.11,62997.48,78746.85,94496.22,110245.59,125994.96,141744.33,157493.7,173243.07
1.3,34123.635,51185.4525,68247.27,85309.0875,102370.905,119432.7225,136494.54,153556.3575,170618.175,187679.9925
1.4,36748.53,55122.795,73497.06,91871.325,110245.59,128619.855,146994.12,165368.385,183742.65,202116.915
1.5,39373.425,59060.1375,78746.85,98433.5625,118120.275,137806.9875,157493.7,177180.4125,196867.125,216553.8375
1.6,41998.32,62997.48,83996.64,104995.8,125994.96,146994.12,167993.28,188992.44,209991.6,230990.76
1.7,44623.215,66934.8225,89246.43,111558.0375,133869.645,156181.2525,178492.86,200804.4675,223116.075,245427.6825
1.8,47248.11,70872.165,94496.22,118120.275,141744.33,165368.385,188992.44,212616.495,236240.55,259864.605
1.9,49873.005,74809.5075,99746.01,124682.5125,149619.015,174555.5175,199492.02,224428.5225,249365.025,274301.5275
2,52497.9,78746.85,104995.8,131244.75,157493.7,183742.65,209991.6,236240.55,262489.5,288738.45
2.1,55122.795,82684.1925,110245.59,137806.9875,165368.385,192929.7825,220491.18,248052.5775,275613.975,303175.3725
2.2,57747.69,86621.535,115495.38,144369.225,173243.07,202116.915,230990.76,259864.605,288738.45,317612.295
2.3,60372.585,90558.8775,120745.17,150931.4625,181117.755,211304.0475,241490.34,271676.6325,301862.925,332049.2175
2.4,62997.48,94496.22,125994.96,157493.7,188992.44,220491.18,251989.92,283488.66,314987.4,346486.14
2.5,65622.375,98433.5625,131244.75,164055.9375,196867.125,229678.3125,262489.5,295300.6875,328111.875,360923.0625
2.6,68247.27,102370.905,136494.54,170618.175,204741.81,238865.445,272989.08,307112.715,341236.35,375359.985
2.7,70872.165,106308.2475,141744.33,177180.4125,212616.495,248052.5775,283488.66,318924.7425,354360.825,389796.9075
2.8,73497.06,110245.59,146994.12,183742.65,220491.18,257239.71,293988.24,330736.77,367485.3,404233.83
2.9,76121.955,114182.9325,152243.91,190304.8875,228365.865,266426.8425,304487.82,342548.7975,380609.775,418670.7525
3,78746.85,118120.275,157493.7,196867.125,236240.55,275613.975,314987.4,354360.825,393734.25,433107.675
3.1,81371.745,122057.6175,162743.49,203429.3625,244115.235,284801.1075,325486.98,366172.8525,406858.725,447544.5975
3.2,83996.64,125994.96,167993.28,209991.6,251989.92,293988.24,335986.56,377984.88,419983.2,461981.52
3.3,86621.535,129932.3025,173243.07,216553.8375,259864.605,303175.3725,346486.14,389796.9075,433107.675,476418.4425
3.4,89246.43,133869.645,178492.86,223116.075,267739.29,312362.505,356985.72,401608.935,446232.15,490855.365
3.5,91871.325,137806.9875,183742.65,229678.3125,275613.975,321549.6375,367485.3,413420.9625,459356.625,505292.2875
3.6,94496.22,141744.33,188992.44,236240.55,283488.66,330736.77,377984.88,425232.99,472481.1,519729.21
3.7,97121.115,145681.6725,194242.23,242802.7875,291363.345,339923.9025,388484.46,437045.0175,485605.575,534166.1325
3.8,99746.01,149619.015,199492.02,249365.025,299238.03,349111.035,398984.04,448857.045,498730.05,548603.055
3.9,102370.905,153556.3575,204741.81,255927.2625,307112.715,358298.1675,409483.62,460669.0725,511854.525,563039.9775
4,104995.8,157493.7,209991.6,262489.5,314987.4,367485.3,419983.2,472481.1,524979,577476.9
4.1,107620.695,161431.0425,215241.39,269051.7375,322862.085,376672.4325,430482.78,484293.1275,538103.475,591913.8225
4.2,110245.59,165368.385,220491.18,275613.975,330736.77,385859.565,440982.36,496105.155,551227.95,606350.745
4.3,112870.485,169305.7275,225740.97,282176.2125,338611.455,395046.6975,451481.94,507917.1825,564352.425,620787.6675
4.4,115495.38,173243.07,230990.76,288738.45,346486.14,404233.83,461981.52,519729.21,577476.9,635224.59
4.5,118120.275,177180.4125,236240.55,295300.6875,354360.825,413420.9625,472481.1,531541.2375,590601.375,649661.5125
4.6,120745.17,181117.755,241490.34,301862.925,362235.51,422608.095,482980.68,543353.265,603725.85,664098.435
4.7,123370.065,185055.0975,246740.13,308425.1625,370110.195,431795.2275,493480.26,555165.2925,616850.325,678535.3575
4.8,125994.96,188992.44,251989.92,314987.4,377984.88,440982.36,503979.84,566977.32,629974.8,692972.28
4.9,128619.855,192929.7825,257239.71,321549.6375,385859.565,450169.4925,514479.42,578789.3475,643099.275,707409.2025
5,131244.75,196867.125,262489.5,328111.875,393734.25,459356.625,524979,590601.375,656223.75,721846.125
5.1,133869.645,200804.4675,267739.29,334674.1125,401608.935,468543.7575,535478.58,602413.4025,669348.225,736283.0475
5.2,136494.54,204741.81,272989.08,341236.35,409483.62,477730.89,545978.16,614225.43,682472.7,750719.97
5.3,139119.435,208679.1525,278238.87,347798.5875,417358.305,486918.0225,556477.74,626037.4575,695597.175,765156.8925
5.4,141744.33,212616.495,283488.66,354360.825,425232.99,496105.155,566977.32,637849.485,708721.65,779593.815
5.5,144369.225,216553.8375,288738.45,360923.0625,433107.675,505292.2875,577476.9,649661.5125,721846.125,794030.7375
5.6,146994.12,220491.18,293988.24,367485.3,440982.36,514479.42,587976.48,661473.54,734970.6,808467.66
5.7,149619.015,224428.5225,299238.03,374047.5375,448857.045,523666.5525,598476.06,673285.5675,748095.075,822904.5825
5.8,152243.91,228365.865,304487.82,380609.775,456731.73,532853.685,608975.64,685097.595,761219.55,837341.505
5.9,154868.805,232303.2075,309737.61,387172.0125,464606.415,542040.8175,619475.22,696909.6225,774344.025,851778.4275
6,157493.7,236240.55,314987.4,393734.25,472481.1,551227.95,629974.8,708721.65,787468.5,866215.35
6.1,160118.595,240177.8925,320237.19,400296.4875,480355.785,560415.0825,640474.38,720533.6775,800592.975,880652.2725
6.2,162743.49,244115.235,325486.98,406858.725,488230.47,569602.215,650973.96,732345.705,813717.45,895089.195
6.3,165368.385,248052.5775,330736.77,413420.9625,496105.155,578789.3475,661473.54,744157.7325,826841.925,909526.1175
6.4,167993.28,251989.92,335986.56,419983.2,503979.84,587976.48,671973.12,755969.76,839966.4,923963.04
6.5,170618.175,255927.2625,341236.35,426545.4375,511854.525,597163.6125,682472.7,767781.7875,853090.875,938399.9625
6.6,173243.07,259864.605,346486.14,433107.675,519729.21,606350.745,692972.28,779593.815,866215.35,952836.885
6.7,175867.965,263801.9475,351735.93,439669.9125,527603.895,615537.8775,703471.86,791405.8425,879339.825,967273.8075
6.8,178492.86,267739.29,356985.72,446232.15,535478.58,624725.01,713971.44,803217.87,892464.3,981710.73
6.9,181117.755,271676.6325,362235.51,452794.3875,543353.265,633912.1425,724471.02,815029.8975,905588.775,996147.6525
7,183742.65,275613.975,367485.3,459356.625,551227.95,643099.275,734970.6,826841.925,918713.25,1010584.575
7.1,186367.545,279551.3175,372735.09,465918.8625,559102.635,652286.4075,745470.18,838653.9525,931837.725,1025021.498
7.2,188992.44,283488.66,377984.88,472481.1,566977.32,661473.54,755969.76,850465.98,944962.2,1039458.42
7.3,191617.335,287426.0025,383234.67,479043.3375,574852.005,670660.6725,766469.34,862278.0075,958086.675,1053895.343
7.4,194242.23,291363.345,388484.46,485605.575,582726.69,679847.805,776968.92,874090.035,971211.15,1068332.265
7.5,196867.125,295300.6875,393734.25,492167.8125,590601.375,689034.9375,787468.5,885902.0625,984335.625,1082769.188
7.6,199492.02,299238.03,398984.04,498730.05,598476.06,698222.07,797968.08,897714.09,997460.1,1097206.11
7.7,202116.915,303175.3725,404233.83,505292.2875,606350.745,707409.2025,808467.66,909526.1175,1010584.575,1111643.033
7.8,204741.81,307112.715,409483.62,511854.525,614225.43,716596.335,818967.24,921338.145,1023709.05,1126079.955
7.9,207366.705,311050.0575,414733.41,518416.7625,622100.115,725783.4675,829466.82,933150.1725,1036833.525,1140516.878
8,209991.6,314987.4,419983.2,524979,629974.8,734970.6,839966.4,944962.2,1049958,1154953.8
8.1,212616.495,318924.7425,425232.99,531541.2375,637849.485,744157.7325,850465.98,956774.2275,1063082.475,1169390.723
8.2,215241.39,322862.085,430482.78,538103.475,645724.17,753344.865,860965.56,968586.255,1076206.95,1183827.645
8.3,217866.285,326799.4275,435732.57,544665.7125,653598.855,762531.9975,871465.14,980398.2825,1089331.425,1198264.568
8.4,220491.18,330736.77,440982.36,551227.95,661473.54,771719.13,881964.72,992210.31,1102455.9,1212701.49
8.5,223116.075,334674.1125,446232.15,557790.1875,669348.225,780906.2625,892464.3,1004022.338,1115580.375,1227138.413
8.6,225740.97,338611.455,451481.94,564352.425,677222.91,790093.395,902963.88,1015834.365,1128704.85,1241575.335
8.7,228365.865,342548.7975,456731.73,570914.6625,685097.595,799280.5275,913463.46,1027646.393,1141829.325,1256012.258
8.8,230990.76,346486.14,461981.52,577476.9,692972.28,808467.66,923963.04,1039458.42,1154953.8,1270449.18
8.9,233615.655,350423.4825,467231.31,584039.1375,700846.965,817654.7925,934462.62,1051270.448,1168078.275,1284886.103
9,236240.55,354360.825,472481.1,590601.375,708721.65,826841.925,944962.2,1063082.475,1181202.75,1299323.025
9.1,238865.445,358298.1675,477730.89,597163.6125,716596.335,836029.0575,955461.78,1074894.503,1194327.225,1313759.948
9.2,241490.34,362235.51,482980.68,603725.85,724471.02,845216.19,965961.36,1086706.53,1207451.7,1328196.87
9.3,244115.235,366172.8525,488230.47,610288.0875,732345.705,854403.3225,976460.94,1098518.558,1220576.175,1342633.793
9.4,246740.13,370110.195,493480.26,616850.325,740220.39,863590.455,986960.52,1110330.585,1233700.65,1357070.715
9.5,249365.025,374047.5375,498730.05,623412.5625,748095.075,872777.5875,997460.1,1122142.613,1246825.125,1371507.638
9.6,251989.92,377984.88,503979.84,629974.8,755969.76,881964.72,1007959.68,1133954.64,1259949.6,1385944.56
9.7,254614.815,381922.2225,509229.63,636537.0375,763844.445,891151.8525,1018459.26,1145766.668,1273074.075,1400381.483
9.8,257239.71,385859.565,514479.42,643099.275,771719.13,900338.985,1028958.84,1157578.695,1286198.55,1414818.405
9.9,259864.605,389796.9075,519729.21,649661.5125,779593.815,909526.1175,1039458.42,1169390.723,1299323.025,1429255.328
10,262489.5,393734.25,524979,656223.75,787468.5,918713.25,1049958,1181202.75,1312447.5,1443692.25
10.1,265114.395,397671.5925,530228.79,662785.9875,795343.185,927900.3825,1060457.58,1193014.778,1325571.975,1458129.173
10.2,267739.29,401608.935,535478.58,669348.225,803217.87,937087.515,1070957.16,1204826.805,1338696.45,1472566.095
10.3,270364.185,405546.2775,540728.37,675910.4625,811092.555,946274.6475,1081456.74,1216638.833,1351820.925,1487003.018
10.4,272989.08,409483.62,545978.16,682472.7,818967.24,955461.78,1091956.32,1228450.86,1364945.4,1501439.94
10.5,275613.975,413420.9625,551227.95,689034.9375,826841.925,964648.9125,1102455.9,1240262.888,1378069.875,1515876.863
10.6,278238.87,417358.305,556477.74,695597.175,834716.61,973836.045,1112955.48,1252074.915,1391194.35,1530313.785
10.7,280863.765,421295.6475,561727.53,702159.4125,842591.295,983023.1775,1123455.06,1263886.943,1404318.825,1544750.708
10.8,283488.66,425232.99,566977.32,708721.65,850465.98,992210.31,1133954.64,1275698.97,1417443.3,1559187.63
10.9,286113.555,429170.3325,572227.11,715283.8875,858340.665,1001397.443,1144454.22,1287510.998,1430567.775,1573624.553
11,288738.45,433107.675,577476.9,721846.125,866215.35,1010584.575,1154953.8,1299323.025,1443692.25,1588061.475
11.1,291363.345,437045.0175,582726.69,728408.3625,874090.035,1019771.708,1165453.38,1311135.053,1456816.725,1602498.398
11.2,293988.24,440982.36,587976.48,734970.6,881964.72,1028958.84,1175952.96,1322947.08,1469941.2,1616935.32
11.3,296613.135,444919.7025,593226.27,741532.8375,889839.405,1038145.973,1186452.54,1334759.108,1483065.675,1631372.243
11.4,299238.03,448857.045,598476.06,748095.075,897714.09,1047333.105,1196952.12,1346571.135,1496190.15,1645809.165
11.5,301862.925,452794.3875,603725.85,754657.3125,905588.775,1056520.238,1207451.7,1358383.163,1509314.625,1660246.088
11.6,304487.82,456731.73,608975.64,761219.55,913463.46,1065707.37,1217951.28,1370195.19,1522439.1,1674683.01
11.7,307112.715,460669.0725,614225.43,767781.7875,921338.145,1074894.503,1228450.86,1382007.218,1535563.575,1689119.933
11.8,309737.61,464606.415,619475.22,774344.025,929212.83,1084081.635,1238950.44,1393819.245,1548688.05,1703556.855
11.9,312362.505,468543.7575,624725.01,780906.2625,937087.515,1093268.768,1249450.02,1405631.273,1561812.525,1717993.778
12,314987.4,472481.1,629974.8,787468.5,944962.2,1102455.9,1259949.6,1417443.3,1574937,1732430.7
12.1,317612.295,476418.4425,635224.59,794030.7375,952836.885,1111643.033,1270449.18,1429255.328,1588061.475,1746867.623
12.2,320237.19,480355.785,640474.38,800592.975,960711.57,1120830.165,1280948.76,1441067.355,1601185.95,1761304.545
12.3,322862.085,484293.1275,645724.17,807155.2125,968586.255,1130017.298,1291448.34,1452879.383,1614310.425,1775741.468
12.4,325486.98,488230.47,650973.96,813717.45,976460.94,1139204.43,1301947.92,1464691.41,1627434.9,1790178.39
12.5,328111.875,492167.8125,656223.75,820279.6875,984335.625,1148391.563,1312447.5,1476503.438,1640559.375,1804615.313
