plant,King Limone
variant_title,(3x) Diamond King Limone ALL Damage Numbers
multiplier,3.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,24999,37498.5,49998,62497.5,74997,87496.5,99996,112495.5,124995,137494.5
1.1,27498.9,41248.35,54997.8,68747.25,82496.7,96246.15,109995.6,123745.05,137494.5,151243.95
1.2,29998.8,44998.2,59997.6,74997,89996.4,104995.8,119995.2,134994.6,149994,164993.4
1.3,32498.7,48748.05,64997.4,81246.75,97496.1,113745.45,129994.8,146244.15,162493.5,178742.85
1.4,34998.6,52497.9,69997.2,87496.5,104995.8,122495.1,139994.4,157493.7,174993,192492.3
1.5,37498.5,56247.75,74997,93746.25,112495.5,131244.75,149994,168743.25,187492.5,206241.75
1.6,39998.4,59997.6,79996.8,99996,119995.2,139994.4,159993.6,179992.8,199992,219991.2
1.7,42498.3,63747.45,84996.6,106245.75,127494.9,148744.05,169993.2,191242.35,212491.5,233740.65
1.8,44998.2,67497.3,89996.4,112495.5,134994.6,157493.7,179992.8,202491.9,224991,247490.1
1.9,47498.1,71247.15,94996.2,118745.25,142494.3,166243.35,189992.4,213741.45,237490.5,261239.55
2,49998,74997,99996,124995,149994,174993,199992,224991,249990,274989
2.1,52497.9,78746.85,104995.8,131244.75,157493.7,183742.65,209991.6,236240.55,262489.5,288738.45
2.2,54997.8,82496.7,109995.6,137494.5,164993.4,192492.3,219991.2,247490.1,274989,302487.9
2.3,57497.7,86246.55,114995.4,143744.25,172493.1,201241.95,229990.8,258739.65,287488.5,316237.35
2.4,59997.6,89996.4,119995.2,149994,179992.8,209991.6,239990.4,269989.2,299988,329986.8
2.5,62497.5,93746.25,124995,156243.75,187492.5,218741.25,249990,281238.75,312487.5,343736.25
2.6,64997.4,97496.1,129994.8,162493.5,194992.2,227490.9,259989.6,292488.3,324987,357485.7
2.7,67497.3,101245.95,134994.6,168743.25,202491.9,236240.55,269989.2,303737.85,337486.5,371235.15
2.8,69997.2,104995.8,139994.4,174993,209991.6,244990.2,279988.8,314987.4,349986,384984.6
2.9,72497.1,108745.65,144994.2,181242.75,217491.3,253739.85,289988.4,326236.95,362485.5,398734.05
3,74997,112495.5,149994,187492.5,224991,262489.5,299988,337486.5,374985,412483.5
3.1,77496.9,116245.35,154993.8,193742.25,232490.7,271239.15,309987.6,348736.05,387484.5,426232.95
3.2,79996.8,119995.2,159993.6,199992,239990.4,279988.8,319987.2,359985.6,399984,439982.4
