plant,King Limone
variant_title,(4x) Ruby/Frozen King Limone ALL Damage Numbers
multiplier,4.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,33332,49998,66664,83330,99996,116662,133328,149994,166660,183326
1.1,36665.2,54997.8,73330.4,91663,109995.6,128328.2,146660.8,164993.4,183326,201658.6
1.2,39998.4,59997.6,79996.8,99996,119995.2,139994.4,159993.6,179992.8,199992,219991.2
1.3,43331.6,64997.4,86663.2,108329,129994.8,151660.6,173326.4,194992.2,216658,238323.8
1.4,46664.8,69997.2,93329.6,116662,139994.4,163326.8,186659.2,209991.6,233324,256656.4
1.5,49998,74997,99996,124995,149994,174993,199992,224991,249990,274989
1.6,53331.2,79996.8,106662.4,133328,159993.6,186659.2,213324.8,239990.4,266656,293321.6
1.7,56664.4,84996.6,113328.8,141661,169993.2,198325.4,226657.6,254989.8,283322,311654.2
1.8,59997.6,89996.4,119995.2,149994,179992.8,209991.6,239990.4,269989.2,299988,329986.8
1.9,63330.8,94996.2,126661.6,158327,189992.4,221657.8,253323.2,284988.6,316654,348319.4
2,66664,99996,133328,166660,199992,233324,266656,299988,333320,366652
2.1,69997.2,104995.8,139994.4,174993,209991.6,244990.2,279988.8,314987.4,349986,384984.6
2.2,73330.4,109995.6,146660.8,183326,219991.2,256656.4,293321.6,329986.8,366652,403317.2
2.3,76663.6,114995.4,153327.2,191659,229990.8,268322.6,306654.4,344986.2,383318,421649.8
2.4,79996.8,119995.2,159993.6,199992,239990.4,279988.8,319987.2,359985.6,399984,439982.4
2.5,83330,124995,166660,208325,249990,291655,333320,374985,416650,458315
2.6,86663.2,129994.8,173326.4,216658,259989.6,303321.2,346652.8,389984.4,433316,476647.6
2.7,89996.4,134994.6,179992.8,224991,269989.2,314987.4,359985.6,404983.8,449982,494980.2
2.8,93329.6,139994.4,186659.2,233324,279988.8,326653.6,373318.4,419983.2,466648,513312.8
2.9,96662.8,144994.2,193325.6,241657,289988.4,338319.8,386651.2,434982.6,483314,531645.4
3,99996,149994,199992,249990,299988,349986,399984,449982,499980,549978
3.1,103329.2,154993.8,206658.4,258323,309987.6,361652.2,413316.8,464981.4,516646,568310.6
3.2,106662.4,159993.6,213324.8,266656,319987.2,373318.4,426649.6,479980.8,533312,586643.2
3.3,109995.6,164993.4,219991.2,274989,329986.8,384984.6,439982.4,494980.2,549978,604975.8
3.4,113328.8,169993.2,226657.6,283322,339986.4,396650.8,453315.2,509979.6,566644,623308.4
3.5,116662,174993,233324,291655,349986,408317,466648,524979,583310,641641
3.6,119995.2,179992.8,239990.4,299988,359985.6,419983.2,479980.8,539978.4,599976,659973.6
3.7,123328.4,184992.6,246656.8,308321,369985.2,431649.4,493313.6,554977.8,616642,678306.2
3.8,126661.6,189992.4,253323.2,316654,379984.8,443315.6,506646.4,569977.2,633308,696638.8
3.9,129994.8,194992.2,259989.6,324987,389984.4,454981.8,519979.2,584976.6,649974,714971.4
4,133328,199992,266656,333320,399984,466648,533312,599976,666640,733304
4.1,136661.2,204991.8,273322.4,341653,409983.6,478314.2,546644.8,614975.4,683306,751636.6
