plant,King Limone
variant_title,(5x) Neon King Limone ALL Damage Numbers
multiplier,5.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,41665,62497.5,83330,104162.5,124995,145827.5,166660,187492.5,208325,229157.5
1.1,45831.5,68747.25,91663,114578.75,137494.5,160410.25,183326,206241.75,229157.5,252073.25
1.2,49998,74997,99996,124995,149994,174993,199992,224991,249990,274989
1.3,54164.5,81246.75,108329,135411.25,162493.5,189575.75,216658,243740.25,270822.5,297904.75
1.4,58331,87496.5,116662,145827.5,174993,204158.5,233324,262489.5,291655,320820.5
1.5,62497.5,93746.25,124995,156243.75,187492.5,218741.25,249990,281238.75,312487.5,343736.25
1.6,66664,99996,133328,166660,199992,233324,266656,299988,333320,366652
1.7,70830.5,106245.75,141661,177076.25,212491.5,247906.75,283322,318737.25,354152.5,389567.75
1.8,74997,112495.5,149994,187492.5,224991,262489.5,299988,337486.5,374985,412483.5
1.9,79163.5,118745.25,158327,197908.75,237490.5,277072.25,316654,356235.75,395817.5,435399.25
2,83330,124995,166660,208325,249990,291655,333320,374985,416650,458315
2.1,87496.5,131244.75,174993,218741.25,262489.5,306237.75,349986,393734.25,437482.5,481230.75
2.2,91663,137494.5,183326,229157.5,274989,320820.5,366652,412483.5,458315,504146.5
2.3,95829.5,143744.25,191659,239573.75,287488.5,335403.25,383318,431232.75,479147.5,527062.25
2.4,99996,149994,199992,249990,299988,349986,399984,449982,499980,549978
2.5,104162.5,156243.75,208325,260406.25,312487.5,364568.75,416650,468731.25,520812.5,572893.75
2.6,108329,162493.5,216658,270822.5,324987,379151.5,433316,487480.5,541645,595809.5
2.7,112495.5,168743.25,224991,281238.75,337486.5,393734.25,449982,506229.75,562477.5,618725.25
2.8,116662,174993,233324,291655,349986,408317,466648,524979,583310,641641
2.9,120828.5,181242.75,241657,302071.25,362485.5,422899.75,483314,543728.25,604142.5,664556.75
3,124995,187492.5,249990,312487.5,374985,437482.5,499980,562477.5,624975,687472.5
3.1,129161.5,193742.25,258323,322903.75,387484.5,452065.25,516646,581226.75,645807.5,710388.25
3.2,133328,199992,266656,333320,399984,466648,533312,599976,666640,733304
3.3,137494.5,206241.75,274989,343736.25,412483.5,481230.75,549978,618725.25,687472.5,756219.75
3.4,141661,212491.5,283322,354152.5,424983,495813.5,566644,637474.5,708305,779135.5
3.5,145827.5,218741.25,291655,364568.75,437482.5,510396.25,583310,656223.75,729137.5,802051.25
3.6,149994,224991,299988,374985,449982,524979,599976,674973,749970,824967
3.7,154160.5,231240.75,308321,385401.25,462481.5,539561.75,616642,693722.25,770802.5,847882.75
3.8,158327,237490.5,316654,395817.5,474981,554144.5,633308,712471.5,791635,870798.5
3.9,162493.5,243740.25,324987,406233.75,487480.5,568727.25,649974,731220.75,812467.5,893714.25
4,166660,249990,333320,416650,499980,583310,666640,749970,833300,916630
4.1,170826.5,256239.75,341653,427066.25,512479.5,597892.75,683306,768719.25,854132.5,939545.75
4.2,174993,262489.5,349986,437482.5,524979,612475.5,699972,787468.5,874965,962461.5
4.3,179159.5,268739.25,358319,447898.75,537478.5,627058.25,716638,806217.75,895797.5,985377.25
4.4,183326,274989,366652,458315,549978,641641,733304,824967,916630,1008293
4.5,187492.5,281238.75,374985,468731.25,562477.5,656223.75,749970,843716.25,937462.5,1031208.75
4.6,191659,287488.5,383318,479147.5,574977,670806.5,766636,862465.5,958295,1054124.5
4.7,195825.5,293738.25,391651,489563.75,587476.5,685389.25,783302,881214.75,979127.5,1077040.25
4.8,199992,299988,399984,499980,599976,699972,799968,899964,999960,1099956
4.9,204158.5,306237.75,408317,510396.25,612475.5,714554.75,816634,918713.25,1020792.5,1122871.75
5,208325,312487.5,416650,520812.5,624975,729137.5,833300,937462.5,1041625,1145787.5
5.1,212491.5,318737.25,424983,531228.75,637474.5,743720.25,849966,956211.75,1062457.5,1168703.25
5.2,216658,324987,433316,541645,649974,758303,866632,974961,1083290,1191619
5.3,220824.5,331236.75,441649,552061.25,662473.5,772885.75,883298,993710.25,1104122.5,1214534.75
5.4,224991,337486.5,449982,562477.5,674973,787468.5,899964,1012459.5,1124955,1237450.5
5.5,229157.5,343736.25,458315,572893.75,687472.5,802051.25,916630,1031208.75,1145787.5,1260366.25
5.6,233324,349986,466648,583310,699972,816634,933296,1049958,1166620,1283282
5.7,237490.5,356235.75,474981,593726.25,712471.5,831216.75,949962,1068707.25,1187452.5,1306197.75
5.8,241657,362485.5,483314,604142.5,724971,845799.5,966628,1087456.5,1208285,1329113.5
5.9,245823.5,368735.25,491647,614558.75,737470.5,860382.25,983294,1106205.75,1229117.5,1352029.25
6,249990,374985,499980,624975,749970,874965,999960,1124955,1249950,1374945
6.1,254156.5,381234.75,508313,635391.25,762469.5,889547.75,1016626,1143704.25,1270782.5,1397860.75
6.2,258323,387484.5,516646,645807.5,774969,904130.5,1033292,1162453.5,1291615,1420776.5
6.3,262489.5,393734.25,524979,656223.75,787468.5,918713.25,1049958,1181202.75,1312447.5,1443692.25
6.4,266656,399984,533312,666640,799968,933296,1066624,1199952,1333280,1466608
6.5,270822.5,406233.75,541645,677056.25,812467.5,947878.75,1083290,1218701.25,1354112.5,1489523.75
6.6,274989,412483.5,549978,687472.5,824967,962461.5,1099956,1237450.5,1374945,1512439.5
6.7,279155.5,418733.25,558311,697888.75,837466.5,977044.25,1116622,1256199.75,1395777.5,1535355.25
6.8,283322,424983,566644,708305,849966,991627,1133288,1274949,1416610,1558271
6.9,287488.5,431232.75,574977,718721.25,862465.5,1006209.75,1149954,1293698.25,1437442.5,1581186.75
7,291655,437482.5,583310,729137.5,874965,1020792.5,1166620,1312447.5,1458275,1604102.5
7.1,295821.5,443732.25,591643,739553.75,887464.5,1035375.25,1183286,1331196.75,1479107.5,1627018.25
7.2,299988,449982,599976,749970,899964,1049958,1199952,1349946,1499940,1649934
7.3,304154.5,456231.75,608309,760386.25,912463.5,1064540.75,1216618,1368695.25,1520772.5,1672849.75
7.4,308321,462481.5,616642,770802.5,924963,1079123.5,1233284,1387444.5,1541605,1695765.5
7.5,312487.5,468731.25,624975,781218.75,937462.5,1093706.25,1249950,1406193.75,1562437.5,1718681.25
7.6,316654,474981,633308,791635,949962,1108289,1266616,1424943,1583270,1741597
7.7,320820.5,481230.75,641641,802051.25,962461.5,1122871.75,1283282,1443692.25,1604102.5,1764512.75
7.8,324987,487480.5,649974,812467.5,974961,1137454.5,1299948,1462441.5,1624935,1787428.5
7.9,329153.5,493730.25,658307,822883.75,987460.5,1152037.25,1316614,1481190.75,1645767.5,1810344.25
8,333320,499980,666640,833300,999960,1166620,1333280,1499940,1666600,1833260
8.1,337486.5,506229.75,674973,843716.25,1012459.5,1181202.75,1349946,1518689.25,1687432.5,1856175.75
8.2,341653,512479.5,683306,854132.5,1024959,1195785.5,1366612,1537438.5,1708265,1879091.5
8.3,345819.5,518729.25,691639,864548.75,1037458.5,1210368.25,1383278,1556187.75,1729097.5,1902007.25
8.4,349986,524979,699972,874965,1049958,1224951,1399944,1574937,1749930,1924923
8.5,354152.5,531228.75,708305,885381.25,1062457.5,1239533.75,1416610,1593686.25,1770762.5,1947838.75
8.6,358319,537478.5,716638,895797.5,1074957,1254116.5,1433276,1612435.5,1791595,1970754.5
8.7,362485.5,543728.25,724971,906213.75,1087456.5,1268699.25,1449942,1631184.75,1812427.5,1993670.25
8.8,366652,549978,733304,916630,1099956,1283282,1466608,1649934,1833260,2016586
8.9,370818.5,556227.75,741637,927046.25,1112455.5,1297864.75,1483274,1668683.25,1854092.5,2039501.75
9,374985,562477.5,749970,937462.5,1124955,1312447.5,1499940,1687432.5,1874925,2062417.5
9.1,379151.5,568727.25,758303,947878.75,1137454.5,1327030.25,1516606,1706181.75,1895757.5,2085333.25
9.2,383318,574977,766636,958295,1149954,1341613,1533272,1724931,1916590,2108249
9.3,387484.5,581226.75,774969,968711.25,1162453.5,1356195.75,1549938,1743680.25,1937422.5,2131164.75
9.4,391651,587476.5,783302,979127.5,1174953,1370778.5,1566604,1762429.5,1958255,2154080.5
9.5,395817.5,593726.25,791635,989543.75,1187452.5,1385361.25,1583270,1781178.75,1979087.5,2176996.25
9.6,399984,599976,799968,999960,1199952,1399944,1599936,1799928,1999920,2199912
9.7,404150.5,606225.75,808301,1010376.25,1212451.5,1414526.75,1616602,1818677.25,2020752.5,2222827.75
9.8,408317,612475.5,816634,1020792.5,1224951,1429109.5,1633268,1837426.5,2041585,2245743.5
9.9,412483.5,618725.25,824967,1031208.75,1237450.5,1443692.25,1649934,1856175.75,2062417.5,2268659.25
10,416650,624975,833300,1041625,1249950,1458275,1666600,1874925,2083250,2291575
10.1,420816.5,631224.75,841633,1052041.25,1262449.5,1472857.75,1683266,1893674.25,2104082.5,2314490.75
10.2,424983,637474.5,849966,1062457.5,1274949,1487440.5,1699932,1912423.5,2124915,2337406.5
10.3,429149.5,643724.25,858299,1072873.75,1287448.5,1502023.25,1716598,1931172.75,2145747.5,2360322.25
10.4,433316,649974,866632,1083290,1299948,1516606,1733264,1949922,2166580,2383238
10.5,437482.5,656223.75,874965,1093706.25,1312447.5,1531188.75,1749930,1968671.25,2187412.5,2406153.75
10.6,441649,662473.5,883298,1104122.5,1324947,1545771.5,1766596,1987420.5,2208245,2429069.5
10.7,445815.5,668723.25,891631,1114538.75,1337446.5,1560354.25,1783262,2006169.75,2229077.5,2451985.25
10.8,449982,674973,899964,1124955,1349946,1574937,1799928,2024919,2249910,2474901
10.9,454148.5,681222.75,908297,1135371.25,1362445.5,1589519.75,1816594,2043668.25,2270742.5,2497816.75
11,458315,687472.5,916630,1145787.5,1374945,1604102.5,1833260,2062417.5,2291575,2520732.5
11.1,462481.5,693722.25,924963,1156203.75,1387444.5,1618685.25,1849926,2081166.75,2312407.5,2543648.25
11.2,466648,699972,933296,1166620,1399944,1633268,1866592,2099916,2333240,2566564
11.3,470814.5,706221.75,941629,1177036.25,1412443.5,1647850.75,1883258,2118665.25,2354072.5,2589479.75
11.4,474981,712471.5,949962,1187452.5,1424943,1662433.5,1899924,2137414.5,2374905,2612395.5
11.5,479147.5,718721.25,958295,1197868.75,1437442.5,1677016.25,1916590,2156163.75,2395737.5,2635311.25
11.6,483314,724971,966628,1208285,1449942,1691599,1933256,2174913,2416570,2658227
11.7,487480.5,731220.75,974961,1218701.25,1462441.5,1706181.75,1949922,2193662.25,2437402.5,2681142.75
11.8,491647,737470.5,983294,1229117.5,1474941,1720764.5,1966588,2212411.5,2458235,2704058.5
11.9,495813.5,743720.25,991627,1239533.75,1487440.5,1735347.25,1983254,2231160.75,2479067.5,2726974.25
12,499980,749970,999960,1249950,1499940,1749930,1999920,2249910,2499900,2749890
12.1,504146.5,756219.75,1008293,1260366.25,1512439.5,1764512.75,2016586,2268659.25,2520732.5,2772805.75
12.2,508313,762469.5,1016626,1270782.5,1524939,1779095.5,2033252,2287408.5,2541565,2795721.5
12.3,512479.5,768719.25,1024959,1281198.75,1537438.5,1793678.25,2049918,2306157.75,2562397.5,2818637.25
12.4,516646,774969,1033292,1291615,1549938,1808261,2066584,2324907,2583230,2841553
12.5,520812.5,781218.75,1041625,1302031.25,1562437.5,1822843.75,2083250,2343656.25,2604062.5,2864468.75
12.6,524979,787468.5,1049958,1312447.5,1574937,1837426.5,2099916,2362405.5,2624895,2887384.5
12.7,529145.5,793718.25,1058291,1322863.75,1587436.5,1852009.25,2116582,2381154.75,2645727.5,2910300.25
12.8,533312,799968,1066624,1333280,1599936,1866592,2133248,2399904,2666560,2933216
12.9,537478.5,806217.75,1074957,1343696.25,1612435.5,1881174.75,2149914,2418653.25,2687392.5,2956131.75
13,541645,812467.5,1083290,1354112.5,1624935,1895757.5,2166580,2437402.5,2708225,2979047.5
13.1,545811.5,818717.25,1091623,1364528.75,1637434.5,1910340.25,2183246,2456151.75,2729057.5,3001963.25
13.2,549978,824967,1099956,1374945,1649934,1924923,2199912,2474901,2749890,3024879
