plant,Mango
variant_title,(1x) Mango ALL Damage Numbers
multiplier,1.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,7650.0,11475,15300,19125,22950,26775,30600,34425,38250,42075
1.1,8415,12622.5,16830,21037.5,25245,29452.5,33660,37867.5,42075,46282.5
1.2,9180,13770,18360,22950,27540,32130,36720,41310,45900,50490
1.3,9945,14917.5,19890,24862.5,29835,34807.5,39780,44752.5,49725,54697.5
1.4,10710,16065,21420,26775,32130,37485,42840,48195,53550,58905
1.5,11475,17212.5,22950,28687.5,34425,40162.5,45900,51637.5,57375,63112.5
1.6,12240,18360,24480,30600,36720,42840,48960,55080,61200,67320
1.7,13005,19507.5,26010,32512.5,39015,45517.5,52020,58522.5,65025,71527.5
1.8,13770,20655,27540,34425,41310,48195,55080,61965,68850,75735
1.9,14535,21802.5,29070,36337.5,43605,50872.5,58140,65407.5,72675,79942.5
2,15300,22950,30600,38250,45900,53550,61200,68850,76500,84150
2.1,16065,24097.5,32130,40162.5,48195,56227.5,64260,72292.5,80325,88357.5
2.2,16830,25245,33660,42075,50490,58905,67320,75735,84150,92565
2.3,17595,26392.5,35190,43987.5,52785,61582.5,70380,79177.5,87975,96772.5
2.4,18360,27540,36720,45900,55080,64260,73440,82620,91800,100980
2.5,19125,28687.5,38250,47812.5,57375,66937.5,76500,86062.5,95625,105187.5
2.6,19890,29835,39780,49725,59670,69615,79560,89505,99450,109395
2.7,20655,30982.5,41310,51637.5,61965,72292.5,82620,92947.5,103275,113602.5
2.8,21420,32130,42840,53550,64260,74970,85680,96390,107100,117810
2.9,22185,33277.5,44370,55462.5,66555,77647.5,88740,99832.5,110925,122017.5
3,22950,34425,45900,57375,68850,80325,91800,103275,114750,126225
3.1,23715,35572.5,47430,59287.5,71145,83002.5,94860,106717.5,118575,130432.5
3.2,24480,36720,48960,61200,73440,85680,97920,110160,122400,134640
3.3,25245,37867.5,50490,63112.5,75735,88357.5,100980,113602.5,126225,138847.5
3.4,26010,39015,52020,65025,78030,91035,104040,117045,130050,143055
3.5,26775,40162.5,53550,66937.5,80325,93712.5,107100,120487.5,133875,147262.5
3.6,27540,41310,55080,68850,82620,96390,110160,123930,137700,151470
3.7,28305,42457.5,56610,70762.5,84915,99067.5,113220,127372.5,141525,155677.5
3.8,29070,43605,58140,72675,87210,101745,116280,130815,145350,159885
3.9,29835,44752.5,59670,74587.5,89505,104422.5,119340,134257.5,149175,164092.5
4,30600,45900,61200,76500,91800,107100,122400,137700,153000,168300
4.1,31365,47047.5,62730,78412.5,94095,109777.5,125460,141142.5,156825,172507.5
4.2,32130,48195,64260,80325,96390,112455,128520,144585,160650,176715
4.3,32895,49342.5,65790,82237.5,98685,115132.5,131580,148027.5,164475,180922.5
4.4,33660,50490,67320,84150,100980,117810,134640,151470,168300,185130
4.5,34425,51637.5,68850,86062.5,103275,120487.5,137700,154912.5,172125,189337.5
4.6,35190,52785,70380,87975,105570,123165,140760,158355,175950,193545
4.7,35955,53932.5,71910,89887.5,107865,125842.5,143820,161797.5,179775,197752.5
4.8,36720,55080,73440,91800,110160,128520,146880,165240,183600,201960
4.9,37485,56227.5,74970,93712.5,112455,131197.5,149940,168682.5,187425,206167.5
5,38250,57375,76500,95625,114750,133875,153000,172125,191250,210375
5.1,39015,58522.5,78030,97537.5,117045,136552.5,156060,175567.5,195075,214582.5
5.2,39780,59670,79560,99450,119340,139230,159120,179010,198900,218790
5.3,40545,60817.5,81090,101362.5,121635,141907.5,162180,182452.5,202725,222997.5
5.4,41310,61965,82620,103275,123930,144585,165240,185895,206550,227205
5.5,42075,63112.5,84150,105187.5,126225,147262.5,168300,189337.5,210375,231412.5
5.6,42840,64260,85680,107100,128520,149940,171360,192780,214200,235620
5.7,43605,65407.5,87210,109012.5,130815,152617.5,174420,196222.5,218025,239827.5
5.8,44370,66555,88740,110925,133110,155295,177480,199665,221850,244035
5.9,45135,67702.5,90270,112837.5,135405,157972.5,180540,203107.5,225675,248242.5
6,45900,68850,91800,114750,137700,160650,183600,206550,229500,252450
6.1,46665,69997.5,93330,116662.5,139995,163327.5,186660,209992.5,233325,256657.5
6.2,47430,71145,94860,118575,142290,166005,189720,213435,237150,260865
6.3,48195,72292.5,96390,120487.5,144585,168682.5,192780,216877.5,240975,265072.5
6.4,48960,73440,97920,122400,146880,171360,195840,220320,244800,269280
6.5,49725,74587.5,99450,124312.5,149175,174037.5,198900,223762.5,248625,273487.5
6.6,50490,75735,100980,126225,151470,176715,201960,227205,252450,277695
6.7,51255,76882.5,102510,128137.5,153765,179392.5,205020,230647.5,256275,281902.5
6.8,52020,78030,104040,130050,156060,182070,208080,234090,260100,286110
6.9,52785,79177.5,105570,131962.5,158355,184747.5,211140,237532.5,263925,290317.5
7,53550,80325,107100,133875,160650,187425,214200,240975,267750,294525
7.1,54315,81472.5,108630,135787.5,162945,190102.5,217260,244417.5,271575,298732.5
7.2,55080,82620,110160,137700,165240,192780,220320,247860,275400,302940
7.3,55845,83767.5,111690,139612.5,167535,195457.5,223380,251302.5,279225,307147.5
7.4,56610,84915,113220,141525,169830,198135,226440,254745,283050,311355
7.5,57375,86062.5,114750,143437.5,172125,200812.5,229500,258187.5,286875,315562.5
7.6,58140,87210,116280,145350,174420,203490,232560,261630,290700,319770
7.7,58905,88357.5,117810,147262.5,176715,206167.5,235620,265072.5,294525,323977.5
7.8,59670,89505,119340,149175,179010,208845,238680,268515,298350,328185
7.9,60435,90652.5,120870,151087.5,181305,211522.5,241740,271957.5,302175,332392.5
8,61200,91800,122400,153000,183600,214200,244800,275400,306000,336600
8.1,61965,92947.5,123930,154912.5,185895,216877.5,247860,278842.5,309825,340807.5
8.2,62730,94095,125460,156825,188190,219555,250920,282285,313650,345015
8.3,63495,95242.5,126990,158737.5,190485,222232.5,253980,285727.5,317475,349222.5
8.4,64260,96390,128520,160650,192780,224910,257040,289170,321300,353430
8.5,65025,97537.5,130050,162562.5,195075,227587.5,260100,292612.5,325125,357637.5
8.6,65790,98685,131580,164475,197370,230265,263160,296055,328950,361845
8.7,66555,99832.5,133110,166387.5,199665,232942.5,266220,299497.5,332775,366052.5
8.8,67320,100980,134640,168300,201960,235620,269280,302940,336600,370260
8.9,68085,102127.5,136170,170212.5,204255,238297.5,272340,306382.5,340425,374467.5
9,68850,103275,137700,172125,206550,240975,275400,309825,344250,378675
9.1,69615,104422.5,139230,174037.5,208845,243652.5,278460,313267.5,348075,382882.5
9.2,70380,105570,140760,175950,211140,246330,281520,316710,351900,387090
9.3,71145,106717.5,142290,177862.5,213435,249007.5,284580,320152.5,355725,391297.5
9.4,71910,107865,143820,179775,215730,251685,287640,323595,359550,395505
9.5,72675,109012.5,145350,181687.5,218025,254362.5,290700,327037.5,363375,399712.5
9.6,73440,110160,146880,183600,220320,257040,293760,330480,367200,403920
9.7,74205,111307.5,148410,185512.5,222615,259717.5,296820,333922.5,371025,408127.5
9.8,74970,112455,149940,187425,224910,262395,299880,337365,374850,412335
9.9,75735,113602.5,151470,189337.5,227205,265072.5,302940,340807.5,378675,416542.5
10,76500,114750,153000,191250,229500,267750,306000,344250,382500,420750
10.1,77265,115897.5,154530,193162.5,231795,270427.5,309060,347692.5,386325,424957.5
10.2,78030,117045,156060,195075,234090,273105,312120,351135,390150,429165
10.3,78795,118192.5,157590,196987.5,236385,275782.5,315180,354577.5,393975,433372.5
10.4,79560,119340,159120,198900,238680,278460,318240,358020,397800,437580
10.5,80325,120487.5,160650,200812.5,240975,281137.5,321300,361462.5,401625,441787.5
10.6,81090,121635,162180,202725,243270,283815,324360,364905,405450,445995
10.7,81855,122782.5,163710,204637.5,245565,286492.5,327420,368347.5,409275,450202.5
10.8,82620,123930,165240,206550,247860,289170,330480,371790,413100,454410
10.9,83385,125077.5,166770,208462.5,250155,291847.5,333540,375232.5,416925,458617.5
11,84150,126225,168300,210375,252450,294525,336600,378675,420750,462825
11.1,84915,127372.5,169830,212287.5,254745,297202.5,339660,382117.5,424575,467032.5
11.2,85680,128520,171360,214200,257040,299880,342720,385560,428400,471240
11.3,86445,129667.5,172890,216112.5,259335,302557.5,345780,389002.5,432225,475447.5
11.4,87210,130815,174420,218025,261630,305235,348840,392445,436050,479655
11.5,87975,131962.5,175950,219937.5,263925,307912.5,351900,395887.5,439875,483862.5
11.6,88740,133110,177480,221850,266220,310590,354960,399330,443700,488070
11.7,89505,134257.5,179010,223762.5,268515,313267.5,358020,402772.5,447525,492277.5
11.8,90270,135405,180540,225675,270810,315945,361080,406215,451350,496485
11.9,91035,136552.5,182070,227587.5,273105,318622.5,364140,409657.5,455175,500692.5
12,91800,137700,183600,229500,275400,321300,367200,413100,459000,504900
12.1,92565,138847.5,185130,231412.5,277695,323977.5,370260,416542.5,462825,509107.5
12.2,93330,139995,186660,233325,279990,326655,373320,419985,466650,513315
12.3,94095,141142.5,188190,235237.5,282285,329332.5,376380,423427.5,470475,517522.5
12.4,94860,142290,189720,237150,284580,332010,379440,426870,474300,521730
12.5,95625,143437.5,191250,239062.5,286875,334687.5,382500,430312.5,478125,525937.5
12.6,96390,144585,192780,240975,289170,337365,385560,433755,481950,530145
12.7,97155,145732.5,194310,242887.5,291465,340042.5,388620,437197.5,485775,534352.5
12.8,97920,146880,195840,244800,293760,342720,391680,440640,489600,538560
12.9,98685,148027.5,197370,246712.5,296055,345397.5,394740,444082.5,493425,542767.5
13,99450,149175,198900,248625,298350,348075,397800,447525,497250,546975
13.1,100215,150322.5,200430,250537.5,300645,350752.5,400860,450967.5,501075,551182.5
13.2,100980,151470,201960,252450,302940,353430,403920,454410,504900,555390
13.3,101745,152617.5,203490,254362.5,305235,356107.5,406980,457852.5,508725,559597.5
13.4,102510,153765,205020,256275,307530,358785,410040,461295,512550,563805
13.5,103275,154912.5,206550,258187.5,309825,361462.5,413100,464737.5,516375,568012.5
13.6,104040,156060,208080,260100,312120,364140,416160,468180,520200,572220
13.7,104805,157207.5,209610,262012.5,314415,366817.5,419220,471622.5,524025,576427.5
13.8,105570,158355,211140,263925,316710,369495,422280,475065,527850,580635
13.9,106335,159502.5,212670,265837.5,319005,372172.5,425340,478507.5,531675,584842.5
14,107100,160650,214200,267750,321300,374850,428400,481950,535500,589050
14.1,107865,161797.5,215730,269662.5,323595,377527.5,431460,485392.5,539325,593257.5
14.2,108630,162945,217260,271575,325890,380205,434520,488835,543150,597465
14.3,109395,164092.5,218790,273487.5,328185,382882.5,437580,492277.5,546975,601672.5
14.4,110160,165240,220320,275400,330480,385560,440640,495720,550800,605880
14.5,110925,166387.5,221850,277312.5,332775,388237.5,443700,499162.5,554625,610087.5
14.6,111690,167535,223380,279225,335070,390915,446760,502605,558450,614295
14.7,112455,168682.5,224910,281137.5,337365,393592.5,449820,506047.5,562275,618502.5
14.8,113220,169830,226440,283050,339660,396270,452880,509490,566100,622710
14.9,113985,170977.5,227970,284962.5,341955,398947.5,455940,512932.5,569925,626917.5
15,114750,172125,229500,286875,344250,401625,459000,516375,573750,631125
15.1,115515,173272.5,231030,288787.5,346545,404302.5,462060,519817.5,577575,635332.5
15.2,116280,174420,232560,290700,348840,406980,465120,523260,581400,639540
15.3,117045,175567.5,234090,292612.5,351135,409657.5,468180,526702.5,585225,643747.5
15.4,117810,176715,235620,294525,353430,412335,471240,530145,589050,647955
15.5,118575,177862.5,237150,296437.5,355725,415012.5,474300,533587.5,592875,652162.5
15.6,119340,179010,238680,298350,358020,417690,477360,537030,596700,656370
15.7,120105,180157.5,240210,300262.5,360315,420367.5,480420,540472.5,600525,660577.5
15.8,120870,181305,241740,302175,362610,423045,483480,543915,604350,664785
15.9,121635,182452.5,243270,304087.5,364905,425722.5,486540,547357.5,608175,668992.5
16,122400,183600,244800,306000,367200,428400,489600,550800,612000,673200
16.1,123165,184747.5,246330,307912.5,369495,431077.5,492660,554242.5,615825,677407.5
16.2,123930,185895,247860,309825,371790,433755,495720,557685,619650,681615
