plant,Mango
variant_title,(2x) Gold/Foggy/Electrified/Scorched Mango ALL Damage Numbers
multiplier,2.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,15300,22950,30600,38250,45900,53550,61200,68850,76500,84150
1.1,16830,25245,33660,42075,50490,58905,67320,75735,84150,92565
1.2,18360,27540,36720,45900,55080,64260,73440,82620,91800,100980
1.3,19890,29835,39780,49725,59670,69615,79560,89505,99450,109395
1.4,21420,32130,42840,53550,64260,74970,85680,96390,107100,117810
1.5,22950,34425,45900,57375,68850,80325,91800,103275,114750,126225
1.6,24480,36720,48960,61200,73440,85680,97920,110160,122400,134640
1.7,26010,39015,52020,65025,78030,91035,104040,117045,130050,143055
1.8,27540,41310,55080,68850,82620,96390,110160,123930,137700,151470
1.9,29070,43605,58140,72675,87210,101745,116280,130815,145350,159885
2,30600,45900,61200,76500,91800,107100,122400,137700,153000,168300
2.1,32130,48195,64260,80325,96390,112455,128520,144585,160650,176715
2.2,33660,50490,67320,84150,100980,117810,134640,151470,168300,185130
2.3,35190,52785,70380,87975,105570,123165,140760,158355,175950,193545
2.4,36720,55080,73440,91800,110160,128520,146880,165240,183600,201960
2.5,38250,57375,76500,95625,114750,133875,153000,172125,191250,210375
2.6,39780,59670,79560,99450,119340,139230,159120,179010,198900,218790
2.7,41310,61965,82620,103275,123930,144585,165240,185895,206550,227205
2.8,42840,64260,85680,107100,128520,149940,171360,192780,214200,235620
2.9,44370,66555,88740,110925,133110,155295,177480,199665,221850,244035
3,45900,68850,91800,114750,137700,160650,183600,206550,229500,252450
3.1,47430,71145,94860,118575,142290,166005,189720,213435,237150,260865
3.2,48960,73440,97920,122400,146880,171360,195840,220320,244800,269280
3.3,50490,75735,100980,126225,151470,176715,201960,227205,252450,277695
3.4,52020,78030,104040,130050,156060,182070,208080,234090,260100,286110
3.5,53550,80325,107100,133875,160650,187425,214200,240975,267750,294525
3.6,55080,82620,110160,137700,165240,192780,220320,247860,275400,302940
3.7,56610,84915,113220,141525,169830,198135,226440,254745,283050,311355
3.8,58140,87210,116280,145350,174420,203490,232560,261630,290700,319770
3.9,59670,89505,119340,149175,179010,208845,238680,268515,298350,328185
4,61200,91800,122400,153000,183600,214200,244800,275400,306000,336600
4.1,62730,94095,125460,156825,188190,219555,250920,282285,313650,345015
4.2,64260,96390,128520,160650,192780,224910,257040,289170,321300,353430
4.3,65790,98685,131580,164475,197370,230265,263160,296055,328950,361845
4.4,67320,100980,134640,168300,201960,235620,269280,302940,336600,370260
4.5,68850,103275,137700,172125,206550,240975,275400,309825,344250,378675
4.6,70380,105570,140760,175950,211140,246330,281520,316710,351900,387090
4.7,71910,107865,143820,179775,215730,251685,287640,323595,359550,395505
4.8,73440,110160,146880,183600,220320,257040,293760,330480,367200,403920
4.9,74970,112455,149940,187425,224910,262395,299880,337365,374850,412335
5,76500,114750,153000,191250,229500,267750,306000,344250,382500,420750
5.1,78030,117045,156060,195075,234090,273105,312120,351135,390150,429165
5.2,79560,119340,159120,198900,238680,278460,318240,358020,397800,437580
5.3,81090,121635,162180,202725,243270,283815,324360,364905,405450,445995
5.4,82620,123930,165240,206550,247860,289170,330480,371790,413100,454410
