plant,Mango
variant_title,(3x) Diamond Mango ALL Damage Numbers
multiplier,3.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,22950,34425,45900,57375,68850,80325,91800,103275,114750,126225
1.1,25245,37867.5,50490,63112.5,75735,88357.5,100980,113602.5,126225,138847.5
1.2,27540,41310,55080,68850,82620,96390,110160,123930,137700,151470
1.3,29835,44752.5,59670,74587.5,89505,104422.5,119340,134257.5,149175,164092.5
1.4,32130,48195,64260,80325,96390,112455,128520,144585,160650,176715
1.5,34425,51637.5,68850,86062.5,103275,120487.5,137700,154912.5,172125,189337.5
1.6,36720,55080,73440,91800,110160,128520,146880,165240,183600,201960
1.7,39015,58522.5,78030,97537.5,117045,136552.5,156060,175567.5,195075,214582.5
1.8,41310,61965,82620,103275,123930,144585,165240,185895,206550,227205
1.9,43605,65407.5,87210,109012.5,130815,152617.5,174420,196222.5,218025,239827.5
2,45900,68850,91800,114750,137700,160650,183600,206550,229500,252450
2.1,48195,72292.5,96390,120487.5,144585,168682.5,192780,216877.5,240975,265072.5
2.2,50490,75735,100980,126225,151470,176715,201960,227205,252450,277695
2.3,52785,79177.5,105570,131962.5,158355,184747.5,211140,237532.5,263925,290317.5
2.4,55080,82620,110160,137700,165240,192780,220320,247860,275400,302940
2.5,57375,86062.5,114750,143437.5,172125,200812.5,229500,258187.5,286875,315562.5
2.6,59670,89505,119340,149175,179010,208845,238680,268515,298350,328185
2.7,61965,92947.5,123930,154912.5,185895,216877.5,247860,278842.5,309825,340807.5
2.8,64260,96390,128520,160650,192780,224910,257040,289170,321300,353430
2.9,66555,99832.5,133110,166387.5,199665,232942.5,266220,299497.5,332775,366052.5
3,68850,103275,137700,172125,206550,240975,275400,309825,344250,378675
3.1,71145,106717.5,142290,177862.5,213435,249007.5,284580,320152.5,355725,391297.5
3.2,73440,110160,146880,183600,220320,257040,293760,330480,367200,403920
3.3,75735,113602.5,151470,189337.5,227205,265072.5,302940,340807.5,378675,416542.5
3.4,78030,117045,156060,195075,234090,273105,312120,351135,390150,429165
3.5,80325,120487.5,160650,200812.5,240975,281137.5,321300,361462.5,401625,441787.5
3.6,82620,123930,165240,206550,247860,289170,330480,371790,413100,454410
3.7,84915,127372.5,169830,212287.5,254745,297202.5,339660,382117.5,424575,467032.5
3.8,87210,130815,174420,218025,261630,305235,348840,392445,436050,479655
3.9,89505,134257.5,179010,223762.5,268515,313267.5,358020,402772.5,447525,492277.5
4,91800,137700,183600,229500,275400,321300,367200,413100,459000,504900
4.1,94095,141142.5,188190,235237.5,282285,329332.5,376380,423427.5,470475,517522.5
4.2,96390,144585,192780,240975,289170,337365,385560,433755,481950,530145
4.3,98685,148027.5,197370,246712.5,296055,345397.5,394740,444082.5,493425,542767.5
4.4,100980,151470,201960,252450,302940,353430,403920,454410,504900,555390
4.5,103275,154912.5,206550,258187.5,309825,361462.5,413100,464737.5,516375,568012.5
4.6,105570,158355,211140,263925,316710,369495,422280,475065,527850,580635
4.7,107865,161797.5,215730,269662.5,323595,377527.5,431460,485392.5,539325,593257.5
4.8,110160,165240,220320,275400,330480,385560,440640,495720,550800,605880
4.9,112455,168682.5,224910,281137.5,337365,393592.5,449820,506047.5,562275,618502.5
5,114750,172125,229500,286875,344250,401625,459000,516375,573750,631125
5.1,117045,175567.5,234090,292612.5,351135,409657.5,468180,526702.5,585225,643747.5
5.2,119340,179010,238680,298350,358020,417690,477360,537030,596700,656370
5.3,121635,182452.5,243270,304087.5,364905,425722.5,486540,547357.5,608175,668992.5
5.4,123930,185895,247860,309825,371790,433755,495720,557685,619650,681615
5.5,126225,189337.5,252450,315562.5,378675,441787.5,504900,568012.5,631125,694237.5
5.6,128520,192780,257040,321300,385560,449820,514080,578340,642600,706860
5.7,130815,196222.5,261630,327037.5,392445,457852.5,523260,588667.5,654075,719482.5
5.8,133110,199665,266220,332775,399330,465885,532440,598995,665550,732105
5.9,135405,203107.5,270810,338512.5,406215,473917.5,541620,609322.5,677025,744727.5
6,137700,206550,275400,344250,413100,481950,550800,619650,688500,757350
6.1,139995,209992.5,279990,349987.5,419985,489982.5,559980,629977.5,699975,769972.5
6.2,142290,213435,284580,355725,426870,498015,569160,640305,711450,782595
6.3,144585,216877.5,289170,361462.5,433755,506047.5,578340,650632.5,722925,795217.5
6.4,146880,220320,293760,367200,440640,514080,587520,660960,734400,807840
6.5,149175,223762.5,298350,372937.5,447525,522112.5,596700,671287.5,745875,820462.5
6.6,151470,227205,302940,378675,454410,530145,605880,681615,757350,833085
6.7,153765,230647.5,307530,384412.5,461295,538177.5,615060,691942.5,768825,845707.5
6.8,156060,234090,312120,390150,468180,546210,624240,702270,780300,858330
6.9,158355,237532.5,316710,395887.5,475065,554242.5,633420,712597.5,791775,870952.5
7,160650,240975,321300,401625,481950,562275,642600,722925,803250,883575
7.1,162945,244417.5,325890,407362.5,488835,570307.5,651780,733252.5,814725,896197.5
7.2,165240,247860,330480,413100,495720,578340,660960,743580,826200,908820
7.3,167535,251302.5,335070,418837.5,502605,586372.5,670140,753907.5,837675,921442.5
7.4,169830,254745,339660,424575,509490,594405,679320,764235,849150,934065
7.5,172125,258187.5,344250,430312.5,516375,602437.5,688500,774562.5,860625,946687.5
7.6,174420,261630,348840,436050,523260,610470,697680,784890,872100,959310
7.7,176715,265072.5,353430,441787.5,530145,618502.5,706860,795217.5,883575,971932.5
7.8,179010,268515,358020,447525,537030,626535,716040,805545,895050,984555
7.9,181305,271957.5,362610,453262.5,543915,634567.5,725220,815872.5,906525,997177.5
8,183600,275400,367200,459000,550800,642600,734400,826200,918000,1009800
8.1,185895,278842.5,371790,464737.5,557685,650632.5,743580,836527.5,929475,1022422.5
8.2,188190,282285,376380,470475,564570,658665,752760,846855,940950,1035045
8.3,190485,285727.5,380970,476212.5,571455,666697.5,761940,857182.5,952425,1047667.5
8.4,192780,289170,385560,481950,578340,674730,771120,867510,963900,1060290
8.5,195075,292612.5,390150,487687.5,585225,682762.5,780300,877837.5,975375,1072912.5
8.6,197370,296055,394740,493425,592110,690795,789480,888165,986850,1085535
8.7,199665,299497.5,399330,499162.5,598995,698827.5,798660,898492.5,998325,1098157.5
8.8,201960,302940,403920,504900,605880,706860,807840,908820,1009800,1110780
8.9,204255,306382.5,408510,510637.5,612765,714892.5,817020,919147.5,1021275,1123402.5
9,206550,309825,413100,516375,619650,722925,826200,929475,1032750,1136025
9.1,208845,313267.5,417690,522112.5,626535,730957.5,835380,939802.5,1044225,1148647.5
9.2,211140,316710,422280,527850,633420,738990,844560,950130,1055700,1161270
9.3,213435,320152.5,426870,533587.5,640305,747022.5,853740,960457.5,1067175,1173892.5
9.4,215730,323595,431460,539325,647190,755055,862920,970785,1078650,1186515
9.5,218025,327037.5,436050,545062.5,654075,763087.5,872100,981112.5,1090125,1199137.5
9.6,220320,330480,440640,550800,660960,771120,881280,991440,1101600,1211760
9.7,222615,333922.5,445230,556537.5,667845,779152.5,890460,1001767.5,1113075,1224382.5
9.8,224910,337365,449820,562275,674730,787185,899640,1012095,1124550,1237005
9.9,227205,340807.5,454410,568012.5,681615,795217.5,908820,1022422.5,1136025,1249627.5
10,229500,344250,459000,573750,688500,803250,918000,1032750,1147500,1262250
10.1,231795,347692.5,463590,579487.5,695385,811282.5,927180,1043077.5,1158975,1274872.5
10.2,234090,351135,468180,585225,702270,819315,936360,1053405,1170450,1287495
10.3,236385,354577.5,472770,590962.5,709155,827347.5,945540,1063732.5,1181925,1300117.5
10.4,238680,358020,477360,596700,716040,835380,954720,1074060,1193400,1312740
10.5,240975,361462.5,481950,602437.5,722925,843412.5,963900,1084387.5,1204875,1325362.5
10.6,243270,364905,486540,608175,729810,851445,973080,1094715,1216350,1337985
10.7,245565,368347.5,491130,613912.5,736695,859477.5,982260,1105042.5,1227825,1350607.5
10.8,247860,371790,495720,619650,743580,867510,991440,1115370,1239300,1363230
10.9,250155,375232.5,500310,625387.5,750465,875542.5,1000620,1125697.5,1250775,1375852.5
11,252450,378675,504900,631125,757350,883575,1009800,1136025,1262250,1388475
11.1,254745,382117.5,509490,636862.5,764235,891607.5,1018980,1146352.5,1273725,1401097.5
11.2,257040,385560,514080,642600,771120,899640,1028160,1156680,1285200,1413720
11.3,259335,389002.5,518670,648337.5,778005,907672.5,1037340,1167007.5,1296675,1426342.5
11.4,261630,392445,523260,654075,784890,915705,1046520,1177335,1308150,1438965
11.5,263925,395887.5,527850,659812.5,791775,923737.5,1055700,1187662.5,1319625,1451587.5
11.6,266220,399330,532440,665550,798660,931770,1064880,1197990,1331100,1464210
11.7,268515,402772.5,537030,671287.5,805545,939802.5,1074060,1208317.5,1342575,1476832.5
11.8,270810,406215,541620,677025,812430,947835,1083240,1218645,1354050,1489455
11.9,273105,409657.5,546210,682762.5,819315,955867.5,1092420,1228972.5,1365525,1502077.5
12,275400,413100,550800,688500,826200,963900,1101600,1239300,1377000,1514700
12.1,277695,416542.5,555390,694237.5,833085,971932.5,1110780,1249627.5,1388475,1527322.5
12.2,279990,419985,559980,699975,839970,979965,1119960,1259955,1399950,1539945
12.3,282285,423427.5,564570,705712.5,846855,987997.5,1129140,1270282.5,1411425,1552567.5
12.4,284580,426870,569160,711450,853740,996030,1138320,1280610,1422900,1565190
12.5,286875,430312.5,573750,717187.5,860625,1004062.5,1147500,1290937.5,1434375,1577812.5
12.6,289170,433755,578340,722925,867510,1012095,1156680,1301265,1445850,1590435
12.7,291465,437197.5,582930,728662.5,874395,1020127.5,1165860,1311592.5,1457325,1603057.5
12.8,293760,440640,587520,734400,881280,1028160,1175040,1321920,1468800,1615680
12.9,296055,444082.5,592110,740137.5,888165,1036192.5,1184220,1332247.5,1480275,1628302.5
