plant,Mango
variant_title,(4x) Ruby/Frozen Mango ALL Damage Numbers
multiplier,4.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,30600,45900,61200,76500,91800,107100,122400,137700,153000,168300
1.1,33660,50490,67320,84150,100980,117810,134640,151470,168300,185130
1.2,36720,55080,73440,91800,110160,128520,146880,165240,183600,201960
1.3,39780,59670,79560,99450,119340,139230,159120,179010,198900,218790
1.4,42840,64260,85680,107100,128520,149940,171360,192780,214200,235620
1.5,45900,68850,91800,114750,137700,160650,183600,206550,229500,252450
1.6,48960,73440,97920,122400,146880,171360,195840,220320,244800,269280
1.7,52020,78030,104040,130050,156060,182070,208080,234090,260100,286110
1.8,55080,82620,110160,137700,165240,192780,220320,247860,275400,302940
1.9,58140,87210,116280,145350,174420,203490,232560,261630,290700,319770
2,61200,91800,122400,153000,183600,214200,244800,275400,306000,336600
2.1,64260,96390,128520,160650,192780,224910,257040,289170,321300,353430
2.2,67320,100980,134640,168300,201960,235620,269280,302940,336600,370260
2.3,70380,105570,140760,175950,211140,246330,281520,316710,351900,387090
2.4,73440,110160,146880,183600,220320,257040,293760,330480,367200,403920
2.5,76500,114750,153000,191250,229500,267750,306000,344250,382500,420750
2.6,79560,119340,159120,198900,238680,278460,318240,358020,397800,437580
2.7,82620,123930,165240,206550,247860,289170,330480,371790,413100,454410
2.8,85680,128520,171360,214200,257040,299880,342720,385560,428400,471240
2.9,88740,133110,177480,221850,266220,310590,354960,399330,443700,488070
3,91800,137700,183600,229500,275400,321300,367200,413100,459000,504900
3.1,94860,142290,189720,237150,284580,332010,379440,426870,474300,521730
3.2,97920,146880,195840,244800,293760,342720,391680,440640,489600,538560
3.3,100980,151470,201960,252450,302940,353430,403920,454410,504900,555390
3.4,104040,156060,208080,260100,312120,364140,416160,468180,520200,572220
3.5,107100,160650,214200,267750,321300,374850,428400,481950,535500,589050
3.6,110160,165240,220320,275400,330480,385560,440640,495720,550800,605880
3.7,113220,169830,226440,283050,339660,396270,452880,509490,566100,622710
3.8,116280,174420,232560,290700,348840,406980,465120,523260,581400,639540
