plant,Mango
variant_title,5.25x Fusion Mutation Mango ALL Damage Numbers
multiplier,5.25

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,40162.5,60243.75,80325,100406.25,120487.5,140568.75,160650,180731.25,200812.5,220893.75
1.1,44178.75,66268.125,88357.5,110446.875,132536.25,154625.625,176715,198804.375,220893.75,242983.125
1.2,48195,72292.5,96390,120487.5,144585,168682.5,192780,216877.5,240975,265072.5
1.3,52211.25,78316.875,104422.5,130528.125,156633.75,182739.375,208845,234950.625,261056.25,287161.875
1.4,56227.5,84341.25,112455,140568.75,168682.5,196796.25,224910,253023.75,281137.5,309251.25
1.5,60243.75,90365.625,120487.5,150609.375,180731.25,210853.125,240975,271096.875,301218.75,331340.625
1.6,64260,96390,128520,160650,192780,224910,257040,289170,321300,353430
1.7,68276.25,102414.375,136552.5,170690.625,204828.75,238966.875,273105,307243.125,341381.25,375519.375
1.8,72292.5,108438.75,144585,180731.25,216877.5,253023.75,289170,325316.25,361462.5,397608.75
1.9,76308.75,114463.125,152617.5,190771.875,228926.25,267080.625,305235,343389.375,381543.75,419698.125
2,80325,120487.5,160650,200812.5,240975,281137.5,321300,361462.5,401625,441787.5
2.1,84341.25,126511.875,168682.5,210853.125,253023.75,295194.375,337365,379535.625,421706.25,463876.875
2.2,88357.5,132536.25,176715,220893.75,265072.5,309251.25,353430,397608.75,441787.5,485966.25
2.3,92373.75,138560.625,184747.5,230934.375,277121.25,323308.125,369495,415681.875,461868.75,508055.625
2.4,96390,144585,192780,240975,289170,337365,385560,433755,481950,530145
2.5,100406.25,150609.375,200812.5,251015.625,301218.75,351421.875,401625,451828.125,502031.25,552234.375
2.6,104422.5,156633.75,208845,261056.25,313267.5,365478.75,417690,469901.25,522112.5,574323.75
2.7,108438.75,162658.125,216877.5,271096.875,325316.25,379535.625,433755,487974.375,542193.75,596413.125
2.8,112455,168682.5,224910,281137.5,337365,393592.5,449820,506047.5,562275,618502.5
2.9,116471.25,174706.875,232942.5,291178.125,349413.75,407649.375,465885,524120.625,582356.25,640591.875
3,120487.5,180731.25,240975,301218.75,361462.5,421706.25,481950,542193.75,602437.5,662681.25
3.1,124503.75,186755.625,249007.5,311259.375,373511.25,435763.125,498015,560266.875,622518.75,684770.625
3.2,128520,192780,257040,321300,385560,449820,514080,578340,642600,706860
3.3,132536.25,198804.375,265072.5,331340.625,397608.75,463876.875,530145,596413.125,662681.25,728949.375
3.4,136552.5,204828.75,273105,341381.25,409657.5,477933.75,546210,614486.25,682762.5,751038.75
3.5,140568.75,210853.125,281137.5,351421.875,421706.25,491990.625,562275,632559.375,702843.75,773128.125
3.6,144585,216877.5,289170,361462.5,433755,506047.5,578340,650632.5,722925,795217.5
3.7,148601.25,222901.875,297202.5,371503.125,445803.75,520104.375,594405,668705.625,743006.25,817306.875
3.8,152617.5,228926.25,305235,381543.75,457852.5,534161.25,610470,686778.75,763087.5,839396.25
3.9,156633.75,234950.625,313267.5,391584.375,469901.25,548218.125,626535,704851.875,783168.75,861485.625
4,160650,240975,321300,401625,481950,562275,642600,722925,803250,883575
4.1,164666.25,246999.375,329332.5,411665.625,493998.75,576331.875,658665,740998.125,823331.25,905664.375
4.2,168682.5,253023.75,337365,421706.25,506047.5,590388.75,674730,759071.25,843412.5,927753.75
4.3,172698.75,259048.125,345397.5,431746.875,518096.25,604445.625,690795,777144.375,863493.75,949843.125
4.4,176715,265072.5,353430,441787.5,530145,618502.5,706860,795217.5,883575,971932.5
4.5,180731.25,271096.875,361462.5,451828.125,542193.75,632559.375,722925,813290.625,903656.25,994021.875
4.6,184747.5,277121.25,369495,461868.75,554242.5,646616.25,738990,831363.75,923737.5,1016111.25
4.7,188763.75,283145.625,377527.5,471909.375,566291.25,660673.125,755055,849436.875,943818.75,1038200.625
4.8,192780,289170,385560,481950,578340,674730,771120,867510,963900,1060290
4.9,196796.25,295194.375,393592.5,491990.625,590388.75,688786.875,787185,885583.125,983981.25,1082379.375
5,200812.5,301218.75,401625,502031.25,602437.5,702843.75,803250,903656.25,1004062.5,1104468.75
5.1,204828.75,307243.125,409657.5,512071.875,614486.25,716900.625,819315,921729.375,1024143.75,1126558.125
5.2,208845,313267.5,417690,522112.5,626535,730957.5,835380,939802.5,1044225,1148647.5
5.3,212861.25,319291.875,425722.5,532153.125,638583.75,745014.375,851445,957875.625,1064306.25,1170736.875
5.4,216877.5,325316.25,433755,542193.75,650632.5,759071.25,867510,975948.75,1084387.5,1192826.25
5.5,220893.75,331340.625,441787.5,552234.375,662681.25,773128.125,883575,994021.875,1104468.75,1214915.625
5.6,224910,337365,449820,562275,674730,787185,899640,1012095,1124550,1237005
5.7,228926.25,343389.375,457852.5,572315.625,686778.75,801241.875,915705,1030168.125,1144631.25,1259094.375
5.8,232942.5,349413.75,465885,582356.25,698827.5,815298.75,931770,1048241.25,1164712.5,1281183.75
5.9,236958.75,355438.125,473917.5,592396.875,710876.25,829355.625,947835,1066314.375,1184793.75,1303273.125
6,240975,361462.5,481950,602437.5,722925,843412.5,963900,1084387.5,1204875,1325362.5
6.1,244991.25,367486.875,489982.5,612478.125,734973.75,857469.375,979965,1102460.625,1224956.25,1347451.875
6.2,249007.5,373511.25,498015,622518.75,747022.5,871526.25,996030,1120533.75,1245037.5,1369541.25
6.3,253023.75,379535.625,506047.5,632559.375,759071.25,885583.125,1012095,1138606.875,1265118.75,1391630.625
6.4,257040,385560,514080,642600,771120,899640,1028160,1156680,1285200,1413720
6.5,261056.25,391584.375,522112.5,652640.625,783168.75,913696.875,1044225,1174753.125,1305281.25,1435809.375
6.6,265072.5,397608.75,530145,662681.25,795217.5,927753.75,1060290,1192826.25,1325362.5,1457898.75
6.7,269088.75,403633.125,538177.5,672721.875,807266.25,941810.625,1076355,1210899.375,1345443.75,1479988.125
6.8,273105,409657.5,546210,682762.5,819315,955867.5,1092420,1228972.5,1365525,1502077.5
6.9,277121.25,415681.875,554242.5,692803.125,831363.75,969924.375,1108485,1247045.625,1385606.25,1524166.875
7,281137.5,421706.25,562275,702843.75,843412.5,983981.25,1124550,1265118.75,1405687.5,1546256.25
7.1,285153.75,427730.625,570307.5,712884.375,855461.25,998038.125,1140615,1283191.875,1425768.75,1568345.625
7.2,289170,433755,578340,722925,867510,1012095,1156680,1301265,1445850,1590435
7.3,293186.25,439779.375,586372.5,732965.625,879558.75,1026151.875,1172745,1319338.125,1465931.25,1612524.375
7.4,297202.5,445803.75,594405,743006.25,891607.5,1040208.75,1188810,1337411.25,1486012.5,1634613.75
7.5,301218.75,451828.125,602437.5,753046.875,903656.25,1054265.625,1204875,1355484.375,1506093.75,1656703.125
7.6,305235,457852.5,610470,763087.5,915705,1068322.5,1220940,1373557.5,1526175,1678792.5
7.7,309251.25,463876.875,618502.5,773128.125,927753.75,1082379.375,1237005,1391630.625,1546256.25,1700881.875
7.8,313267.5,469901.25,626535,783168.75,939802.5,1096436.25,1253070,1409703.75,1566337.5,1722971.25
7.9,317283.75,475925.625,634567.5,793209.375,951851.25,1110493.125,1269135,1427776.875,1586418.75,1745060.625
8,321300,481950,642600,803250,963900,1124550,1285200,1445850,1606500,1767150
8.1,325316.25,487974.375,650632.5,813290.625,975948.75,1138606.875,1301265,1463923.125,1626581.25,1789239.375
8.2,329332.5,493998.75,658665,823331.25,987997.5,1152663.75,1317330,1481996.25,1646662.5,1811328.75
8.3,333348.75,500023.125,666697.5,833371.875,1000046.25,1166720.625,1333395,1500069.375,1666743.75,1833418.125
8.4,337365,506047.5,674730,843412.5,1012095,1180777.5,1349460,1518142.5,1686825,1855507.5
8.5,341381.25,512071.875,682762.5,853453.125,1024143.75,1194834.375,1365525,1536215.625,1706906.25,1877596.875
8.6,345397.5,518096.25,690795,863493.75,1036192.5,1208891.25,1381590,1554288.75,1726987.5,1899686.25
8.7,349413.75,524120.625,698827.5,873534.375,1048241.25,1222948.125,1397655,1572361.875,1747068.75,1921775.625
8.8,353430,530145,706860,883575,1060290,1237005,1413720,1590435,1767150,1943865
8.9,357446.25,536169.375,714892.5,893615.625,1072338.75,1251061.875,1429785,1608508.125,1787231.25,1965954.375
9,361462.5,542193.75,722925,903656.25,1084387.5,1265118.75,1445850,1626581.25,1807312.5,1988043.75
9.1,365478.75,548218.125,730957.5,913696.875,1096436.25,1279175.625,1461915,1644654.375,1827393.75,2010133.125
9.2,369495,554242.5,738990,923737.5,1108485,1293232.5,1477980,1662727.5,1847475,2032222.5
9.3,373511.25,560266.875,747022.5,933778.125,1120533.75,1307289.375,1494045,1680800.625,1867556.25,2054311.875
9.4,377527.5,566291.25,755055,943818.75,1132582.5,1321346.25,1510110,1698873.75,1887637.5,2076401.25
9.5,381543.75,572315.625,763087.5,953859.375,1144631.25,1335403.125,1526175,1716946.875,1907718.75,2098490.625
9.6,385560,578340,771120,963900,1156680,1349460,1542240,1735020,1927800,2120580
9.7,389576.25,584364.375,779152.5,973940.625,1168728.75,1363516.875,1558305,1753093.125,1947881.25,2142669.375
9.8,393592.5,590388.75,787185,983981.25,1180777.5,1377573.75,1574370,1771166.25,1967962.5,2164758.75
9.9,397608.75,596413.125,795217.5,994021.875,1192826.25,1391630.625,1590435,1789239.375,1988043.75,2186848.125
10,401625,602437.5,803250,1004062.5,1204875,1405687.5,1606500,1807312.5,2008125,2208937.5
10.1,405641.25,608461.875,811282.5,1014103.125,1216923.75,1419744.375,1622565,1825385.625,2028206.25,2231026.875
10.2,409657.5,614486.25,819315,1024143.75,1228972.5,1433801.25,1638630,1843458.75,2048287.5,2253116.25
10.3,413673.75,620510.625,827347.5,1034184.375,1241021.25,1447858.125,1654695,1861531.875,2068368.75,2275205.625
10.4,417690,626535,835380,1044225,1253070,1461915,1670760,1879605,2088450,2297295
10.5,421706.25,632559.375,843412.5,1054265.625,1265118.75,1475971.875,1686825,1897678.125,2108531.25,2319384.375
10.6,425722.5,638583.75,851445,1064306.25,1277167.5,1490028.75,1702890,1915751.25,2128612.5,2341473.75
10.7,429738.75,644608.125,859477.5,1074346.875,1289216.25,1504085.625,1718955,1933824.375,2148693.75,2363563.125
10.8,433755,650632.5,867510,1084387.5,1301265,1518142.5,1735020,1951897.5,2168775,2385652.5
10.9,437771.25,656656.875,875542.5,1094428.125,1313313.75,1532199.375,1751085,1969970.625,2188856.25,2407741.875
11,441787.5,662681.25,883575,1104468.75,1325362.5,1546256.25,1767150,1988043.75,2208937.5,2429831.25
11.1,445803.75,668705.625,891607.5,1114509.375,1337411.25,1560313.125,1783215,2006116.875,2229018.75,2451920.625
11.2,449820,674730,899640,1124550,1349460,1574370,1799280,2024190,2249100,2474010
11.3,453836.25,680754.375,907672.5,1134590.625,1361508.75,1588426.875,1815345,2042263.125,2269181.25,2496099.375
11.4,457852.5,686778.75,915705,1144631.25,1373557.5,1602483.75,1831410,2060336.25,2289262.5,2518188.75
11.5,461868.75,692803.125,923737.5,1154671.875,1385606.25,1616540.625,1847475,2078409.375,2309343.75,2540278.125
11.6,465885,698827.5,931770,1164712.5,1397655,1630597.5,1863540,2096482.5,2329425,2562367.5
11.7,469901.25,704851.875,939802.5,1174753.125,1409703.75,1644654.375,1879605,2114555.625,2349506.25,2584456.875
11.8,473917.5,710876.25,947835,1184793.75,1421752.5,1658711.25,1895670,2132628.75,2369587.5,2606546.25
11.9,477933.75,716900.625,955867.5,1194834.375,1433801.25,1672768.125,1911735,2150701.875,2389668.75,2628635.625
12,481950,722925,963900,1204875,1445850,1686825,1927800,2168775,2409750,2650725
12.1,485966.25,728949.375,971932.5,1214915.625,1457898.75,1700881.875,1943865,2186848.125,2429831.25,2672814.375
12.2,489982.5,734973.75,979965,1224956.25,1469947.5,1714938.75,1959930,2204921.25,2449912.5,2694903.75
12.3,493998.75,740998.125,987997.5,1234996.875,1481996.25,1728995.625,1975995,2222994.375,2469993.75,2716993.125
12.4,498015,747022.5,996030,1245037.5,1494045,1743052.5,1992060,2241067.5,2490075,2739082.5
12.5,502031.25,753046.875,1004062.5,1255078.125,1506093.75,1757109.375,2008125,2259140.625,2510156.25,2761171.875
12.6,506047.5,759071.25,1012095,1265118.75,1518142.5,1771166.25,2024190,2277213.75,2530237.5,2783261.25
12.7,510063.75,765095.625,1020127.5,1275159.375,1530191.25,1785223.125,2040255,2295286.875,2550318.75,2805350.625
12.8,514080,771120,1028160,1285200,1542240,1799280,2056320,2313360,2570400,2827440
12.9,518096.25,777144.375,1036192.5,1295240.625,1554288.75,1813336.875,2072385,2331433.125,2590481.25,2849529.375
13,522112.5,783168.75,1044225,1305281.25,1566337.5,1827393.75,2088450,2349506.25,2610562.5,2871618.75
13.1,526128.75,789193.125,1052257.5,1315321.875,1578386.25,1841450.625,2104515,2367579.375,2630643.75,2893708.125
13.2,530145,795217.5,1060290,1325362.5,1590435,1855507.5,2120580,2385652.5,2650725,2915797.5
13.3,534161.25,801241.875,1068322.5,1335403.125,1602483.75,1869564.375,2136645,2403725.625,2670806.25,2937886.875
13.4,538177.5,807266.25,1076355,1345443.75,1614532.5,1883621.25,2152710,2421798.75,2690887.5,2959976.25
13.5,542193.75,813290.625,1084387.5,1355484.375,1626581.25,1897678.125,2168775,2439871.875,2710968.75,2982065.625
13.6,546210,819315,1092420,1365525,1638630,1911735,2184840,2457945,2731050,3004155
13.7,550226.25,825339.375,1100452.5,1375565.625,1650678.75,1925791.875,2200905,2476018.125,2751131.25,3026244.375
13.8,554242.5,831363.75,1108485,1385606.25,1662727.5,1939848.75,2216970,2494091.25,2771212.5,3048333.75
13.9,558258.75,837388.125,1116517.5,1395646.875,1674776.25,1953905.625,2233035,2512164.375,2791293.75,3070423.125
14,562275,843412.5,1124550,1405687.5,1686825,1967962.5,2249100,2530237.5,2811375,3092512.5
14.1,566291.25,849436.875,1132582.5,1415728.125,1698873.75,1982019.375,2265165,2548310.625,2831456.25,3114601.875
14.2,570307.5,855461.25,1140615,1425768.75,1710922.5,1996076.25,2281230,2566383.75,2851537.5,3136691.25
14.3,574323.75,861485.625,1148647.5,1435809.375,1722971.25,2010133.125,2297295,2584456.875,2871618.75,3158780.625
14.4,578340,867510,1156680,1445850,1735020,2024190,2313360,2602530,2891700,3180870
14.5,582356.25,873534.375,1164712.5,1455890.625,1747068.75,2038246.875,2329425,2620603.125,2911781.25,3202959.375
14.6,586372.5,879558.75,1172745,1465931.25,1759117.5,2052303.75,2345490,2638676.25,2931862.5,3225048.75
14.7,590388.75,885583.125,1180777.5,1475971.875,1771166.25,2066360.625,2361555,2656749.375,2951943.75,3247138.125
14.8,594405,891607.5,1188810,1486012.5,1783215,2080417.5,2377620,2674822.5,2972025,3269227.5
14.9,598421.25,897631.875,1196842.5,1496053.125,1795263.75,2094474.375,2393685,2692895.625,2992106.25,3291316.875
15,602437.5,903656.25,1204875,1506093.75,1807312.5,2108531.25,2409750,2710968.75,3012187.5,3313406.25
15.1,606453.75,909680.625,1212907.5,1516134.375,1819361.25,2122588.125,2425815,2729041.875,3032268.75,3335495.625
15.2,610470,915705,1220940,1526175,1831410,2136645,2441880,2747115,3052350,3357585
