plant,Mr Carrot
variant_title,Mr Carrot ALL Damage Numbers
multiplier,1.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,3500.0,5250,7000,8750,10500,12250,14000,15750,17500,19250
1.1,3850,5775,7700,9625,11550,13475,15400,17325,19250,21175
1.2,4200,6300,8400,10500,12600,14700,16800,18900,21000,23100
1.3,4550,6825,9100,11375,13650,15925,18200,20475,22750,25025
1.4,4900,7350,9800,12250,14700,17150,19600,22050,24500,26950
1.5,5250,7875,10500,13125,15750,18375,21000,23625,26250,28875
1.6,5600,8400,11200,14000,16800,19600,22400,25200,28000,30800
1.7,5950,8925,11900,14875,17850,20825,23800,26775,29750,32725
1.8,6300,9450,12600,15750,18900,22050,25200,28350,31500,34650
1.9,6650,9975,13300,16625,19950,23275,26600,29925,33250,36575
2,7000,10500,14000,17500,21000,24500,28000,31500,35000,38500
2.1,7350,11025,14700,18375,22050,25725,29400,33075,36750,40425
2.2,7700,11550,15400,19250,23100,26950,30800,34650,38500,42350
2.3,8050,12075,16100,20125,24150,28175,32200,36225,40250,44275
2.4,8400,12600,16800,21000,25200,29400,33600,37800,42000,46200
2.5,8750,13125,17500,21875,26250,30625,35000,39375,43750,48125
2.6,9100,13650,18200,22750,27300,31850,36400,40950,45500,50050
2.7,9450,14175,18900,23625,28350,33075,37800,42525,47250,51975
2.8,9800,14700,19600,24500,29400,34300,39200,44100,49000,53900
2.9,10150,15225,20300,25375,30450,35525,40600,45675,50750,55825
3,10500,15750,21000,26250,31500,36750,42000,47250,52500,57750
3.1,10850,16275,21700,27125,32550,37975,43400,48825,54250,59675
3.2,11200,16800,22400,28000,33600,39200,44800,50400,56000,61600
3.3,11550,17325,23100,28875,34650,40425,46200,51975,57750,63525
3.4,11900,17850,23800,29750,35700,41650,47600,53550,59500,65450
3.5,12250,18375,24500,30625,36750,42875,49000,55125,61250,67375
3.6,12600,18900,25200,31500,37800,44100,50400,56700,63000,69300
3.7,12950,19425,25900,32375,38850,45325,51800,58275,64750,71225
3.8,13300,19950,26600,33250,39900,46550,53200,59850,66500,73150
3.9,13650,20475,27300,34125,40950,47775,54600,61425,68250,75075
4,14000,21000,28000,35000,42000,49000,56000,63000,70000,77000
4.1,14350,21525,28700,35875,43050,50225,57400,64575,71750,78925
4.2,14700,22050,29400,36750,44100,51450,58800,66150,73500,80850
4.3,15050,22575,30100,37625,45150,52675,60200,67725,75250,82775
4.4,15400,23100,30800,38500,46200,53900,61600,69300,77000,84700
4.5,15750,23625,31500,39375,47250,55125,63000,70875,78750,86625
4.6,16100,24150,32200,40250,48300,56350,64400,72450,80500,88550
4.7,16450,24675,32900,41125,49350,57575,65800,74025,82250,90475
4.8,16800,25200,33600,42000,50400,58800,67200,75600,84000,92400
4.9,17150,25725,34300,42875,51450,60025,68600,77175,85750,94325
5,17500,26250,35000,43750,52500,61250,70000,78750,87500,96250
5.1,17850,26775,35700,44625,53550,62475,71400,80325,89250,98175
5.2,18200,27300,36400,45500,54600,63700,72800,81900,91000,100100
5.3,18550,27825,37100,46375,55650,64925,74200,83475,92750,102025
5.4,18900,28350,37800,47250,56700,66150,75600,85050,94500,103950
5.5,19250,28875,38500,48125,57750,67375,77000,86625,96250,105875
5.6,19600,29400,39200,49000,58800,68600,78400,88200,98000,107800
5.7,19950,29925,39900,49875,59850,69825,79800,89775,99750,109725
5.8,20300,30450,40600,50750,60900,71050,81200,91350,101500,111650
5.9,20650,30975,41300,51625,61950,72275,82600,92925,103250,113575
6,21000,31500,42000,52500,63000,73500,84000,94500,105000,115500
6.1,21350,32025,42700,53375,64050,74725,85400,96075,106750,117425
6.2,21700,32550,43400,54250,65100,75950,86800,97650,108500,119350
6.3,22050,33075,44100,55125,66150,77175,88200,99225,110250,121275
6.4,22400,33600,44800,56000,67200,78400,89600,100800,112000,123200
6.5,22750,34125,45500,56875,68250,79625,91000,102375,113750,125125
6.6,23100,34650,46200,57750,69300,80850,92400,103950,115500,127050
6.7,23450,35175,46900,58625,70350,82075,93800,105525,117250,128975
6.8,23800,35700,47600,59500,71400,83300,95200,107100,119000,130900
6.9,24150,36225,48300,60375,72450,84525,96600,108675,120750,132825
7,24500,36750,49000,61250,73500,85750,98000,110250,122500,134750
7.1,24850,37275,49700,62125,74550,86975,99400,111825,124250,136675
7.2,25200,37800,50400,63000,75600,88200,100800,113400,126000,138600
7.3,25550,38325,51100,63875,76650,89425,102200,114975,127750,140525
7.4,25900,38850,51800,64750,77700,90650,103600,116550,129500,142450
7.5,26250,39375,52500,65625,78750,91875,105000,118125,131250,144375
7.6,26600,39900,53200,66500,79800,93100,106400,119700,133000,146300
7.7,26950,40425,53900,67375,80850,94325,107800,121275,134750,148225
7.8,27300,40950,54600,68250,81900,95550,109200,122850,136500,150150
7.9,27650,41475,55300,69125,82950,96775,110600,124425,138250,152075
8,28000,42000,56000,70000,84000,98000,112000,126000,140000,154000
