plant,Mr Carrot
variant_title,5.25x Fusion Mutation Mr Carrot ALL Damage Numbers
multiplier,5.25

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,18375.0,27562.5,36750,45937.5,55125,64312.5,73500,82687.5,91875,101062.5
1.1,20212.5,30318.75,40425,50531.25,60637.5,70743.75,80850,90956.25,101062.5,111168.75
1.2,22050,33075,44100,55125,66150,77175,88200,99225,110250,121275
1.3,23887.5,35831.25,47775,59718.75,71662.5,83606.25,95550,107493.75,119437.5,131381.25
1.4,25725,38587.5,51450,64312.5,77175,90037.5,102900,115762.5,128625,141487.5
1.5,27562.5,41343.75,55125,68906.25,82687.5,96468.75,110250,124031.25,137812.5,151593.75
1.6,29400,44100,58800,73500,88200,102900,117600,132300,147000,161700
1.7,31237.5,46856.25,62475,78093.75,93712.5,109331.25,124950,140568.75,156187.5,171806.25
1.8,33075,49612.5,66150,82687.5,99225,115762.5,132300,148837.5,165375,181912.5
1.9,34912.5,52368.75,69825,87281.25,104737.5,122193.75,139650,157106.25,174562.5,192018.75
2,36750,55125,73500,91875,110250,128625,147000,165375,183750,202125
2.1,38587.5,57881.25,77175,96468.75,115762.5,135056.25,154350,173643.75,192937.5,212231.25
2.2,40425,60637.5,80850,101062.5,121275,141487.5,161700,181912.5,202125,222337.5
2.3,42262.5,63393.75,84525,105656.25,126787.5,147918.75,169050,190181.25,211312.5,232443.75
2.4,44100,66150,88200,110250,132300,154350,176400,198450,220500,242550
2.5,45937.5,68906.25,91875,114843.75,137812.5,160781.25,183750,206718.75,229687.5,252656.25
2.6,47775,71662.5,95550,119437.5,143325,167212.5,191100,214987.5,238875,262762.5
2.7,49612.5,74418.75,99225,124031.25,148837.5,173643.75,198450,223256.25,248062.5,272868.75
2.8,51450,77175,102900,128625,154350,180075,205800,231525,257250,282975
2.9,53287.5,79931.25,106575,133218.75,159862.5,186506.25,213150,239793.75,266437.5,293081.25
3,55125,82687.5,110250,137812.5,165375,192937.5,220500,248062.5,275625,303187.5
