plant,Mr Carrot
variant_title,Gold/Foggy/Electrified/Scorched Mr Carrot ALL Damage Numbers
multiplier,2.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,7000.0,10500,14000,17500,21000,24500,28000,31500,35000,38500
1.1,7700,11550,15400,19250,23100,26950,30800,34650,38500,42350
1.2,8400,12600,16800,21000,25200,29400,33600,37800,42000,46200
1.3,9100,13650,18200,22750,27300,31850,36400,40950,45500,50050
1.4,9800,14700,19600,24500,29400,34300,39200,44100,49000,53900
1.5,10500,15750,21000,26250,31500,36750,42000,47250,52500,57750
1.6,11200,16800,22400,28000,33600,39200,44800,50400,56000,61600
1.7,11900,17850,23800,29750,35700,41650,47600,53550,59500,65450
1.8,12600,18900,25200,31500,37800,44100,50400,56700,63000,69300
1.9,13300,19950,26600,33250,39900,46550,53200,59850,66500,73150
2,14000,21000,28000,35000,42000,49000,56000,63000,70000,77000
2.1,14700,22050,29400,36750,44100,51450,58800,66150,73500,80850
2.2,15400,23100,30800,38500,46200,53900,61600,69300,77000,84700
2.3,16100,24150,32200,40250,48300,56350,64400,72450,80500,88550
2.4,16800,25200,33600,42000,50400,58800,67200,75600,84000,92400
2.5,17500,26250,35000,43750,52500,61250,70000,78750,87500,96250
2.6,18200,27300,36400,45500,54600,63700,72800,81900,91000,100100
2.7,18900,28350,37800,47250,56700,66150,75600,85050,94500,103950
2.8,19600,29400,39200,49000,58800,68600,78400,88200,98000,107800
2.9,20300,30450,40600,50750,60900,71050,81200,91350,101500,111650
3,21000,31500,42000,52500,63000,73500,84000,94500,105000,115500
3.1,21700,32550,43400,54250,65100,75950,86800,97650,108500,119350
3.2,22400,33600,44800,56000,67200,78400,89600,100800,112000,123200
3.3,23100,34650,46200,57750,69300,80850,92400,103950,115500,127050
3.4,23800,35700,47600,59500,71400,83300,95200,107100,119000,130900
3.5,24500,36750,49000,61250,73500,85750,98000,110250,122500,134750
3.6,25200,37800,50400,63000,75600,88200,100800,113400,126000,138600
