plant,Mr Carrot
variant_title,Neon Mr Carrot ALL Damage Numbers
multiplier,5.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,17500.0,26250,35000,43750,52500,61250,70000,78750,87500,96250
1.1,19250,28875,38500,48125,57750,67375,77000,86625,96250,105875
1.2,21000,31500,42000,52500,63000,73500,84000,94500,105000,115500
1.3,22750,34125,45500,56875,68250,79625,91000,102375,113750,125125
1.4,24500,36750,49000,61250,73500,85750,98000,110250,122500,134750
1.5,26250,39375,52500,65625,78750,91875,105000,118125,131250,144375
1.6,28000,42000,56000,70000,84000,98000,112000,126000,140000,154000
1.7,29750,44625,59500,74375,89250,104125,119000,133875,148750,163625
1.8,31500,47250,63000,78750,94500,110250,126000,141750,157500,173250
1.9,33250,49875,66500,83125,99750,116375,133000,149625,166250,182875
2,35000,52500,70000,87500,105000,122500,140000,157500,175000,192500
2.1,36750,55125,73500,91875,110250,128625,147000,165375,183750,202125
2.2,38500,57750,77000,96250,115500,134750,154000,173250,192500,211750
2.3,40250,60375,80500,100625,120750,140875,161000,181125,201250,221375
2.4,42000,63000,84000,105000,126000,147000,168000,189000,210000,231000
2.5,43750,65625,87500,109375,131250,153125,175000,196875,218750,240625
2.6,45500,68250,91000,113750,136500,159250,182000,204750,227500,250250
2.7,47250,70875,94500,118125,141750,165375,189000,212625,236250,259875
2.8,49000,73500,98000,122500,147000,171500,196000,220500,245000,269500
2.9,50750,76125,101500,126875,152250,177625,203000,228375,253750,279125
3,52500,78750,105000,131250,157500,183750,210000,236250,262500,288750
3.1,54250,81375,108500,135625,162750,189875,217000,244125,271250,298375
3.2,56000,84000,112000,140000,168000,196000,224000,252000,280000,308000
3.3,57750,86625,115500,144375,173250,202125,231000,259875,288750,317625
3.4,59500,89250,119000,148750,178500,208250,238000,267750,297500,327250
3.5,61250,91875,122500,153125,183750,214375,245000,275625,306250,336875
3.6,63000,94500,126000,157500,189000,220500,252000,283500,315000,346500
3.7,64750,97125,129500,161875,194250,226625,259000,291375,323750,356125
3.8,66500,99750,133000,166250,199500,232750,266000,299250,332500,365750
3.9,68250,102375,136500,170625,204750,238875,273000,307125,341250,375375
4,70000,105000,140000,175000,210000,245000,280000,315000,350000,385000
4.1,71750,107625,143500,179375,215250,251125,287000,322875,358750,394625
4.2,73500,110250,147000,183750,220500,257250,294000,330750,367500,404250
4.3,75250,112875,150500,188125,225750,263375,301000,338625,376250,413875
4.4,77000,115500,154000,192500,231000,269500,308000,346500,385000,423500
4.5,78750,118125,157500,196875,236250,275625,315000,354375,393750,433125
4.6,80500,120750,161000,201250,241500,281750,322000,362250,402500,442750
4.7,82250,123375,164500,205625,246750,287875,329000,370125,411250,452375
4.8,84000,126000,168000,210000,252000,294000,336000,378000,420000,462000
4.9,85750,128625,171500,214375,257250,300125,343000,385875,428750,471625
5,87500,131250,175000,218750,262500,306250,350000,393750,437500,481250
5.1,89250,133875,178500,223125,267750,312375,357000,401625,446250,490875
5.2,91000,136500,182000,227500,273000,318500,364000,409500,455000,500500
5.3,92750,139125,185500,231875,278250,324625,371000,417375,463750,510125
5.4,94500,141750,189000,236250,283500,330750,378000,425250,472500,519750
5.5,96250,144375,192500,240625,288750,336875,385000,433125,481250,529375
5.6,98000,147000,196000,245000,294000,343000,392000,441000,490000,539000
5.7,99750,149625,199500,249375,299250,349125,399000,448875,498750,548625
5.8,101500,152250,203000,253750,304500,355250,406000,456750,507500,558250
5.9,103250,154875,206500,258125,309750,361375,413000,464625,516250,567875
6,105000,157500,210000,262500,315000,367500,420000,472500,525000,577500
6.1,106750,160125,213500,266875,320250,373625,427000,480375,533750,587125
6.2,108500,162750,217000,271250,325500,379750,434000,488250,542500,596750
6.3,110250,165375,220500,275625,330750,385875,441000,496125,551250,606375
6.4,112000,168000,224000,280000,336000,392000,448000,504000,560000,616000
6.5,113750,170625,227500,284375,341250,398125,455000,511875,568750,625625
6.6,115500,173250,231000,288750,346500,404250,462000,519750,577500,635250
6.7,117250,175875,234500,293125,351750,410375,469000,527625,586250,644875
6.8,119000,178500,238000,297500,357000,416500,476000,535500,595000,654500
6.9,120750,181125,241500,301875,362250,422625,483000,543375,603750,664125
7,122500,183750,245000,306250,367500,428750,490000,551250,612500,673750
7.1,124250,186375,248500,310625,372750,434875,497000,559125,621250,683375
7.2,126000,189000,252000,315000,378000,441000,504000,567000,630000,693000
7.3,127750,191625,255500,319375,383250,447125,511000,574875,638750,702625
7.4,129500,194250,259000,323750,388500,453250,518000,582750,647500,712250
7.5,131250,196875,262500,328125,393750,459375,525000,590625,656250,721875
7.6,133000,199500,266000,332500,399000,465500,532000,598500,665000,731500
7.7,134750,202125,269500,336875,404250,471625,539000,606375,673750,741125
7.8,136500,204750,273000,341250,409500,477750,546000,614250,682500,750750
7.9,138250,207375,276500,345625,414750,483875,553000,622125,691250,760375
8,140000,210000,280000,350000,420000,490000,560000,630000,700000,770000
8.1,141750,212625,283500,354375,425250,496125,567000,637875,708750,779625
8.2,143500,215250,287000,358750,430500,502250,574000,645750,717500,789250
8.3,145250,217875,290500,363125,435750,508375,581000,653625,726250,798875
8.4,147000,220500,294000,367500,441000,514500,588000,661500,735000,808500
8.5,148750,223125,297500,371875,446250,520625,595000,669375,743750,818125
8.6,150500,225750,301000,376250,451500,526750,602000,677250,752500,827750
8.7,152250,228375,304500,380625,456750,532875,609000,685125,761250,837375
8.8,154000,231000,308000,385000,462000,539000,616000,693000,770000,847000
8.9,155750,233625,311500,389375,467250,545125,623000,700875,778750,856625
9,157500,236250,315000,393750,472500,551250,630000,708750,787500,866250
9.1,159250,238875,318500,398125,477750,557375,637000,716625,796250,875875
9.2,161000,241500,322000,402500,483000,563500,644000,724500,805000,885500
9.3,162750,244125,325500,406875,488250,569625,651000,732375,813750,895125
9.4,164500,246750,329000,411250,493500,575750,658000,740250,822500,904750
9.5,166250,249375,332500,415625,498750,581875,665000,748125,831250,914375
9.6,168000,252000,336000,420000,504000,588000,672000,756000,840000,924000
9.7,169750,254625,339500,424375,509250,594125,679000,763875,848750,933625
9.8,171500,257250,343000,428750,514500,600250,686000,771750,857500,943250
9.9,173250,259875,346500,433125,519750,606375,693000,779625,866250,952875
10,175000,262500,350000,437500,525000,612500,700000,787500,875000,962500
10.1,176750,265125,353500,441875,530250,618625,707000,795375,883750,972125
10.2,178500,267750,357000,446250,535500,624750,714000,803250,892500,981750
10.3,180250,270375,360500,450625,540750,630875,721000,811125,901250,991375
10.4,182000,273000,364000,455000,546000,637000,728000,819000,910000,1001000
10.5,183750,275625,367500,459375,551250,643125,735000,826875,918750,1010625
10.6,185500,278250,371000,463750,556500,649250,742000,834750,927500,1020250
10.7,187250,280875,374500,468125,561750,655375,749000,842625,936250,1029875
10.8,189000,283500,378000,472500,567000,661500,756000,850500,945000,1039500
10.9,190750,286125,381500,476875,572250,667625,763000,858375,953750,1049125
11,192500,288750,385000,481250,577500,673750,770000,866250,962500,1058750
11.1,194250,291375,388500,485625,582750,679875,777000,874125,971250,1068375
11.2,196000,294000,392000,490000,588000,686000,784000,882000,980000,1078000
11.3,197750,296625,395500,494375,593250,692125,791000,889875,988750,1087625
11.4,199500,299250,399000,498750,598500,698250,798000,897750,997500,1097250
11.5,201250,301875,402500,503125,603750,704375,805000,905625,1006250,1106875
11.6,203000,304500,406000,507500,609000,710500,812000,913500,1015000,1116500
11.7,204750,307125,409500,511875,614250,716625,819000,921375,1023750,1126125
11.8,206500,309750,413000,516250,619500,722750,826000,929250,1032500,1135750
11.9,208250,312375,416500,520625,624750,728875,833000,937125,1041250,1145375
12,210000,315000,420000,525000,630000,735000,840000,945000,1050000,1155000
12.1,211750,317625,423500,529375,635250,741125,847000,952875,1058750,1164625
12.2,213500,320250,427000,533750,640500,747250,854000,960750,1067500,1174250
12.3,215250,322875,430500,538125,645750,753375,861000,968625,1076250,1183875
12.4,217000,325500,434000,542500,651000,759500,868000,976500,1085000,1193500
12.5,218750,328125,437500,546875,656250,765625,875000,984375,1093750,1203125
12.6,220500,330750,441000,551250,661500,771750,882000,992250,1102500,1212750
12.7,222250,333375,444500,555625,666750,777875,889000,1000125,1111250,1222375
12.8,224000,336000,448000,560000,672000,784000,896000,1008000,1120000,1232000
12.9,225750,338625,451500,564375,677250,790125,903000,1015875,1128750,1241625
13,227500,341250,455000,568750,682500,796250,910000,1023750,1137500,1251250
13.1,229250,343875,458500,573125,687750,802375,917000,1031625,1146250,1260875
13.2,231000,346500,462000,577500,693000,808500,924000,1039500,1155000,1270500
13.3,232750,349125,465500,581875,698250,814625,931000,1047375,1163750,1280125
13.4,234500,351750,469000,586250,703500,820750,938000,1055250,1172500,1289750
13.5,236250,354375,472500,590625,708750,826875,945000,1063125,1181250,1299375
13.6,238000,357000,476000,595000,714000,833000,952000,1071000,1190000,1309000
13.7,239750,359625,479500,599375,719250,839125,959000,1078875,1198750,1318625
13.8,241500,362250,483000,603750,724500,845250,966000,1086750,1207500,1328250
13.9,243250,364875,486500,608125,729750,851375,973000,1094625,1216250,1337875
14,245000,367500,490000,612500,735000,857500,980000,1102500,1225000,1347500
14.1,246750,370125,493500,616875,740250,863625,987000,1110375,1233750,1357125
14.2,248500,372750,497000,621250,745500,869750,994000,1118250,1242500,1366750
14.3,250250,375375,500500,625625,750750,875875,1001000,1126125,1251250,1376375
14.4,252000,378000,504000,630000,756000,882000,1008000,1134000,1260000,1386000
14.5,253750,380625,507500,634375,761250,888125,1015000,1141875,1268750,1395625
14.6,255500,383250,511000,638750,766500,894250,1022000,1149750,1277500,1405250
14.7,257250,385875,514500,643125,771750,900375,1029000,1157625,1286250,1414875
14.8,259000,388500,518000,647500,777000,906500,1036000,1165500,1295000,1424500
14.9,260750,391125,521500,651875,782250,912625,1043000,1173375,1303750,1434125
15,262500,393750,525000,656250,787500,918750,1050000,1181250,1312500,1443750
15.1,264250,396375,528500,660625,792750,924875,1057000,1189125,1321250,1453375
15.2,266000,399000,532000,665000,798000,931000,1064000,1197000,1330000,1463000
15.3,267750,401625,535500,669375,803250,937125,1071000,1204875,1338750,1472625
15.4,269500,404250,539000,673750,808500,943250,1078000,1212750,1347500,1482250
15.5,271250,406875,542500,678125,813750,949375,1085000,1220625,1356250,1491875
15.6,273000,409500,546000,682500,819000,955500,1092000,1228500,1365000,1501500
15.7,274750,412125,549500,686875,824250,961625,1099000,1236375,1373750,1511125
15.8,276500,414750,553000,691250,829500,967750,1106000,1244250,1382500,1520750
15.9,278250,417375,556500,695625,834750,973875,1113000,1252125,1391250,1530375
16,280000,420000,560000,700000,840000,980000,1120000,1260000,1400000,1540000
16.1,281750,422625,563500,704375,845250,986125,1127000,1267875,1408750,1549625
16.2,283500,425250,567000,708750,850500,992250,1134000,1275750,1417500,1559250
16.3,285250,427875,570500,713125,855750,998375,1141000,1283625,1426250,1568875
16.4,287000,430500,574000,717500,861000,1004500,1148000,1291500,1435000,1578500
16.5,288750,433125,577500,721875,866250,1010625,1155000,1299375,1443750,1588125
16.6,290500,435750,581000,726250,871500,1016750,1162000,1307250,1452500,1597750
16.7,292250,438375,584500,730625,876750,1022875,1169000,1315125,1461250,1607375
16.8,294000,441000,588000,735000,882000,1029000,1176000,1323000,1470000,1617000
16.9,295750,443625,591500,739375,887250,1035125,1183000,1330875,1478750,1626625
17,297500,446250,595000,743750,892500,1041250,1190000,1338750,1487500,1636250
17.1,299250,448875,598500,748125,897750,1047375,1197000,1346625,1496250,1645875
17.2,301000,451500,602000,752500,903000,1053500,1204000,1354500,1505000,1655500
17.3,302750,454125,605500,756875,908250,1059625,1211000,1362375,1513750,1665125
17.4,304500,456750,609000,761250,913500,1065750,1218000,1370250,1522500,1674750
17.5,306250,459375,612500,765625,918750,1071875,1225000,1378125,1531250,1684375
17.6,308000,462000,616000,770000,924000,1078000,1232000,1386000,1540000,1694000
17.7,309750,464625,619500,774375,929250,1084125,1239000,1393875,1548750,1703625
17.8,311500,467250,623000,778750,934500,1090250,1246000,1401750,1557500,1713250
17.9,313250,469875,626500,783125,939750,1096375,1253000,1409625,1566250,1722875
18,315000,472500,630000,787500,945000,1102500,1260000,1417500,1575000,1732500
18.1,316750,475125,633500,791875,950250,1108625,1267000,1425375,1583750,1742125
18.2,318500,477750,637000,796250,955500,1114750,1274000,1433250,1592500,1751750
18.3,320250,480375,640500,800625,960750,1120875,1281000,1441125,1601250,1761375
18.4,322000,483000,644000,805000,966000,1127000,1288000,1449000,1610000,1771000
18.5,323750,485625,647500,809375,971250,1133125,1295000,1456875,1618750,1780625
18.6,325500,488250,651000,813750,976500,1139250,1302000,1464750,1627500,1790250
18.7,327250,490875,654500,818125,981750,1145375,1309000,1472625,1636250,1799875
18.8,329000,493500,658000,822500,987000,1151500,1316000,1480500,1645000,1809500
18.9,330750,496125,661500,826875,992250,1157625,1323000,1488375,1653750,1819125
19,332500,498750,665000,831250,997500,1163750,1330000,1496250,1662500,1828750
19.1,334250,501375,668500,835625,1002750,1169875,1337000,1504125,1671250,1838375
19.2,336000,504000,672000,840000,1008000,1176000,1344000,1512000,1680000,1848000
19.3,337750,506625,675500,844375,1013250,1182125,1351000,1519875,1688750,1857625
19.4,339500,509250,679000,848750,1018500,1188250,1358000,1527750,1697500,1867250
19.5,341250,511875,682500,853125,1023750,1194375,1365000,1535625,1706250,1876875
19.6,343000,514500,686000,857500,1029000,1200500,1372000,1543500,1715000,1886500
19.7,344750,517125,689500,861875,1034250,1206625,1379000,1551375,1723750,1896125
19.8,346500,519750,693000,866250,1039500,1212750,1386000,1559250,1732500,1905750
19.9,348250,522375,696500,870625,1044750,1218875,1393000,1567125,1741250,1915375
20,350000,525000,700000,875000,1050000,1225000,1400000,1575000,1750000,1925000
20.1,351750,527625,703500,879375,1055250,1231125,1407000,1582875,1758750,1934625
20.2,353500,530250,707000,883750,1060500,1237250,1414000,1590750,1767500,1944250
20.3,355250,532875,710500,888125,1065750,1243375,1421000,1598625,1776250,1953875
20.4,357000,535500,714000,892500,1071000,1249500,1428000,1606500,1785000,1963500
20.5,358750,538125,717500,896875,1076250,1255625,1435000,1614375,1793750,1973125
