plant,Mr Carrot
variant_title,Ruby/Frozen Mr Carrot ALL Damage Numbers
multiplier,4.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,14000.0,21000,28000,35000,42000,49000,56000,63000,70000,77000
1.1,15400,23100,30800,38500,46200,53900,61600,69300,77000,84700
1.2,16800,25200,33600,42000,50400,58800,67200,75600,84000,92400
1.3,18200,27300,36400,45500,54600,63700,72800,81900,91000,100100
1.4,19600,29400,39200,49000,58800,68600,78400,88200,98000,107800
1.5,21000,31500,42000,52500,63000,73500,84000,94500,105000,115500
1.6,22400,33600,44800,56000,67200,78400,89600,100800,112000,123200
1.7,23800,35700,47600,59500,71400,83300,95200,107100,119000,130900
1.8,25200,37800,50400,63000,75600,88200,100800,113400,126000,138600
1.9,26600,39900,53200,66500,79800,93100,106400,119700,133000,146300
2,28000,42000,56000,70000,84000,98000,112000,126000,140000,154000
2.1,29400,44100,58800,73500,88200,102900,117600,132300,147000,161700
2.2,30800,46200,61600,77000,92400,107800,123200,138600,154000,169400
2.3,32200,48300,64400,80500,96600,112700,128800,144900,161000,177100
2.4,33600,50400,67200,84000,100800,117600,134400,151200,168000,184800
2.5,35000,52500,70000,87500,105000,122500,140000,157500,175000,192500
2.6,36400,54600,72800,91000,109200,127400,145600,163800,182000,200200
2.7,37800,56700,75600,94500,113400,132300,151200,170100,189000,207900
2.8,39200,58800,78400,98000,117600,137200,156800,176400,196000,215600
2.9,40600,60900,81200,101500,121800,142100,162400,182700,203000,223300
3,42000,63000,84000,105000,126000,147000,168000,189000,210000,231000
3.1,43400,65100,86800,108500,130200,151900,173600,195300,217000,238700
3.2,44800,67200,89600,112000,134400,156800,179200,201600,224000,246400
3.3,46200,69300,92400,115500,138600,161700,184800,207900,231000,254100
3.4,47600,71400,95200,119000,142800,166600,190400,214200,238000,261800
3.5,49000,73500,98000,122500,147000,171500,196000,220500,245000,269500
3.6,50400,75600,100800,126000,151200,176400,201600,226800,252000,277200
3.7,51800,77700,103600,129500,155400,181300,207200,233100,259000,284900
3.8,53200,79800,106400,133000,159600,186200,212800,239400,266000,292600
3.9,54600,81900,109200,136500,163800,191100,218400,245700,273000,300300
4,56000,84000,112000,140000,168000,196000,224000,252000,280000,308000
4.1,57400,86100,114800,143500,172200,200900,229600,258300,287000,315700
4.2,58800,88200,117600,147000,176400,205800,235200,264600,294000,323400
4.3,60200,90300,120400,150500,180600,210700,240800,270900,301000,331100
4.4,61600,92400,123200,154000,184800,215600,246400,277200,308000,338800
4.5,63000,94500,126000,157500,189000,220500,252000,283500,315000,346500
4.6,64400,96600,128800,161000,193200,225400,257600,289800,322000,354200
4.7,65800,98700,131600,164500,197400,230300,263200,296100,329000,361900
4.8,67200,100800,134400,168000,201600,235200,268800,302400,336000,369600
4.9,68600,102900,137200,171500,205800,240100,274400,308700,343000,377300
5,70000,105000,140000,175000,210000,245000,280000,315000,350000,385000
5.1,71400,107100,142800,178500,214200,249900,285600,321300,357000,392700
5.2,72800,109200,145600,182000,218400,254800,291200,327600,364000,400400
5.3,74200,111300,148400,185500,222600,259700,296800,333900,371000,408100
5.4,75600,113400,151200,189000,226800,264600,302400,340200,378000,415800
5.5,77000,115500,154000,192500,231000,269500,308000,346500,385000,423500
5.6,78400,117600,156800,196000,235200,274400,313600,352800,392000,431200
5.7,79800,119700,159600,199500,239400,279300,319200,359100,399000,438900
5.8,81200,121800,162400,203000,243600,284200,324800,365400,406000,446600
5.9,82600,123900,165200,206500,247800,289100,330400,371700,413000,454300
6,84000,126000,168000,210000,252000,294000,336000,378000,420000,462000
6.1,85400,128100,170800,213500,256200,298900,341600,384300,427000,469700
6.2,86800,130200,173600,217000,260400,303800,347200,390600,434000,477400
6.3,88200,132300,176400,220500,264600,308700,352800,396900,441000,485100
6.4,89600,134400,179200,224000,268800,313600,358400,403200,448000,492800
6.5,91000,136500,182000,227500,273000,318500,364000,409500,455000,500500
6.6,92400,138600,184800,231000,277200,323400,369600,415800,462000,508200
6.7,93800,140700,187600,234500,281400,328300,375200,422100,469000,515900
6.8,95200,142800,190400,238000,285600,333200,380800,428400,476000,523600
6.9,96600,144900,193200,241500,289800,338100,386400,434700,483000,531300
7,98000,147000,196000,245000,294000,343000,392000,441000,490000,539000
7.1,99400,149100,198800,248500,298200,347900,397600,447300,497000,546700
7.2,100800,151200,201600,252000,302400,352800,403200,453600,504000,554400
7.3,102200,153300,204400,255500,306600,357700,408800,459900,511000,562100
7.4,103600,155400,207200,259000,310800,362600,414400,466200,518000,569800
7.5,105000,157500,210000,262500,315000,367500,420000,472500,525000,577500
7.6,106400,159600,212800,266000,319200,372400,425600,478800,532000,585200
7.7,107800,161700,215600,269500,323400,377300,431200,485100,539000,592900
7.8,109200,163800,218400,273000,327600,382200,436800,491400,546000,600600
7.9,110600,165900,221200,276500,331800,387100,442400,497700,553000,608300
8,112000,168000,224000,280000,336000,392000,448000,504000,560000,616000
8.1,113400,170100,226800,283500,340200,396900,453600,510300,567000,623700
8.2,114800,172200,229600,287000,344400,401800,459200,516600,574000,631400
8.3,116200,174300,232400,290500,348600,406700,464800,522900,581000,639100
8.4,117600,176400,235200,294000,352800,411600,470400,529200,588000,646800
8.5,119000,178500,238000,297500,357000,416500,476000,535500,595000,654500
8.6,120400,180600,240800,301000,361200,421400,481600,541800,602000,662200
8.7,121800,182700,243600,304500,365400,426300,487200,548100,609000,669900
