plant,Pumpkin
variant_title,(1x) Pumpkin ALL Damage Numbers
multiplier,1.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,55.0,82.5,110,137.5,165,192.5,220,247.5,275,302.5
1.1,60.5,90.75,121,151.25,181.5,211.75,242,272.25,302.5,332.75
1.2,66,99,132,165,198,231,264,297,330,363
1.3,71.5,107.25,143,178.75,214.5,250.25,286,321.75,357.5,393.25
1.4,77,115.5,154,192.5,231,269.5,308,346.5,385,423.5
1.5,82.5,123.75,165,206.25,247.5,288.75,330,371.25,412.5,453.75
1.6,88,132,176,220,264,308,352,396,440,484
1.7,93.5,140.25,187,233.75,280.5,327.25,374,420.75,467.5,514.25
1.8,99,148.5,198,247.5,297,346.5,396,445.5,495,544.5
1.9,104.5,156.75,209,261.25,313.5,365.75,418,470.25,522.5,574.75
2,110,165,220,275,330,385,440,495,550,605
2.1,115.5,173.25,231,288.75,346.5,404.25,462,519.75,577.5,635.25
2.2,121,181.5,242,302.5,363,423.5,484,544.5,605,665.5
2.3,126.5,189.75,253,316.25,379.5,442.75,506,569.25,632.5,695.75
2.4,132,198,264,330,396,462,528,594,660,726
2.5,137.5,206.25,275,343.75,412.5,481.25,550,618.75,687.5,756.25
2.6,143,214.5,286,357.5,429,500.5,572,643.5,715,786.5
2.7,148.5,222.75,297,371.25,445.5,519.75,594,668.25,742.5,816.75
2.8,154,231,308,385,462,539,616,693,770,847
2.9,159.5,239.25,319,398.75,478.5,558.25,638,717.75,797.5,877.25
3,165,247.5,330,412.5,495,577.5,660,742.5,825,907.5
3.1,170.5,255.75,341,426.25,511.5,596.75,682,767.25,852.5,937.75
3.2,176,264,352,440,528,616,704,792,880,968
3.3,181.5,272.25,363,453.75,544.5,635.25,726,816.75,907.5,998.25
3.4,187,280.5,374,467.5,561,654.5,748,841.5,935,1028.5
3.5,192.5,288.75,385,481.25,577.5,673.75,770,866.25,962.5,1058.75
3.6,198,297,396,495,594,693,792,891,990,1089
3.7,203.5,305.25,407,508.75,610.5,712.25,814,915.75,1017.5,1119.25
3.8,209,313.5,418,522.5,627,731.5,836,940.5,1045,1149.5
3.9,214.5,321.75,429,536.25,643.5,750.75,858,965.25,1072.5,1179.75
4,220,330,440,550,660,770,880,990,1100,1210
4.1,225.5,338.25,451,563.75,676.5,789.25,902,1014.75,1127.5,1240.25
4.2,231,346.5,462,577.5,693,808.5,924,1039.5,1155,1270.5
4.3,236.5,354.75,473,591.25,709.5,827.75,946,1064.25,1182.5,1300.75
4.4,242,363,484,605,726,847,968,1089,1210,1331
4.5,247.5,371.25,495,618.75,742.5,866.25,990,1113.75,1237.5,1361.25
4.6,253,379.5,506,632.5,759,885.5,1012,1138.5,1265,1391.5
4.7,258.5,387.75,517,646.25,775.5,904.75,1034,1163.25,1292.5,1421.75
4.8,264,396,528,660,792,924,1056,1188,1320,1452
4.9,269.5,404.25,539,673.75,808.5,943.25,1078,1212.75,1347.5,1482.25
5,275,412.5,550,687.5,825,962.5,1100,1237.5,1375,1512.5
5.1,280.5,420.75,561,701.25,841.5,981.75,1122,1262.25,1402.5,1542.75
5.2,286,429,572,715,858,1001,1144,1287,1430,1573
5.3,291.5,437.25,583,728.75,874.5,1020.25,1166,1311.75,1457.5,1603.25
5.4,297,445.5,594,742.5,891,1039.5,1188,1336.5,1485,1633.5
5.5,302.5,453.75,605,756.25,907.5,1058.75,1210,1361.25,1512.5,1663.75
5.6,308,462,616,770,924,1078,1232,1386,1540,1694
5.7,313.5,470.25,627,783.75,940.5,1097.25,1254,1410.75,1567.5,1724.25
5.8,319,478.5,638,797.5,957,1116.5,1276,1435.5,1595,1754.5
5.9,324.5,486.75,649,811.25,973.5,1135.75,1298,1460.25,1622.5,1784.75
6,330,495,660,825,990,1155,1320,1485,1650,1815
6.1,335.5,503.25,671,838.75,1006.5,1174.25,1342,1509.75,1677.5,1845.25
6.2,341,511.5,682,852.5,1023,1193.5,1364,1534.5,1705,1875.5
6.3,346.5,519.75,693,866.25,1039.5,1212.75,1386,1559.25,1732.5,1905.75
6.4,352,528,704,880,1056,1232,1408,1584,1760,1936
6.5,357.5,536.25,715,893.75,1072.5,1251.25,1430,1608.75,1787.5,1966.25
6.6,363,544.5,726,907.5,1089,1270.5,1452,1633.5,1815,1996.5
6.7,368.5,552.75,737,921.25,1105.5,1289.75,1474,1658.25,1842.5,2026.75
6.8,374,561,748,935,1122,1309,1496,1683,1870,2057
6.9,379.5,569.25,759,948.75,1138.5,1328.25,1518,1707.75,1897.5,2087.25
7,385,577.5,770,962.5,1155,1347.5,1540,1732.5,1925,2117.5
