plant,Pumpkin
variant_title,(2x) Gold/Foggy/Electrified/Scorched Pumpkin ALL Damage Numbers
multiplier,2.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,110,165,220,275,330,385,440,495,550,605
1.1,121,181.5,242,302.5,363,423.5,484,544.5,605,665.5
1.2,132,198,264,330,396,462,528,594,660,726
1.3,143,214.5,286,357.5,429,500.5,572,643.5,715,786.5
1.4,154,231,308,385,462,539,616,693,770,847
1.5,165,247.5,330,412.5,495,577.5,660,742.5,825,907.5
1.6,176,264,352,440,528,616,704,792,880,968
1.7,187,280.5,374,467.5,561,654.5,748,841.5,935,1028.5
1.8,198,297,396,495,594,693,792,891,990,1089
1.9,209,313.5,418,522.5,627,731.5,836,940.5,1045,1149.5
2,220,330,440,550,660,770,880,990,1100,1210
2.1,231,346.5,462,577.5,693,808.5,924,1039.5,1155,1270.5
2.2,242,363,484,605,726,847,968,1089,1210,1331
2.3,253,379.5,506,632.5,759,885.5,1012,1138.5,1265,1391.5
2.4,264,396,528,660,792,924,1056,1188,1320,1452
2.5,275,412.5,550,687.5,825,962.5,1100,1237.5,1375,1512.5
2.6,286,429,572,715,858,1001,1144,1287,1430,1573
2.7,297,445.5,594,742.5,891,1039.5,1188,1336.5,1485,1633.5
2.8,308,462,616,770,924,1078,1232,1386,1540,1694
2.9,319,478.5,638,797.5,957,1116.5,1276,1435.5,1595,1754.5
3,330,495,660,825,990,1155,1320,1485,1650,1815
3.1,341,511.5,682,852.5,1023,1193.5,1364,1534.5,1705,1875.5
3.2,352,528,704,880,1056,1232,1408,1584,1760,1936
3.3,363,544.5,726,907.5,1089,1270.5,1452,1633.5,1815,1996.5
3.4,374,561,748,935,1122,1309,1496,1683,1870,2057
3.5,385,577.5,770,962.5,1155,1347.5,1540,1732.5,1925,2117.5
3.6,396,594,792,990,1188,1386,1584,1782,1980,2178
3.7,407,610.5,814,1017.5,1221,1424.5,1628,1831.5,2035,2238.5
3.8,418,627,836,1045,1254,1463,1672,1881,2090,2299
3.9,429,643.5,858,1072.5,1287,1501.5,1716,1930.5,2145,2359.5
4,440,660,880,1100,1320,1540,1760,1980,2200,2420
4.1,451,676.5,902,1127.5,1353,1578.5,1804,2029.5,2255,2480.5
4.2,462,693,924,1155,1386,1617,1848,2079,2310,2541
4.3,473,709.5,946,1182.5,1419,1655.5,1892,2128.5,2365,2601.5
4.4,484,726,968,1210,1452,1694,1936,2178,2420,2662
4.5,495,742.5,990,1237.5,1485,1732.5,1980,2227.5,2475,2722.5
4.6,506,759,1012,1265,1518,1771,2024,2277,2530,2783
4.7,517,775.5,1034,1292.5,1551,1809.5,2068,2326.5,2585,2843.5
4.8,528,792,1056,1320,1584,1848,2112,2376,2640,2904
4.9,539,808.5,1078,1347.5,1617,1886.5,2156,2425.5,2695,2964.5
5,550,825,1100,1375,1650,1925,2200,2475,2750,3025
5.1,561,841.5,1122,1402.5,1683,1963.5,2244,2524.5,2805,3085.5
5.2,572,858,1144,1430,1716,2002,2288,2574,2860,3146
5.3,583,874.5,1166,1457.5,1749,2040.5,2332,2623.5,2915,3206.5
5.4,594,891,1188,1485,1782,2079,2376,2673,2970,3267
5.5,605,907.5,1210,1512.5,1815,2117.5,2420,2722.5,3025,3327.5
5.6,616,924,1232,1540,1848,2156,2464,2772,3080,3388
5.7,627,940.5,1254,1567.5,1881,2194.5,2508,2821.5,3135,3448.5
5.8,638,957,1276,1595,1914,2233,2552,2871,3190,3509
5.9,649,973.5,1298,1622.5,1947,2271.5,2596,2920.5,3245,3569.5
6,660,990,1320,1650,1980,2310,2640,2970,3300,3630
6.1,671,1006.5,1342,1677.5,2013,2348.5,2684,3019.5,3355,3690.5
6.2,682,1023,1364,1705,2046,2387,2728,3069,3410,3751
6.3,693,1039.5,1386,1732.5,2079,2425.5,2772,3118.5,3465,3811.5
6.4,704,1056,1408,1760,2112,2464,2816,3168,3520,3872
6.5,715,1072.5,1430,1787.5,2145,2502.5,2860,3217.5,3575,3932.5
6.6,726,1089,1452,1815,2178,2541,2904,3267,3630,3993
6.7,737,1105.5,1474,1842.5,2211,2579.5,2948,3316.5,3685,4053.5
6.8,748,1122,1496,1870,2244,2618,2992,3366,3740,4114
6.9,759,1138.5,1518,1897.5,2277,2656.5,3036,3415.5,3795,4174.5
7,770,1155,1540,1925,2310,2695,3080,3465,3850,4235
7.1,781,1171.5,1562,1952.5,2343,2733.5,3124,3514.5,3905,4295.5
7.2,792,1188,1584,1980,2376,2772,3168,3564,3960,4356
7.3,803,1204.5,1606,2007.5,2409,2810.5,3212,3613.5,4015,4416.5
7.4,814,1221,1628,2035,2442,2849,3256,3663,4070,4477
7.5,825,1237.5,1650,2062.5,2475,2887.5,3300,3712.5,4125,4537.5
7.6,836,1254,1672,2090,2508,2926,3344,3762,4180,4598
7.7,847,1270.5,1694,2117.5,2541,2964.5,3388,3811.5,4235,4658.5
7.8,858,1287,1716,2145,2574,3003,3432,3861,4290,4719
7.9,869,1303.5,1738,2172.5,2607,3041.5,3476,3910.5,4345,4779.5
8,880,1320,1760,2200,2640,3080,3520,3960,4400,4840
8.1,891,1336.5,1782,2227.5,2673,3118.5,3564,4009.5,4455,4900.5
8.2,902,1353,1804,2255,2706,3157,3608,4059,4510,4961
8.3,913,1369.5,1826,2282.5,2739,3195.5,3652,4108.5,4565,5021.5
8.4,924,1386,1848,2310,2772,3234,3696,4158,4620,5082
8.5,935,1402.5,1870,2337.5,2805,3272.5,3740,4207.5,4675,5142.5
8.6,946,1419,1892,2365,2838,3311,3784,4257,4730,5203
8.7,957,1435.5,1914,2392.5,2871,3349.5,3828,4306.5,4785,5263.5
8.8,968,1452,1936,2420,2904,3388,3872,4356,4840,5324
