plant,Pumpkin
variant_title,(3x) Diamond Pumpkin ALL Damage Numbers
multiplier,3.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,165,247.5,330,412.5,495,577.5,660,742.5,825,907.5
1.1,181.5,272.25,363,453.75,544.5,635.25,726,816.75,907.5,998.25
1.2,198,297,396,495,594,693,792,891,990,1089
1.3,214.5,321.75,429,536.25,643.5,750.75,858,965.25,1072.5,1179.75
1.4,231,346.5,462,577.5,693,808.5,924,1039.5,1155,1270.5
1.5,247.5,371.25,495,618.75,742.5,866.25,990,1113.75,1237.5,1361.25
1.6,264,396,528,660,792,924,1056,1188,1320,1452
1.7,280.5,420.75,561,701.25,841.5,981.75,1122,1262.25,1402.5,1542.75
1.8,297,445.5,594,742.5,891,1039.5,1188,1336.5,1485,1633.5
1.9,313.5,470.25,627,783.75,940.5,1097.25,1254,1410.75,1567.5,1724.25
2,330,495,660,825,990,1155,1320,1485,1650,1815
2.1,346.5,519.75,693,866.25,1039.5,1212.75,1386,1559.25,1732.5,1905.75
2.2,363,544.5,726,907.5,1089,1270.5,1452,1633.5,1815,1996.5
2.3,379.5,569.25,759,948.75,1138.5,1328.25,1518,1707.75,1897.5,2087.25
2.4,396,594,792,990,1188,1386,1584,1782,1980,2178
2.5,412.5,618.75,825,1031.25,1237.5,1443.75,1650,1856.25,2062.5,2268.75
2.6,429,643.5,858,1072.5,1287,1501.5,1716,1930.5,2145,2359.5
2.7,445.5,668.25,891,1113.75,1336.5,1559.25,1782,2004.75,2227.5,2450.25
2.8,462,693,924,1155,1386,1617,1848,2079,2310,2541
2.9,478.5,717.75,957,1196.25,1435.5,1674.75,1914,2153.25,2392.5,2631.75
3,495,742.5,990,1237.5,1485,1732.5,1980,2227.5,2475,2722.5
3.1,511.5,767.25,1023,1278.75,1534.5,1790.25,2046,2301.75,2557.5,2813.25
3.2,528,792,1056,1320,1584,1848,2112,2376,2640,2904
3.3,544.5,816.75,1089,1361.25,1633.5,1905.75,2178,2450.25,2722.5,2994.75
3.4,561,841.5,1122,1402.5,1683,1963.5,2244,2524.5,2805,3085.5
3.5,577.5,866.25,1155,1443.75,1732.5,2021.25,2310,2598.75,2887.5,3176.25
3.6,594,891,1188,1485,1782,2079,2376,2673,2970,3267
3.7,610.5,915.75,1221,1526.25,1831.5,2136.75,2442,2747.25,3052.5,3357.75
3.8,627,940.5,1254,1567.5,1881,2194.5,2508,2821.5,3135,3448.5
3.9,643.5,965.25,1287,1608.75,1930.5,2252.25,2574,2895.75,3217.5,3539.25
4,660,990,1320,1650,1980,2310,2640,2970,3300,3630
4.1,676.5,1014.75,1353,1691.25,2029.5,2367.75,2706,3044.25,3382.5,3720.75
4.2,693,1039.5,1386,1732.5,2079,2425.5,2772,3118.5,3465,3811.5
4.3,709.5,1064.25,1419,1773.75,2128.5,2483.25,2838,3192.75,3547.5,3902.25
4.4,726,1089,1452,1815,2178,2541,2904,3267,3630,3993
4.5,742.5,1113.75,1485,1856.25,2227.5,2598.75,2970,3341.25,3712.5,4083.75
4.6,759,1138.5,1518,1897.5,2277,2656.5,3036,3415.5,3795,4174.5
4.7,775.5,1163.25,1551,1938.75,2326.5,2714.25,3102,3489.75,3877.5,4265.25
4.8,792,1188,1584,1980,2376,2772,3168,3564,3960,4356
4.9,808.5,1212.75,1617,2021.25,2425.5,2829.75,3234,3638.25,4042.5,4446.75
5,825,1237.5,1650,2062.5,2475,2887.5,3300,3712.5,4125,4537.5
5.1,841.5,1262.25,1683,2103.75,2524.5,2945.25,3366,3786.75,4207.5,4628.25
5.2,858,1287,1716,2145,2574,3003,3432,3861,4290,4719
5.3,874.5,1311.75,1749,2186.25,2623.5,3060.75,3498,3935.25,4372.5,4809.75
5.4,891,1336.5,1782,2227.5,2673,3118.5,3564,4009.5,4455,4900.5
5.5,907.5,1361.25,1815,2268.75,2722.5,3176.25,3630,4083.75,4537.5,4991.25
5.6,924,1386,1848,2310,2772,3234,3696,4158,4620,5082
5.7,940.5,1410.75,1881,2351.25,2821.5,3291.75,3762,4232.25,4702.5,5172.75
5.8,957,1435.5,1914,2392.5,2871,3349.5,3828,4306.5,4785,5263.5
5.9,973.5,1460.25,1947,2433.75,2920.5,3407.25,3894,4380.75,4867.5,5354.25
6,990,1485,1980,2475,2970,3465,3960,4455,4950,5445
6.1,1006.5,1509.75,2013,2516.25,3019.5,3522.75,4026,4529.25,5032.5,5535.75
6.2,1023,1534.5,2046,2557.5,3069,3580.5,4092,4603.5,5115,5626.5
6.3,1039.5,1559.25,2079,2598.75,3118.5,3638.25,4158,4677.75,5197.5,5717.25
6.4,1056,1584,2112,2640,3168,3696,4224,4752,5280,5808
6.5,1072.5,1608.75,2145,2681.25,3217.5,3753.75,4290,4826.25,5362.5,5898.75
6.6,1089,1633.5,2178,2722.5,3267,3811.5,4356,4900.5,5445,5989.5
6.7,1105.5,1658.25,2211,2763.75,3316.5,3869.25,4422,4974.75,5527.5,6080.25
6.8,1122,1683,2244,2805,3366,3927,4488,5049,5610,6171
6.9,1138.5,1707.75,2277,2846.25,3415.5,3984.75,4554,5123.25,5692.5,6261.75
7,1155,1732.5,2310,2887.5,3465,4042.5,4620,5197.5,5775,6352.5
7.1,1171.5,1757.25,2343,2928.75,3514.5,4100.25,4686,5271.75,5857.5,6443.25
7.2,1188,1782,2376,2970,3564,4158,4752,5346,5940,6534
7.3,1204.5,1806.75,2409,3011.25,3613.5,4215.75,4818,5420.25,6022.5,6624.75
7.4,1221,1831.5,2442,3052.5,3663,4273.5,4884,5494.5,6105,6715.5
7.5,1237.5,1856.25,2475,3093.75,3712.5,4331.25,4950,5568.75,6187.5,6806.25
