plant,Pumpkin
variant_title,4.25x Fusion Mutation Pumpkin ALL Damage Numbers
multiplier,4.25

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,233.75,350.625,467.5,584.375,701.25,818.125,935,1051.875,1168.75,1285.625
1.1,257.125,385.6875,514.25,642.8125,771.375,899.9375,1028.5,1157.0625,1285.625,1414.1875
1.2,280.5,420.75,561,701.25,841.5,981.75,1122,1262.25,1402.5,1542.75
1.3,303.875,455.8125,607.75,759.6875,911.625,1063.5625,1215.5,1367.4375,1519.375,1671.3125
1.4,327.25,490.875,654.5,818.125,981.75,1145.375,1309,1472.625,1636.25,1799.875
1.5,350.625,525.9375,701.25,876.5625,1051.875,1227.1875,1402.5,1577.8125,1753.125,1928.4375
1.6,374,561,748,935,1122,1309,1496,1683,1870,2057
1.7,397.375,596.0625,794.75,993.4375,1192.125,1390.8125,1589.5,1788.1875,1986.875,2185.5625
1.8,420.75,631.125,841.5,1051.875,1262.25,1472.625,1683,1893.375,2103.75,2314.125
1.9,444.125,666.1875,888.25,1110.3125,1332.375,1554.4375,1776.5,1998.5625,2220.625,2442.6875
2,467.5,701.25,935,1168.75,1402.5,1636.25,1870,2103.75,2337.5,2571.25
2.1,490.875,736.3125,981.75,1227.1875,1472.625,1718.0625,1963.5,2208.9375,2454.375,2699.8125
2.2,514.25,771.375,1028.5,1285.625,1542.75,1799.875,2057,2314.125,2571.25,2828.375
2.3,537.625,806.4375,1075.25,1344.0625,1612.875,1881.6875,2150.5,2419.3125,2688.125,2956.9375
2.4,561,841.5,1122,1402.5,1683,1963.5,2244,2524.5,2805,3085.5
2.5,584.375,876.5625,1168.75,1460.9375,1753.125,2045.3125,2337.5,2629.6875,2921.875,3214.0625
2.6,607.75,911.625,1215.5,1519.375,1823.25,2127.125,2431,2734.875,3038.75,3342.625
2.7,631.125,946.6875,1262.25,1577.8125,1893.375,2208.9375,2524.5,2840.0625,3155.625,3471.1875
2.8,654.5,981.75,1309,1636.25,1963.5,2290.75,2618,2945.25,3272.5,3599.75
2.9,677.875,1016.8125,1355.75,1694.6875,2033.625,2372.5625,2711.5,3050.4375,3389.375,3728.3125
3,701.25,1051.875,1402.5,1753.125,2103.75,2454.375,2805,3155.625,3506.25,3856.875
3.1,724.625,1086.9375,1449.25,1811.5625,2173.875,2536.1875,2898.5,3260.8125,3623.125,3985.4375
3.2,748,1122,1496,1870,2244,2618,2992,3366,3740,4114
3.3,771.375,1157.0625,1542.75,1928.4375,2314.125,2699.8125,3085.5,3471.1875,3856.875,4242.5625
3.4,794.75,1192.125,1589.5,1986.875,2384.25,2781.625,3179,3576.375,3973.75,4371.125
3.5,818.125,1227.1875,1636.25,2045.3125,2454.375,2863.4375,3272.5,3681.5625,4090.625,4499.6875
