plant,Pumpkin
variant_title,(4x) Ruby/Frozen Pumpkin ALL Damage Numbers
multiplier,4.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,220,330,440,550,660,770,880,990,1100,1210
1.1,242,363,484,605,726,847,968,1089,1210,1331
1.2,264,396,528,660,792,924,1056,1188,1320,1452
1.3,286,429,572,715,858,1001,1144,1287,1430,1573
1.4,308,462,616,770,924,1078,1232,1386,1540,1694
1.5,330,495,660,825,990,1155,1320,1485,1650,1815
1.6,352,528,704,880,1056,1232,1408,1584,1760,1936
1.7,374,561,748,935,1122,1309,1496,1683,1870,2057
1.8,396,594,792,990,1188,1386,1584,1782,1980,2178
1.9,418,627,836,1045,1254,1463,1672,1881,2090,2299
2,440,660,880,1100,1320,1540,1760,1980,2200,2420
2.1,462,693,924,1155,1386,1617,1848,2079,2310,2541
2.2,484,726,968,1210,1452,1694,1936,2178,2420,2662
2.3,506,759,1012,1265,1518,1771,2024,2277,2530,2783
2.4,528,792,1056,1320,1584,1848,2112,2376,2640,2904
2.5,550,825,1100,1375,1650,1925,2200,2475,2750,3025
2.6,572,858,1144,1430,1716,2002,2288,2574,2860,3146
2.7,594,891,1188,1485,1782,2079,2376,2673,2970,3267
2.8,616,924,1232,1540,1848,2156,2464,2772,3080,3388
2.9,638,957,1276,1595,1914,2233,2552,2871,3190,3509
3,660,990,1320,1650,1980,2310,2640,2970,3300,3630
3.1,682,1023,1364,1705,2046,2387,2728,3069,3410,3751
3.2,704,1056,1408,1760,2112,2464,2816,3168,3520,3872
3.3,726,1089,1452,1815,2178,2541,2904,3267,3630,3993
3.4,748,1122,1496,1870,2244,2618,2992,3366,3740,4114
3.5,770,1155,1540,1925,2310,2695,3080,3465,3850,4235
3.6,792,1188,1584,1980,2376,2772,3168,3564,3960,4356
3.7,814,1221,1628,2035,2442,2849,3256,3663,4070,4477
3.8,836,1254,1672,2090,2508,2926,3344,3762,4180,4598
3.9,858,1287,1716,2145,2574,3003,3432,3861,4290,4719
4,880,1320,1760,2200,2640,3080,3520,3960,4400,4840
4.1,902,1353,1804,2255,2706,3157,3608,4059,4510,4961
4.2,924,1386,1848,2310,2772,3234,3696,4158,4620,5082
4.3,946,1419,1892,2365,2838,3311,3784,4257,4730,5203
4.4,968,1452,1936,2420,2904,3388,3872,4356,4840,5324
4.5,990,1485,1980,2475,2970,3465,3960,4455,4950,5445
4.6,1012,1518,2024,2530,3036,3542,4048,4554,5060,5566
4.7,1034,1551,2068,2585,3102,3619,4136,4653,5170,5687
4.8,1056,1584,2112,2640,3168,3696,4224,4752,5280,5808
4.9,1078,1617,2156,2695,3234,3773,4312,4851,5390,5929
5,1100,1650,2200,2750,3300,3850,4400,4950,5500,6050
5.1,1122,1683,2244,2805,3366,3927,4488,5049,5610,6171
5.2,1144,1716,2288,2860,3432,4004,4576,5148,5720,6292
5.3,1166,1749,2332,2915,3498,4081,4664,5247,5830,6413
5.4,1188,1782,2376,2970,3564,4158,4752,5346,5940,6534
5.5,1210,1815,2420,3025,3630,4235,4840,5445,6050,6655
5.6,1232,1848,2464,3080,3696,4312,4928,5544,6160,6776
5.7,1254,1881,2508,3135,3762,4389,5016,5643,6270,6897
5.8,1276,1914,2552,3190,3828,4466,5104,5742,6380,7018
5.9,1298,1947,2596,3245,3894,4543,5192,5841,6490,7139
6,1320,1980,2640,3300,3960,4620,5280,5940,6600,7260
6.1,1342,2013,2684,3355,4026,4697,5368,6039,6710,7381
6.2,1364,2046,2728,3410,4092,4774,5456,6138,6820,7502
6.3,1386,2079,2772,3465,4158,4851,5544,6237,6930,7623
6.4,1408,2112,2816,3520,4224,4928,5632,6336,7040,7744
6.5,1430,2145,2860,3575,4290,5005,5720,6435,7150,7865
6.6,1452,2178,2904,3630,4356,5082,5808,6534,7260,7986
6.7,1474,2211,2948,3685,4422,5159,5896,6633,7370,8107
6.8,1496,2244,2992,3740,4488,5236,5984,6732,7480,8228
6.9,1518,2277,3036,3795,4554,5313,6072,6831,7590,8349
7,1540,2310,3080,3850,4620,5390,6160,6930,7700,8470
7.1,1562,2343,3124,3905,4686,5467,6248,7029,7810,8591
7.2,1584,2376,3168,3960,4752,5544,6336,7128,7920,8712
7.3,1606,2409,3212,4015,4818,5621,6424,7227,8030,8833
7.4,1628,2442,3256,4070,4884,5698,6512,7326,8140,8954
7.5,1650,2475,3300,4125,4950,5775,6600,7425,8250,9075
7.6,1672,2508,3344,4180,5016,5852,6688,7524,8360,9196
7.7,1694,2541,3388,4235,5082,5929,6776,7623,8470,9317
7.8,1716,2574,3432,4290,5148,6006,6864,7722,8580,9438
7.9,1738,2607,3476,4345,5214,6083,6952,7821,8690,9559
8,1760,2640,3520,4400,5280,6160,7040,7920,8800,9680
8.1,1782,2673,3564,4455,5346,6237,7128,8019,8910,9801
8.2,1804,2706,3608,4510,5412,6314,7216,8118,9020,9922
8.3,1826,2739,3652,4565,5478,6391,7304,8217,9130,10043
8.4,1848,2772,3696,4620,5544,6468,7392,8316,9240,10164
8.5,1870,2805,3740,4675,5610,6545,7480,8415,9350,10285
8.6,1892,2838,3784,4730,5676,6622,7568,8514,9460,10406
8.7,1914,2871,3828,4785,5742,6699,7656,8613,9570,10527
8.8,1936,2904,3872,4840,5808,6776,7744,8712,9680,10648
8.9,1958,2937,3916,4895,5874,6853,7832,8811,9790,10769
9,1980,2970,3960,4950,5940,6930,7920,8910,9900,10890
9.1,2002,3003,4004,5005,6006,7007,8008,9009,10010,11011
9.2,2024,3036,4048,5060,6072,7084,8096,9108,10120,11132
9.3,2046,3069,4092,5115,6138,7161,8184,9207,10230,11253
9.4,2068,3102,4136,5170,6204,7238,8272,9306,10340,11374
9.5,2090,3135,4180,5225,6270,7315,8360,9405,10450,11495
9.6,2112,3168,4224,5280,6336,7392,8448,9504,10560,11616
9.7,2134,3201,4268,5335,6402,7469,8536,9603,10670,11737
9.8,2156,3234,4312,5390,6468,7546,8624,9702,10780,11858
9.9,2178,3267,4356,5445,6534,7623,8712,9801,10890,11979
10,2200,3300,4400,5500,6600,7700,8800,9900,11000,12100
10.1,2222,3333,4444,5555,6666,7777,8888,9999,11110,12221
10.2,2244,3366,4488,5610,6732,7854,8976,10098,11220,12342
10.3,2266,3399,4532,5665,6798,7931,9064,10197,11330,12463
10.4,2288,3432,4576,5720,6864,8008,9152,10296,11440,12584
10.5,2310,3465,4620,5775,6930,8085,9240,10395,11550,12705
10.6,2332,3498,4664,5830,6996,8162,9328,10494,11660,12826
10.7,2354,3531,4708,5885,7062,8239,9416,10593,11770,12947
10.8,2376,3564,4752,5940,7128,8316,9504,10692,11880,13068
10.9,2398,3597,4796,5995,7194,8393,9592,10791,11990,13189
11,2420,3630,4840,6050,7260,8470,9680,10890,12100,13310
11.1,2442,3663,4884,6105,7326,8547,9768,10989,12210,13431
11.2,2464,3696,4928,6160,7392,8624,9856,11088,12320,13552
11.3,2486,3729,4972,6215,7458,8701,9944,11187,12430,13673
11.4,2508,3762,5016,6270,7524,8778,10032,11286,12540,13794
11.5,2530,3795,5060,6325,7590,8855,10120,11385,12650,13915
11.6,2552,3828,5104,6380,7656,8932,10208,11484,12760,14036
11.7,2574,3861,5148,6435,7722,9009,10296,11583,12870,14157
11.8,2596,3894,5192,6490,7788,9086,10384,11682,12980,14278
11.9,2618,3927,5236,6545,7854,9163,10472,11781,13090,14399
12,2640,3960,5280,6600,7920,9240,10560,11880,13200,14520
12.1,2662,3993,5324,6655,7986,9317,10648,11979,13310,14641
12.2,2684,4026,5368,6710,8052,9394,10736,12078,13420,14762
12.3,2706,4059,5412,6765,8118,9471,10824,12177,13530,14883
12.4,2728,4092,5456,6820,8184,9548,10912,12276,13640,15004
12.5,2750,4125,5500,6875,8250,9625,11000,12375,13750,15125
12.6,2772,4158,5544,6930,8316,9702,11088,12474,13860,15246
12.7,2794,4191,5588,6985,8382,9779,11176,12573,13970,15367
12.8,2816,4224,5632,7040,8448,9856,11264,12672,14080,15488
12.9,2838,4257,5676,7095,8514,9933,11352,12771,14190,15609
13,2860,4290,5720,7150,8580,10010,11440,12870,14300,15730
13.1,2882,4323,5764,7205,8646,10087,11528,12969,14410,15851
13.2,2904,4356,5808,7260,8712,10164,11616,13068,14520,15972
13.3,2926,4389,5852,7315,8778,10241,11704,13167,14630,16093
