plant,Pumpkin
variant_title,(5x) Neon Pumpkin ALL Damage Numbers
multiplier,5.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,275,412.5,550,687.5,825,962.5,1100,1237.5,1375,1512.5
1.1,302.5,453.75,605,756.25,907.5,1058.75,1210,1361.25,1512.5,1663.75
1.2,330,495,660,825,990,1155,1320,1485,1650,1815
1.3,357.5,536.25,715,893.75,1072.5,1251.25,1430,1608.75,1787.5,1966.25
1.4,385,577.5,770,962.5,1155,1347.5,1540,1732.5,1925,2117.5
1.5,412.5,618.75,825,1031.25,1237.5,1443.75,1650,1856.25,2062.5,2268.75
1.6,440,660,880,1100,1320,1540,1760,1980,2200,2420
1.7,467.5,701.25,935,1168.75,1402.5,1636.25,1870,2103.75,2337.5,2571.25
1.8,495,742.5,990,1237.5,1485,1732.5,1980,2227.5,2475,2722.5
1.9,522.5,783.75,1045,1306.25,1567.5,1828.75,2090,2351.25,2612.5,2873.75
2,550,825,1100,1375,1650,1925,2200,2475,2750,3025
2.1,577.5,866.25,1155,1443.75,1732.5,2021.25,2310,2598.75,2887.5,3176.25
2.2,605,907.5,1210,1512.5,1815,2117.5,2420,2722.5,3025,3327.5
2.3,632.5,948.75,1265,1581.25,1897.5,2213.75,2530,2846.25,3162.5,3478.75
2.4,660,990,1320,1650,1980,2310,2640,2970,3300,3630
2.5,687.5,1031.25,1375,1718.75,2062.5,2406.25,2750,3093.75,3437.5,3781.25
2.6,715,1072.5,1430,1787.5,2145,2502.5,2860,3217.5,3575,3932.5
2.7,742.5,1113.75,1485,1856.25,2227.5,2598.75,2970,3341.25,3712.5,4083.75
2.8,770,1155,1540,1925,2310,2695,3080,3465,3850,4235
2.9,797.5,1196.25,1595,1993.75,2392.5,2791.25,3190,3588.75,3987.5,4386.25
3,825,1237.5,1650,2062.5,2475,2887.5,3300,3712.5,4125,4537.5
3.1,852.5,1278.75,1705,2131.25,2557.5,2983.75,3410,3836.25,4262.5,4688.75
3.2,880,1320,1760,2200,2640,3080,3520,3960,4400,4840
3.3,907.5,1361.25,1815,2268.75,2722.5,3176.25,3630,4083.75,4537.5,4991.25
3.4,935,1402.5,1870,2337.5,2805,3272.5,3740,4207.5,4675,5142.5
3.5,962.5,1443.75,1925,2406.25,2887.5,3368.75,3850,4331.25,4812.5,5293.75
3.6,990,1485,1980,2475,2970,3465,3960,4455,4950,5445
3.7,1017.5,1526.25,2035,2543.75,3052.5,3561.25,4070,4578.75,5087.5,5596.25
3.8,1045,1567.5,2090,2612.5,3135,3657.5,4180,4702.5,5225,5747.5
3.9,1072.5,1608.75,2145,2681.25,3217.5,3753.75,4290,4826.25,5362.5,5898.75
4,1100,1650,2200,2750,3300,3850,4400,4950,5500,6050
4.1,1127.5,1691.25,2255,2818.75,3382.5,3946.25,4510,5073.75,5637.5,6201.25
4.2,1155,1732.5,2310,2887.5,3465,4042.5,4620,5197.5,5775,6352.5
4.3,1182.5,1773.75,2365,2956.25,3547.5,4138.75,4730,5321.25,5912.5,6503.75
4.4,1210,1815,2420,3025,3630,4235,4840,5445,6050,6655
4.5,1237.5,1856.25,2475,3093.75,3712.5,4331.25,4950,5568.75,6187.5,6806.25
4.6,1265,1897.5,2530,3162.5,3795,4427.5,5060,5692.5,6325,6957.5
4.7,1292.5,1938.75,2585,3231.25,3877.5,4523.75,5170,5816.25,6462.5,7108.75
4.8,1320,1980,2640,3300,3960,4620,5280,5940,6600,7260
4.9,1347.5,2021.25,2695,3368.75,4042.5,4716.25,5390,6063.75,6737.5,7411.25
5,1375,2062.5,2750,3437.5,4125,4812.5,5500,6187.5,6875,7562.5
5.1,1402.5,2103.75,2805,3506.25,4207.5,4908.75,5610,6311.25,7012.5,7713.75
5.2,1430,2145,2860,3575,4290,5005,5720,6435,7150,7865
5.3,1457.5,2186.25,2915,3643.75,4372.5,5101.25,5830,6558.75,7287.5,8016.25
5.4,1485,2227.5,2970,3712.5,4455,5197.5,5940,6682.5,7425,8167.5
5.5,1512.5,2268.75,3025,3781.25,4537.5,5293.75,6050,6806.25,7562.5,8318.75
5.6,1540,2310,3080,3850,4620,5390,6160,6930,7700,8470
5.7,1567.5,2351.25,3135,3918.75,4702.5,5486.25,6270,7053.75,7837.5,8621.25
5.8,1595,2392.5,3190,3987.5,4785,5582.5,6380,7177.5,7975,8772.5
5.9,1622.5,2433.75,3245,4056.25,4867.5,5678.75,6490,7301.25,8112.5,8923.75
6,1650,2475,3300,4125,4950,5775,6600,7425,8250,9075
6.1,1677.5,2516.25,3355,4193.75,5032.5,5871.25,6710,7548.75,8387.5,9226.25
6.2,1705,2557.5,3410,4262.5,5115,5967.5,6820,7672.5,8525,9377.5
6.3,1732.5,2598.75,3465,4331.25,5197.5,6063.75,6930,7796.25,8662.5,9528.75
6.4,1760,2640,3520,4400,5280,6160,7040,7920,8800,9680
6.5,1787.5,2681.25,3575,4468.75,5362.5,6256.25,7150,8043.75,8937.5,9831.25
6.6,1815,2722.5,3630,4537.5,5445,6352.5,7260,8167.5,9075,9982.5
6.7,1842.5,2763.75,3685,4606.25,5527.5,6448.75,7370,8291.25,9212.5,10133.75
6.8,1870,2805,3740,4675,5610,6545,7480,8415,9350,10285
6.9,1897.5,2846.25,3795,4743.75,5692.5,6641.25,7590,8538.75,9487.5,10436.25
7,1925,2887.5,3850,4812.5,5775,6737.5,7700,8662.5,9625,10587.5
7.1,1952.5,2928.75,3905,4881.25,5857.5,6833.75,7810,8786.25,9762.5,10738.75
7.2,1980,2970,3960,4950,5940,6930,7920,8910,9900,10890
7.3,2007.5,3011.25,4015,5018.75,6022.5,7026.25,8030,9033.75,10037.5,11041.25
7.4,2035,3052.5,4070,5087.5,6105,7122.5,8140,9157.5,10175,11192.5
7.5,2062.5,3093.75,4125,5156.25,6187.5,7218.75,8250,9281.25,10312.5,11343.75
7.6,2090,3135,4180,5225,6270,7315,8360,9405,10450,11495
7.7,2117.5,3176.25,4235,5293.75,6352.5,7411.25,8470,9528.75,10587.5,11646.25
7.8,2145,3217.5,4290,5362.5,6435,7507.5,8580,9652.5,10725,11797.5
7.9,2172.5,3258.75,4345,5431.25,6517.5,7603.75,8690,9776.25,10862.5,11948.75
8,2200,3300,4400,5500,6600,7700,8800,9900,11000,12100
8.1,2227.5,3341.25,4455,5568.75,6682.5,7796.25,8910,10023.75,11137.5,12251.25
8.2,2255,3382.5,4510,5637.5,6765,7892.5,9020,10147.5,11275,12402.5
8.3,2282.5,3423.75,4565,5706.25,6847.5,7988.75,9130,10271.25,11412.5,12553.75
8.4,2310,3465,4620,5775,6930,8085,9240,10395,11550,12705
8.5,2337.5,3506.25,4675,5843.75,7012.5,8181.25,9350,10518.75,11687.5,12856.25
8.6,2365,3547.5,4730,5912.5,7095,8277.5,9460,10642.5,11825,13007.5
8.7,2392.5,3588.75,4785,5981.25,7177.5,8373.75,9570,10766.25,11962.5,13158.75
8.8,2420,3630,4840,6050,7260,8470,9680,10890,12100,13310
8.9,2447.5,3671.25,4895,6118.75,7342.5,8566.25,9790,11013.75,12237.5,13461.25
9,2475,3712.5,4950,6187.5,7425,8662.5,9900,11137.5,12375,13612.5
9.1,2502.5,3753.75,5005,6256.25,7507.5,8758.75,10010,11261.25,12512.5,13763.75
9.2,2530,3795,5060,6325,7590,8855,10120,11385,12650,13915
9.3,2557.5,3836.25,5115,6393.75,7672.5,8951.25,10230,11508.75,12787.5,14066.25
9.4,2585,3877.5,5170,6462.5,7755,9047.5,10340,11632.5,12925,14217.5
9.5,2612.5,3918.75,5225,6531.25,7837.5,9143.75,10450,11756.25,13062.5,14368.75
9.6,2640,3960,5280,6600,7920,9240,10560,11880,13200,14520
9.7,2667.5,4001.25,5335,6668.75,8002.5,9336.25,10670,12003.75,13337.5,14671.25
9.8,2695,4042.5,5390,6737.5,8085,9432.5,10780,12127.5,13475,14822.5
9.9,2722.5,4083.75,5445,6806.25,8167.5,9528.75,10890,12251.25,13612.5,14973.75
10,2750,4125,5500,6875,8250,9625,11000,12375,13750,15125
10.1,2777.5,4166.25,5555,6943.75,8332.5,9721.25,11110,12498.75,13887.5,15276.25
10.2,2805,4207.5,5610,7012.5,8415,9817.5,11220,12622.5,14025,15427.5
10.3,2832.5,4248.75,5665,7081.25,8497.5,9913.75,11330,12746.25,14162.5,15578.75
10.4,2860,4290,5720,7150,8580,10010,11440,12870,14300,15730
10.5,2887.5,4331.25,5775,7218.75,8662.5,10106.25,11550,12993.75,14437.5,15881.25
10.6,2915,4372.5,5830,7287.5,8745,10202.5,11660,13117.5,14575,16032.5
10.7,2942.5,4413.75,5885,7356.25,8827.5,10298.75,11770,13241.25,14712.5,16183.75
10.8,2970,4455,5940,7425,8910,10395,11880,13365,14850,16335
10.9,2997.5,4496.25,5995,7493.75,8992.5,10491.25,11990,13488.75,14987.5,16486.25
11,3025,4537.5,6050,7562.5,9075,10587.5,12100,13612.5,15125,16637.5
11.1,3052.5,4578.75,6105,7631.25,9157.5,10683.75,12210,13736.25,15262.5,16788.75
11.2,3080,4620,6160,7700,9240,10780,12320,13860,15400,16940
11.3,3107.5,4661.25,6215,7768.75,9322.5,10876.25,12430,13983.75,15537.5,17091.25
11.4,3135,4702.5,6270,7837.5,9405,10972.5,12540,14107.5,15675,17242.5
11.5,3162.5,4743.75,6325,7906.25,9487.5,11068.75,12650,14231.25,15812.5,17393.75
11.6,3190,4785,6380,7975,9570,11165,12760,14355,15950,17545
11.7,3217.5,4826.25,6435,8043.75,9652.5,11261.25,12870,14478.75,16087.5,17696.25
11.8,3245,4867.5,6490,8112.5,9735,11357.5,12980,14602.5,16225,17847.5
11.9,3272.5,4908.75,6545,8181.25,9817.5,11453.75,13090,14726.25,16362.5,17998.75
12,3300,4950,6600,8250,9900,11550,13200,14850,16500,18150
12.1,3327.5,4991.25,6655,8318.75,9982.5,11646.25,13310,14973.75,16637.5,18301.25
12.2,3355,5032.5,6710,8387.5,10065,11742.5,13420,15097.5,16775,18452.5
12.3,3382.5,5073.75,6765,8456.25,10147.5,11838.75,13530,15221.25,16912.5,18603.75
12.4,3410,5115,6820,8525,10230,11935,13640,15345,17050,18755
12.5,3437.5,5156.25,6875,8593.75,10312.5,12031.25,13750,15468.75,17187.5,18906.25
12.6,3465,5197.5,6930,8662.5,10395,12127.5,13860,15592.5,17325,19057.5
