plant,Shroombino
variant_title,(1x) Shroombino ALL Damage Numbers
multiplier,1.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,6250.0,9375,12500,15625,18750,21875,25000,28125,31250,34375
1.1,6875,10312.5,13750,17187.5,20625,24062.5,27500,30937.5,34375,37812.5
1.2,7500,11250,15000,18750,22500,26250,30000,33750,37500,41250
1.3,8125,12187.5,16250,20312.5,24375,28437.5,32500,36562.5,40625,44687.5
1.4,8750,13125,17500,21875,26250,30625,35000,39375,43750,48125
1.5,9375,14062.5,18750,23437.5,28125,32812.5,37500,42187.5,46875,51562.5
1.6,10000,15000,20000,25000,30000,35000,40000,45000,50000,55000
1.7,10625,15937.5,21250,26562.5,31875,37187.5,42500,47812.5,53125,58437.5
1.8,11250,16875,22500,28125,33750,39375,45000,50625,56250,61875
1.9,11875,17812.5,23750,29687.5,35625,41562.5,47500,53437.5,59375,65312.5
2,12500,18750,25000,31250,37500,43750,50000,56250,62500,68750
2.1,13125,19687.5,26250,32812.5,39375,45937.5,52500,59062.5,65625,72187.5
2.2,13750,20625,27500,34375,41250,48125,55000,61875,68750,75625
2.3,14375,21562.5,28750,35937.5,43125,50312.5,57500,64687.5,71875,79062.5
2.4,15000,22500,30000,37500,45000,52500,60000,67500,75000,82500
2.5,15625,23437.5,31250,39062.5,46875,54687.5,62500,70312.5,78125,85937.5
2.6,16250,24375,32500,40625,48750,56875,65000,73125,81250,89375
2.7,16875,25312.5,33750,42187.5,50625,59062.5,67500,75937.5,84375,92812.5
2.8,17500,26250,35000,43750,52500,61250,70000,78750,87500,96250
2.9,18125,27187.5,36250,45312.5,54375,63437.5,72500,81562.5,90625,99687.5
3,18750,28125,37500,46875,56250,65625,75000,84375,93750,103125
3.1,19375,29062.5,38750,48437.5,58125,67812.5,77500,87187.5,96875,106562.5
3.2,20000,30000,40000,50000,60000,70000,80000,90000,100000,110000
3.3,20625,30937.5,41250,51562.5,61875,72187.5,82500,92812.5,103125,113437.5
3.4,21250,31875,42500,53125,63750,74375,85000,95625,106250,116875
3.5,21875,32812.5,43750,54687.5,65625,76562.5,87500,98437.5,109375,120312.5
3.6,22500,33750,45000,56250,67500,78750,90000,101250,112500,123750
3.7,23125,34687.5,46250,57812.5,69375,80937.5,92500,104062.5,115625,127187.5
3.8,23750,35625,47500,59375,71250,83125,95000,106875,118750,130625
3.9,24375,36562.5,48750,60937.5,73125,85312.5,97500,109687.5,121875,134062.5
4,25000,37500,50000,62500,75000,87500,100000,112500,125000,137500
4.1,25625,38437.5,51250,64062.5,76875,89687.5,102500,115312.5,128125,140937.5
4.2,26250,39375,52500,65625,78750,91875,105000,118125,131250,144375
4.3,26875,40312.5,53750,67187.5,80625,94062.5,107500,120937.5,134375,147812.5
4.4,27500,41250,55000,68750,82500,96250,110000,123750,137500,151250
4.5,28125,42187.5,56250,70312.5,84375,98437.5,112500,126562.5,140625,154687.5
4.6,28750,43125,57500,71875,86250,100625,115000,129375,143750,158125
4.7,29375,44062.5,58750,73437.5,88125,102812.5,117500,132187.5,146875,161562.5
4.8,30000,45000,60000,75000,90000,105000,120000,135000,150000,165000
4.9,30625,45937.5,61250,76562.5,91875,107187.5,122500,137812.5,153125,168437.5
5,31250,46875,62500,78125,93750,109375,125000,140625,156250,171875
5.1,31875,47812.5,63750,79687.5,95625,111562.5,127500,143437.5,159375,175312.5
5.2,32500,48750,65000,81250,97500,113750,130000,146250,162500,178750
5.3,33125,49687.5,66250,82812.5,99375,115937.5,132500,149062.5,165625,182187.5
5.4,33750,50625,67500,84375,101250,118125,135000,151875,168750,185625
5.5,34375,51562.5,68750,85937.5,103125,120312.5,137500,154687.5,171875,189062.5
5.6,35000,52500,70000,87500,105000,122500,140000,157500,175000,192500
5.7,35625,53437.5,71250,89062.5,106875,124687.5,142500,160312.5,178125,195937.5
5.8,36250,54375,72500,90625,108750,126875,145000,163125,181250,199375
5.9,36875,55312.5,73750,92187.5,110625,129062.5,147500,165937.5,184375,202812.5
6,37500,56250,75000,93750,112500,131250,150000,168750,187500,206250
6.1,38125,57187.5,76250,95312.5,114375,133437.5,152500,171562.5,190625,209687.5
6.2,38750,58125,77500,96875,116250,135625,155000,174375,193750,213125
6.3,39375,59062.5,78750,98437.5,118125,137812.5,157500,177187.5,196875,216562.5
6.4,40000,60000,80000,100000,120000,140000,160000,180000,200000,220000
6.5,40625,60937.5,81250,101562.5,121875,142187.5,162500,182812.5,203125,223437.5
6.6,41250,61875,82500,103125,123750,144375,165000,185625,206250,226875
6.7,41875,62812.5,83750,104687.5,125625,146562.5,167500,188437.5,209375,230312.5
6.8,42500,63750,85000,106250,127500,148750,170000,191250,212500,233750
6.9,43125,64687.5,86250,107812.5,129375,150937.5,172500,194062.5,215625,237187.5
7,43750,65625,87500,109375,131250,153125,175000,196875,218750,240625
7.1,44375,66562.5,88750,110937.5,133125,155312.5,177500,199687.5,221875,244062.5
7.2,45000,67500,90000,112500,135000,157500,180000,202500,225000,247500
7.3,45625,68437.5,91250,114062.5,136875,159687.5,182500,205312.5,228125,250937.5
7.4,46250,69375,92500,115625,138750,161875,185000,208125,231250,254375
7.5,46875,70312.5,93750,117187.5,140625,164062.5,187500,210937.5,234375,257812.5
7.6,47500,71250,95000,118750,142500,166250,190000,213750,237500,261250
7.7,48125,72187.5,96250,120312.5,144375,168437.5,192500,216562.5,240625,264687.5
7.8,48750,73125,97500,121875,146250,170625,195000,219375,243750,268125
