plant,Shroombino
variant_title,3.15x Fusion Mutation Shroombino ALL Damage Numbers
multiplier,3.15

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,19687.5,29531.25,39375,49218.75,59062.5,68906.25,78750,88593.75,98437.5,108281.25
1.1,21656.25,32484.375,43312.5,54140.625,64968.75,75796.875,86625,97453.125,108281.25,119109.375
1.2,23625,35437.5,47250,59062.5,70875,82687.5,94500,106312.5,118125,129937.5
1.3,25593.75,38390.625,51187.5,63984.375,76781.25,89578.125,102375,115171.875,127968.75,140765.625
1.4,27562.5,41343.75,55125,68906.25,82687.5,96468.75,110250,124031.25,137812.5,151593.75
1.5,29531.25,44296.875,59062.5,73828.125,88593.75,103359.375,118125,132890.625,147656.25,162421.875
1.6,31500,47250,63000,78750,94500,110250,126000,141750,157500,173250
1.7,33468.75,50203.125,66937.5,83671.875,100406.25,117140.625,133875,150609.375,167343.75,184078.125
1.8,35437.5,53156.25,70875,88593.75,106312.5,124031.25,141750,159468.75,177187.5,194906.25
1.9,37406.25,56109.375,74812.5,93515.625,112218.75,130921.875,149625,168328.125,187031.25,205734.375
2,39375,59062.5,78750,98437.5,118125,137812.5,157500,177187.5,196875,216562.5
2.1,41343.75,62015.625,82687.5,103359.375,124031.25,144703.125,165375,186046.875,206718.75,227390.625
2.2,43312.5,64968.75,86625,108281.25,129937.5,151593.75,173250,194906.25,216562.5,238218.75
2.3,45281.25,67921.875,90562.5,113203.125,135843.75,158484.375,181125,203765.625,226406.25,249046.875
2.4,47250,70875,94500,118125,141750,165375,189000,212625,236250,259875
2.5,49218.75,73828.125,98437.5,123046.875,147656.25,172265.625,196875,221484.375,246093.75,270703.125
2.6,51187.5,76781.25,102375,127968.75,153562.5,179156.25,204750,230343.75,255937.5,281531.25
2.7,53156.25,79734.375,106312.5,132890.625,159468.75,186046.875,212625,239203.125,265781.25,292359.375
2.8,55125,82687.5,110250,137812.5,165375,192937.5,220500,248062.5,275625,303187.5
2.9,57093.75,85640.625,114187.5,142734.375,171281.25,199828.125,228375,256921.875,285468.75,314015.625
3,59062.5,88593.75,118125,147656.25,177187.5,206718.75,236250,265781.25,295312.5,324843.75
3.1,61031.25,91546.875,122062.5,152578.125,183093.75,213609.375,244125,274640.625,305156.25,335671.875
3.2,63000,94500,126000,157500,189000,220500,252000,283500,315000,346500
3.3,64968.75,97453.125,129937.5,162421.875,194906.25,227390.625,259875,292359.375,324843.75,357328.125
3.4,66937.5,100406.25,133875,167343.75,200812.5,234281.25,267750,301218.75,334687.5,368156.25
3.5,68906.25,103359.375,137812.5,172265.625,206718.75,241171.875,275625,310078.125,344531.25,378984.375
3.6,70875,106312.5,141750,177187.5,212625,248062.5,283500,318937.5,354375,389812.5
3.7,72843.75,109265.625,145687.5,182109.375,218531.25,254953.125,291375,327796.875,364218.75,400640.625
3.8,74812.5,112218.75,149625,187031.25,224437.5,261843.75,299250,336656.25,374062.5,411468.75
3.9,76781.25,115171.875,153562.5,191953.125,230343.75,268734.375,307125,345515.625,383906.25,422296.875
4,78750,118125,157500,196875,236250,275625,315000,354375,393750,433125
4.1,80718.75,121078.125,161437.5,201796.875,242156.25,282515.625,322875,363234.375,403593.75,443953.125
4.2,82687.5,124031.25,165375,206718.75,248062.5,289406.25,330750,372093.75,413437.5,454781.25
4.3,84656.25,126984.375,169312.5,211640.625,253968.75,296296.875,338625,380953.125,423281.25,465609.375
4.4,86625,129937.5,173250,216562.5,259875,303187.5,346500,389812.5,433125,476437.5
4.5,88593.75,132890.625,177187.5,221484.375,265781.25,310078.125,354375,398671.875,442968.75,487265.625
