plant,Shroombino
variant_title,(4x) Ruby/Frozen Shroombino ALL Damage Numbers
multiplier,4.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,25000,37500,50000,62500,75000,87500,100000,112500,125000,137500
1.1,27500,41250,55000,68750,82500,96250,110000,123750,137500,151250
1.2,30000,45000,60000,75000,90000,105000,120000,135000,150000,165000
1.3,32500,48750,65000,81250,97500,113750,130000,146250,162500,178750
1.4,35000,52500,70000,87500,105000,122500,140000,157500,175000,192500
1.5,37500,56250,75000,93750,112500,131250,150000,168750,187500,206250
1.6,40000,60000,80000,100000,120000,140000,160000,180000,200000,220000
1.7,42500,63750,85000,106250,127500,148750,170000,191250,212500,233750
1.8,45000,67500,90000,112500,135000,157500,180000,202500,225000,247500
1.9,47500,71250,95000,118750,142500,166250,190000,213750,237500,261250
2,50000,75000,100000,125000,150000,175000,200000,225000,250000,275000
2.1,52500,78750,105000,131250,157500,183750,210000,236250,262500,288750
2.2,55000,82500,110000,137500,165000,192500,220000,247500,275000,302500
2.3,57500,86250,115000,143750,172500,201250,230000,258750,287500,316250
2.4,60000,90000,120000,150000,180000,210000,240000,270000,300000,330000
2.5,62500,93750,125000,156250,187500,218750,250000,281250,312500,343750
2.6,65000,97500,130000,162500,195000,227500,260000,292500,325000,357500
2.7,67500,101250,135000,168750,202500,236250,270000,303750,337500,371250
2.8,70000,105000,140000,175000,210000,245000,280000,315000,350000,385000
2.9,72500,108750,145000,181250,217500,253750,290000,326250,362500,398750
3,75000,112500,150000,187500,225000,262500,300000,337500,375000,412500
3.1,77500,116250,155000,193750,232500,271250,310000,348750,387500,426250
3.2,80000,120000,160000,200000,240000,280000,320000,360000,400000,440000
3.3,82500,123750,165000,206250,247500,288750,330000,371250,412500,453750
3.4,85000,127500,170000,212500,255000,297500,340000,382500,425000,467500
3.5,87500,131250,175000,218750,262500,306250,350000,393750,437500,481250
3.6,90000,135000,180000,225000,270000,315000,360000,405000,450000,495000
3.7,92500,138750,185000,231250,277500,323750,370000,416250,462500,508750
3.8,95000,142500,190000,237500,285000,332500,380000,427500,475000,522500
3.9,97500,146250,195000,243750,292500,341250,390000,438750,487500,536250
4,100000,150000,200000,250000,300000,350000,400000,450000,500000,550000
4.1,102500,153750,205000,256250,307500,358750,410000,461250,512500,563750
4.2,105000,157500,210000,262500,315000,367500,420000,472500,525000,577500
4.3,107500,161250,215000,268750,322500,376250,430000,483750,537500,591250
4.4,110000,165000,220000,275000,330000,385000,440000,495000,550000,605000
4.5,112500,168750,225000,281250,337500,393750,450000,506250,562500,618750
4.6,115000,172500,230000,287500,345000,402500,460000,517500,575000,632500
4.7,117500,176250,235000,293750,352500,411250,470000,528750,587500,646250
4.8,120000,180000,240000,300000,360000,420000,480000,540000,600000,660000
4.9,122500,183750,245000,306250,367500,428750,490000,551250,612500,673750
5,125000,187500,250000,312500,375000,437500,500000,562500,625000,687500
5.1,127500,191250,255000,318750,382500,446250,510000,573750,637500,701250
5.2,130000,195000,260000,325000,390000,455000,520000,585000,650000,715000
5.3,132500,198750,265000,331250,397500,463750,530000,596250,662500,728750
5.4,135000,202500,270000,337500,405000,472500,540000,607500,675000,742500
5.5,137500,206250,275000,343750,412500,481250,550000,618750,687500,756250
5.6,140000,210000,280000,350000,420000,490000,560000,630000,700000,770000
5.7,142500,213750,285000,356250,427500,498750,570000,641250,712500,783750
5.8,145000,217500,290000,362500,435000,507500,580000,652500,725000,797500
5.9,147500,221250,295000,368750,442500,516250,590000,663750,737500,811250
6,150000,225000,300000,375000,450000,525000,600000,675000,750000,825000
6.1,152500,228750,305000,381250,457500,533750,610000,686250,762500,838750
6.2,155000,232500,310000,387500,465000,542500,620000,697500,775000,852500
6.3,157500,236250,315000,393750,472500,551250,630000,708750,787500,866250
6.4,160000,240000,320000,400000,480000,560000,640000,720000,800000,880000
6.5,162500,243750,325000,406250,487500,568750,650000,731250,812500,893750
6.6,165000,247500,330000,412500,495000,577500,660000,742500,825000,907500
6.7,167500,251250,335000,418750,502500,586250,670000,753750,837500,921250
6.8,170000,255000,340000,425000,510000,595000,680000,765000,850000,935000
6.9,172500,258750,345000,431250,517500,603750,690000,776250,862500,948750
7,175000,262500,350000,437500,525000,612500,700000,787500,875000,962500
7.1,177500,266250,355000,443750,532500,621250,710000,798750,887500,976250
7.2,180000,270000,360000,450000,540000,630000,720000,810000,900000,990000
7.3,182500,273750,365000,456250,547500,638750,730000,821250,912500,1003750
7.4,185000,277500,370000,462500,555000,647500,740000,832500,925000,1017500
7.5,187500,281250,375000,468750,562500,656250,750000,843750,937500,1031250
7.6,190000,285000,380000,475000,570000,665000,760000,855000,950000,1045000
7.7,192500,288750,385000,481250,577500,673750,770000,866250,962500,1058750
7.8,195000,292500,390000,487500,585000,682500,780000,877500,975000,1072500
7.9,197500,296250,395000,493750,592500,691250,790000,888750,987500,1086250
8,200000,300000,400000,500000,600000,700000,800000,900000,1000000,1100000
8.1,202500,303750,405000,506250,607500,708750,810000,911250,1012500,1113750
8.2,205000,307500,410000,512500,615000,717500,820000,922500,1025000,1127500
