plant,Shroombino
variant_title,(5x) Neon Shroombino ALL Damage Numbers
multiplier,5.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,31250,46875,62500,78125,93750,109375,125000,140625,156250,171875
1.1,34375,51562.5,68750,85937.5,103125,120312.5,137500,154687.5,171875,189062.5
1.2,37500,56250,75000,93750,112500,131250,150000,168750,187500,206250
1.3,40625,60937.5,81250,101562.5,121875,142187.5,162500,182812.5,203125,223437.5
1.4,43750,65625,87500,109375,131250,153125,175000,196875,218750,240625
1.5,46875,70312.5,93750,117187.5,140625,164062.5,187500,210937.5,234375,257812.5
1.6,50000,75000,100000,125000,150000,175000,200000,225000,250000,275000
1.7,53125,79687.5,106250,132812.5,159375,185937.5,212500,239062.5,265625,292187.5
1.8,56250,84375,112500,140625,168750,196875,225000,253125,281250,309375
1.9,59375,89062.5,118750,148437.5,178125,207812.5,237500,267187.5,296875,326562.5
2,62500,93750,125000,156250,187500,218750,250000,281250,312500,343750
2.1,65625,98437.5,131250,164062.5,196875,229687.5,262500,295312.5,328125,360937.5
2.2,68750,103125,137500,171875,206250,240625,275000,309375,343750,378125
2.3,71875,107812.5,143750,179687.5,215625,251562.5,287500,323437.5,359375,395312.5
2.4,75000,112500,150000,187500,225000,262500,300000,337500,375000,412500
2.5,78125,117187.5,156250,195312.5,234375,273437.5,312500,351562.5,390625,429687.5
2.6,81250,121875,162500,203125,243750,284375,325000,365625,406250,446875
2.7,84375,126562.5,168750,210937.5,253125,295312.5,337500,379687.5,421875,464062.5
2.8,87500,131250,175000,218750,262500,306250,350000,393750,437500,481250
2.9,90625,135937.5,181250,226562.5,271875,317187.5,362500,407812.5,453125,498437.5
3,93750,140625,187500,234375,281250,328125,375000,421875,468750,515625
3.1,96875,145312.5,193750,242187.5,290625,339062.5,387500,435937.5,484375,532812.5
3.2,100000,150000,200000,250000,300000,350000,400000,450000,500000,550000
3.3,103125,154687.5,206250,257812.5,309375,360937.5,412500,464062.5,515625,567187.5
3.4,106250,159375,212500,265625,318750,371875,425000,478125,531250,584375
3.5,109375,164062.5,218750,273437.5,328125,382812.5,437500,492187.5,546875,601562.5
3.6,112500,168750,225000,281250,337500,393750,450000,506250,562500,618750
3.7,115625,173437.5,231250,289062.5,346875,404687.5,462500,520312.5,578125,635937.5
3.8,118750,178125,237500,296875,356250,415625,475000,534375,593750,653125
3.9,121875,182812.5,243750,304687.5,365625,426562.5,487500,548437.5,609375,670312.5
4,125000,187500,250000,312500,375000,437500,500000,562500,625000,687500
4.1,128125,192187.5,256250,320312.5,384375,448437.5,512500,576562.5,640625,704687.5
4.2,131250,196875,262500,328125,393750,459375,525000,590625,656250,721875
4.3,134375,201562.5,268750,335937.5,403125,470312.5,537500,604687.5,671875,739062.5
4.4,137500,206250,275000,343750,412500,481250,550000,618750,687500,756250
4.5,140625,210937.5,281250,351562.5,421875,492187.5,562500,632812.5,703125,773437.5
4.6,143750,215625,287500,359375,431250,503125,575000,646875,718750,790625
4.7,146875,220312.5,293750,367187.5,440625,514062.5,587500,660937.5,734375,807812.5
4.8,150000,225000,300000,375000,450000,525000,600000,675000,750000,825000
4.9,153125,229687.5,306250,382812.5,459375,535937.5,612500,689062.5,765625,842187.5
5,156250,234375,312500,390625,468750,546875,625000,703125,781250,859375
5.1,159375,239062.5,318750,398437.5,478125,557812.5,637500,717187.5,796875,876562.5
5.2,162500,243750,325000,406250,487500,568750,650000,731250,812500,893750
5.3,165625,248437.5,331250,414062.5,496875,579687.5,662500,745312.5,828125,910937.5
