plant,Starfruit
variant_title,(1x) Starfruit ALL Damage Numbers
multiplier,1.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,9250.0,13875,18500,23125,27750,32375,37000,41625,46250,50875
1.1,10175,15262.5,20350,25437.5,30525,35612.5,40700,45787.5,50875,55962.5
1.2,11100,16650,22200,27750,33300,38850,44400,49950,55500,61050
1.3,12025,18037.5,24050,30062.5,36075,42087.5,48100,54112.5,60125,66137.5
1.4,12950,19425,25900,32375,38850,45325,51800,58275,64750,71225
1.5,13875,20812.5,27750,34687.5,41625,48562.5,55500,62437.5,69375,76312.5
1.6,14800,22200,29600,37000,44400,51800,59200,66600,74000,81400
1.7,15725,23587.5,31450,39312.5,47175,55037.5,62900,70762.5,78625,86487.5
1.8,16650,24975,33300,41625,49950,58275,66600,74925,83250,91575
1.9,17575,26362.5,35150,43937.5,52725,61512.5,70300,79087.5,87875,96662.5
2,18500,27750,37000,46250,55500,64750,74000,83250,92500,101750
2.1,19425,29137.5,38850,48562.5,58275,67987.5,77700,87412.5,97125,106837.5
2.2,20350,30525,40700,50875,61050,71225,81400,91575,101750,111925
2.3,21275,31912.5,42550,53187.5,63825,74462.5,85100,95737.5,106375,117012.5
2.4,22200,33300,44400,55500,66600,77700,88800,99900,111000,122100
2.5,23125,34687.5,46250,57812.5,69375,80937.5,92500,104062.5,115625,127187.5
2.6,24050,36075,48100,60125,72150,84175,96200,108225,120250,132275
2.7,24975,37462.5,49950,62437.5,74925,87412.5,99900,112387.5,124875,137362.5
2.8,25900,38850,51800,64750,77700,90650,103600,116550,129500,142450
2.9,26825,40237.5,53650,67062.5,80475,93887.5,107300,120712.5,134125,147537.5
3,27750,41625,55500,69375,83250,97125,111000,124875,138750,152625
3.1,28675,43012.5,57350,71687.5,86025,100362.5,114700,129037.5,143375,157712.5
3.2,29600,44400,59200,74000,88800,103600,118400,133200,148000,162800
3.3,30525,45787.5,61050,76312.5,91575,106837.5,122100,137362.5,152625,167887.5
3.4,31450,47175,62900,78625,94350,110075,125800,141525,157250,172975
3.5,32375,48562.5,64750,80937.5,97125,113312.5,129500,145687.5,161875,178062.5
3.6,33300,49950,66600,83250,99900,116550,133200,149850,166500,183150
3.7,34225,51337.5,68450,85562.5,102675,119787.5,136900,154012.5,171125,188237.5
3.8,35150,52725,70300,87875,105450,123025,140600,158175,175750,193325
3.9,36075,54112.5,72150,90187.5,108225,126262.5,144300,162337.5,180375,198412.5
4,37000,55500,74000,92500,111000,129500,148000,166500,185000,203500
4.1,37925,56887.5,75850,94812.5,113775,132737.5,151700,170662.5,189625,208587.5
4.2,38850,58275,77700,97125,116550,135975,155400,174825,194250,213675
4.3,39775,59662.5,79550,99437.5,119325,139212.5,159100,178987.5,198875,218762.5
4.4,40700,61050,81400,101750,122100,142450,162800,183150,203500,223850
4.5,41625,62437.5,83250,104062.5,124875,145687.5,166500,187312.5,208125,228937.5
4.6,42550,63825,85100,106375,127650,148925,170200,191475,212750,234025
4.7,43475,65212.5,86950,108687.5,130425,152162.5,173900,195637.5,217375,239112.5
4.8,44400,66600,88800,111000,133200,155400,177600,199800,222000,244200
4.9,45325,67987.5,90650,113312.5,135975,158637.5,181300,203962.5,226625,249287.5
5,46250,69375,92500,115625,138750,161875,185000,208125,231250,254375
5.1,47175,70762.5,94350,117937.5,141525,165112.5,188700,212287.5,235875,259462.5
5.2,48100,72150,96200,120250,144300,168350,192400,216450,240500,264550
5.3,49025,73537.5,98050,122562.5,147075,171587.5,196100,220612.5,245125,269637.5
5.4,49950,74925,99900,124875,149850,174825,199800,224775,249750,274725
5.5,50875,76312.5,101750,127187.5,152625,178062.5,203500,228937.5,254375,279812.5
5.6,51800,77700,103600,129500,155400,181300,207200,233100,259000,284900
