plant,Starfruit
variant_title,(2x) Gold/Foggy/Electrified/Scorched Starfruit ALL Damage Numbers
multiplier,2.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,18500,27750,37000,46250,55500,64750,74000,83250,92500,101750
1.1,20350,30525,40700,50875,61050,71225,81400,91575,101750,111925
1.2,22200,33300,44400,55500,66600,77700,88800,99900,111000,122100
1.3,24050,36075,48100,60125,72150,84175,96200,108225,120250,132275
1.4,25900,38850,51800,64750,77700,90650,103600,116550,129500,142450
1.5,27750,41625,55500,69375,83250,97125,111000,124875,138750,152625
1.6,29600,44400,59200,74000,88800,103600,118400,133200,148000,162800
1.7,31450,47175,62900,78625,94350,110075,125800,141525,157250,172975
1.8,33300,49950,66600,83250,99900,116550,133200,149850,166500,183150
1.9,35150,52725,70300,87875,105450,123025,140600,158175,175750,193325
2,37000,55500,74000,92500,111000,129500,148000,166500,185000,203500
2.1,38850,58275,77700,97125,116550,135975,155400,174825,194250,213675
2.2,40700,61050,81400,101750,122100,142450,162800,183150,203500,223850
2.3,42550,63825,85100,106375,127650,148925,170200,191475,212750,234025
2.4,44400,66600,88800,111000,133200,155400,177600,199800,222000,244200
2.5,46250,69375,92500,115625,138750,161875,185000,208125,231250,254375
2.6,48100,72150,96200,120250,144300,168350,192400,216450,240500,264550
2.7,49950,74925,99900,124875,149850,174825,199800,224775,249750,274725
2.8,51800,77700,103600,129500,155400,181300,207200,233100,259000,284900
2.9,53650,80475,107300,134125,160950,187775,214600,241425,268250,295075
3,55500,83250,111000,138750,166500,194250,222000,249750,277500,305250
3.1,57350,86025,114700,143375,172050,200725,229400,258075,286750,315425
3.2,59200,88800,118400,148000,177600,207200,236800,266400,296000,325600
3.3,61050,91575,122100,152625,183150,213675,244200,274725,305250,335775
3.4,62900,94350,125800,157250,188700,220150,251600,283050,314500,345950
3.5,64750,97125,129500,161875,194250,226625,259000,291375,323750,356125
3.6,66600,99900,133200,166500,199800,233100,266400,299700,333000,366300
3.7,68450,102675,136900,171125,205350,239575,273800,308025,342250,376475
3.8,70300,105450,140600,175750,210900,246050,281200,316350,351500,386650
3.9,72150,108225,144300,180375,216450,252525,288600,324675,360750,396825
4,74000,111000,148000,185000,222000,259000,296000,333000,370000,407000
4.1,75850,113775,151700,189625,227550,265475,303400,341325,379250,417175
4.2,77700,116550,155400,194250,233100,271950,310800,349650,388500,427350
4.3,79550,119325,159100,198875,238650,278425,318200,357975,397750,437525
4.4,81400,122100,162800,203500,244200,284900,325600,366300,407000,447700
4.5,83250,124875,166500,208125,249750,291375,333000,374625,416250,457875
4.6,85100,127650,170200,212750,255300,297850,340400,382950,425500,468050
4.7,86950,130425,173900,217375,260850,304325,347800,391275,434750,478225
4.8,88800,133200,177600,222000,266400,310800,355200,399600,444000,488400
4.9,90650,135975,181300,226625,271950,317275,362600,407925,453250,498575
5,92500,138750,185000,231250,277500,323750,370000,416250,462500,508750
5.1,94350,141525,188700,235875,283050,330225,377400,424575,471750,518925
