plant,Starfruit
variant_title,(3x) Diamond Starfruit ALL Damage Numbers
multiplier,3.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,27750,41625,55500,69375,83250,97125,111000,124875,138750,152625
1.1,30525,45787.5,61050,76312.5,91575,106837.5,122100,137362.5,152625,167887.5
1.2,33300,49950,66600,83250,99900,116550,133200,149850,166500,183150
1.3,36075,54112.5,72150,90187.5,108225,126262.5,144300,162337.5,180375,198412.5
1.4,38850,58275,77700,97125,116550,135975,155400,174825,194250,213675
1.5,41625,62437.5,83250,104062.5,124875,145687.5,166500,187312.5,208125,228937.5
1.6,44400,66600,88800,111000,133200,155400,177600,199800,222000,244200
1.7,47175,70762.5,94350,117937.5,141525,165112.5,188700,212287.5,235875,259462.5
1.8,49950,74925,99900,124875,149850,174825,199800,224775,249750,274725
1.9,52725,79087.5,105450,131812.5,158175,184537.5,210900,237262.5,263625,289987.5
2,55500,83250,111000,138750,166500,194250,222000,249750,277500,305250
2.1,58275,87412.5,116550,145687.5,174825,203962.5,233100,262237.5,291375,320512.5
2.2,61050,91575,122100,152625,183150,213675,244200,274725,305250,335775
2.3,63825,95737.5,127650,159562.5,191475,223387.5,255300,287212.5,319125,351037.5
2.4,66600,99900,133200,166500,199800,233100,266400,299700,333000,366300
2.5,69375,104062.5,138750,173437.5,208125,242812.5,277500,312187.5,346875,381562.5
2.6,72150,108225,144300,180375,216450,252525,288600,324675,360750,396825
2.7,74925,112387.5,149850,187312.5,224775,262237.5,299700,337162.5,374625,412087.5
2.8,77700,116550,155400,194250,233100,271950,310800,349650,388500,427350
2.9,80475,120712.5,160950,201187.5,241425,281662.5,321900,362137.5,402375,442612.5
3,83250,124875,166500,208125,249750,291375,333000,374625,416250,457875
3.1,86025,129037.5,172050,215062.5,258075,301087.5,344100,387112.5,430125,473137.5
3.2,88800,133200,177600,222000,266400,310800,355200,399600,444000,488400
3.3,91575,137362.5,183150,228937.5,274725,320512.5,366300,412087.5,457875,503662.5
3.4,94350,141525,188700,235875,283050,330225,377400,424575,471750,518925
3.5,97125,145687.5,194250,242812.5,291375,339937.5,388500,437062.5,485625,534187.5
3.6,99900,149850,199800,249750,299700,349650,399600,449550,499500,549450
3.7,102675,154012.5,205350,256687.5,308025,359362.5,410700,462037.5,513375,564712.5
