plant,Starfruit
variant_title,(4x) Ruby/Frozen Starfruit ALL Damage Numbers
multiplier,4.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,37000,55500,74000,92500,111000,129500,148000,166500,185000,203500
1.1,40700,61050,81400,101750,122100,142450,162800,183150,203500,223850
1.2,44400,66600,88800,111000,133200,155400,177600,199800,222000,244200
1.3,48100,72150,96200,120250,144300,168350,192400,216450,240500,264550
1.4,51800,77700,103600,129500,155400,181300,207200,233100,259000,284900
1.5,55500,83250,111000,138750,166500,194250,222000,249750,277500,305250
1.6,59200,88800,118400,148000,177600,207200,236800,266400,296000,325600
1.7,62900,94350,125800,157250,188700,220150,251600,283050,314500,345950
1.8,66600,99900,133200,166500,199800,233100,266400,299700,333000,366300
1.9,70300,105450,140600,175750,210900,246050,281200,316350,351500,386650
2,74000,111000,148000,185000,222000,259000,296000,333000,370000,407000
2.1,77700,116550,155400,194250,233100,271950,310800,349650,388500,427350
2.2,81400,122100,162800,203500,244200,284900,325600,366300,407000,447700
2.3,85100,127650,170200,212750,255300,297850,340400,382950,425500,468050
2.4,88800,133200,177600,222000,266400,310800,355200,399600,444000,488400
2.5,92500,138750,185000,231250,277500,323750,370000,416250,462500,508750
2.6,96200,144300,192400,240500,288600,336700,384800,432900,481000,529100
2.7,99900,149850,199800,249750,299700,349650,399600,449550,499500,549450
2.8,103600,155400,207200,259000,310800,362600,414400,466200,518000,569800
2.9,107300,160950,214600,268250,321900,375550,429200,482850,536500,590150
3,111000,166500,222000,277500,333000,388500,444000,499500,555000,610500
3.1,114700,172050,229400,286750,344100,401450,458800,516150,573500,630850
3.2,118400,177600,236800,296000,355200,414400,473600,532800,592000,651200
3.3,122100,183150,244200,305250,366300,427350,488400,549450,610500,671550
3.4,125800,188700,251600,314500,377400,440300,503200,566100,629000,691900
3.5,129500,194250,259000,323750,388500,453250,518000,582750,647500,712250
3.6,133200,199800,266400,333000,399600,466200,532800,599400,666000,732600
3.7,136900,205350,273800,342250,410700,479150,547600,616050,684500,752950
3.8,140600,210900,281200,351500,421800,492100,562400,632700,703000,773300
3.9,144300,216450,288600,360750,432900,505050,577200,649350,721500,793650
4,148000,222000,296000,370000,444000,518000,592000,666000,740000,814000
4.1,151700,227550,303400,379250,455100,530950,606800,682650,758500,834350
4.2,155400,233100,310800,388500,466200,543900,621600,699300,777000,854700
4.3,159100,238650,318200,397750,477300,556850,636400,715950,795500,875050
4.4,162800,244200,325600,407000,488400,569800,651200,732600,814000,895400
4.5,166500,249750,333000,416250,499500,582750,666000,749250,832500,915750
4.6,170200,255300,340400,425500,510600,595700,680800,765900,851000,936100
4.7,173900,260850,347800,434750,521700,608650,695600,782550,869500,956450
4.8,177600,266400,355200,444000,532800,621600,710400,799200,888000,976800
4.9,181300,271950,362600,453250,543900,634550,725200,815850,906500,997150
5,185000,277500,370000,462500,555000,647500,740000,832500,925000,1017500
5.1,188700,283050,377400,471750,566100,660450,754800,849150,943500,1037850
5.2,192400,288600,384800,481000,577200,673400,769600,865800,962000,1058200
5.3,196100,294150,392200,490250,588300,686350,784400,882450,980500,1078550
5.4,199800,299700,399600,499500,599400,699300,799200,899100,999000,1098900
5.5,203500,305250,407000,508750,610500,712250,814000,915750,1017500,1119250
5.6,207200,310800,414400,518000,621600,725200,828800,932400,1036000,1139600
5.7,210900,316350,421800,527250,632700,738150,843600,949050,1054500,1159950
5.8,214600,321900,429200,536500,643800,751100,858400,965700,1073000,1180300
5.9,218300,327450,436600,545750,654900,764050,873200,982350,1091500,1200650
6,222000,333000,444000,555000,666000,777000,888000,999000,1110000,1221000
6.1,225700,338550,451400,564250,677100,789950,902800,1015650,1128500,1241350
6.2,229400,344100,458800,573500,688200,802900,917600,1032300,1147000,1261700
6.3,233100,349650,466200,582750,699300,815850,932400,1048950,1165500,1282050
6.4,236800,355200,473600,592000,710400,828800,947200,1065600,1184000,1302400
6.5,240500,360750,481000,601250,721500,841750,962000,1082250,1202500,1322750
6.6,244200,366300,488400,610500,732600,854700,976800,1098900,1221000,1343100
6.7,247900,371850,495800,619750,743700,867650,991600,1115550,1239500,1363450
6.8,251600,377400,503200,629000,754800,880600,1006400,1132200,1258000,1383800
6.9,255300,382950,510600,638250,765900,893550,1021200,1148850,1276500,1404150
7,259000,388500,518000,647500,777000,906500,1036000,1165500,1295000,1424500
7.1,262700,394050,525400,656750,788100,919450,1050800,1182150,1313500,1444850
7.2,266400,399600,532800,666000,799200,932400,1065600,1198800,1332000,1465200
7.3,270100,405150,540200,675250,810300,945350,1080400,1215450,1350500,1485550
7.4,273800,410700,547600,684500,821400,958300,1095200,1232100,1369000,1505900
7.5,277500,416250,555000,693750,832500,971250,1110000,1248750,1387500,1526250
