plant,Starfruit
variant_title,(5x) Neon Starfruit ALL Damage Numbers
multiplier,5.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,46250,69375,92500,115625,138750,161875,185000,208125,231250,254375
1.1,50875,76312.5,101750,127187.5,152625,178062.5,203500,228937.5,254375,279812.5
1.2,55500,83250,111000,138750,166500,194250,222000,249750,277500,305250
1.3,60125,90187.5,120250,150312.5,180375,210437.5,240500,270562.5,300625,330687.5
1.4,64750,97125,129500,161875,194250,226625,259000,291375,323750,356125
1.5,69375,104062.5,138750,173437.5,208125,242812.5,277500,312187.5,346875,381562.5
1.6,74000,111000,148000,185000,222000,259000,296000,333000,370000,407000
1.7,78625,117937.5,157250,196562.5,235875,275187.5,314500,353812.5,393125,432437.5
1.8,83250,124875,166500,208125,249750,291375,333000,374625,416250,457875
1.9,87875,131812.5,175750,219687.5,263625,307562.5,351500,395437.5,439375,483312.5
2,92500,138750,185000,231250,277500,323750,370000,416250,462500,508750
2.1,97125,145687.5,194250,242812.5,291375,339937.5,388500,437062.5,485625,534187.5
2.2,101750,152625,203500,254375,305250,356125,407000,457875,508750,559625
2.3,106375,159562.5,212750,265937.5,319125,372312.5,425500,478687.5,531875,585062.5
2.4,111000,166500,222000,277500,333000,388500,444000,499500,555000,610500
2.5,115625,173437.5,231250,289062.5,346875,404687.5,462500,520312.5,578125,635937.5
2.6,120250,180375,240500,300625,360750,420875,481000,541125,601250,661375
2.7,124875,187312.5,249750,312187.5,374625,437062.5,499500,561937.5,624375,686812.5
2.8,129500,194250,259000,323750,388500,453250,518000,582750,647500,712250
2.9,134125,201187.5,268250,335312.5,402375,469437.5,536500,603562.5,670625,737687.5
3,138750,208125,277500,346875,416250,485625,555000,624375,693750,763125
3.1,143375,215062.5,286750,358437.5,430125,501812.5,573500,645187.5,716875,788562.5
3.2,148000,222000,296000,370000,444000,518000,592000,666000,740000,814000
3.3,152625,228937.5,305250,381562.5,457875,534187.5,610500,686812.5,763125,839437.5
3.4,157250,235875,314500,393125,471750,550375,629000,707625,786250,864875
3.5,161875,242812.5,323750,404687.5,485625,566562.5,647500,728437.5,809375,890312.5
3.6,166500,249750,333000,416250,499500,582750,666000,749250,832500,915750
3.7,171125,256687.5,342250,427812.5,513375,598937.5,684500,770062.5,855625,941187.5
3.8,175750,263625,351500,439375,527250,615125,703000,790875,878750,966625
3.9,180375,270562.5,360750,450937.5,541125,631312.5,721500,811687.5,901875,992062.5
4,185000,277500,370000,462500,555000,647500,740000,832500,925000,1017500
4.1,189625,284437.5,379250,474062.5,568875,663687.5,758500,853312.5,948125,1042937.5
4.2,194250,291375,388500,485625,582750,679875,777000,874125,971250,1068375
4.3,198875,298312.5,397750,497187.5,596625,696062.5,795500,894937.5,994375,1093812.5
4.4,203500,305250,407000,508750,610500,712250,814000,915750,1017500,1119250
4.5,208125,312187.5,416250,520312.5,624375,728437.5,832500,936562.5,1040625,1144687.5
4.6,212750,319125,425500,531875,638250,744625,851000,957375,1063750,1170125
4.7,217375,326062.5,434750,543437.5,652125,760812.5,869500,978187.5,1086875,1195562.5
4.8,222000,333000,444000,555000,666000,777000,888000,999000,1110000,1221000
4.9,226625,339937.5,453250,566562.5,679875,793187.5,906500,1019812.5,1133125,1246437.5
5,231250,346875,462500,578125,693750,809375,925000,1040625,1156250,1271875
5.1,235875,353812.5,471750,589687.5,707625,825562.5,943500,1061437.5,1179375,1297312.5
5.2,240500,360750,481000,601250,721500,841750,962000,1082250,1202500,1322750
5.3,245125,367687.5,490250,612812.5,735375,857937.5,980500,1103062.5,1225625,1348187.5
5.4,249750,374625,499500,624375,749250,874125,999000,1123875,1248750,1373625
5.5,254375,381562.5,508750,635937.5,763125,890312.5,1017500,1144687.5,1271875,1399062.5
5.6,259000,388500,518000,647500,777000,906500,1036000,1165500,1295000,1424500
