plant,Strawberry
variant_title,(3x) Diamond Strawberry ALL Damage Numbers
multiplier,3.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,75,112.5,150,187.5,225,262.5,300,337.5,375,412.5
1.1,82.5,123.75,165,206.25,247.5,288.75,330,371.25,412.5,453.75
1.2,90,135,180,225,270,315,360,405,450,495
1.3,97.5,146.25,195,243.75,292.5,341.25,390,438.75,487.5,536.25
1.4,105,157.5,210,262.5,315,367.5,420,472.5,525,577.5
1.5,112.5,168.75,225,281.25,337.5,393.75,450,506.25,562.5,618.75
1.6,120,180,240,300,360,420,480,540,600,660
1.7,127.5,191.25,255,318.75,382.5,446.25,510,573.75,637.5,701.25
1.8,135,202.5,270,337.5,405,472.5,540,607.5,675,742.5
1.9,142.5,213.75,285,356.25,427.5,498.75,570,641.25,712.5,783.75
2,150,225,300,375,450,525,600,675,750,825
2.1,157.5,236.25,315,393.75,472.5,551.25,630,708.75,787.5,866.25
2.2,165,247.5,330,412.5,495,577.5,660,742.5,825,907.5
2.3,172.5,258.75,345,431.25,517.5,603.75,690,776.25,862.5,948.75
2.4,180,270,360,450,540,630,720,810,900,990
2.5,187.5,281.25,375,468.75,562.5,656.25,750,843.75,937.5,1031.25
2.6,195,292.5,390,487.5,585,682.5,780,877.5,975,1072.5
2.7,202.5,303.75,405,506.25,607.5,708.75,810,911.25,1012.5,1113.75
2.8,210,315,420,525,630,735,840,945,1050,1155
2.9,217.5,326.25,435,543.75,652.5,761.25,870,978.75,1087.5,1196.25
3,225,337.5,450,562.5,675,787.5,900,1012.5,1125,1237.5
3.1,232.5,348.75,465,581.25,697.5,813.75,930,1046.25,1162.5,1278.75
3.2,240,360,480,600,720,840,960,1080,1200,1320
3.3,247.5,371.25,495,618.75,742.5,866.25,990,1113.75,1237.5,1361.25
3.4,255,382.5,510,637.5,765,892.5,1020,1147.5,1275,1402.5
3.5,262.5,393.75,525,656.25,787.5,918.75,1050,1181.25,1312.5,1443.75
3.6,270,405,540,675,810,945,1080,1215,1350,1485
3.7,277.5,416.25,555,693.75,832.5,971.25,1110,1248.75,1387.5,1526.25
3.8,285,427.5,570,712.5,855,997.5,1140,1282.5,1425,1567.5
3.9,292.5,438.75,585,731.25,877.5,1023.75,1170,1316.25,1462.5,1608.75
4,300,450,600,750,900,1050,1200,1350,1500,1650
4.1,307.5,461.25,615,768.75,922.5,1076.25,1230,1383.75,1537.5,1691.25
4.2,315,472.5,630,787.5,945,1102.5,1260,1417.5,1575,1732.5
4.3,322.5,483.75,645,806.25,967.5,1128.75,1290,1451.25,1612.5,1773.75
4.4,330,495,660,825,990,1155,1320,1485,1650,1815
4.5,337.5,506.25,675,843.75,1012.5,1181.25,1350,1518.75,1687.5,1856.25
4.6,345,517.5,690,862.5,1035,1207.5,1380,1552.5,1725,1897.5
4.7,352.5,528.75,705,881.25,1057.5,1233.75,1410,1586.25,1762.5,1938.75
4.8,360,540,720,900,1080,1260,1440,1620,1800,1980
4.9,367.5,551.25,735,918.75,1102.5,1286.25,1470,1653.75,1837.5,2021.25
5,375,562.5,750,937.5,1125,1312.5,1500,1687.5,1875,2062.5
5.1,382.5,573.75,765,956.25,1147.5,1338.75,1530,1721.25,1912.5,2103.75
5.2,390,585,780,975,1170,1365,1560,1755,1950,2145
5.3,397.5,596.25,795,993.75,1192.5,1391.25,1590,1788.75,1987.5,2186.25
5.4,405,607.5,810,1012.5,1215,1417.5,1620,1822.5,2025,2227.5
5.5,412.5,618.75,825,1031.25,1237.5,1443.75,1650,1856.25,2062.5,2268.75
5.6,420,630,840,1050,1260,1470,1680,1890,2100,2310
5.7,427.5,641.25,855,1068.75,1282.5,1496.25,1710,1923.75,2137.5,2351.25
5.8,435,652.5,870,1087.5,1305,1522.5,1740,1957.5,2175,2392.5
5.9,442.5,663.75,885,1106.25,1327.5,1548.75,1770,1991.25,2212.5,2433.75
6,450,675,900,1125,1350,1575,1800,2025,2250,2475
6.1,457.5,686.25,915,1143.75,1372.5,1601.25,1830,2058.75,2287.5,2516.25
6.2,465,697.5,930,1162.5,1395,1627.5,1860,2092.5,2325,2557.5
6.3,472.5,708.75,945,1181.25,1417.5,1653.75,1890,2126.25,2362.5,2598.75
6.4,480,720,960,1200,1440,1680,1920,2160,2400,2640
6.5,487.5,731.25,975,1218.75,1462.5,1706.25,1950,2193.75,2437.5,2681.25
6.6,495,742.5,990,1237.5,1485,1732.5,1980,2227.5,2475,2722.5
6.7,502.5,753.75,1005,1256.25,1507.5,1758.75,2010,2261.25,2512.5,2763.75
6.8,510,765,1020,1275,1530,1785,2040,2295,2550,2805
6.9,517.5,776.25,1035,1293.75,1552.5,1811.25,2070,2328.75,2587.5,2846.25
7,525,787.5,1050,1312.5,1575,1837.5,2100,2362.5,2625,2887.5
7.1,532.5,798.75,1065,1331.25,1597.5,1863.75,2130,2396.25,2662.5,2928.75
7.2,540,810,1080,1350,1620,1890,2160,2430,2700,2970
7.3,547.5,821.25,1095,1368.75,1642.5,1916.25,2190,2463.75,2737.5,3011.25
7.4,555,832.5,1110,1387.5,1665,1942.5,2220,2497.5,2775,3052.5
7.5,562.5,843.75,1125,1406.25,1687.5,1968.75,2250,2531.25,2812.5,3093.75
7.6,570,855,1140,1425,1710,1995,2280,2565,2850,3135
7.7,577.5,866.25,1155,1443.75,1732.5,2021.25,2310,2598.75,2887.5,3176.25
7.8,585,877.5,1170,1462.5,1755,2047.5,2340,2632.5,2925,3217.5
7.9,592.5,888.75,1185,1481.25,1777.5,2073.75,2370,2666.25,2962.5,3258.75
8,600,900,1200,1500,1800,2100,2400,2700,3000,3300
8.1,607.5,911.25,1215,1518.75,1822.5,2126.25,2430,2733.75,3037.5,3341.25
8.2,615,922.5,1230,1537.5,1845,2152.5,2460,2767.5,3075,3382.5
8.3,622.5,933.75,1245,1556.25,1867.5,2178.75,2490,2801.25,3112.5,3423.75
8.4,630,945,1260,1575,1890,2205,2520,2835,3150,3465
8.5,637.5,956.25,1275,1593.75,1912.5,2231.25,2550,2868.75,3187.5,3506.25
8.6,645,967.5,1290,1612.5,1935,2257.5,2580,2902.5,3225,3547.5
8.7,652.5,978.75,1305,1631.25,1957.5,2283.75,2610,2936.25,3262.5,3588.75
8.8,660,990,1320,1650,1980,2310,2640,2970,3300,3630
8.9,667.5,1001.25,1335,1668.75,2002.5,2336.25,2670,3003.75,3337.5,3671.25
9,675,1012.5,1350,1687.5,2025,2362.5,2700,3037.5,3375,3712.5
9.1,682.5,1023.75,1365,1706.25,2047.5,2388.75,2730,3071.25,3412.5,3753.75
9.2,690,1035,1380,1725,2070,2415,2760,3105,3450,3795
9.3,697.5,1046.25,1395,1743.75,2092.5,2441.25,2790,3138.75,3487.5,3836.25
9.4,705,1057.5,1410,1762.5,2115,2467.5,2820,3172.5,3525,3877.5
9.5,712.5,1068.75,1425,1781.25,2137.5,2493.75,2850,3206.25,3562.5,3918.75
9.6,720,1080,1440,1800,2160,2520,2880,3240,3600,3960
9.7,727.5,1091.25,1455,1818.75,2182.5,2546.25,2910,3273.75,3637.5,4001.25
9.8,735,1102.5,1470,1837.5,2205,2572.5,2940,3307.5,3675,4042.5
9.9,742.5,1113.75,1485,1856.25,2227.5,2598.75,2970,3341.25,3712.5,4083.75
10,750,1125,1500,1875,2250,2625,3000,3375,3750,4125
10.1,757.5,1136.25,1515,1893.75,2272.5,2651.25,3030,3408.75,3787.5,4166.25
10.2,765,1147.5,1530,1912.5,2295,2677.5,3060,3442.5,3825,4207.5
10.3,772.5,1158.75,1545,1931.25,2317.5,2703.75,3090,3476.25,3862.5,4248.75
10.4,780,1170,1560,1950,2340,2730,3120,3510,3900,4290
10.5,787.5,1181.25,1575,1968.75,2362.5,2756.25,3150,3543.75,3937.5,4331.25
10.6,795,1192.5,1590,1987.5,2385,2782.5,3180,3577.5,3975,4372.5
10.7,802.5,1203.75,1605,2006.25,2407.5,2808.75,3210,3611.25,4012.5,4413.75
10.8,810,1215,1620,2025,2430,2835,3240,3645,4050,4455
10.9,817.5,1226.25,1635,2043.75,2452.5,2861.25,3270,3678.75,4087.5,4496.25
11,825,1237.5,1650,2062.5,2475,2887.5,3300,3712.5,4125,4537.5
11.1,832.5,1248.75,1665,2081.25,2497.5,2913.75,3330,3746.25,4162.5,4578.75
11.2,840,1260,1680,2100,2520,2940,3360,3780,4200,4620
11.3,847.5,1271.25,1695,2118.75,2542.5,2966.25,3390,3813.75,4237.5,4661.25
11.4,855,1282.5,1710,2137.5,2565,2992.5,3420,3847.5,4275,4702.5
11.5,862.5,1293.75,1725,2156.25,2587.5,3018.75,3450,3881.25,4312.5,4743.75
11.6,870,1305,1740,2175,2610,3045,3480,3915,4350,4785
11.7,877.5,1316.25,1755,2193.75,2632.5,3071.25,3510,3948.75,4387.5,4826.25
11.8,885,1327.5,1770,2212.5,2655,3097.5,3540,3982.5,4425,4867.5
11.9,892.5,1338.75,1785,2231.25,2677.5,3123.75,3570,4016.25,4462.5,4908.75
12,900,1350,1800,2250,2700,3150,3600,4050,4500,4950
12.1,907.5,1361.25,1815,2268.75,2722.5,3176.25,3630,4083.75,4537.5,4991.25
12.2,915,1372.5,1830,2287.5,2745,3202.5,3660,4117.5,4575,5032.5
12.3,922.5,1383.75,1845,2306.25,2767.5,3228.75,3690,4151.25,4612.5,5073.75
12.4,930,1395,1860,2325,2790,3255,3720,4185,4650,5115
12.5,937.5,1406.25,1875,2343.75,2812.5,3281.25,3750,4218.75,4687.5,5156.25
12.6,945,1417.5,1890,2362.5,2835,3307.5,3780,4252.5,4725,5197.5
12.7,952.5,1428.75,1905,2381.25,2857.5,3333.75,3810,4286.25,4762.5,5238.75
12.8,960,1440,1920,2400,2880,3360,3840,4320,4800,5280
12.9,967.5,1451.25,1935,2418.75,2902.5,3386.25,3870,4353.75,4837.5,5321.25
13,975,1462.5,1950,2437.5,2925,3412.5,3900,4387.5,4875,5362.5
13.1,982.5,1473.75,1965,2456.25,2947.5,3438.75,3930,4421.25,4912.5,5403.75
13.2,990,1485,1980,2475,2970,3465,3960,4455,4950,5445
13.3,997.5,1496.25,1995,2493.75,2992.5,3491.25,3990,4488.75,4987.5,5486.25
13.4,1005,1507.5,2010,2512.5,3015,3517.5,4020,4522.5,5025,5527.5
13.5,1012.5,1518.75,2025,2531.25,3037.5,3543.75,4050,4556.25,5062.5,5568.75
13.6,1020,1530,2040,2550,3060,3570,4080,4590,5100,5610
13.7,1027.5,1541.25,2055,2568.75,3082.5,3596.25,4110,4623.75,5137.5,5651.25
13.8,1035,1552.5,2070,2587.5,3105,3622.5,4140,4657.5,5175,5692.5
