plant,Strawberry
variant_title,4.25x Fusion Mutation Strawberry ALL Damage Numbers
multiplier,4.25

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,106.25,159.375,212.5,265.625,318.75,371.875,425,478.125,531.25,584.375
1.1,116.875,175.3125,233.75,292.1875,350.625,409.0625,467.5,525.9375,584.375,642.8125
1.2,127.5,191.25,255,318.75,382.5,446.25,510,573.75,637.5,701.25
1.3,138.125,207.1875,276.25,345.3125,414.375,483.4375,552.5,621.5625,690.625,759.6875
1.4,148.75,223.125,297.5,371.875,446.25,520.625,595,669.375,743.75,818.125
1.5,159.375,239.0625,318.75,398.4375,478.125,557.8125,637.5,717.1875,796.875,876.5625
1.6,170,255,340,425,510,595,680,765,850,935
1.7,180.625,270.9375,361.25,451.5625,541.875,632.1875,722.5,812.8125,903.125,993.4375
1.8,191.25,286.875,382.5,478.125,573.75,669.375,765,860.625,956.25,1051.875
1.9,201.875,302.8125,403.75,504.6875,605.625,706.5625,807.5,908.4375,1009.375,1110.3125
2,212.5,318.75,425,531.25,637.5,743.75,850,956.25,1062.5,1168.75
2.1,223.125,334.6875,446.25,557.8125,669.375,780.9375,892.5,1004.0625,1115.625,1227.1875
2.2,233.75,350.625,467.5,584.375,701.25,818.125,935,1051.875,1168.75,1285.625
2.3,244.375,366.5625,488.75,610.9375,733.125,855.3125,977.5,1099.6875,1221.875,1344.0625
2.4,255,382.5,510,637.5,765,892.5,1020,1147.5,1275,1402.5
2.5,265.625,398.4375,531.25,664.0625,796.875,929.6875,1062.5,1195.3125,1328.125,1460.9375
2.6,276.25,414.375,552.5,690.625,828.75,966.875,1105,1243.125,1381.25,1519.375
2.7,286.875,430.3125,573.75,717.1875,860.625,1004.0625,1147.5,1290.9375,1434.375,1577.8125
2.8,297.5,446.25,595,743.75,892.5,1041.25,1190,1338.75,1487.5,1636.25
2.9,308.125,462.1875,616.25,770.3125,924.375,1078.4375,1232.5,1386.5625,1540.625,1694.6875
3,318.75,478.125,637.5,796.875,956.25,1115.625,1275,1434.375,1593.75,1753.125
3.1,329.375,494.0625,658.75,823.4375,988.125,1152.8125,1317.5,1482.1875,1646.875,1811.5625
3.2,340,510,680,850,1020,1190,1360,1530,1700,1870
3.3,350.625,525.9375,701.25,876.5625,1051.875,1227.1875,1402.5,1577.8125,1753.125,1928.4375
3.4,361.25,541.875,722.5,903.125,1083.75,1264.375,1445,1625.625,1806.25,1986.875
3.5,371.875,557.8125,743.75,929.6875,1115.625,1301.5625,1487.5,1673.4375,1859.375,2045.3125
3.6,382.5,573.75,765,956.25,1147.5,1338.75,1530,1721.25,1912.5,2103.75
3.7,393.125,589.6875,786.25,982.8125,1179.375,1375.9375,1572.5,1769.0625,1965.625,2162.1875
3.8,403.75,605.625,807.5,1009.375,1211.25,1413.125,1615,1816.875,2018.75,2220.625
3.9,414.375,621.5625,828.75,1035.9375,1243.125,1450.3125,1657.5,1864.6875,2071.875,2279.0625
4,425,637.5,850,1062.5,1275,1487.5,1700,1912.5,2125,2337.5
4.1,435.625,653.4375,871.25,1089.0625,1306.875,1524.6875,1742.5,1960.3125,2178.125,2395.9375
4.2,446.25,669.375,892.5,1115.625,1338.75,1561.875,1785,2008.125,2231.25,2454.375
4.3,456.875,685.3125,913.75,1142.1875,1370.625,1599.0625,1827.5,2055.9375,2284.375,2512.8125
4.4,467.5,701.25,935,1168.75,1402.5,1636.25,1870,2103.75,2337.5,2571.25
4.5,478.125,717.1875,956.25,1195.3125,1434.375,1673.4375,1912.5,2151.5625,2390.625,2629.6875
4.6,488.75,733.125,977.5,1221.875,1466.25,1710.625,1955,2199.375,2443.75,2688.125
4.7,499.375,749.0625,998.75,1248.4375,1498.125,1747.8125,1997.5,2247.1875,2496.875,2746.5625
4.8,510,765,1020,1275,1530,1785,2040,2295,2550,2805
4.9,520.625,780.9375,1041.25,1301.5625,1561.875,1822.1875,2082.5,2342.8125,2603.125,2863.4375
5,531.25,796.875,1062.5,1328.125,1593.75,1859.375,2125,2390.625,2656.25,2921.875
5.1,541.875,812.8125,1083.75,1354.6875,1625.625,1896.5625,2167.5,2438.4375,2709.375,2980.3125
5.2,552.5,828.75,1105,1381.25,1657.5,1933.75,2210,2486.25,2762.5,3038.75
5.3,563.125,844.6875,1126.25,1407.8125,1689.375,1970.9375,2252.5,2534.0625,2815.625,3097.1875
5.4,573.75,860.625,1147.5,1434.375,1721.25,2008.125,2295,2581.875,2868.75,3155.625
5.5,584.375,876.5625,1168.75,1460.9375,1753.125,2045.3125,2337.5,2629.6875,2921.875,3214.0625
5.6,595,892.5,1190,1487.5,1785,2082.5,2380,2677.5,2975,3272.5
5.7,605.625,908.4375,1211.25,1514.0625,1816.875,2119.6875,2422.5,2725.3125,3028.125,3330.9375
5.8,616.25,924.375,1232.5,1540.625,1848.75,2156.875,2465,2773.125,3081.25,3389.375
5.9,626.875,940.3125,1253.75,1567.1875,1880.625,2194.0625,2507.5,2820.9375,3134.375,3447.8125
6,637.5,956.25,1275,1593.75,1912.5,2231.25,2550,2868.75,3187.5,3506.25
6.1,648.125,972.1875,1296.25,1620.3125,1944.375,2268.4375,2592.5,2916.5625,3240.625,3564.6875
6.2,658.75,988.125,1317.5,1646.875,1976.25,2305.625,2635,2964.375,3293.75,3623.125
6.3,669.375,1004.0625,1338.75,1673.4375,2008.125,2342.8125,2677.5,3012.1875,3346.875,3681.5625
6.4,680,1020,1360,1700,2040,2380,2720,3060,3400,3740
6.5,690.625,1035.9375,1381.25,1726.5625,2071.875,2417.1875,2762.5,3107.8125,3453.125,3798.4375
6.6,701.25,1051.875,1402.5,1753.125,2103.75,2454.375,2805,3155.625,3506.25,3856.875
6.7,711.875,1067.8125,1423.75,1779.6875,2135.625,2491.5625,2847.5,3203.4375,3559.375,3915.3125
6.8,722.5,1083.75,1445,1806.25,2167.5,2528.75,2890,3251.25,3612.5,3973.75
6.9,733.125,1099.6875,1466.25,1832.8125,2199.375,2565.9375,2932.5,3299.0625,3665.625,4032.1875
7,743.75,1115.625,1487.5,1859.375,2231.25,2603.125,2975,3346.875,3718.75,4090.625
7.1,754.375,1131.5625,1508.75,1885.9375,2263.125,2640.3125,3017.5,3394.6875,3771.875,4149.0625
7.2,765,1147.5,1530,1912.5,2295,2677.5,3060,3442.5,3825,4207.5
7.3,775.625,1163.4375,1551.25,1939.0625,2326.875,2714.6875,3102.5,3490.3125,3878.125,4265.9375
7.4,786.25,1179.375,1572.5,1965.625,2358.75,2751.875,3145,3538.125,3931.25,4324.375
7.5,796.875,1195.3125,1593.75,1992.1875,2390.625,2789.0625,3187.5,3585.9375,3984.375,4382.8125
7.6,807.5,1211.25,1615,2018.75,2422.5,2826.25,3230,3633.75,4037.5,4441.25
7.7,818.125,1227.1875,1636.25,2045.3125,2454.375,2863.4375,3272.5,3681.5625,4090.625,4499.6875
7.8,828.75,1243.125,1657.5,2071.875,2486.25,2900.625,3315,3729.375,4143.75,4558.125
7.9,839.375,1259.0625,1678.75,2098.4375,2518.125,2937.8125,3357.5,3777.1875,4196.875,4616.5625
8,850,1275,1700,2125,2550,2975,3400,3825,4250,4675
8.1,860.625,1290.9375,1721.25,2151.5625,2581.875,3012.1875,3442.5,3872.8125,4303.125,4733.4375
8.2,871.25,1306.875,1742.5,2178.125,2613.75,3049.375,3485,3920.625,4356.25,4791.875
8.3,881.875,1322.8125,1763.75,2204.6875,2645.625,3086.5625,3527.5,3968.4375,4409.375,4850.3125
8.4,892.5,1338.75,1785,2231.25,2677.5,3123.75,3570,4016.25,4462.5,4908.75
8.5,903.125,1354.6875,1806.25,2257.8125,2709.375,3160.9375,3612.5,4064.0625,4515.625,4967.1875
8.6,913.75,1370.625,1827.5,2284.375,2741.25,3198.125,3655,4111.875,4568.75,5025.625
8.7,924.375,1386.5625,1848.75,2310.9375,2773.125,3235.3125,3697.5,4159.6875,4621.875,5084.0625
8.8,935,1402.5,1870,2337.5,2805,3272.5,3740,4207.5,4675,5142.5
8.9,945.625,1418.4375,1891.25,2364.0625,2836.875,3309.6875,3782.5,4255.3125,4728.125,5200.9375
9,956.25,1434.375,1912.5,2390.625,2868.75,3346.875,3825,4303.125,4781.25,5259.375
9.1,966.875,1450.3125,1933.75,2417.1875,2900.625,3384.0625,3867.5,4350.9375,4834.375,5317.8125
9.2,977.5,1466.25,1955,2443.75,2932.5,3421.25,3910,4398.75,4887.5,5376.25
9.3,988.125,1482.1875,1976.25,2470.3125,2964.375,3458.4375,3952.5,4446.5625,4940.625,5434.6875
9.4,998.75,1498.125,1997.5,2496.875,2996.25,3495.625,3995,4494.375,4993.75,5493.125
9.5,1009.375,1514.0625,2018.75,2523.4375,3028.125,3532.8125,4037.5,4542.1875,5046.875,5551.5625
9.6,1020,1530,2040,2550,3060,3570,4080,4590,5100,5610
9.7,1030.625,1545.9375,2061.25,2576.5625,3091.875,3607.1875,4122.5,4637.8125,5153.125,5668.4375
9.8,1041.25,1561.875,2082.5,2603.125,3123.75,3644.375,4165,4685.625,5206.25,5726.875
9.9,1051.875,1577.8125,2103.75,2629.6875,3155.625,3681.5625,4207.5,4733.4375,5259.375,5785.3125
10,1062.5,1593.75,2125,2656.25,3187.5,3718.75,4250,4781.25,5312.5,5843.75
10.1,1073.125,1609.6875,2146.25,2682.8125,3219.375,3755.9375,4292.5,4829.0625,5365.625,5902.1875
10.2,1083.75,1625.625,2167.5,2709.375,3251.25,3793.125,4335,4876.875,5418.75,5960.625
10.3,1094.375,1641.5625,2188.75,2735.9375,3283.125,3830.3125,4377.5,4924.6875,5471.875,6019.0625
10.4,1105,1657.5,2210,2762.5,3315,3867.5,4420,4972.5,5525,6077.5
10.5,1115.625,1673.4375,2231.25,2789.0625,3346.875,3904.6875,4462.5,5020.3125,5578.125,6135.9375
10.6,1126.25,1689.375,2252.5,2815.625,3378.75,3941.875,4505,5068.125,5631.25,6194.375
10.7,1136.875,1705.3125,2273.75,2842.1875,3410.625,3979.0625,4547.5,5115.9375,5684.375,6252.8125
10.8,1147.5,1721.25,2295,2868.75,3442.5,4016.25,4590,5163.75,5737.5,6311.25
10.9,1158.125,1737.1875,2316.25,2895.3125,3474.375,4053.4375,4632.5,5211.5625,5790.625,6369.6875
11,1168.75,1753.125,2337.5,2921.875,3506.25,4090.625,4675,5259.375,5843.75,6428.125
11.1,1179.375,1769.0625,2358.75,2948.4375,3538.125,4127.8125,4717.5,5307.1875,5896.875,6486.5625
11.2,1190,1785,2380,2975,3570,4165,4760,5355,5950,6545
11.3,1200.625,1800.9375,2401.25,3001.5625,3601.875,4202.1875,4802.5,5402.8125,6003.125,6603.4375
11.4,1211.25,1816.875,2422.5,3028.125,3633.75,4239.375,4845,5450.625,6056.25,6661.875
11.5,1221.875,1832.8125,2443.75,3054.6875,3665.625,4276.5625,4887.5,5498.4375,6109.375,6720.3125
11.6,1232.5,1848.75,2465,3081.25,3697.5,4313.75,4930,5546.25,6162.5,6778.75
11.7,1243.125,1864.6875,2486.25,3107.8125,3729.375,4350.9375,4972.5,5594.0625,6215.625,6837.1875
11.8,1253.75,1880.625,2507.5,3134.375,3761.25,4388.125,5015,5641.875,6268.75,6895.625
11.9,1264.375,1896.5625,2528.75,3160.9375,3793.125,4425.3125,5057.5,5689.6875,6321.875,6954.0625
12,1275,1912.5,2550,3187.5,3825,4462.5,5100,5737.5,6375,7012.5
12.1,1285.625,1928.4375,2571.25,3214.0625,3856.875,4499.6875,5142.5,5785.3125,6428.125,7070.9375
12.2,1296.25,1944.375,2592.5,3240.625,3888.75,4536.875,5185,5833.125,6481.25,7129.375
12.3,1306.875,1960.3125,2613.75,3267.1875,3920.625,4574.0625,5227.5,5880.9375,6534.375,7187.8125
12.4,1317.5,1976.25,2635,3293.75,3952.5,4611.25,5270,5928.75,6587.5,7246.25
12.5,1328.125,1992.1875,2656.25,3320.3125,3984.375,4648.4375,5312.5,5976.5625,6640.625,7304.6875
12.6,1338.75,2008.125,2677.5,3346.875,4016.25,4685.625,5355,6024.375,6693.75,7363.125
12.7,1349.375,2024.0625,2698.75,3373.4375,4048.125,4722.8125,5397.5,6072.1875,6746.875,7421.5625
12.8,1360,2040,2720,3400,4080,4760,5440,6120,6800,7480
12.9,1370.625,2055.9375,2741.25,3426.5625,4111.875,4797.1875,5482.5,6167.8125,6853.125,7538.4375
13,1381.25,2071.875,2762.5,3453.125,4143.75,4834.375,5525,6215.625,6906.25,7596.875
13.1,1391.875,2087.8125,2783.75,3479.6875,4175.625,4871.5625,5567.5,6263.4375,6959.375,7655.3125
13.2,1402.5,2103.75,2805,3506.25,4207.5,4908.75,5610,6311.25,7012.5,7713.75
13.3,1413.125,2119.6875,2826.25,3532.8125,4239.375,4945.9375,5652.5,6359.0625,7065.625,7772.1875
13.4,1423.75,2135.625,2847.5,3559.375,4271.25,4983.125,5695,6406.875,7118.75,7830.625
13.5,1434.375,2151.5625,2868.75,3585.9375,4303.125,5020.3125,5737.5,6454.6875,7171.875,7889.0625
13.6,1445,2167.5,2890,3612.5,4335,5057.5,5780,6502.5,7225,7947.5
13.7,1455.625,2183.4375,2911.25,3639.0625,4366.875,5094.6875,5822.5,6550.3125,7278.125,8005.9375
13.8,1466.25,2199.375,2932.5,3665.625,4398.75,5131.875,5865,6598.125,7331.25,8064.375
13.9,1476.875,2215.3125,2953.75,3692.1875,4430.625,5169.0625,5907.5,6645.9375,7384.375,8122.8125
