plant,Strawberry
variant_title,(5x) Neon Strawberry ALL Damage Numbers
multiplier,5.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,125,187.5,250,312.5,375,437.5,500,562.5,625,687.5
1.1,137.5,206.25,275,343.75,412.5,481.25,550,618.75,687.5,756.25
1.2,150,225,300,375,450,525,600,675,750,825
1.3,162.5,243.75,325,406.25,487.5,568.75,650,731.25,812.5,893.75
1.4,175,262.5,350,437.5,525,612.5,700,787.5,875,962.5
1.5,187.5,281.25,375,468.75,562.5,656.25,750,843.75,937.5,1031.25
1.6,200,300,400,500,600,700,800,900,1000,1100
1.7,212.5,318.75,425,531.25,637.5,743.75,850,956.25,1062.5,1168.75
1.8,225,337.5,450,562.5,675,787.5,900,1012.5,1125,1237.5
1.9,237.5,356.25,475,593.75,712.5,831.25,950,1068.75,1187.5,1306.25
2,250,375,500,625,750,875,1000,1125,1250,1375
2.1,262.5,393.75,525,656.25,787.5,918.75,1050,1181.25,1312.5,1443.75
2.2,275,412.5,550,687.5,825,962.5,1100,1237.5,1375,1512.5
2.3,287.5,431.25,575,718.75,862.5,1006.25,1150,1293.75,1437.5,1581.25
2.4,300,450,600,750,900,1050,1200,1350,1500,1650
2.5,312.5,468.75,625,781.25,937.5,1093.75,1250,1406.25,1562.5,1718.75
2.6,325,487.5,650,812.5,975,1137.5,1300,1462.5,1625,1787.5
2.7,337.5,506.25,675,843.75,1012.5,1181.25,1350,1518.75,1687.5,1856.25
2.8,350,525,700,875,1050,1225,1400,1575,1750,1925
2.9,362.5,543.75,725,906.25,1087.5,1268.75,1450,1631.25,1812.5,1993.75
3,375,562.5,750,937.5,1125,1312.5,1500,1687.5,1875,2062.5
3.1,387.5,581.25,775,968.75,1162.5,1356.25,1550,1743.75,1937.5,2131.25
3.2,400,600,800,1000,1200,1400,1600,1800,2000,2200
3.3,412.5,618.75,825,1031.25,1237.5,1443.75,1650,1856.25,2062.5,2268.75
3.4,425,637.5,850,1062.5,1275,1487.5,1700,1912.5,2125,2337.5
3.5,437.5,656.25,875,1093.75,1312.5,1531.25,1750,1968.75,2187.5,2406.25
3.6,450,675,900,1125,1350,1575,1800,2025,2250,2475
3.7,462.5,693.75,925,1156.25,1387.5,1618.75,1850,2081.25,2312.5,2543.75
3.8,475,712.5,950,1187.5,1425,1662.5,1900,2137.5,2375,2612.5
3.9,487.5,731.25,975,1218.75,1462.5,1706.25,1950,2193.75,2437.5,2681.25
4,500,750,1000,1250,1500,1750,2000,2250,2500,2750
4.1,512.5,768.75,1025,1281.25,1537.5,1793.75,2050,2306.25,2562.5,2818.75
4.2,525,787.5,1050,1312.5,1575,1837.5,2100,2362.5,2625,2887.5
4.3,537.5,806.25,1075,1343.75,1612.5,1881.25,2150,2418.75,2687.5,2956.25
4.4,550,825,1100,1375,1650,1925,2200,2475,2750,3025
4.5,562.5,843.75,1125,1406.25,1687.5,1968.75,2250,2531.25,2812.5,3093.75
4.6,575,862.5,1150,1437.5,1725,2012.5,2300,2587.5,2875,3162.5
4.7,587.5,881.25,1175,1468.75,1762.5,2056.25,2350,2643.75,2937.5,3231.25
4.8,600,900,1200,1500,1800,2100,2400,2700,3000,3300
4.9,612.5,918.75,1225,1531.25,1837.5,2143.75,2450,2756.25,3062.5,3368.75
