plant,Sunflower
variant_title,(1x) Sunflower ALL Damage Numbers
multiplier,1.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,115.0,172.5,230,287.5,345,402.5,460,517.5,575,632.5
1.1,126.5,189.75,253,316.25,379.5,442.75,506,569.25,632.5,695.75
1.2,138,207,276,345,414,483,552,621,690,759
1.3,149.5,224.25,299,373.75,448.5,523.25,598,672.75,747.5,822.25
1.4,161,241.5,322,402.5,483,563.5,644,724.5,805,885.5
1.5,172.5,258.75,345,431.25,517.5,603.75,690,776.25,862.5,948.75
1.6,184,276,368,460,552,644,736,828,920,1012
1.7,195.5,293.25,391,488.75,586.5,684.25,782,879.75,977.5,1075.25
1.8,207,310.5,414,517.5,621,724.5,828,931.5,1035,1138.5
1.9,218.5,327.75,437,546.25,655.5,764.75,874,983.25,1092.5,1201.75
2,230,345,460,575,690,805,920,1035,1150,1265
2.1,241.5,362.25,483,603.75,724.5,845.25,966,1086.75,1207.5,1328.25
2.2,253,379.5,506,632.5,759,885.5,1012,1138.5,1265,1391.5
2.3,264.5,396.75,529,661.25,793.5,925.75,1058,1190.25,1322.5,1454.75
2.4,276,414,552,690,828,966,1104,1242,1380,1518
2.5,287.5,431.25,575,718.75,862.5,1006.25,1150,1293.75,1437.5,1581.25
2.6,299,448.5,598,747.5,897,1046.5,1196,1345.5,1495,1644.5
2.7,310.5,465.75,621,776.25,931.5,1086.75,1242,1397.25,1552.5,1707.75
2.8,322,483,644,805,966,1127,1288,1449,1610,1771
2.9,333.5,500.25,667,833.75,1000.5,1167.25,1334,1500.75,1667.5,1834.25
3,345,517.5,690,862.5,1035,1207.5,1380,1552.5,1725,1897.5
3.1,356.5,534.75,713,891.25,1069.5,1247.75,1426,1604.25,1782.5,1960.75
3.2,368,552,736,920,1104,1288,1472,1656,1840,2024
3.3,379.5,569.25,759,948.75,1138.5,1328.25,1518,1707.75,1897.5,2087.25
3.4,391,586.5,782,977.5,1173,1368.5,1564,1759.5,1955,2150.5
3.5,402.5,603.75,805,1006.25,1207.5,1408.75,1610,1811.25,2012.5,2213.75
3.6,414,621,828,1035,1242,1449,1656,1863,2070,2277
3.7,425.5,638.25,851,1063.75,1276.5,1489.25,1702,1914.75,2127.5,2340.25
3.8,437,655.5,874,1092.5,1311,1529.5,1748,1966.5,2185,2403.5
3.9,448.5,672.75,897,1121.25,1345.5,1569.75,1794,2018.25,2242.5,2466.75
4,460,690,920,1150,1380,1610,1840,2070,2300,2530
4.1,471.5,707.25,943,1178.75,1414.5,1650.25,1886,2121.75,2357.5,2593.25
4.2,483,724.5,966,1207.5,1449,1690.5,1932,2173.5,2415,2656.5
4.3,494.5,741.75,989,1236.25,1483.5,1730.75,1978,2225.25,2472.5,2719.75
4.4,506,759,1012,1265,1518,1771,2024,2277,2530,2783
4.5,517.5,776.25,1035,1293.75,1552.5,1811.25,2070,2328.75,2587.5,2846.25
4.6,529,793.5,1058,1322.5,1587,1851.5,2116,2380.5,2645,2909.5
4.7,540.5,810.75,1081,1351.25,1621.5,1891.75,2162,2432.25,2702.5,2972.75
4.8,552,828,1104,1380,1656,1932,2208,2484,2760,3036
4.9,563.5,845.25,1127,1408.75,1690.5,1972.25,2254,2535.75,2817.5,3099.25
5,575,862.5,1150,1437.5,1725,2012.5,2300,2587.5,2875,3162.5
5.1,586.5,879.75,1173,1466.25,1759.5,2052.75,2346,2639.25,2932.5,3225.75
5.2,598,897,1196,1495,1794,2093,2392,2691,2990,3289
5.3,609.5,914.25,1219,1523.75,1828.5,2133.25,2438,2742.75,3047.5,3352.25
5.4,621,931.5,1242,1552.5,1863,2173.5,2484,2794.5,3105,3415.5
5.5,632.5,948.75,1265,1581.25,1897.5,2213.75,2530,2846.25,3162.5,3478.75
5.6,644,966,1288,1610,1932,2254,2576,2898,3220,3542
5.7,655.5,983.25,1311,1638.75,1966.5,2294.25,2622,2949.75,3277.5,3605.25
5.8,667,1000.5,1334,1667.5,2001,2334.5,2668,3001.5,3335,3668.5
5.9,678.5,1017.75,1357,1696.25,2035.5,2374.75,2714,3053.25,3392.5,3731.75
6,690,1035,1380,1725,2070,2415,2760,3105,3450,3795
6.1,701.5,1052.25,1403,1753.75,2104.5,2455.25,2806,3156.75,3507.5,3858.25
6.2,713,1069.5,1426,1782.5,2139,2495.5,2852,3208.5,3565,3921.5
6.3,724.5,1086.75,1449,1811.25,2173.5,2535.75,2898,3260.25,3622.5,3984.75
6.4,736,1104,1472,1840,2208,2576,2944,3312,3680,4048
6.5,747.5,1121.25,1495,1868.75,2242.5,2616.25,2990,3363.75,3737.5,4111.25
6.6,759,1138.5,1518,1897.5,2277,2656.5,3036,3415.5,3795,4174.5
6.7,770.5,1155.75,1541,1926.25,2311.5,2696.75,3082,3467.25,3852.5,4237.75
6.8,782,1173,1564,1955,2346,2737,3128,3519,3910,4301
6.9,793.5,1190.25,1587,1983.75,2380.5,2777.25,3174,3570.75,3967.5,4364.25
7,805,1207.5,1610,2012.5,2415,2817.5,3220,3622.5,4025,4427.5
7.1,816.5,1224.75,1633,2041.25,2449.5,2857.75,3266,3674.25,4082.5,4490.75
7.2,828,1242,1656,2070,2484,2898,3312,3726,4140,4554
7.3,839.5,1259.25,1679,2098.75,2518.5,2938.25,3358,3777.75,4197.5,4617.25
7.4,851,1276.5,1702,2127.5,2553,2978.5,3404,3829.5,4255,4680.5
7.5,862.5,1293.75,1725,2156.25,2587.5,3018.75,3450,3881.25,4312.5,4743.75
7.6,874,1311,1748,2185,2622,3059,3496,3933,4370,4807
7.7,885.5,1328.25,1771,2213.75,2656.5,3099.25,3542,3984.75,4427.5,4870.25
7.8,897,1345.5,1794,2242.5,2691,3139.5,3588,4036.5,4485,4933.5
7.9,908.5,1362.75,1817,2271.25,2725.5,3179.75,3634,4088.25,4542.5,4996.75
8,920,1380,1840,2300,2760,3220,3680,4140,4600,5060
8.1,931.5,1397.25,1863,2328.75,2794.5,3260.25,3726,4191.75,4657.5,5123.25
8.2,943,1414.5,1886,2357.5,2829,3300.5,3772,4243.5,4715,5186.5
8.3,954.5,1431.75,1909,2386.25,2863.5,3340.75,3818,4295.25,4772.5,5249.75
8.4,966,1449,1932,2415,2898,3381,3864,4347,4830,5313
8.5,977.5,1466.25,1955,2443.75,2932.5,3421.25,3910,4398.75,4887.5,5376.25
8.6,989,1483.5,1978,2472.5,2967,3461.5,3956,4450.5,4945,5439.5
8.7,1000.5,1500.75,2001,2501.25,3001.5,3501.75,4002,4502.25,5002.5,5502.75
8.8,1012,1518,2024,2530,3036,3542,4048,4554,5060,5566
8.9,1023.5,1535.25,2047,2558.75,3070.5,3582.25,4094,4605.75,5117.5,5629.25
9,1035,1552.5,2070,2587.5,3105,3622.5,4140,4657.5,5175,5692.5
9.1,1046.5,1569.75,2093,2616.25,3139.5,3662.75,4186,4709.25,5232.5,5755.75
9.2,1058,1587,2116,2645,3174,3703,4232,4761,5290,5819
9.3,1069.5,1604.25,2139,2673.75,3208.5,3743.25,4278,4812.75,5347.5,5882.25
9.4,1081,1621.5,2162,2702.5,3243,3783.5,4324,4864.5,5405,5945.5
9.5,1092.5,1638.75,2185,2731.25,3277.5,3823.75,4370,4916.25,5462.5,6008.75
9.6,1104,1656,2208,2760,3312,3864,4416,4968,5520,6072
9.7,1115.5,1673.25,2231,2788.75,3346.5,3904.25,4462,5019.75,5577.5,6135.25
9.8,1127,1690.5,2254,2817.5,3381,3944.5,4508,5071.5,5635,6198.5
9.9,1138.5,1707.75,2277,2846.25,3415.5,3984.75,4554,5123.25,5692.5,6261.75
