plant,Sunflower
variant_title,(2x) Gold/Foggy/Electrified/Scorched Sunflower ALL Damage Numbers
multiplier,2.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,230,345,460,575,690,805,920,1035,1150,1265
1.1,253,379.5,506,632.5,759,885.5,1012,1138.5,1265,1391.5
1.2,276,414,552,690,828,966,1104,1242,1380,1518
1.3,299,448.5,598,747.5,897,1046.5,1196,1345.5,1495,1644.5
1.4,322,483,644,805,966,1127,1288,1449,1610,1771
1.5,345,517.5,690,862.5,1035,1207.5,1380,1552.5,1725,1897.5
1.6,368,552,736,920,1104,1288,1472,1656,1840,2024
1.7,391,586.5,782,977.5,1173,1368.5,1564,1759.5,1955,2150.5
1.8,414,621,828,1035,1242,1449,1656,1863,2070,2277
1.9,437,655.5,874,1092.5,1311,1529.5,1748,1966.5,2185,2403.5
2,460,690,920,1150,1380,1610,1840,2070,2300,2530
2.1,483,724.5,966,1207.5,1449,1690.5,1932,2173.5,2415,2656.5
2.2,506,759,1012,1265,1518,1771,2024,2277,2530,2783
2.3,529,793.5,1058,1322.5,1587,1851.5,2116,2380.5,2645,2909.5
2.4,552,828,1104,1380,1656,1932,2208,2484,2760,3036
2.5,575,862.5,1150,1437.5,1725,2012.5,2300,2587.5,2875,3162.5
2.6,598,897,1196,1495,1794,2093,2392,2691,2990,3289
2.7,621,931.5,1242,1552.5,1863,2173.5,2484,2794.5,3105,3415.5
2.8,644,966,1288,1610,1932,2254,2576,2898,3220,3542
2.9,667,1000.5,1334,1667.5,2001,2334.5,2668,3001.5,3335,3668.5
3,690,1035,1380,1725,2070,2415,2760,3105,3450,3795
3.1,713,1069.5,1426,1782.5,2139,2495.5,2852,3208.5,3565,3921.5
3.2,736,1104,1472,1840,2208,2576,2944,3312,3680,4048
3.3,759,1138.5,1518,1897.5,2277,2656.5,3036,3415.5,3795,4174.5
3.4,782,1173,1564,1955,2346,2737,3128,3519,3910,4301
3.5,805,1207.5,1610,2012.5,2415,2817.5,3220,3622.5,4025,4427.5
3.6,828,1242,1656,2070,2484,2898,3312,3726,4140,4554
3.7,851,1276.5,1702,2127.5,2553,2978.5,3404,3829.5,4255,4680.5
3.8,874,1311,1748,2185,2622,3059,3496,3933,4370,4807
3.9,897,1345.5,1794,2242.5,2691,3139.5,3588,4036.5,4485,4933.5
4,920,1380,1840,2300,2760,3220,3680,4140,4600,5060
4.1,943,1414.5,1886,2357.5,2829,3300.5,3772,4243.5,4715,5186.5
4.2,966,1449,1932,2415,2898,3381,3864,4347,4830,5313
4.3,989,1483.5,1978,2472.5,2967,3461.5,3956,4450.5,4945,5439.5
4.4,1012,1518,2024,2530,3036,3542,4048,4554,5060,5566
4.5,1035,1552.5,2070,2587.5,3105,3622.5,4140,4657.5,5175,5692.5
4.6,1058,1587,2116,2645,3174,3703,4232,4761,5290,5819
4.7,1081,1621.5,2162,2702.5,3243,3783.5,4324,4864.5,5405,5945.5
4.8,1104,1656,2208,2760,3312,3864,4416,4968,5520,6072
4.9,1127,1690.5,2254,2817.5,3381,3944.5,4508,5071.5,5635,6198.5
5,1150,1725,2300,2875,3450,4025,4600,5175,5750,6325
5.1,1173,1759.5,2346,2932.5,3519,4105.5,4692,5278.5,5865,6451.5
5.2,1196,1794,2392,2990,3588,4186,4784,5382,5980,6578
5.3,1219,1828.5,2438,3047.5,3657,4266.5,4876,5485.5,6095,6704.5
5.4,1242,1863,2484,3105,3726,4347,4968,5589,6210,6831
5.5,1265,1897.5,2530,3162.5,3795,4427.5,5060,5692.5,6325,6957.5
5.6,1288,1932,2576,3220,3864,4508,5152,5796,6440,7084
5.7,1311,1966.5,2622,3277.5,3933,4588.5,5244,5899.5,6555,7210.5
5.8,1334,2001,2668,3335,4002,4669,5336,6003,6670,7337
5.9,1357,2035.5,2714,3392.5,4071,4749.5,5428,6106.5,6785,7463.5
6,1380,2070,2760,3450,4140,4830,5520,6210,6900,7590
6.1,1403,2104.5,2806,3507.5,4209,4910.5,5612,6313.5,7015,7716.5
6.2,1426,2139,2852,3565,4278,4991,5704,6417,7130,7843
6.3,1449,2173.5,2898,3622.5,4347,5071.5,5796,6520.5,7245,7969.5
6.4,1472,2208,2944,3680,4416,5152,5888,6624,7360,8096
6.5,1495,2242.5,2990,3737.5,4485,5232.5,5980,6727.5,7475,8222.5
6.6,1518,2277,3036,3795,4554,5313,6072,6831,7590,8349
6.7,1541,2311.5,3082,3852.5,4623,5393.5,6164,6934.5,7705,8475.5
6.8,1564,2346,3128,3910,4692,5474,6256,7038,7820,8602
6.9,1587,2380.5,3174,3967.5,4761,5554.5,6348,7141.5,7935,8728.5
7,1610,2415,3220,4025,4830,5635,6440,7245,8050,8855
7.1,1633,2449.5,3266,4082.5,4899,5715.5,6532,7348.5,8165,8981.5
7.2,1656,2484,3312,4140,4968,5796,6624,7452,8280,9108
7.3,1679,2518.5,3358,4197.5,5037,5876.5,6716,7555.5,8395,9234.5
7.4,1702,2553,3404,4255,5106,5957,6808,7659,8510,9361
7.5,1725,2587.5,3450,4312.5,5175,6037.5,6900,7762.5,8625,9487.5
7.6,1748,2622,3496,4370,5244,6118,6992,7866,8740,9614
7.7,1771,2656.5,3542,4427.5,5313,6198.5,7084,7969.5,8855,9740.5
7.8,1794,2691,3588,4485,5382,6279,7176,8073,8970,9867
7.9,1817,2725.5,3634,4542.5,5451,6359.5,7268,8176.5,9085,9993.5
8,1840,2760,3680,4600,5520,6440,7360,8280,9200,10120
8.1,1863,2794.5,3726,4657.5,5589,6520.5,7452,8383.5,9315,10246.5
8.2,1886,2829,3772,4715,5658,6601,7544,8487,9430,10373
8.3,1909,2863.5,3818,4772.5,5727,6681.5,7636,8590.5,9545,10499.5
8.4,1932,2898,3864,4830,5796,6762,7728,8694,9660,10626
8.5,1955,2932.5,3910,4887.5,5865,6842.5,7820,8797.5,9775,10752.5
8.6,1978,2967,3956,4945,5934,6923,7912,8901,9890,10879
8.7,2001,3001.5,4002,5002.5,6003,7003.5,8004,9004.5,10005,11005.5
8.8,2024,3036,4048,5060,6072,7084,8096,9108,10120,11132
8.9,2047,3070.5,4094,5117.5,6141,7164.5,8188,9211.5,10235,11258.5
9,2070,3105,4140,5175,6210,7245,8280,9315,10350,11385
9.1,2093,3139.5,4186,5232.5,6279,7325.5,8372,9418.5,10465,11511.5
9.2,2116,3174,4232,5290,6348,7406,8464,9522,10580,11638
9.3,2139,3208.5,4278,5347.5,6417,7486.5,8556,9625.5,10695,11764.5
9.4,2162,3243,4324,5405,6486,7567,8648,9729,10810,11891
9.5,2185,3277.5,4370,5462.5,6555,7647.5,8740,9832.5,10925,12017.5
9.6,2208,3312,4416,5520,6624,7728,8832,9936,11040,12144
9.7,2231,3346.5,4462,5577.5,6693,7808.5,8924,10039.5,11155,12270.5
9.8,2254,3381,4508,5635,6762,7889,9016,10143,11270,12397
9.9,2277,3415.5,4554,5692.5,6831,7969.5,9108,10246.5,11385,12523.5
10,2300,3450,4600,5750,6900,8050,9200,10350,11500,12650
10.1,2323,3484.5,4646,5807.5,6969,8130.5,9292,10453.5,11615,12776.5
10.2,2346,3519,4692,5865,7038,8211,9384,10557,11730,12903
10.3,2369,3553.5,4738,5922.5,7107,8291.5,9476,10660.5,11845,13029.5
10.4,2392,3588,4784,5980,7176,8372,9568,10764,11960,13156
10.5,2415,3622.5,4830,6037.5,7245,8452.5,9660,10867.5,12075,13282.5
10.6,2438,3657,4876,6095,7314,8533,9752,10971,12190,13409
