plant,Sunflower
variant_title,(4x) Ruby/Frozen Sunflower ALL Damage Numbers
multiplier,4.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,460,690,920,1150,1380,1610,1840,2070,2300,2530
1.1,506,759,1012,1265,1518,1771,2024,2277,2530,2783
1.2,552,828,1104,1380,1656,1932,2208,2484,2760,3036
1.3,598,897,1196,1495,1794,2093,2392,2691,2990,3289
1.4,644,966,1288,1610,1932,2254,2576,2898,3220,3542
1.5,690,1035,1380,1725,2070,2415,2760,3105,3450,3795
1.6,736,1104,1472,1840,2208,2576,2944,3312,3680,4048
1.7,782,1173,1564,1955,2346,2737,3128,3519,3910,4301
1.8,828,1242,1656,2070,2484,2898,3312,3726,4140,4554
1.9,874,1311,1748,2185,2622,3059,3496,3933,4370,4807
2,920,1380,1840,2300,2760,3220,3680,4140,4600,5060
2.1,966,1449,1932,2415,2898,3381,3864,4347,4830,5313
2.2,1012,1518,2024,2530,3036,3542,4048,4554,5060,5566
2.3,1058,1587,2116,2645,3174,3703,4232,4761,5290,5819
2.4,1104,1656,2208,2760,3312,3864,4416,4968,5520,6072
2.5,1150,1725,2300,2875,3450,4025,4600,5175,5750,6325
2.6,1196,1794,2392,2990,3588,4186,4784,5382,5980,6578
2.7,1242,1863,2484,3105,3726,4347,4968,5589,6210,6831
2.8,1288,1932,2576,3220,3864,4508,5152,5796,6440,7084
2.9,1334,2001,2668,3335,4002,4669,5336,6003,6670,7337
3,1380,2070,2760,3450,4140,4830,5520,6210,6900,7590
3.1,1426,2139,2852,3565,4278,4991,5704,6417,7130,7843
3.2,1472,2208,2944,3680,4416,5152,5888,6624,7360,8096
3.3,1518,2277,3036,3795,4554,5313,6072,6831,7590,8349
3.4,1564,2346,3128,3910,4692,5474,6256,7038,7820,8602
3.5,1610,2415,3220,4025,4830,5635,6440,7245,8050,8855
3.6,1656,2484,3312,4140,4968,5796,6624,7452,8280,9108
3.7,1702,2553,3404,4255,5106,5957,6808,7659,8510,9361
3.8,1748,2622,3496,4370,5244,6118,6992,7866,8740,9614
3.9,1794,2691,3588,4485,5382,6279,7176,8073,8970,9867
4,1840,2760,3680,4600,5520,6440,7360,8280,9200,10120
4.1,1886,2829,3772,4715,5658,6601,7544,8487,9430,10373
4.2,1932,2898,3864,4830,5796,6762,7728,8694,9660,10626
4.3,1978,2967,3956,4945,5934,6923,7912,8901,9890,10879
4.4,2024,3036,4048,5060,6072,7084,8096,9108,10120,11132
4.5,2070,3105,4140,5175,6210,7245,8280,9315,10350,11385
4.6,2116,3174,4232,5290,6348,7406,8464,9522,10580,11638
4.7,2162,3243,4324,5405,6486,7567,8648,9729,10810,11891
4.8,2208,3312,4416,5520,6624,7728,8832,9936,11040,12144
4.9,2254,3381,4508,5635,6762,7889,9016,10143,11270,12397
5,2300,3450,4600,5750,6900,8050,9200,10350,11500,12650
5.1,2346,3519,4692,5865,7038,8211,9384,10557,11730,12903
5.2,2392,3588,4784,5980,7176,8372,9568,10764,11960,13156
5.3,2438,3657,4876,6095,7314,8533,9752,10971,12190,13409
5.4,2484,3726,4968,6210,7452,8694,9936,11178,12420,13662
5.5,2530,3795,5060,6325,7590,8855,10120,11385,12650,13915
5.6,2576,3864,5152,6440,7728,9016,10304,11592,12880,14168
5.7,2622,3933,5244,6555,7866,9177,10488,11799,13110,14421
5.8,2668,4002,5336,6670,8004,9338,10672,12006,13340,14674
5.9,2714,4071,5428,6785,8142,9499,10856,12213,13570,14927
6,2760,4140,5520,6900,8280,9660,11040,12420,13800,15180
6.1,2806,4209,5612,7015,8418,9821,11224,12627,14030,15433
6.2,2852,4278,5704,7130,8556,9982,11408,12834,14260,15686
6.3,2898,4347,5796,7245,8694,10143,11592,13041,14490,15939
6.4,2944,4416,5888,7360,8832,10304,11776,13248,14720,16192
6.5,2990,4485,5980,7475,8970,10465,11960,13455,14950,16445
6.6,3036,4554,6072,7590,9108,10626,12144,13662,15180,16698
6.7,3082,4623,6164,7705,9246,10787,12328,13869,15410,16951
6.8,3128,4692,6256,7820,9384,10948,12512,14076,15640,17204
6.9,3174,4761,6348,7935,9522,11109,12696,14283,15870,17457
7,3220,4830,6440,8050,9660,11270,12880,14490,16100,17710
7.1,3266,4899,6532,8165,9798,11431,13064,14697,16330,17963
7.2,3312,4968,6624,8280,9936,11592,13248,14904,16560,18216
7.3,3358,5037,6716,8395,10074,11753,13432,15111,16790,18469
7.4,3404,5106,6808,8510,10212,11914,13616,15318,17020,18722
7.5,3450,5175,6900,8625,10350,12075,13800,15525,17250,18975
7.6,3496,5244,6992,8740,10488,12236,13984,15732,17480,19228
7.7,3542,5313,7084,8855,10626,12397,14168,15939,17710,19481
7.8,3588,5382,7176,8970,10764,12558,14352,16146,17940,19734
7.9,3634,5451,7268,9085,10902,12719,14536,16353,18170,19987
8,3680,5520,7360,9200,11040,12880,14720,16560,18400,20240
8.1,3726,5589,7452,9315,11178,13041,14904,16767,18630,20493
8.2,3772,5658,7544,9430,11316,13202,15088,16974,18860,20746
8.3,3818,5727,7636,9545,11454,13363,15272,17181,19090,20999
8.4,3864,5796,7728,9660,11592,13524,15456,17388,19320,21252
8.5,3910,5865,7820,9775,11730,13685,15640,17595,19550,21505
8.6,3956,5934,7912,9890,11868,13846,15824,17802,19780,21758
8.7,4002,6003,8004,10005,12006,14007,16008,18009,20010,22011
8.8,4048,6072,8096,10120,12144,14168,16192,18216,20240,22264
8.9,4094,6141,8188,10235,12282,14329,16376,18423,20470,22517
9,4140,6210,8280,10350,12420,14490,16560,18630,20700,22770
9.1,4186,6279,8372,10465,12558,14651,16744,18837,20930,23023
9.2,4232,6348,8464,10580,12696,14812,16928,19044,21160,23276
9.3,4278,6417,8556,10695,12834,14973,17112,19251,21390,23529
9.4,4324,6486,8648,10810,12972,15134,17296,19458,21620,23782
9.5,4370,6555,8740,10925,13110,15295,17480,19665,21850,24035
9.6,4416,6624,8832,11040,13248,15456,17664,19872,22080,24288
9.7,4462,6693,8924,11155,13386,15617,17848,20079,22310,24541
9.8,4508,6762,9016,11270,13524,15778,18032,20286,22540,24794
9.9,4554,6831,9108,11385,13662,15939,18216,20493,22770,25047
10,4600,6900,9200,11500,13800,16100,18400,20700,23000,25300
10.1,4646,6969,9292,11615,13938,16261,18584,20907,23230,25553
10.2,4692,7038,9384,11730,14076,16422,18768,21114,23460,25806
10.3,4738,7107,9476,11845,14214,16583,18952,21321,23690,26059
10.4,4784,7176,9568,11960,14352,16744,19136,21528,23920,26312
10.5,4830,7245,9660,12075,14490,16905,19320,21735,24150,26565
10.6,4876,7314,9752,12190,14628,17066,19504,21942,24380,26818
10.7,4922,7383,9844,12305,14766,17227,19688,22149,24610,27071
10.8,4968,7452,9936,12420,14904,17388,19872,22356,24840,27324
10.9,5014,7521,10028,12535,15042,17549,20056,22563,25070,27577
11,5060,7590,10120,12650,15180,17710,20240,22770,25300,27830
11.1,5106,7659,10212,12765,15318,17871,20424,22977,25530,28083
11.2,5152,7728,10304,12880,15456,18032,20608,23184,25760,28336
11.3,5198,7797,10396,12995,15594,18193,20792,23391,25990,28589
11.4,5244,7866,10488,13110,15732,18354,20976,23598,26220,28842
11.5,5290,7935,10580,13225,15870,18515,21160,23805,26450,29095
11.6,5336,8004,10672,13340,16008,18676,21344,24012,26680,29348
