plant,Sunflower
variant_title,(5x) Neon Sunflower ALL Damage Numbers
multiplier,5.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,575,862.5,1150,1437.5,1725,2012.5,2300,2587.5,2875,3162.5
1.1,632.5,948.75,1265,1581.25,1897.5,2213.75,2530,2846.25,3162.5,3478.75
1.2,690,1035,1380,1725,2070,2415,2760,3105,3450,3795
1.3,747.5,1121.25,1495,1868.75,2242.5,2616.25,2990,3363.75,3737.5,4111.25
1.4,805,1207.5,1610,2012.5,2415,2817.5,3220,3622.5,4025,4427.5
1.5,862.5,1293.75,1725,2156.25,2587.5,3018.75,3450,3881.25,4312.5,4743.75
1.6,920,1380,1840,2300,2760,3220,3680,4140,4600,5060
1.7,977.5,1466.25,1955,2443.75,2932.5,3421.25,3910,4398.75,4887.5,5376.25
1.8,1035,1552.5,2070,2587.5,3105,3622.5,4140,4657.5,5175,5692.5
1.9,1092.5,1638.75,2185,2731.25,3277.5,3823.75,4370,4916.25,5462.5,6008.75
2,1150,1725,2300,2875,3450,4025,4600,5175,5750,6325
2.1,1207.5,1811.25,2415,3018.75,3622.5,4226.25,4830,5433.75,6037.5,6641.25
2.2,1265,1897.5,2530,3162.5,3795,4427.5,5060,5692.5,6325,6957.5
2.3,1322.5,1983.75,2645,3306.25,3967.5,4628.75,5290,5951.25,6612.5,7273.75
2.4,1380,2070,2760,3450,4140,4830,5520,6210,6900,7590
2.5,1437.5,2156.25,2875,3593.75,4312.5,5031.25,5750,6468.75,7187.5,7906.25
2.6,1495,2242.5,2990,3737.5,4485,5232.5,5980,6727.5,7475,8222.5
2.7,1552.5,2328.75,3105,3881.25,4657.5,5433.75,6210,6986.25,7762.5,8538.75
2.8,1610,2415,3220,4025,4830,5635,6440,7245,8050,8855
2.9,1667.5,2501.25,3335,4168.75,5002.5,5836.25,6670,7503.75,8337.5,9171.25
3,1725,2587.5,3450,4312.5,5175,6037.5,6900,7762.5,8625,9487.5
3.1,1782.5,2673.75,3565,4456.25,5347.5,6238.75,7130,8021.25,8912.5,9803.75
3.2,1840,2760,3680,4600,5520,6440,7360,8280,9200,10120
3.3,1897.5,2846.25,3795,4743.75,5692.5,6641.25,7590,8538.75,9487.5,10436.25
3.4,1955,2932.5,3910,4887.5,5865,6842.5,7820,8797.5,9775,10752.5
3.5,2012.5,3018.75,4025,5031.25,6037.5,7043.75,8050,9056.25,10062.5,11068.75
3.6,2070,3105,4140,5175,6210,7245,8280,9315,10350,11385
3.7,2127.5,3191.25,4255,5318.75,6382.5,7446.25,8510,9573.75,10637.5,11701.25
3.8,2185,3277.5,4370,5462.5,6555,7647.5,8740,9832.5,10925,12017.5
3.9,2242.5,3363.75,4485,5606.25,6727.5,7848.75,8970,10091.25,11212.5,12333.75
4,2300,3450,4600,5750,6900,8050,9200,10350,11500,12650
4.1,2357.5,3536.25,4715,5893.75,7072.5,8251.25,9430,10608.75,11787.5,12966.25
4.2,2415,3622.5,4830,6037.5,7245,8452.5,9660,10867.5,12075,13282.5
4.3,2472.5,3708.75,4945,6181.25,7417.5,8653.75,9890,11126.25,12362.5,13598.75
4.4,2530,3795,5060,6325,7590,8855,10120,11385,12650,13915
4.5,2587.5,3881.25,5175,6468.75,7762.5,9056.25,10350,11643.75,12937.5,14231.25
4.6,2645,3967.5,5290,6612.5,7935,9257.5,10580,11902.5,13225,14547.5
4.7,2702.5,4053.75,5405,6756.25,8107.5,9458.75,10810,12161.25,13512.5,14863.75
4.8,2760,4140,5520,6900,8280,9660,11040,12420,13800,15180
4.9,2817.5,4226.25,5635,7043.75,8452.5,9861.25,11270,12678.75,14087.5,15496.25
5,2875,4312.5,5750,7187.5,8625,10062.5,11500,12937.5,14375,15812.5
5.1,2932.5,4398.75,5865,7331.25,8797.5,10263.75,11730,13196.25,14662.5,16128.75
5.2,2990,4485,5980,7475,8970,10465,11960,13455,14950,16445
5.3,3047.5,4571.25,6095,7618.75,9142.5,10666.25,12190,13713.75,15237.5,16761.25
5.4,3105,4657.5,6210,7762.5,9315,10867.5,12420,13972.5,15525,17077.5
5.5,3162.5,4743.75,6325,7906.25,9487.5,11068.75,12650,14231.25,15812.5,17393.75
5.6,3220,4830,6440,8050,9660,11270,12880,14490,16100,17710
5.7,3277.5,4916.25,6555,8193.75,9832.5,11471.25,13110,14748.75,16387.5,18026.25
5.8,3335,5002.5,6670,8337.5,10005,11672.5,13340,15007.5,16675,18342.5
5.9,3392.5,5088.75,6785,8481.25,10177.5,11873.75,13570,15266.25,16962.5,18658.75
6,3450,5175,6900,8625,10350,12075,13800,15525,17250,18975
6.1,3507.5,5261.25,7015,8768.75,10522.5,12276.25,14030,15783.75,17537.5,19291.25
6.2,3565,5347.5,7130,8912.5,10695,12477.5,14260,16042.5,17825,19607.5
6.3,3622.5,5433.75,7245,9056.25,10867.5,12678.75,14490,16301.25,18112.5,19923.75
6.4,3680,5520,7360,9200,11040,12880,14720,16560,18400,20240
6.5,3737.5,5606.25,7475,9343.75,11212.5,13081.25,14950,16818.75,18687.5,20556.25
6.6,3795,5692.5,7590,9487.5,11385,13282.5,15180,17077.5,18975,20872.5
6.7,3852.5,5778.75,7705,9631.25,11557.5,13483.75,15410,17336.25,19262.5,21188.75
6.8,3910,5865,7820,9775,11730,13685,15640,17595,19550,21505
6.9,3967.5,5951.25,7935,9918.75,11902.5,13886.25,15870,17853.75,19837.5,21821.25
7,4025,6037.5,8050,10062.5,12075,14087.5,16100,18112.5,20125,22137.5
7.1,4082.5,6123.75,8165,10206.25,12247.5,14288.75,16330,18371.25,20412.5,22453.75
7.2,4140,6210,8280,10350,12420,14490,16560,18630,20700,22770
7.3,4197.5,6296.25,8395,10493.75,12592.5,14691.25,16790,18888.75,20987.5,23086.25
7.4,4255,6382.5,8510,10637.5,12765,14892.5,17020,19147.5,21275,23402.5
7.5,4312.5,6468.75,8625,10781.25,12937.5,15093.75,17250,19406.25,21562.5,23718.75
7.6,4370,6555,8740,10925,13110,15295,17480,19665,21850,24035
7.7,4427.5,6641.25,8855,11068.75,13282.5,15496.25,17710,19923.75,22137.5,24351.25
7.8,4485,6727.5,8970,11212.5,13455,15697.5,17940,20182.5,22425,24667.5
7.9,4542.5,6813.75,9085,11356.25,13627.5,15898.75,18170,20441.25,22712.5,24983.75
8,4600,6900,9200,11500,13800,16100,18400,20700,23000,25300
8.1,4657.5,6986.25,9315,11643.75,13972.5,16301.25,18630,20958.75,23287.5,25616.25
8.2,4715,7072.5,9430,11787.5,14145,16502.5,18860,21217.5,23575,25932.5
8.3,4772.5,7158.75,9545,11931.25,14317.5,16703.75,19090,21476.25,23862.5,26248.75
8.4,4830,7245,9660,12075,14490,16905,19320,21735,24150,26565
8.5,4887.5,7331.25,9775,12218.75,14662.5,17106.25,19550,21993.75,24437.5,26881.25
8.6,4945,7417.5,9890,12362.5,14835,17307.5,19780,22252.5,24725,27197.5
8.7,5002.5,7503.75,10005,12506.25,15007.5,17508.75,20010,22511.25,25012.5,27513.75
8.8,5060,7590,10120,12650,15180,17710,20240,22770,25300,27830
8.9,5117.5,7676.25,10235,12793.75,15352.5,17911.25,20470,23028.75,25587.5,28146.25
9,5175,7762.5,10350,12937.5,15525,18112.5,20700,23287.5,25875,28462.5
9.1,5232.5,7848.75,10465,13081.25,15697.5,18313.75,20930,23546.25,26162.5,28778.75
9.2,5290,7935,10580,13225,15870,18515,21160,23805,26450,29095
9.3,5347.5,8021.25,10695,13368.75,16042.5,18716.25,21390,24063.75,26737.5,29411.25
9.4,5405,8107.5,10810,13512.5,16215,18917.5,21620,24322.5,27025,29727.5
9.5,5462.5,8193.75,10925,13656.25,16387.5,19118.75,21850,24581.25,27312.5,30043.75
9.6,5520,8280,11040,13800,16560,19320,22080,24840,27600,30360
9.7,5577.5,8366.25,11155,13943.75,16732.5,19521.25,22310,25098.75,27887.5,30676.25
9.8,5635,8452.5,11270,14087.5,16905,19722.5,22540,25357.5,28175,30992.5
9.9,5692.5,8538.75,11385,14231.25,17077.5,19923.75,22770,25616.25,28462.5,31308.75
10,5750,8625,11500,14375,17250,20125,23000,25875,28750,31625
10.1,5807.5,8711.25,11615,14518.75,17422.5,20326.25,23230,26133.75,29037.5,31941.25
10.2,5865,8797.5,11730,14662.5,17595,20527.5,23460,26392.5,29325,32257.5
10.3,5922.5,8883.75,11845,14806.25,17767.5,20728.75,23690,26651.25,29612.5,32573.75
10.4,5980,8970,11960,14950,17940,20930,23920,26910,29900,32890
10.5,6037.5,9056.25,12075,15093.75,18112.5,21131.25,24150,27168.75,30187.5,33206.25
10.6,6095,9142.5,12190,15237.5,18285,21332.5,24380,27427.5,30475,33522.5
10.7,6152.5,9228.75,12305,15381.25,18457.5,21533.75,24610,27686.25,30762.5,33838.75
