plant,Sunflower
variant_title,6.25x Fusion Mutation Sunflower ALL Damage Numbers
multiplier,6.25

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,718.75,1078.125,1437.5,1796.875,2156.25,2515.625,2875,3234.375,3593.75,3953.125
1.1,790.625,1185.9375,1581.25,1976.5625,2371.875,2767.1875,3162.5,3557.8125,3953.125,4348.4375
1.2,862.5,1293.75,1725,2156.25,2587.5,3018.75,3450,3881.25,4312.5,4743.75
1.3,934.375,1401.5625,1868.75,2335.9375,2803.125,3270.3125,3737.5,4204.6875,4671.875,5139.0625
1.4,1006.25,1509.375,2012.5,2515.625,3018.75,3521.875,4025,4528.125,5031.25,5534.375
1.5,1078.125,1617.1875,2156.25,2695.3125,3234.375,3773.4375,4312.5,4851.5625,5390.625,5929.6875
1.6,1150,1725,2300,2875,3450,4025,4600,5175,5750,6325
1.7,1221.875,1832.8125,2443.75,3054.6875,3665.625,4276.5625,4887.5,5498.4375,6109.375,6720.3125
1.8,1293.75,1940.625,2587.5,3234.375,3881.25,4528.125,5175,5821.875,6468.75,7115.625
1.9,1365.625,2048.4375,2731.25,3414.0625,4096.875,4779.6875,5462.5,6145.3125,6828.125,7510.9375
2,1437.5,2156.25,2875,3593.75,4312.5,5031.25,5750,6468.75,7187.5,7906.25
2.1,1509.375,2264.0625,3018.75,3773.4375,4528.125,5282.8125,6037.5,6792.1875,7546.875,8301.5625
2.2,1581.25,2371.875,3162.5,3953.125,4743.75,5534.375,6325,7115.625,7906.25,8696.875
2.3,1653.125,2479.6875,3306.25,4132.8125,4959.375,5785.9375,6612.5,7439.0625,8265.625,9092.1875
2.4,1725,2587.5,3450,4312.5,5175,6037.5,6900,7762.5,8625,9487.5
2.5,1796.875,2695.3125,3593.75,4492.1875,5390.625,6289.0625,7187.5,8085.9375,8984.375,9882.8125
2.6,1868.75,2803.125,3737.5,4671.875,5606.25,6540.625,7475,8409.375,9343.75,10278.125
2.7,1940.625,2910.9375,3881.25,4851.5625,5821.875,6792.1875,7762.5,8732.8125,9703.125,10673.4375
2.8,2012.5,3018.75,4025,5031.25,6037.5,7043.75,8050,9056.25,10062.5,11068.75
2.9,2084.375,3126.5625,4168.75,5210.9375,6253.125,7295.3125,8337.5,9379.6875,10421.875,11464.0625
3,2156.25,3234.375,4312.5,5390.625,6468.75,7546.875,8625,9703.125,10781.25,11859.375
3.1,2228.125,3342.1875,4456.25,5570.3125,6684.375,7798.4375,8912.5,10026.5625,11140.625,12254.6875
3.2,2300,3450,4600,5750,6900,8050,9200,10350,11500,12650
