plant,Tomatrio
variant_title,(1x) Tomatrio ALL Damage Numbers
multiplier,1.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,4500.0,6750,9000,11250,13500,15750,18000,20250,22500,24750
1.1,4950,7425,9900,12375,14850,17325,19800,22275,24750,27225
1.2,5400,8100,10800,13500,16200,18900,21600,24300,27000,29700
1.3,5850,8775,11700,14625,17550,20475,23400,26325,29250,32175
1.4,6300,9450,12600,15750,18900,22050,25200,28350,31500,34650
1.5,6750,10125,13500,16875,20250,23625,27000,30375,33750,37125
1.6,7200,10800,14400,18000,21600,25200,28800,32400,36000,39600
1.7,7650,11475,15300,19125,22950,26775,30600,34425,38250,42075
1.8,8100,12150,16200,20250,24300,28350,32400,36450,40500,44550
1.9,8550,12825,17100,21375,25650,29925,34200,38475,42750,47025
2,9000,13500,18000,22500,27000,31500,36000,40500,45000,49500
2.1,9450,14175,18900,23625,28350,33075,37800,42525,47250,51975
2.2,9900,14850,19800,24750,29700,34650,39600,44550,49500,54450
2.3,10350,15525,20700,25875,31050,36225,41400,46575,51750,56925
2.4,10800,16200,21600,27000,32400,37800,43200,48600,54000,59400
2.5,11250,16875,22500,28125,33750,39375,45000,50625,56250,61875
2.6,11700,17550,23400,29250,35100,40950,46800,52650,58500,64350
2.7,12150,18225,24300,30375,36450,42525,48600,54675,60750,66825
2.8,12600,18900,25200,31500,37800,44100,50400,56700,63000,69300
2.9,13050,19575,26100,32625,39150,45675,52200,58725,65250,71775
3,13500,20250,27000,33750,40500,47250,54000,60750,67500,74250
3.1,13950,20925,27900,34875,41850,48825,55800,62775,69750,76725
3.2,14400,21600,28800,36000,43200,50400,57600,64800,72000,79200
3.3,14850,22275,29700,37125,44550,51975,59400,66825,74250,81675
3.4,15300,22950,30600,38250,45900,53550,61200,68850,76500,84150
3.5,15750,23625,31500,39375,47250,55125,63000,70875,78750,86625
3.6,16200,24300,32400,40500,48600,56700,64800,72900,81000,89100
3.7,16650,24975,33300,41625,49950,58275,66600,74925,83250,91575
3.8,17100,25650,34200,42750,51300,59850,68400,76950,85500,94050
3.9,17550,26325,35100,43875,52650,61425,70200,78975,87750,96525
4,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000
4.1,18450,27675,36900,46125,55350,64575,73800,83025,92250,101475
4.2,18900,28350,37800,47250,56700,66150,75600,85050,94500,103950
4.3,19350,29025,38700,48375,58050,67725,77400,87075,96750,106425
4.4,19800,29700,39600,49500,59400,69300,79200,89100,99000,108900
4.5,20250,30375,40500,50625,60750,70875,81000,91125,101250,111375
4.6,20700,31050,41400,51750,62100,72450,82800,93150,103500,113850
4.7,21150,31725,42300,52875,63450,74025,84600,95175,105750,116325
4.8,21600,32400,43200,54000,64800,75600,86400,97200,108000,118800
4.9,22050,33075,44100,55125,66150,77175,88200,99225,110250,121275
5,22500,33750,45000,56250,67500,78750,90000,101250,112500,123750
5.1,22950,34425,45900,57375,68850,80325,91800,103275,114750,126225
5.2,23400,35100,46800,58500,70200,81900,93600,105300,117000,128700
5.3,23850,35775,47700,59625,71550,83475,95400,107325,119250,131175
5.4,24300,36450,48600,60750,72900,85050,97200,109350,121500,133650
5.5,24750,37125,49500,61875,74250,86625,99000,111375,123750,136125
5.6,25200,37800,50400,63000,75600,88200,100800,113400,126000,138600
5.7,25650,38475,51300,64125,76950,89775,102600,115425,128250,141075
5.8,26100,39150,52200,65250,78300,91350,104400,117450,130500,143550
5.9,26550,39825,53100,66375,79650,92925,106200,119475,132750,146025
6,27000,40500,54000,67500,81000,94500,108000,121500,135000,148500
6.1,27450,41175,54900,68625,82350,96075,109800,123525,137250,150975
6.2,27900,41850,55800,69750,83700,97650,111600,125550,139500,153450
6.3,28350,42525,56700,70875,85050,99225,113400,127575,141750,155925
6.4,28800,43200,57600,72000,86400,100800,115200,129600,144000,158400
6.5,29250,43875,58500,73125,87750,102375,117000,131625,146250,160875
6.6,29700,44550,59400,74250,89100,103950,118800,133650,148500,163350
6.7,30150,45225,60300,75375,90450,105525,120600,135675,150750,165825
6.8,30600,45900,61200,76500,91800,107100,122400,137700,153000,168300
6.9,31050,46575,62100,77625,93150,108675,124200,139725,155250,170775
7,31500,47250,63000,78750,94500,110250,126000,141750,157500,173250
7.1,31950,47925,63900,79875,95850,111825,127800,143775,159750,175725
7.2,32400,48600,64800,81000,97200,113400,129600,145800,162000,178200
7.3,32850,49275,65700,82125,98550,114975,131400,147825,164250,180675
7.4,33300,49950,66600,83250,99900,116550,133200,149850,166500,183150
7.5,33750,50625,67500,84375,101250,118125,135000,151875,168750,185625
