plant,Tomatrio
variant_title,(2x) Gold/Foggy/Electrified/Scorched Tomatrio ALL Damage Numbers
multiplier,2.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,9000,13500,18000,22500,27000,31500,36000,40500,45000,49500
1.1,9900,14850,19800,24750,29700,34650,39600,44550,49500,54450
1.2,10800,16200,21600,27000,32400,37800,43200,48600,54000,59400
1.3,11700,17550,23400,29250,35100,40950,46800,52650,58500,64350
1.4,12600,18900,25200,31500,37800,44100,50400,56700,63000,69300
1.5,13500,20250,27000,33750,40500,47250,54000,60750,67500,74250
1.6,14400,21600,28800,36000,43200,50400,57600,64800,72000,79200
1.7,15300,22950,30600,38250,45900,53550,61200,68850,76500,84150
1.8,16200,24300,32400,40500,48600,56700,64800,72900,81000,89100
1.9,17100,25650,34200,42750,51300,59850,68400,76950,85500,94050
2,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000
2.1,18900,28350,37800,47250,56700,66150,75600,85050,94500,103950
2.2,19800,29700,39600,49500,59400,69300,79200,89100,99000,108900
2.3,20700,31050,41400,51750,62100,72450,82800,93150,103500,113850
2.4,21600,32400,43200,54000,64800,75600,86400,97200,108000,118800
2.5,22500,33750,45000,56250,67500,78750,90000,101250,112500,123750
2.6,23400,35100,46800,58500,70200,81900,93600,105300,117000,128700
2.7,24300,36450,48600,60750,72900,85050,97200,109350,121500,133650
2.8,25200,37800,50400,63000,75600,88200,100800,113400,126000,138600
2.9,26100,39150,52200,65250,78300,91350,104400,117450,130500,143550
3,27000,40500,54000,67500,81000,94500,108000,121500,135000,148500
3.1,27900,41850,55800,69750,83700,97650,111600,125550,139500,153450
3.2,28800,43200,57600,72000,86400,100800,115200,129600,144000,158400
3.3,29700,44550,59400,74250,89100,103950,118800,133650,148500,163350
3.4,30600,45900,61200,76500,91800,107100,122400,137700,153000,168300
3.5,31500,47250,63000,78750,94500,110250,126000,141750,157500,173250
3.6,32400,48600,64800,81000,97200,113400,129600,145800,162000,178200
3.7,33300,49950,66600,83250,99900,116550,133200,149850,166500,183150
3.8,34200,51300,68400,85500,102600,119700,136800,153900,171000,188100
3.9,35100,52650,70200,87750,105300,122850,140400,157950,175500,193050
4,36000,54000,72000,90000,108000,126000,144000,162000,180000,198000
4.1,36900,55350,73800,92250,110700,129150,147600,166050,184500,202950
4.2,37800,56700,75600,94500,113400,132300,151200,170100,189000,207900
4.3,38700,58050,77400,96750,116100,135450,154800,174150,193500,212850
4.4,39600,59400,79200,99000,118800,138600,158400,178200,198000,217800
4.5,40500,60750,81000,101250,121500,141750,162000,182250,202500,222750
4.6,41400,62100,82800,103500,124200,144900,165600,186300,207000,227700
4.7,42300,63450,84600,105750,126900,148050,169200,190350,211500,232650
4.8,43200,64800,86400,108000,129600,151200,172800,194400,216000,237600
4.9,44100,66150,88200,110250,132300,154350,176400,198450,220500,242550
5,45000,67500,90000,112500,135000,157500,180000,202500,225000,247500
5.1,45900,68850,91800,114750,137700,160650,183600,206550,229500,252450
5.2,46800,70200,93600,117000,140400,163800,187200,210600,234000,257400
5.3,47700,71550,95400,119250,143100,166950,190800,214650,238500,262350
5.4,48600,72900,97200,121500,145800,170100,194400,218700,243000,267300
5.5,49500,74250,99000,123750,148500,173250,198000,222750,247500,272250
5.6,50400,75600,100800,126000,151200,176400,201600,226800,252000,277200
5.7,51300,76950,102600,128250,153900,179550,205200,230850,256500,282150
5.8,52200,78300,104400,130500,156600,182700,208800,234900,261000,287100
5.9,53100,79650,106200,132750,159300,185850,212400,238950,265500,292050
6,54000,81000,108000,135000,162000,189000,216000,243000,270000,297000
6.1,54900,82350,109800,137250,164700,192150,219600,247050,274500,301950
6.2,55800,83700,111600,139500,167400,195300,223200,251100,279000,306900
6.3,56700,85050,113400,141750,170100,198450,226800,255150,283500,311850
6.4,57600,86400,115200,144000,172800,201600,230400,259200,288000,316800
6.5,58500,87750,117000,146250,175500,204750,234000,263250,292500,321750
6.6,59400,89100,118800,148500,178200,207900,237600,267300,297000,326700
6.7,60300,90450,120600,150750,180900,211050,241200,271350,301500,331650
6.8,61200,91800,122400,153000,183600,214200,244800,275400,306000,336600
6.9,62100,93150,124200,155250,186300,217350,248400,279450,310500,341550
7,63000,94500,126000,157500,189000,220500,252000,283500,315000,346500
7.1,63900,95850,127800,159750,191700,223650,255600,287550,319500,351450
7.2,64800,97200,129600,162000,194400,226800,259200,291600,324000,356400
7.3,65700,98550,131400,164250,197100,229950,262800,295650,328500,361350
7.4,66600,99900,133200,166500,199800,233100,266400,299700,333000,366300
7.5,67500,101250,135000,168750,202500,236250,270000,303750,337500,371250
7.6,68400,102600,136800,171000,205200,239400,273600,307800,342000,376200
7.7,69300,103950,138600,173250,207900,242550,277200,311850,346500,381150
7.8,70200,105300,140400,175500,210600,245700,280800,315900,351000,386100
7.9,71100,106650,142200,177750,213300,248850,284400,319950,355500,391050
8,72000,108000,144000,180000,216000,252000,288000,324000,360000,396000
8.1,72900,109350,145800,182250,218700,255150,291600,328050,364500,400950
8.2,73800,110700,147600,184500,221400,258300,295200,332100,369000,405900
8.3,74700,112050,149400,186750,224100,261450,298800,336150,373500,410850
8.4,75600,113400,151200,189000,226800,264600,302400,340200,378000,415800
8.5,76500,114750,153000,191250,229500,267750,306000,344250,382500,420750
8.6,77400,116100,154800,193500,232200,270900,309600,348300,387000,425700
8.7,78300,117450,156600,195750,234900,274050,313200,352350,391500,430650
8.8,79200,118800,158400,198000,237600,277200,316800,356400,396000,435600
8.9,80100,120150,160200,200250,240300,280350,320400,360450,400500,440550
9,81000,121500,162000,202500,243000,283500,324000,364500,405000,445500
9.1,81900,122850,163800,204750,245700,286650,327600,368550,409500,450450
9.2,82800,124200,165600,207000,248400,289800,331200,372600,414000,455400
9.3,83700,125550,167400,209250,251100,292950,334800,376650,418500,460350
9.4,84600,126900,169200,211500,253800,296100,338400,380700,423000,465300
9.5,85500,128250,171000,213750,256500,299250,342000,384750,427500,470250
9.6,86400,129600,172800,216000,259200,302400,345600,388800,432000,475200
9.7,87300,130950,174600,218250,261900,305550,349200,392850,436500,480150
9.8,88200,132300,176400,220500,264600,308700,352800,396900,441000,485100
9.9,89100,133650,178200,222750,267300,311850,356400,400950,445500,490050
10,90000,135000,180000,225000,270000,315000,360000,405000,450000,495000
10.1,90900,136350,181800,227250,272700,318150,363600,409050,454500,499950
10.2,91800,137700,183600,229500,275400,321300,367200,413100,459000,504900
10.3,92700,139050,185400,231750,278100,324450,370800,417150,463500,509850
