plant,Tomatrio
variant_title,3.15x Fusion Mutation Tomatrio ALL Damage Numbers
multiplier,3.15

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,14175,21262.5,28350,35437.5,42525,49612.5,56700,63787.5,70875,77962.5
1.1,15592.5,23388.75,31185,38981.25,46777.5,54573.75,62370,70166.25,77962.5,85758.75
1.2,17010,25515,34020,42525,51030,59535,68040,76545,85050,93555
1.3,18427.5,27641.25,36855,46068.75,55282.5,64496.25,73710,82923.75,92137.5,101351.25
1.4,19845,29767.5,39690,49612.5,59535,69457.5,79380,89302.5,99225,109147.5
1.5,21262.5,31893.75,42525,53156.25,63787.5,74418.75,85050,95681.25,106312.5,116943.75
1.6,22680,34020,45360,56700,68040,79380,90720,102060,113400,124740
1.7,24097.5,36146.25,48195,60243.75,72292.5,84341.25,96390,108438.75,120487.5,132536.25
1.8,25515,38272.5,51030,63787.5,76545,89302.5,102060,114817.5,127575,140332.5
1.9,26932.5,40398.75,53865,67331.25,80797.5,94263.75,107730,121196.25,134662.5,148128.75
2,28350,42525,56700,70875,85050,99225,113400,127575,141750,155925
2.1,29767.5,44651.25,59535,74418.75,89302.5,104186.25,119070,133953.75,148837.5,163721.25
2.2,31185,46777.5,62370,77962.5,93555,109147.5,124740,140332.5,155925,171517.5
2.3,32602.5,48903.75,65205,81506.25,97807.5,114108.75,130410,146711.25,163012.5,179313.75
2.4,34020,51030,68040,85050,102060,119070,136080,153090,170100,187110
2.5,35437.5,53156.25,70875,88593.75,106312.5,124031.25,141750,159468.75,177187.5,194906.25
2.6,36855,55282.5,73710,92137.5,110565,128992.5,147420,165847.5,184275,202702.5
2.7,38272.5,57408.75,76545,95681.25,114817.5,133953.75,153090,172226.25,191362.5,210498.75
2.8,39690,59535,79380,99225,119070,138915,158760,178605,198450,218295
2.9,41107.5,61661.25,82215,102768.75,123322.5,143876.25,164430,184983.75,205537.5,226091.25
3,42525,63787.5,85050,106312.5,127575,148837.5,170100,191362.5,212625,233887.5
3.1,43942.5,65913.75,87885,109856.25,131827.5,153798.75,175770,197741.25,219712.5,241683.75
3.2,45360,68040,90720,113400,136080,158760,181440,204120,226800,249480
3.3,46777.5,70166.25,93555,116943.75,140332.5,163721.25,187110,210498.75,233887.5,257276.25
3.4,48195,72292.5,96390,120487.5,144585,168682.5,192780,216877.5,240975,265072.5
3.5,49612.5,74418.75,99225,124031.25,148837.5,173643.75,198450,223256.25,248062.5,272868.75
3.6,51030,76545,102060,127575,153090,178605,204120,229635,255150,280665
3.7,52447.5,78671.25,104895,131118.75,157342.5,183566.25,209790,236013.75,262237.5,288461.25
3.8,53865,80797.5,107730,134662.5,161595,188527.5,215460,242392.5,269325,296257.5
3.9,55282.5,82923.75,110565,138206.25,165847.5,193488.75,221130,248771.25,276412.5,304053.75
4,56700,85050,113400,141750,170100,198450,226800,255150,283500,311850
4.1,58117.5,87176.25,116235,145293.75,174352.5,203411.25,232470,261528.75,290587.5,319646.25
