plant,Tomatrio
variant_title,(3x) Diamond Tomatrio ALL Damage Numbers
multiplier,3.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,13500,20250,27000,33750,40500,47250,54000,60750,67500,74250
1.1,14850,22275,29700,37125,44550,51975,59400,66825,74250,81675
1.2,16200,24300,32400,40500,48600,56700,64800,72900,81000,89100
1.3,17550,26325,35100,43875,52650,61425,70200,78975,87750,96525
1.4,18900,28350,37800,47250,56700,66150,75600,85050,94500,103950
1.5,20250,30375,40500,50625,60750,70875,81000,91125,101250,111375
1.6,21600,32400,43200,54000,64800,75600,86400,97200,108000,118800
1.7,22950,34425,45900,57375,68850,80325,91800,103275,114750,126225
1.8,24300,36450,48600,60750,72900,85050,97200,109350,121500,133650
1.9,25650,38475,51300,64125,76950,89775,102600,115425,128250,141075
2,27000,40500,54000,67500,81000,94500,108000,121500,135000,148500
2.1,28350,42525,56700,70875,85050,99225,113400,127575,141750,155925
2.2,29700,44550,59400,74250,89100,103950,118800,133650,148500,163350
2.3,31050,46575,62100,77625,93150,108675,124200,139725,155250,170775
2.4,32400,48600,64800,81000,97200,113400,129600,145800,162000,178200
2.5,33750,50625,67500,84375,101250,118125,135000,151875,168750,185625
2.6,35100,52650,70200,87750,105300,122850,140400,157950,175500,193050
2.7,36450,54675,72900,91125,109350,127575,145800,164025,182250,200475
2.8,37800,56700,75600,94500,113400,132300,151200,170100,189000,207900
2.9,39150,58725,78300,97875,117450,137025,156600,176175,195750,215325
3,40500,60750,81000,101250,121500,141750,162000,182250,202500,222750
3.1,41850,62775,83700,104625,125550,146475,167400,188325,209250,230175
3.2,43200,64800,86400,108000,129600,151200,172800,194400,216000,237600
3.3,44550,66825,89100,111375,133650,155925,178200,200475,222750,245025
3.4,45900,68850,91800,114750,137700,160650,183600,206550,229500,252450
3.5,47250,70875,94500,118125,141750,165375,189000,212625,236250,259875
3.6,48600,72900,97200,121500,145800,170100,194400,218700,243000,267300
3.7,49950,74925,99900,124875,149850,174825,199800,224775,249750,274725
3.8,51300,76950,102600,128250,153900,179550,205200,230850,256500,282150
3.9,52650,78975,105300,131625,157950,184275,210600,236925,263250,289575
4,54000,81000,108000,135000,162000,189000,216000,243000,270000,297000
4.1,55350,83025,110700,138375,166050,193725,221400,249075,276750,304425
4.2,56700,85050,113400,141750,170100,198450,226800,255150,283500,311850
4.3,58050,87075,116100,145125,174150,203175,232200,261225,290250,319275
4.4,59400,89100,118800,148500,178200,207900,237600,267300,297000,326700
4.5,60750,91125,121500,151875,182250,212625,243000,273375,303750,334125
4.6,62100,93150,124200,155250,186300,217350,248400,279450,310500,341550
4.7,63450,95175,126900,158625,190350,222075,253800,285525,317250,348975
4.8,64800,97200,129600,162000,194400,226800,259200,291600,324000,356400
4.9,66150,99225,132300,165375,198450,231525,264600,297675,330750,363825
5,67500,101250,135000,168750,202500,236250,270000,303750,337500,371250
5.1,68850,103275,137700,172125,206550,240975,275400,309825,344250,378675
5.2,70200,105300,140400,175500,210600,245700,280800,315900,351000,386100
5.3,71550,107325,143100,178875,214650,250425,286200,321975,357750,393525
5.4,72900,109350,145800,182250,218700,255150,291600,328050,364500,400950
5.5,74250,111375,148500,185625,222750,259875,297000,334125,371250,408375
5.6,75600,113400,151200,189000,226800,264600,302400,340200,378000,415800
5.7,76950,115425,153900,192375,230850,269325,307800,346275,384750,423225
5.8,78300,117450,156600,195750,234900,274050,313200,352350,391500,430650
5.9,79650,119475,159300,199125,238950,278775,318600,358425,398250,438075
6,81000,121500,162000,202500,243000,283500,324000,364500,405000,445500
6.1,82350,123525,164700,205875,247050,288225,329400,370575,411750,452925
6.2,83700,125550,167400,209250,251100,292950,334800,376650,418500,460350
6.3,85050,127575,170100,212625,255150,297675,340200,382725,425250,467775
6.4,86400,129600,172800,216000,259200,302400,345600,388800,432000,475200
6.5,87750,131625,175500,219375,263250,307125,351000,394875,438750,482625
6.6,89100,133650,178200,222750,267300,311850,356400,400950,445500,490050
6.7,90450,135675,180900,226125,271350,316575,361800,407025,452250,497475
6.8,91800,137700,183600,229500,275400,321300,367200,413100,459000,504900
6.9,93150,139725,186300,232875,279450,326025,372600,419175,465750,512325
7,94500,141750,189000,236250,283500,330750,378000,425250,472500,519750
7.1,95850,143775,191700,239625,287550,335475,383400,431325,479250,527175
7.2,97200,145800,194400,243000,291600,340200,388800,437400,486000,534600
7.3,98550,147825,197100,246375,295650,344925,394200,443475,492750,542025
7.4,99900,149850,199800,249750,299700,349650,399600,449550,499500,549450
7.5,101250,151875,202500,253125,303750,354375,405000,455625,506250,556875
7.6,102600,153900,205200,256500,307800,359100,410400,461700,513000,564300
7.7,103950,155925,207900,259875,311850,363825,415800,467775,519750,571725
7.8,105300,157950,210600,263250,315900,368550,421200,473850,526500,579150
7.9,106650,159975,213300,266625,319950,373275,426600,479925,533250,586575
8,108000,162000,216000,270000,324000,378000,432000,486000,540000,594000
8.1,109350,164025,218700,273375,328050,382725,437400,492075,546750,601425
8.2,110700,166050,221400,276750,332100,387450,442800,498150,553500,608850
8.3,112050,168075,224100,280125,336150,392175,448200,504225,560250,616275
8.4,113400,170100,226800,283500,340200,396900,453600,510300,567000,623700
8.5,114750,172125,229500,286875,344250,401625,459000,516375,573750,631125
8.6,116100,174150,232200,290250,348300,406350,464400,522450,580500,638550
8.7,117450,176175,234900,293625,352350,411075,469800,528525,587250,645975
8.8,118800,178200,237600,297000,356400,415800,475200,534600,594000,653400
8.9,120150,180225,240300,300375,360450,420525,480600,540675,600750,660825
9,121500,182250,243000,303750,364500,425250,486000,546750,607500,668250
9.1,122850,184275,245700,307125,368550,429975,491400,552825,614250,675675
9.2,124200,186300,248400,310500,372600,434700,496800,558900,621000,683100
9.3,125550,188325,251100,313875,376650,439425,502200,564975,627750,690525
9.4,126900,190350,253800,317250,380700,444150,507600,571050,634500,697950
9.5,128250,192375,256500,320625,384750,448875,513000,577125,641250,705375
9.6,129600,194400,259200,324000,388800,453600,518400,583200,648000,712800
9.7,130950,196425,261900,327375,392850,458325,523800,589275,654750,720225
9.8,132300,198450,264600,330750,396900,463050,529200,595350,661500,727650
9.9,133650,200475,267300,334125,400950,467775,534600,601425,668250,735075
10,135000,202500,270000,337500,405000,472500,540000,607500,675000,742500
10.1,136350,204525,272700,340875,409050,477225,545400,613575,681750,749925
10.2,137700,206550,275400,344250,413100,481950,550800,619650,688500,757350
10.3,139050,208575,278100,347625,417150,486675,556200,625725,695250,764775
10.4,140400,210600,280800,351000,421200,491400,561600,631800,702000,772200
10.5,141750,212625,283500,354375,425250,496125,567000,637875,708750,779625
10.6,143100,214650,286200,357750,429300,500850,572400,643950,715500,787050
10.7,144450,216675,288900,361125,433350,505575,577800,650025,722250,794475
10.8,145800,218700,291600,364500,437400,510300,583200,656100,729000,801900
10.9,147150,220725,294300,367875,441450,515025,588600,662175,735750,809325
11,148500,222750,297000,371250,445500,519750,594000,668250,742500,816750
11.1,149850,224775,299700,374625,449550,524475,599400,674325,749250,824175
11.2,151200,226800,302400,378000,453600,529200,604800,680400,756000,831600
11.3,152550,228825,305100,381375,457650,533925,610200,686475,762750,839025
11.4,153900,230850,307800,384750,461700,538650,615600,692550,769500,846450
11.5,155250,232875,310500,388125,465750,543375,621000,698625,776250,853875
11.6,156600,234900,313200,391500,469800,548100,626400,704700,783000,861300
11.7,157950,236925,315900,394875,473850,552825,631800,710775,789750,868725
11.8,159300,238950,318600,398250,477900,557550,637200,716850,796500,876150
11.9,160650,240975,321300,401625,481950,562275,642600,722925,803250,883575
