plant,Tomatrio
variant_title,(4x) Ruby/Frozen Tomatrio ALL Damage Numbers
multiplier,4.0

kg,lvl1,lvl2,lvl3,lvl4,lvl5,lvl6,lvl7,lvl8,lvl9,lvl10
1.0,18000,27000,36000,45000,54000,63000,72000,81000,90000,99000
1.1,19800,29700,39600,49500,59400,69300,79200,89100,99000,108900
1.2,21600,32400,43200,54000,64800,75600,86400,97200,108000,118800
1.3,23400,35100,46800,58500,70200,81900,93600,105300,117000,128700
1.4,25200,37800,50400,63000,75600,88200,100800,113400,126000,138600
1.5,27000,40500,54000,67500,81000,94500,108000,121500,135000,148500
1.6,28800,43200,57600,72000,86400,100800,115200,129600,144000,158400
1.7,30600,45900,61200,76500,91800,107100,122400,137700,153000,168300
1.8,32400,48600,64800,81000,97200,113400,129600,145800,162000,178200
1.9,34200,51300,68400,85500,102600,119700,136800,153900,171000,188100
2,36000,54000,72000,90000,108000,126000,144000,162000,180000,198000
2.1,37800,56700,75600,94500,113400,132300,151200,170100,189000,207900
2.2,39600,59400,79200,99000,118800,138600,158400,178200,198000,217800
2.3,41400,62100,82800,103500,124200,144900,165600,186300,207000,227700
2.4,43200,64800,86400,108000,129600,151200,172800,194400,216000,237600
2.5,45000,67500,90000,112500,135000,157500,180000,202500,225000,247500
2.6,46800,70200,93600,117000,140400,163800,187200,210600,234000,257400
2.7,48600,72900,97200,121500,145800,170100,194400,218700,243000,267300
2.8,50400,75600,100800,126000,151200,176400,201600,226800,252000,277200
2.9,52200,78300,104400,130500,156600,182700,208800,234900,261000,287100
3,54000,81000,108000,135000,162000,189000,216000,243000,270000,297000
3.1,55800,83700,111600,139500,167400,195300,223200,251100,279000,306900
3.2,57600,86400,115200,144000,172800,201600,230400,259200,288000,316800
3.3,59400,89100,118800,148500,178200,207900,237600,267300,297000,326700
3.4,61200,91800,122400,153000,183600,214200,244800,275400,306000,336600
3.5,63000,94500,126000,157500,189000,220500,252000,283500,315000,346500
3.6,64800,97200,129600,162000,194400,226800,259200,291600,324000,356400
3.7,66600,99900,133200,166500,199800,233100,266400,299700,333000,366300
3.8,68400,102600,136800,171000,205200,239400,273600,307800,342000,376200
3.9,70200,105300,140400,175500,210600,245700,280800,315900,351000,386100
4,72000,108000,144000,180000,216000,252000,288000,324000,360000,396000
4.1,73800,110700,147600,184500,221400,258300,295200,332100,369000,405900
4.2,75600,113400,151200,189000,226800,264600,302400,340200,378000,415800
4.3,77400,116100,154800,193500,232200,270900,309600,348300,387000,425700
4.4,79200,118800,158400,198000,237600,277200,316800,356400,396000,435600
4.5,81000,121500,162000,202500,243000,283500,324000,364500,405000,445500
4.6,82800,124200,165600,207000,248400,289800,331200,372600,414000,455400
4.7,84600,126900,169200,211500,253800,296100,338400,380700,423000,465300
4.8,86400,129600,172800,216000,259200,302400,345600,388800,432000,475200
4.9,88200,132300,176400,220500,264600,308700,352800,396900,441000,485100
5,90000,135000,180000,225000,270000,315000,360000,405000,450000,495000
5.1,91800,137700,183600,229500,275400,321300,367200,413100,459000,504900
5.2,93600,140400,187200,234000,280800,327600,374400,421200,468000,514800
5.3,95400,143100,190800,238500,286200,333900,381600,429300,477000,524700
5.4,97200,145800,194400,243000,291600,340200,388800,437400,486000,534600
5.5,99000,148500,198000,247500,297000,346500,396000,445500,495000,544500
5.6,100800,151200,201600,252000,302400,352800,403200,453600,504000,554400
5.7,102600,153900,205200,256500,307800,359100,410400,461700,513000,564300
5.8,104400,156600,208800,261000,313200,365400,417600,469800,522000,574200
5.9,106200,159300,212400,265500,318600,371700,424800,477900,531000,584100
6,108000,162000,216000,270000,324000,378000,432000,486000,540000,594000
6.1,109800,164700,219600,274500,329400,384300,439200,494100,549000,603900
6.2,111600,167400,223200,279000,334800,390600,446400,502200,558000,613800
6.3,113400,170100,226800,283500,340200,396900,453600,510300,567000,623700
6.4,115200,172800,230400,288000,345600,403200,460800,518400,576000,633600
6.5,117000,175500,234000,292500,351000,409500,468000,526500,585000,643500
6.6,118800,178200,237600,297000,356400,415800,475200,534600,594000,653400
6.7,120600,180900,241200,301500,361800,422100,482400,542700,603000,663300
6.8,122400,183600,244800,306000,367200,428400,489600,550800,612000,673200
6.9,124200,186300,248400,310500,372600,434700,496800,558900,621000,683100
7,126000,189000,252000,315000,378000,441000,504000,567000,630000,693000
7.1,127800,191700,255600,319500,383400,447300,511200,575100,639000,702900
7.2,129600,194400,259200,324000,388800,453600,518400,583200,648000,712800
7.3,131400,197100,262800,328500,394200,459900,525600,591300,657000,722700
7.4,133200,199800,266400,333000,399600,466200,532800,599400,666000,732600
7.5,135000,202500,270000,337500,405000,472500,540000,607500,675000,742500
